training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
5.5676107,-3.6029556,148.46817,341.07306,1.7030461,-10.320827,0.22628827,1.0,122.23961,0.2837127,-7.7150927,0.09089623,1.0,0.23914924,-14.496655,-28.586245,1.2807915,1.0804603,338.832,1.6440525,-10.313217,0.22476654,1.0,105.601006,0.22966537,-7.7391453,0.09690935,1.0,0.19345532,-15.226631,-28.641846,1.2623962,1.0564219,0.3029440323829651,1514.7201788425446,5000
9.47316,-8.484305,240.34622,441.5168,2.3633142,-10.124392,0.18700138,1.0,210.79236,0.21827278,-7.669475,0.07949175,1.0,0.14095372,-22.868559,-44.872597,1.7932627,2.936935,480.27405,2.715532,-10.13844,0.18981099,1.0,233.89464,0.38468552,-7.6880226,0.08412859,1.0,0.062706724,-22.528687,-44.826145,1.7389325,2.0912824,0.0052697793960571285,1541.0690824985504,10000
15.937204,-17.710052,265.46954,566.8793,3.385553,-9.891066,0.1403362,1.0,154.45673,0.3171366,-7.6531296,0.075405344,1.0,0.15403865,-27.853275,-57.40633,2.5163374,2.102373,560.56696,3.3095076,-9.8691225,0.13594748,1.0,162.1347,0.40456977,-7.6707478,0.07980979,1.0,0.15239039,-27.455671,-57.376152,2.4773707,2.326998,0.005290167427062988,1567.51992726326,15000
12.409652,-13.97305,266.7231,566.5911,3.181389,-9.840324,0.13018787,1.0,166.03653,0.38776496,-7.635967,0.07111462,1.0,0.14776872,-27.976248,-66.9943,2.8649411,2.2406313,582.09155,3.4382524,-9.834106,0.12894432,1.0,162.13219,0.35582727,-7.655406,0.075974494,1.0,0.4478428,-29.909412,-67.02521,2.8367581,2.490721,0.005297509860992432,1594.0074834823608,20000
11.526827,-15.402808,264.0871,569.342,3.6848764,-9.791088,0.12034066,1.0,185.97864,0.37984604,-7.6123743,0.0652166,1.0,0.117646284,-31.782179,-74.7397,3.1399827,2.639923,571.9493,3.414248,-9.824926,0.12710826,1.0,180.07266,0.37502557,-7.6332393,0.07043282,1.0,0.25476158,-30.937012,-74.71511,3.0537107,2.0594854,0.005298728084564209,1620.501130104065,25000
27.181808,-28.937923,373.7875,592.9885,3.689919,-9.853246,0.13277203,1.0,165.39691,0.29124624,-7.620862,0.067338474,1.0,0.003396213,-32.62301,-80.54355,3.2077117,3.0112333,612.9717,3.9999323,-9.939865,0.150096,1.0,183.13757,0.30659115,-7.640324,0.07220396,1.0,0.04399182,-31.92013,-80.62095,3.2247543,3.299695,0.005309330034255982,1647.0477871894836,30000
17.464891,-13.300847,319.01337,584.5631,3.536234,-9.776869,0.11749661,1.0,171.51367,0.35421848,-7.588258,0.059187356,1.0,0.045032173,-32.250984,-85.46855,3.1044488,2.8165998,609.2735,3.681128,-9.814234,0.124969535,1.0,163.57431,0.35128778,-7.6350126,0.07087606,1.0,0.0051055253,-32.993237,-85.0175,3.20429,3.1850293,0.005303612470626831,1673.565856218338,35000
8.668848,-11.979933,252.90585,617.99817,3.95833,-9.892322,0.14058733,1.0,176.97775,0.4035923,-7.6085596,0.06426295,1.0,-0.0074806064,-33.25437,-89.29719,3.2268622,3.0277522,611.9317,3.8440018,-9.9232855,0.14678009,1.0,176.57124,0.44448674,-7.6369205,0.07135311,1.0,0.078009635,-33.3675,-88.85721,3.1599255,3.3329182,0.005307566928863526,1700.1036970615387,40000
31.788595,-31.1544,370.02457,602.8207,3.9741845,-9.795597,0.12124228,1.0,163.2229,0.38043714,-7.595913,0.061101183,1.0,0.08053888,-36.33641,-92.24562,3.4582434,2.710139,644.0675,4.3735437,-9.812987,0.12472047,1.0,141.36832,0.36494747,-7.6436844,0.073043995,1.0,0.07044792,-34.512505,-91.90372,3.2214494,3.5414581,0.005340567445755005,1726.8065421581268,45000
8.940465,-12.199275,277.61884,620.9298,4.092126,-9.79801,0.121724986,1.0,178.91891,0.35821196,-7.604125,0.063154206,1.0,0.14605418,-36.298378,-94.6406,3.5364017,2.7688966,638.01074,4.5313287,-9.775961,0.11731525,1.0,189.47395,0.4241269,-7.6546865,0.07579456,1.0,0.18773964,-34.661232,-94.26828,3.3415914,3.8245103,0.00532368836402893,1753.4249908924103,50000
