training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.3136258,-7.712086,2.3136258,0.09014455,17.61264,0.99999994,-17.61264,1.0,1.0023926,0.0,-14.883923,-25.321184,1.9564466,-2.1793654,51.492676,0.8611689,-14.254722,-24.589025,0.042065628,3.321072,-7.737456,2.321237,0.096486926,18.131721,0.99983513,-18.128735,1.0,0.9431482,0.0,-15.056008,-25.266973,1.242992,-14.415445,-24.526983,0.037500437,0.23052586860656737,1152.629361629486,5000
3.296555,-7.655184,2.296555,0.07591889,27.932869,0.9999999,-27.932869,1.0,1.2483366,0.0,-22.236687,-40.615974,1.1390216,-1.6664605,30.04926,0.580275,-21.797184,-40.014477,0.057360232,3.3020315,-7.6734915,2.3020477,0.080495864,28.093872,0.9999837,-28.093418,1.0,1.3591626,0.0,-22.707119,-40.661682,0.74131995,-22.237995,-40.04141,0.04467965,0.0028402616024017333,1166.8306775093079,10000
3.2946277,-7.648759,2.2946277,0.07431269,33.222664,1.0,-33.222664,1.0,1.6543661,0.0,-26.79665,-52.8107,1.9089981,-2.0393863,39.55165,1.1405706,-26.344036,-52.301617,0.07826478,3.3003554,-7.6678514,2.3003554,0.07908587,33.17475,1.0,-33.17475,1.0,1.7079877,0.0,-26.453592,-52.796032,1.3817059,-26.096039,-52.34164,0.07409314,0.002837288761138916,1181.0171282291412,15000
3.2900646,-7.6335683,2.2900705,0.07051499,37.60843,0.9999941,-37.608208,1.0,1.6700004,0.0,-29.194382,-62.280518,5.2373915,-4.381605,78.90596,0.69928473,-28.790733,-61.908367,0.08815663,3.3060226,-7.686741,2.3060226,0.0838082,37.028404,1.0,-37.028404,1.0,2.0900824,0.0,-29.769556,-62.39264,0.7690804,-29.437246,-61.943893,0.11367999,0.0028216420650482178,1195.1253457069397,20000
3.284546,-7.615153,2.284546,0.06591116,38.338425,1.0,-38.338425,1.0,1.441792,0.0,-30.496017,-69.023125,3.7867863,-4.6841516,73.22449,1.3653718,-30.122423,-68.71109,0.096023455,3.2962043,-7.654014,2.2962043,0.07562646,38.75542,1.0,-38.75542,1.0,1.4857948,0.0,-30.16304,-69.11508,1.3567947,-29.80167,-68.80253,0.0866154,0.002848279094696045,1209.3667483329773,25000
3.2860808,-7.6202693,2.2860808,0.06719029,38.7399,1.0,-38.7399,1.0,1.5489099,0.0,-30.046333,-74.54679,2.6835895,-4.034992,65.534515,1.0520484,-29.699398,-74.310715,0.10685355,3.29456,-7.6485777,2.2945733,0.074267425,39.815453,0.9999866,-39.81492,1.0,1.8589244,0.0,-30.714417,-74.28992,1.225417,-30.355286,-74.03103,0.1027371,0.002852675485610962,1223.630132675171,30000
3.2858357,-7.619453,2.2858357,0.06698618,39.415726,1.0,-39.415726,1.0,1.6671417,0.0,-31.836319,-77.39545,4.069167,-2.8446815,83.71846,0.805489,-31.522524,-77.16538,0.11282752,3.2896795,-7.6322646,2.2896795,0.0701891,38.951477,0.99999994,-38.951477,1.0,1.4713175,0.0,-31.348454,-78.06236,1.2154822,-31.009762,-77.81344,0.10459351,0.0028360623836517335,1237.8104519844055,35000
3.2806292,-7.6020975,2.2806292,0.06264727,39.471977,1.0,-39.471977,1.0,1.7779846,0.0,-31.967535,-79.80107,5.2282367,-6.7648044,99.53417,1.5817671,-31.5651,-79.60645,0.11184505,3.2991202,-7.6637335,2.2991202,0.07805633,40.818157,1.0,-40.818157,1.0,1.9202446,0.0,-32.52001,-79.714386,0.6024278,-32.13572,-79.46269,0.094772264,0.0028210920333862303,1251.915919303894,40000
3.2796261,-7.5987535,2.2796261,0.061811265,39.093838,1.0,-39.093838,1.0,1.5702388,0.0,-31.933228,-80.59317,5.7463775,-5.6574025,81.549065,0.9914701,-31.586645,-80.41025,0.102966025,3.2937431,-7.6458097,2.2937431,0.07357535,39.422684,1.0,-39.422684,1.0,1.6730585,0.0,-33.23767,-81.79801,0.5717441,-32.91283,-81.614,0.09506613,0.0028334271907806395,1266.083062171936,45000
3.2797813,-7.5992713,2.2797813,0.061940707,40.252632,1.0,-40.252632,1.0,1.7578516,0.0,-30.874975,-81.0489,5.0017066,-4.6655254,86.28181,0.99535584,-30.51287,-80.85599,0.113983706,3.3061724,-7.6872406,2.3061724,0.08393317,38.001736,1.0,-38.001736,1.0,1.7543238,0.05533421,-31.393154,-82.38998,0.6596538,-31.08284,-82.211716,0.109053686,0.0028021132469177247,1280.0936353206635,50000
