training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
118.5254,0.04057771,-7.7802477,0.10718485,1.0,1.3636259,-1.5801433,48.84451,0.40894014,-15.008619,-25.539978,0.13371386,147.73943,0.101561844,-7.794914,0.11085145,1.0,0.43850577,-15.3407135,-25.593113,0.12712492,0.1883067524433136,941.5337932109833,5000
227.67279,0.13076952,-7.733183,0.095418744,1.0,2.5419693,-3.5521646,71.4857,0.47931594,-21.720032,-43.54994,0.20135877,205.06438,0.08178322,-7.7312765,0.094942115,1.0,0.56923604,-22.080315,-43.560684,0.15382925,0.002354726791381836,953.3074581623077,10000
254.85858,0.07073611,-7.71607,0.09114048,1.0,2.654007,-2.6742973,75.95803,0.549838,-25.600094,-58.57195,0.25455624,261.21912,0.1299771,-7.7421865,0.09766972,1.0,0.5759263,-26.059807,-58.447212,0.26725376,0.0023450392723083496,965.0326855182648,15000
276.55115,0.102396324,-7.671053,0.07988621,1.0,3.5205507,-3.0597887,70.96211,0.4381822,-27.214848,-69.859726,0.2771341,287.9666,0.14403352,-7.7128797,0.090342864,1.0,0.38361007,-27.420174,-70.0293,0.24568783,0.002346562623977661,976.765538930893,20000
291.9912,0.16484109,-7.6574125,0.07647604,1.0,4.788829,-3.4519353,80.631,0.7362122,-28.197811,-78.87479,0.21862112,302.15164,0.15157183,-7.678012,0.08162604,1.0,0.9080598,-27.683208,-78.13025,0.20787948,0.002346811294555664,988.4996242523193,25000
303.01093,0.15773852,-7.6630383,0.07788262,1.0,3.3567212,-2.3243885,66.63506,0.70355403,-28.767365,-83.473465,0.18960312,296.04962,0.13357961,-7.726346,0.093709454,1.0,0.5524125,-29.090378,-82.52669,0.25070035,0.0023706064701080323,1000.3526864051819,30000
303.9312,0.13726297,-7.6582046,0.07667407,1.0,2.8554459,-3.2697124,90.525856,0.3984393,-29.169947,-85.15003,0.24711317,295.69226,0.15437213,-7.673979,0.080617644,1.0,0.6049345,-29.686298,-87.50813,0.29894054,0.002344130802154541,1012.0733692646027,35000
291.8543,0.1316009,-7.6415725,0.07251609,1.0,4.0760694,-3.2538826,71.78633,1.0061872,-28.909122,-88.30255,0.23589812,301.2484,0.1951579,-7.6972365,0.0864321,1.0,0.52550477,-29.102276,-89.59688,0.21139893,0.0023636194705963136,1023.8914968967438,40000
297.21295,0.12446027,-7.6403475,0.072209895,1.0,3.4258137,-3.1413345,73.884026,0.6414444,-29.498352,-88.74298,0.22675839,282.82556,0.12908894,-7.7272525,0.09393607,1.0,0.97352874,-29.244015,-91.17462,0.23601855,0.0023420895576477052,1035.6019761562347,45000
299.44818,0.1666895,-7.620712,0.067300856,1.0,3.4047992,-4.119196,77.59054,0.6690193,-29.292942,-89.909134,0.3240952,308.4674,0.16501705,-7.6811023,0.082398534,1.0,0.3932156,-30.908485,-91.64957,0.29678416,0.0023146968364715576,1047.1754884719849,50000
