training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.8153598,-8.15416,0.815416,0.20066282,9.656008,0.9999438,-9.655466,1.0,0.99902534,0.06542969,0.005488449,-15.040102,-15.050384,-4.5214157,2.5376532,0.029921077,2.0815932e-07,0.01304703,-0.008719329,0.26951665,1.8156924,-8.156925,0.81569254,0.20135432,9.434014,0.9999999,-9.434014,1.0,0.99901867,0.0546875,0.0054690116,-14.868109,-14.878148,-4.597145,34.542484,0.04939606,4.7094014e-07,0.19182203364372252,959.1101865768433,5000
1.8081763,-8.103632,0.81036323,0.18803108,9.5865,0.9978131,-9.5655365,1.0,0.99903774,0.1171875,0.004972852,-15.042662,-15.05334,-4.1185966,10.712214,0.08416416,7.3451326e-07,0.012485836,-0.011738249,0.26925072,1.8133342,-8.143251,0.8143251,0.19793573,9.564422,0.99900913,-9.554945,1.0,0.9989891,0.09765625,0.0050380547,-15.147879,-15.15879,-3.986805,36.060013,0.1333676,1.1327717e-05,0.0029440874576568605,973.8306310176849,10000
1.7992721,-8.0167055,0.80167055,0.16629931,9.597997,0.9976015,-9.574977,1.0,0.99904156,0.13867188,0.004624854,-15.183002,-15.1942,-3.728865,12.621798,0.1409417,7.390771e-05,0.02936431,-0.016526418,0.34591168,1.8019445,-8.044071,0.8044071,0.17314069,9.573456,0.9975374,-9.549881,1.0,0.99900913,0.10253906,0.004803265,-15.200142,-15.21125,-3.8356113,41.49823,0.16690964,3.8538543e-05,0.002933141565322876,988.4963457584381,15000
1.7923598,-7.946862,0.7946862,0.14883843,8.963989,0.9976736,-8.943136,1.0,0.9990368,0.14160156,0.0044542793,-14.965887,-14.977055,-3.541789,14.743982,0.14712232,5.7353518e-05,0.017887847,-0.037076782,0.311167,1.7950075,-7.977036,0.7977036,0.15638205,9.865847,0.9973039,-9.839249,1.0,0.998991,0.109375,0.004850112,-14.904989,-14.915819,-3.8265905,55.010994,0.2084458,3.105522e-05,0.0029695475101470946,1003.3440911769867,20000
1.788516,-7.92422,0.792422,0.14317799,9.365103,0.9960941,-9.328525,1.0,0.9990425,0.17285156,0.0043296786,-15.052546,-15.063986,-3.3495426,43.75426,0.3018254,8.6994834e-05,0.010583555,-0.01110218,0.22872935,1.7919333,-7.9370685,0.7937069,0.14639017,9.530006,0.99822646,-9.513105,1.0,0.9990101,0.11425781,0.00477857,-14.981543,-14.992557,-3.7137654,39.493515,0.26278642,3.5934925e-05,0.002964973163604736,1018.1689641475677,25000
1.7840407,-7.872303,0.7872303,0.13019867,9.368816,0.9968103,-9.338934,1.0,0.99904823,0.2109375,0.0041989656,-15.125704,-15.137336,-3.2270904,40.065628,0.30585068,0.00013403317,0.020695338,-0.028636742,0.30689228,1.7880452,-7.9009256,0.7900926,0.13735434,9.800126,0.99795264,-9.780063,1.0,0.9990034,0.109375,0.004808954,-14.928997,-14.939938,-3.7361975,44.786472,0.21425802,3.9843308e-05,0.002927013635635376,1032.8040392398834,30000
1.7814077,-7.8660307,0.7866031,0.12863073,9.543378,0.9948046,-9.493797,1.0,0.9990463,0.20507812,0.0041310717,-15.294598,-15.306448,-3.1720684,46.18932,0.3495689,4.6752626e-05,0.021049218,-0.027633118,0.33655503,1.7865021,-7.91363,0.791363,0.14053044,9.767616,0.9951392,-9.720139,1.0,0.9989786,0.12890625,0.0048872316,-15.11548,-15.126662,-3.6769106,112.63549,0.6332708,4.041586e-07,0.002925936794281006,1047.4337298870087,35000
1.778839,-7.843794,0.78437936,0.12307129,9.396415,0.9944596,-9.344357,1.0,0.99904346,0.22070312,0.004093177,-15.276738,-15.288628,-3.114696,55.193527,0.3805468,8.464838e-05,0.046401095,-0.031799506,0.32579574,1.7839549,-7.8812895,0.7881289,0.13244528,9.772993,0.9958259,-9.732201,1.0,0.99899006,0.12402344,0.0047744876,-15.212371,-15.223729,-3.5930314,101.39012,0.42686808,6.166008e-06,0.002924272155761719,1062.0550966262817,40000
1.7787226,-7.8455377,0.78455377,0.123507395,9.679855,0.9941689,-9.623412,1.0,0.9990368,0.24804688,0.004019767,-15.430981,-15.443139,-2.9939537,62.320496,0.50958884,6.1985615e-05,0.026759358,-0.030242996,0.31957802,1.7862664,-7.8861194,0.78861195,0.13365279,10.244535,0.9976545,-10.220508,1.0,0.9990101,0.13085938,0.0047773393,-15.366961,-15.378245,-3.8226604,111.208015,0.30119315,1.9162642e-05,0.0029755874633789064,1076.9330427646637,45000
1.7809777,-7.855497,0.78554964,0.12599714,10.018621,0.99542814,-9.972818,1.0,0.99905014,0.23730469,0.003980899,-15.574927,-15.587201,-3.018722,67.5581,0.47630918,0.000121544836,0.014463966,-0.020906534,0.27510184,1.7855759,-7.8826876,0.7882688,0.13279493,9.715416,0.9973071,-9.689255,1.0,0.9990063,0.11816406,0.004840837,-15.472019,-15.483392,-3.8379421,90.76273,0.25064507,1.4783036e-05,0.0029453263759613036,1091.6596822738647,50000
