training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.3445349,-7.815117,2.344535,0.115902215,19.335775,0.9999999,-19.335775,1.0,1.4791968,0.0,-13.690013,-25.021254,4.655738,-4.1565857,69.80001,1.1058973,-13.0717945,-24.249048,0.07971286,3.342186,-7.807373,2.342212,0.1139662,19.288921,0.9999739,-19.28842,1.0,1.8319166,0.0,-13.621231,-24.939018,1.15121,-13.072741,-24.227442,0.12770429,0.22913879461288453,1145.694010734558,5000
3.329769,-7.7658963,2.329769,0.103597015,28.218084,0.99999994,-28.218084,1.0,2.0035303,0.0,-20.167202,-40.339474,12.010701,-11.983839,152.82922,1.4226058,-19.739847,-39.743896,0.10928267,3.3306494,-7.7688723,2.3306618,0.10434114,28.289942,0.9999875,-28.289589,1.0,2.5876741,0.07697153,-19.743158,-40.197197,0.72201496,-19.246208,-39.600754,0.1025541,0.0028607732772827146,1159.997883796692,10000
3.3140988,-7.713727,2.3141181,0.090554655,34.15233,0.9999807,-34.15167,1.0,2.273665,0.0,-23.095749,-52.336807,15.516176,-19.639942,200.95639,0.87015826,-22.688427,-51.897953,0.16024971,3.3239834,-7.746647,2.3239942,0.09878467,33.499374,0.99998933,-33.499016,1.0,2.5949383,0.0,-23.978825,-52.26146,0.64014566,-23.638348,-51.89295,0.1096184,0.0028575239181518556,1174.28551030159,15000
3.3076491,-7.692207,2.307662,0.08517462,34.991264,0.99998707,-34.99081,1.0,2.3859112,0.33023238,-25.631306,-61.48213,13.352463,-10.062812,140.80217,1.5651509,-25.196712,-61.088417,0.13716549,3.3241463,-7.747172,2.3241515,0.098915875,37.856087,0.99999475,-37.85589,1.0,2.0560274,0.0050313473,-25.946308,-61.689793,0.75167036,-25.458511,-61.242275,0.11914605,0.0028504290103912354,1188.5376629829407,20000
3.3020513,-7.673587,2.302076,0.080519624,37.840637,0.9999752,-37.8397,1.0,2.0589638,0.0,-26.201246,-68.55017,6.5309243,-7.2187057,96.82735,0.6336999,-25.80588,-68.27163,0.13017932,3.3085651,-7.695261,2.3085783,0.085938156,38.259552,0.99998695,-38.259052,1.0,1.7527757,0.098279,-27.62952,-68.55508,0.710736,-27.29049,-68.29,0.11402109,0.0028300640106201174,1202.6879897117615,25000
3.3012185,-7.6707993,2.30124,0.07982286,38.6363,0.9999786,-38.63547,1.0,1.7109088,0.0,-25.992714,-73.26849,4.2029195,-5.8986287,94.11892,0.77385324,-25.605644,-72.91018,0.112039015,3.3055847,-7.6853065,2.305592,0.08344963,40.9095,0.99999267,-40.9092,1.0,1.6951151,0.0,-27.614779,-73.462906,0.74554855,-27.251614,-73.30633,0.12091398,0.002833923053741455,1216.857611656189,30000
3.2989476,-7.663232,2.2989697,0.07793103,39.421963,0.9999778,-39.42109,1.0,2.0708914,0.0,-27.33962,-76.78566,9.297436,-6.673272,104.04527,0.77950644,-26.901417,-76.520805,0.11601283,3.314042,-7.7134733,2.314042,0.0904914,40.178017,1.0,-40.178017,1.0,3.0961013,0.0,-28.177845,-77.39268,0.85906523,-27.796944,-77.083374,0.13937436,0.0028456031799316407,1231.0856347084045,35000
3.294417,-7.648056,2.294417,0.074137,39.0978,1.0,-39.0978,1.0,1.6004298,0.012353659,-29.122623,-80.386925,7.429953,-7.770956,115.187225,0.9284246,-28.777319,-80.20531,0.12543344,3.3043919,-7.6813064,2.304392,0.08244954,40.515743,0.99999964,-40.515728,1.0,2.2291257,0.0,-28.525387,-80.94918,0.8784864,-28.182468,-80.70671,0.14800128,0.0028700615406036375,1245.4359488487244,40000
3.2968974,-7.656328,2.2968984,0.07620499,40.75411,0.999999,-40.754066,1.0,1.756058,0.0,-27.714443,-82.25225,7.447414,-6.2486224,103.10381,0.50381684,-27.314758,-82.04243,0.11235062,3.3085592,-7.695261,2.3085785,0.08593822,42.000565,0.9999807,-41.999752,1.0,1.5676885,0.2094475,-29.974144,-82.31371,0.6137117,-29.619755,-82.139595,0.13792455,0.0028493716716766356,1259.6828153133392,45000
3.2908092,-7.636055,2.2908165,0.07113672,41.46956,0.99999267,-41.469254,1.0,1.5182449,0.0,-29.0372,-83.89835,4.259137,-6.306858,76.24559,0.664595,-28.718502,-83.68272,0.11020602,3.3046882,-7.6823153,2.3046947,0.08270179,40.490395,0.99999356,-40.490135,1.0,1.6740141,0.0,-28.3721,-83.21131,0.6660946,-28.004221,-83.053665,0.1141878,0.0028492656707763673,1273.9291505813599,50000
