training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
156.53134,0.08242038,-7.95957,0.15201534,1.0,3.320108,-4.456917,91.49792,0.5323355,-12.824918,-25.596066,0.21902755,184.3292,0.089197345,-7.925471,0.14349064,1.0,0.707682,-12.649318,-25.583454,0.22846761,0.1895150842666626,947.5754625797272,5000
266.18735,0.19987418,-7.87076,0.12981293,1.0,10.884176,-8.236235,137.61389,0.5786201,-18.861217,-43.387527,0.29449937,235.29482,0.11869206,-7.8904786,0.13474269,1.0,0.6932112,-18.39037,-43.478592,0.32578272,0.0024809221744537353,959.9801073074341,10000
274.14825,0.14898556,-7.811388,0.11496994,1.0,3.7683864,-3.1370418,87.937065,0.67427826,-21.229156,-58.4224,0.26226312,296.0509,0.16662678,-7.8371854,0.121419296,1.0,0.5452696,-22.223213,-58.121086,0.30793962,0.0024969962120056153,972.4651234149933,15000
320.75586,0.1705963,-7.7878046,0.10907424,1.0,5.667614,-5.6253,104.4036,0.36318314,-23.42405,-69.32385,0.29309487,305.04794,0.12959605,-7.832394,0.120221555,1.0,0.49573922,-23.652386,-69.44437,0.2732008,0.002497211456298828,984.951212644577,20000
317.67856,0.18620811,-7.76453,0.10325544,1.0,6.5417647,-6.0111437,104.29123,0.4298113,-23.677727,-77.926674,0.2868563,327.4427,0.15691811,-7.775822,0.1060785,1.0,0.385106,-25.291613,-78.42197,0.2700434,0.002448481845855713,997.1936554908752,25000
314.8239,0.120148644,-7.7844963,0.10824709,1.0,10.858862,-6.730304,133.2428,0.49081266,-23.327024,-82.12729,0.2628312,294.1839,0.13396302,-7.7955503,0.11101061,1.0,0.9675398,-24.896229,-83.22298,0.24117288,0.002444609355926514,1009.4167339801788,30000
312.46146,0.16355415,-7.7504115,0.09972584,1.0,6.9847345,-11.282374,123.70471,0.48584414,-24.250248,-85.3208,0.28536668,294.791,0.14622174,-7.8245344,0.118256494,1.0,0.59591866,-25.216919,-86.593185,0.24242601,0.002426566457748413,1021.5495946407318,35000
325.53046,0.18060938,-7.7512274,0.09992977,1.0,4.747028,-6.5324845,91.045,0.46998638,-26.009792,-88.991104,0.2744463,302.0432,0.16422941,-7.7871504,0.10891058,1.0,0.4351672,-25.405117,-84.62686,0.3450844,0.0025669779300689696,1034.3845150470734,40000
298.66327,0.1505588,-7.7299595,0.09461289,1.0,7.6216407,-6.6673765,109.01662,0.61999017,-24.509924,-86.05936,0.30242485,316.1818,0.12880197,-7.792655,0.110286735,1.0,0.39698225,-26.837364,-84.12822,0.30769637,0.0025424273014068603,1047.096680879593,45000
315.094,0.1491741,-7.759966,0.10211439,1.0,8.975745,-8.0492525,115.204285,0.33232185,-25.789612,-86.02324,0.26998997,330.60062,0.19263606,-7.776479,0.10624276,1.0,0.41611224,-25.064514,-86.54058,0.29757065,0.0024178266525268556,1059.1858479976654,50000
313.77643,0.2026304,-7.73746,0.09648808,1.0,4.0563707,-5.5386677,87.22068,0.53890514,-24.369862,-86.091255,0.28006083,308.68625,0.16479906,-7.7587705,0.1018156,1.0,0.36204872,-25.25375,-86.592224,0.32598025,0.0024268914699554444,1071.3203358650208,55000
299.85754,0.093849145,-7.7478046,0.09907412,1.0,4.749361,-6.630399,100.454575,0.44420683,-26.000788,-85.855736,0.25102705,310.69977,0.18558924,-7.750745,0.09980926,1.0,0.38176107,-25.677261,-86.06689,0.2545123,0.0025040019512176516,1083.840374469757,60000
