training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
57.34952,-53.825867,453.7763,369.28055,2.7740498,-10.537923,0.2697075,1.0,168.00461,0.17222807,-7.833899,0.120597765,1.0,0.020154275,-14.824476,-25.268059,0.7469694,365.99686,2.814911,-10.711392,0.3044014,1.0,189.87746,0.17117822,-7.821737,0.11755714,1.0,0.085757166,-14.005302,-25.344547,0.9704698,0.2687239966392517,1343.6200568675995,5000
38.04004,-41.011208,451.9382,476.6792,3.8974824,-10.577364,0.27759567,1.0,146.4902,0.11390856,-7.7394505,0.09698557,1.0,0.08086268,-20.849451,-42.203514,0.87274146,469.33588,3.602469,-10.380922,0.23830755,1.0,139.19327,0.11858625,-7.75352,0.10050289,1.0,0.09876862,-20.515514,-42.116364,0.7886951,0.003624040412902832,1361.740266084671,10000
48.715935,-59.421093,580.8794,563.4387,4.172621,-10.394588,0.2410407,1.0,187.7091,0.10292891,-7.733163,0.09541361,1.0,0.021484125,-22.862514,-55.19709,1.3534961,561.3933,3.9893575,-10.447916,0.2517061,1.0,184.36768,0.012345133,-7.738791,0.09682071,1.0,0.028913252,-24.061798,-55.21724,1.2641048,0.003482828712463379,1379.154418706894,15000
28.911018,-22.162006,379.7345,529.35205,3.8130147,-10.275651,0.21725312,1.0,166.71259,0.10951967,-7.7424536,0.09773627,1.0,0.0713068,-26.585842,-65.35897,1.0264097,538.72797,3.9195547,-10.192444,0.20061171,1.0,178.90364,0.1790687,-7.7278724,0.09409108,1.0,0.07252017,-26.31824,-65.32352,0.95192784,0.003955052137374878,1398.9296867847443,20000
30.380577,-16.163334,419.54044,591.95056,4.651658,-10.103807,0.18288445,1.0,190.23969,0.24297991,-7.7177978,0.09157237,1.0,0.00668196,-26.809216,-73.10099,1.0560966,576.2723,4.24976,-10.182917,0.19870631,1.0,188.22534,0.22298038,-7.7110395,0.08988285,1.0,0.036448523,-27.239231,-73.10825,0.889725,0.003483763313293457,1416.348510980606,25000
50.536438,-34.95629,433.92358,575.8126,4.3070135,-10.193186,0.20076004,1.0,175.39876,0.23525935,-7.695922,0.08610346,1.0,0.056743696,-28.137676,-78.774185,0.9851996,563.1122,3.8687768,-10.102446,0.18261209,1.0,164.96985,0.14639242,-7.684842,0.08333355,1.0,0.048789892,-29.644848,-78.77765,1.2774574,0.0035873475551605224,1434.285257101059,30000
28.146559,-23.820206,312.14246,573.0942,4.1503882,-10.142714,0.19066568,1.0,172.67723,0.19991475,-7.657139,0.07640778,1.0,0.23348477,-27.813799,-83.117455,1.5043421,591.20496,4.5394645,-10.011359,0.16439472,1.0,181.25961,0.2677064,-7.6806335,0.0822814,1.0,0.09426135,-28.729269,-83.15157,1.066181,0.003554210662841797,1452.0563180446625,35000
40.130653,-25.70688,364.80588,585.16785,4.3844705,-10.072997,0.17672245,1.0,162.59435,0.20275426,-7.693083,0.08539361,1.0,0.033032373,-30.676517,-85.13338,1.1361009,579.8995,4.4589396,-10.093309,0.18078488,1.0,186.86191,0.33818445,-7.720957,0.09236218,1.0,0.06504448,-29.476006,-85.583694,1.2135278,0.0034649497985839843,1469.3810739517212,40000
18.841572,-13.403006,266.80334,597.7218,4.574741,-10.100712,0.18226537,1.0,162.62885,0.073916465,-7.6782484,0.08168507,1.0,0.08622314,-29.3028,-87.80416,1.2246841,579.4869,4.2501545,-10.138306,0.18978417,1.0,196.24173,0.32099578,-7.6974473,0.08648472,1.0,0.01132039,-29.109108,-87.5996,1.2114127,0.003426579189300537,1486.5139768123627,45000
15.944094,-16.23837,289.37354,608.375,4.69439,-10.127904,0.18770377,1.0,162.5094,0.15878366,-7.6881166,0.08415218,1.0,0.007824928,-31.45494,-89.507126,1.1371638,573.0066,4.385988,-10.061474,0.17441761,1.0,187.99829,0.21436816,-7.705497,0.088497214,1.0,0.0031390898,-30.64492,-89.352905,1.6473129,0.0035392905712127685,1504.2104377746582,50000
11.875065,-6.714159,225.63162,574.1737,4.3365574,-9.965057,0.15513456,1.0,185.52734,0.25911736,-7.6870227,0.08387861,1.0,0.05541939,-31.058292,-90.5228,0.89014494,568.6957,4.308996,-9.989347,0.15999244,1.0,170.1546,0.30668694,-7.711327,0.08995475,1.0,0.028383546,-30.415874,-90.25578,1.0556014,0.0034683795928955076,1521.5523428916931,55000
57.73295,-35.949913,414.58136,581.60724,4.564019,-10.000639,0.16225074,1.0,173.37956,0.2750838,-7.6626825,0.07779357,1.0,0.14814359,-29.662197,-92.02292,1.0083632,595.3992,4.3800154,-10.017811,0.16568504,1.0,175.85889,0.19048676,-7.694037,0.08563222,1.0,0.10741856,-30.733736,-91.26686,1.3095412,0.0034925607204437255,1539.0151536464691,60000
18.517117,-35.608433,378.23315,591.82007,4.632325,-9.955523,0.15322757,1.0,169.58687,0.2934118,-7.658213,0.07667629,1.0,0.28963947,-31.172062,-92.79007,1.4017324,570.14954,4.310163,-9.889345,0.13999192,1.0,176.93253,0.32576758,-7.695569,0.086015165,1.0,0.18516296,-31.397636,-92.00866,1.3328469,0.0035012993812561033,1556.5216574668884,65000
18.270382,-15.15556,234.5741,582.9761,4.412649,-9.881607,0.13844423,1.0,160.3724,0.18274361,-7.6386957,0.07179697,1.0,0.15392487,-32.12107,-93.26472,1.0823009,563.69446,4.426587,-9.959522,0.15402739,1.0,180.56839,0.29842162,-7.712388,0.09021987,1.0,0.13399826,-31.613674,-93.75367,1.1187506,0.0034358697414398195,1573.7010159492493,70000
115.10942,-161.85123,785.0592,600.73474,4.6169715,-10.166621,0.19544724,1.0,179.40434,0.33437896,-7.6446886,0.07329522,1.0,0.12057072,-31.255426,-93.093735,1.4179792,589.707,4.395692,-10.187896,0.19970207,1.0,179.13097,0.24439906,-7.7096877,0.089544915,1.0,0.07721394,-30.241781,-94.44257,1.5499356,0.003442143154144287,1590.911738872528,75000
43.55093,-45.32343,435.74133,586.09534,4.166399,-10.161659,0.19445466,1.0,179.29935,0.2697443,-7.6552143,0.07592644,1.0,0.086814485,-32.133682,-94.07589,1.666528,577.08875,4.1177707,-10.145774,0.19127767,1.0,179.54424,0.06348632,-7.723816,0.09307693,1.0,0.11851232,-29.467188,-94.34544,1.8124626,0.0034666976928710938,1608.245234489441,80000
