training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0234001,-7.800002,0.023400009,0.11212352,351.92578,1.0,-351.92578,1.0,2.6928406,182.8477,-173.25748,1565.8958,98.03963,1073.1624,622.8424,3.1624637,6.703779,10.994138,2.6490269,0.017672472,7.261007,-48.313133,98.40269,146.71582,1.0234089,-7.8029594,0.023408879,0.11286287,342.88446,1.0,-342.88446,1.0,2.668343,105.13849,1061.8528,607.218,0.5864301,6.1880918,11.56989,2.6371474,0.07951811,7.263318,-44.582912,105.50165,150.08456,0.2039217411994934,1019.608726978302,5000
1.0233638,-7.78796,0.02336388,0.10911299,237.57735,1.0,-237.57735,1.0,1.5595927,173.56778,-180.29333,1860.1251,151.78818,1029.9591,458.85294,1.2747755,1.5484538,6.801523,1.5421237,0.041503634,34.767902,-52.0981,153.52657,205.62466,1.0232267,-7.742235,0.023226706,0.09768181,243.17023,1.0,-243.17023,1.0,1.6122521,166.8322,1033.566,432.9291,1.2290219,1.5579128,7.331842,1.5782101,0.025596473,34.778465,-52.442894,168.5711,221.014,0.005975808048248291,1049.4877758026123,10000
1.0236113,-7.870429,0.023611289,0.12973028,156.15884,1.0,-156.15884,1.0,0.9792453,462.45435,-499.19125,3315.3967,235.93301,731.78796,294.4241,0.98854417,0.3905596,4.442065,1.0647099,0.008570522,151.4599,-51.581123,243.50601,295.08713,1.023769,-7.9230013,0.023769006,0.14287335,164.3692,1.0,-164.3692,1.0,1.0013641,247.90771,693.15125,277.97025,0.68026537,0.35003805,5.2741623,1.0438696,0.006902169,151.50339,-45.45678,255.48288,300.93967,0.0059889187335968016,1079.4323768615723,15000
1.0237305,-7.910189,0.023730569,0.13967022,115.80906,1.0,-115.80906,1.0,0.7245143,145.3972,-104.284676,1284.4857,306.752,549.42725,203.20067,0.4341818,0.07740342,2.608204,0.79116064,0.011178553,488.29996,-13.381088,331.167,344.5481,1.0237482,-7.916058,0.023748172,0.14113736,116.59468,0.99999994,-116.59468,1.0,0.74041706,298.61847,538.8233,211.46689,0.787573,0.062878825,2.7844584,0.7859802,0.010360013,488.37936,-6.289752,323.0374,329.32718,0.005991596984863281,1109.3903698921204,20000
1.0237421,-7.9140167,0.02374205,0.1406271,109.69406,1.0,-109.69406,1.0,0.65834415,245.55772,-263.13788,1872.8772,313.13632,486.7711,195.18283,1.0586784,0.05104291,2.9730957,0.74668324,0.005817606,617.41943,-0.64391285,344.0073,344.6512,1.0238367,-7.945573,0.023836717,0.14851612,108.87082,1.0,-108.87082,1.0,0.652257,315.0589,522.4558,193.36742,0.5349055,0.05716493,2.7548895,0.7640853,0.006280658,617.3929,-4.4235764,345.92853,350.3521,0.005979616260528564,1139.2884595394135,25000
1.023896,-7.965331,0.023895994,0.15345573,108.19024,1.0,-108.19024,1.0,0.5996947,116.24135,-106.44136,1061.8436,315.71875,533.9066,192.53632,0.5744971,0.04519268,2.3498702,0.7295965,0.009980519,619.7363,2.9792705,346.70557,343.7263,1.0238702,-7.9567223,0.023870166,0.15130353,112.18668,1.0000001,-112.18668,1.0,0.6097672,316.0822,486.17136,192.0505,0.36368245,0.04207671,2.1882586,0.755412,0.0064686593,619.8067,4.910908,347.07257,342.16165,0.0059840018749237065,1169.2084817886353,30000
1.0239853,-7.9950843,0.023985252,0.16089398,108.8369,1.0,-108.8369,1.0,0.58406913,95.59529,-72.28995,965.4988,308.89212,520.6799,199.76758,0.96614903,0.04234194,2.6201797,0.74175507,0.0035132857,618.9035,4.7396007,339.83728,335.0977,1.0239984,-7.999472,0.023998417,0.16199091,112.50233,0.99999994,-112.50233,1.0,0.60468626,313.13263,518.1684,195.35605,0.74321795,0.04836605,2.4159675,0.73817384,0.010752328,618.9254,1.0112929,344.0789,343.0676,0.0059794811725616456,1199.1058959960938,35000
1.0239286,-7.9762144,0.023928642,0.15617654,115.985344,1.0,-115.985344,1.0,0.5827935,177.6075,-205.65544,1497.3838,309.93097,526.56635,199.20258,0.97879976,0.06371249,2.6246772,0.7907075,0.0051807426,620.1099,-8.503252,340.93646,349.43973,1.0239171,-7.972344,0.02391703,0.15520895,111.25995,1.0,-111.25995,1.0,0.56847066,309.2832,512.6745,199.67221,0.87471086,0.043551024,2.2197368,0.7594068,0.010241864,620.1011,3.9990175,340.28827,336.28925,0.005981151103973389,1229.0116608142853,40000
1.0239455,-7.981811,0.023945434,0.15757576,117.2497,1.0,-117.2497,1.0,0.5678297,167.38426,-147.50143,1437.0878,309.71365,507.56006,199.13268,0.25823727,0.060449004,3.636747,0.7703749,0.019285042,619.7564,-6.4758368,340.70148,347.1773,1.0239661,-7.988705,0.023966115,0.15929925,113.97664,1.0,-113.97664,1.0,0.55437374,308.80273,513.62384,200.06479,0.6760328,0.05774932,2.4926183,0.7596609,0.00880781,619.81256,-4.8031254,339.79337,344.5965,0.005977490282058716,1258.8991208076477,45000
1.0238694,-7.956476,0.02386943,0.1512421,109.82074,1.0,-109.82074,1.0,0.56446505,148.00717,-153.39172,1131.7291,308.1051,516.81177,200.96161,0.617933,0.05532863,2.6089747,0.7653002,0.005486881,619.93317,-3.3033938,339.10175,342.40515,1.0239698,-7.9899197,0.02396976,0.15960297,114.48261,1.0,-114.48261,1.0,0.5310164,300.13367,493.97098,209.38013,1.2502987,0.054728728,2.7835917,0.77995706,0.0053627775,619.92426,-2.9314525,331.12988,334.06134,0.005980168294906617,1288.7999691963196,50000
1.0238485,-7.9495144,0.023848545,0.14950147,112.23438,1.0,-112.23438,1.0,0.51811063,160.33247,-162.44508,1281.2904,310.85583,515.0002,198.02193,0.28763878,0.04598642,2.3240445,0.7653516,0.0042394716,622.61804,2.4989269,341.98676,339.48782,1.0239198,-7.973293,0.023919879,0.1554462,114.73296,1.0,-114.73296,1.0,0.5345808,312.67212,520.14874,196.22144,0.11835208,0.039779145,2.3715112,0.74147373,0.00843002,622.6231,6.363741,343.80328,337.43954,0.005981288051605225,1318.7064173221588,55000
1.0237569,-7.918936,0.023756808,0.1418569,109.53505,1.0,-109.53505,1.0,0.49997383,134.84444,-149.5185,1207.8156,306.43445,527.5663,202.89293,0.2422091,0.059515223,2.5431447,0.7674648,0.006346827,620.89105,-5.907916,337.47897,343.3869,1.0238124,-7.9374766,0.023812432,0.14649217,115.56026,1.0,-115.56026,1.0,0.51303095,306.11487,537.3663,202.82776,0.29609153,0.054396346,2.6048994,0.7477968,0.0065582455,620.9343,-2.7298417,337.1616,339.89142,0.005982201957702636,1348.6174340248108,60000
1.0237745,-7.924843,0.023774527,0.14333364,115.99839,0.99999994,-115.99839,1.0,0.5022524,91.25064,-102.97901,835.18445,308.7504,515.8569,200.1058,0.3924754,0.041230097,2.3147242,0.747957,0.013264067,621.229,5.448118,339.81186,334.36374,1.02379,-7.929988,0.023789965,0.14461988,114.61565,1.0,-114.61565,1.0,0.48284447,305.68936,519.4501,203.56071,0.5700574,0.045642342,2.5506437,0.7722881,0.010715101,621.15967,2.7068017,336.74734,334.04056,0.0059818460464477535,1378.5266726016998,65000
1.023725,-7.908338,0.023725012,0.13920738,111.56318,1.0,-111.56318,1.0,0.47776678,176.19452,-158.44742,1324.8352,311.898,547.86566,196.7591,1.5280553,0.041986108,2.4537163,0.75898606,0.0047935615,622.5483,4.989035,343.02542,338.03638,1.0237038,-7.901266,0.023703799,0.13743955,118.02632,1.0,-118.02632,1.0,0.47489178,307.95844,512.25134,200.80344,0.5595153,0.047623053,2.638354,0.7597975,0.003939513,622.5263,1.4797124,339.08475,337.60504,0.005982390165328979,1408.4386324882507,70000
1.0236994,-7.8997917,0.023699377,0.137071,113.008316,1.0,-113.008316,1.0,0.48269987,132.80244,-137.84067,1217.5284,307.10135,526.0101,202.35464,0.2925232,0.049637556,2.3698893,0.7588496,0.0048230095,620.2016,0.22478877,338.11142,337.88663,1.0237787,-7.926233,0.0237787,0.14368112,109.34098,1.0,-109.34098,1.0,0.48706126,309.08868,479.43307,199.55057,0.59958273,0.05732582,2.51045,0.7809656,0.0049417163,620.24835,-4.543828,340.1011,344.64493,0.005980650520324707,1438.3418941497803,75000
1.0235819,-7.860615,0.023581844,0.12727666,110.39122,1.0,-110.39122,1.0,0.44567192,96.38427,-114.83345,936.1121,313.41867,541.7923,195.21832,0.392403,0.050946616,2.6598454,0.7566988,0.0036447581,624.36383,-0.5910321,344.63687,345.2279,1.0235758,-7.8585763,0.023575727,0.126767,111.2302,1.0,-111.2302,1.0,0.45179188,306.04535,549.37164,202.95769,0.35515922,0.05028502,2.3351486,0.7610832,0.0034355365,624.33997,-0.17794828,337.26236,337.4403,0.005979799509048462,1468.24090051651,80000
1.0235188,-7.839593,0.023518778,0.122021094,118.56982,1.0,-118.56982,1.0,0.4339993,145.65938,-144.38481,1285.1085,303.0852,544.1576,206.67236,0.32237676,0.051414642,2.413667,0.78047484,0.008577844,623.7333,-0.88235915,334.27188,335.15424,1.0235816,-7.8605223,0.023581568,0.12725349,112.012955,1.0,-112.012955,1.0,0.42867023,309.4485,524.34076,199.35736,0.27020398,0.059358068,2.8759742,0.7804285,0.008777944,623.75916,-5.83718,340.63644,346.47363,0.005980646276473999,1498.1441395282745,85000
