training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
5.151918,-8.050369,213.40446,371.8042,1.7981076,-10.336622,0.22944736,1.0,157.43138,0.12289131,-7.797018,0.11137748,1.0,0.36626774,-14.047022,-28.077082,0.56526643,3.4182293,379.61078,1.8480253,-10.352654,0.23265386,1.0,177.38834,0.15936804,-7.8276052,0.11902422,1.0,0.3402948,-14.434395,-28.070807,0.5892864,2.0662482,0.206982817029953,1034.9140992164612,5000
29.256477,-25.730682,495.6914,479.6134,2.7823486,-9.956474,0.15341775,1.0,145.45132,0.1618272,-7.7179565,0.09161219,1.0,0.28057832,-22.380157,-45.17348,0.3340237,3.3123276,465.59644,2.5879862,-9.997524,0.16162765,1.0,142.52681,0.044171326,-7.736288,0.096195,1.0,0.36175758,-21.533958,-45.07804,0.30518034,2.2577593,0.015331032037734985,1111.5692703723907,10000
42.547966,-71.56701,531.9782,524.2383,3.0291808,-9.972956,0.15671425,1.0,160.06801,0.052819308,-7.6903152,0.08470181,1.0,0.057411063,-26.10362,-58.2675,0.19548169,3.1393104,559.8499,3.0413244,-10.010914,0.16430579,1.0,175.2982,0.1452786,-7.731699,0.095047705,1.0,0.011092786,-25.381119,-58.336605,0.18225081,2.4851706,0.01580852541923523,1190.6119058132172,15000
29.354298,-30.648165,394.40143,531.35016,2.8478155,-9.953894,0.15290172,1.0,186.83365,0.19160211,-7.689331,0.08445573,1.0,0.18844283,-25.957605,-67.808655,0.19042674,3.0063336,536.0328,2.7172923,-10.028814,0.16788597,1.0,168.6881,0.09338945,-7.719277,0.091942266,1.0,0.11005624,-26.704275,-67.69045,0.1833424,3.8210573,0.01584176230430603,1269.8207278251648,20000
20.616148,-27.74845,359.5792,541.39087,3.1987033,-9.883987,0.13892032,1.0,185.04634,0.27703965,-7.6675406,0.0790081,1.0,0.27392146,-28.485071,-74.71561,0.22815624,3.1462588,552.3465,3.0596611,-9.98513,0.15914898,1.0,171.48878,0.15244879,-7.6962667,0.08618964,1.0,0.40869552,-26.235815,-74.00946,0.22131479,4.570535,0.015770289087295532,1348.6721823215485,25000
62.02646,-82.881516,554.04224,553.3085,3.371432,-10.06202,0.17452708,1.0,183.9473,0.2126586,-7.664244,0.07818392,1.0,0.05283937,-29.662872,-80.65473,0.27997816,3.2142382,577.5376,3.4057803,-10.004198,0.16296254,1.0,168.44186,0.19510782,-7.7317467,0.095059544,1.0,0.08749999,-27.949213,-80.64893,0.2538991,5.649047,0.015756064462661742,1427.4525156021118,30000
48.218502,-52.02813,471.63095,543.8599,3.1211345,-9.947229,0.15156882,1.0,168.57385,0.22421727,-7.66043,0.077230416,1.0,0.2034361,-28.94184,-85.214806,0.3063334,3.5123386,583.12933,3.3229127,-10.001158,0.16235445,1.0,168.06644,0.23267919,-7.703779,0.088067695,1.0,0.16295597,-29.425505,-85.390076,0.29725337,4.269332,0.01574510440826416,1506.1780483722687,35000
43.3237,-34.144302,449.5652,550.9679,3.2414951,-9.8967905,0.14148109,1.0,175.96286,0.25978035,-7.6366806,0.071293145,1.0,0.18949431,-31.088978,-88.2632,0.34701097,3.74936,557.99915,3.2880352,-9.97756,0.15763502,1.0,160.78394,0.19438085,-7.701861,0.08758827,1.0,0.20230785,-30.817108,-87.97201,0.33176684,5.17751,0.015776476192474364,1585.0604395866394,40000
24.823486,-36.60679,391.36874,588.2742,3.310506,-9.86006,0.13413489,1.0,192.58853,0.34914875,-7.645177,0.07341722,1.0,0.32178724,-33.405582,-91.36384,0.37970874,3.0216146,601.7496,3.7333236,-10.000526,0.16222815,1.0,191.6481,0.26944625,-7.676272,0.081190914,1.0,0.31127453,-31.340406,-91.471535,0.36875412,3.7552798,0.01577742986679077,1663.9476017951965,45000
15.067076,-16.626204,341.29865,559.19635,3.5380335,-9.835293,0.12918155,1.0,166.27344,0.26814973,-7.6318703,0.07009053,1.0,0.43235868,-34.68407,-94.07531,0.398752,3.20533,581.1676,3.3962483,-9.965118,0.15514664,1.0,162.22896,0.23828624,-7.693364,0.08546398,1.0,0.3431066,-32.62367,-92.913376,0.39836568,3.7445307,0.01573432035446167,1742.619213104248,50000
