training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.7831155,-7.8627224,0.7862723,0.1278036,5.962306,0.9968432,-5.9434853,1.0,0.9990368,0.107421875,0.0057090037,-10.419836,-10.425329,-4.801466,4.4208727,0.09047943,1.2921536e-06,0.01312117,-0.008912293,0.24708208,1.7838991,-7.9022226,0.7902223,0.13767865,5.9517965,0.99367684,-5.914163,1.0,0.9988594,0.045898438,0.006325597,-9.8296795,-9.834584,-4.8133764,17.246172,0.15091133,4.9929277e-08,0.19113096857070924,955.6548907756805,5000
1.772177,-7.803681,0.7803681,0.11304308,5.8271074,0.99180895,-5.779378,1.0,0.9990463,0.12207031,0.005465123,-10.488108,-10.493877,-4.5853186,5.0845494,0.14565143,8.5982697e-07,0.025063124,-0.017298544,0.31621745,1.7703999,-7.835516,0.78355163,0.121002,5.805715,0.9868483,-5.729361,1.0,0.9986782,0.048828125,0.006394185,-10.232069,-10.23751,-4.667139,701.1447,0.95697546,5.569147e-10,0.0029300671100616453,970.3052349090576,10000
1.7517773,-7.7710586,0.7771058,0.10488758,5.429312,0.9746715,-5.2917967,1.0,0.9990368,0.15917969,0.0051485556,-10.600222,-10.606538,-4.1387663,22.240774,0.29787824,7.343715e-06,0.016493872,-0.015970303,0.25765938,1.7425308,-7.8145504,0.78145504,0.115760595,5.7374306,0.96107584,-5.5141068,1.0,0.99833107,0.06542969,0.0072937207,-10.327874,-10.333736,-4.3302174,14766.758,20.877895,3.5059652e-06,0.002928895854949951,984.9497208595276,15000
1.7467589,-7.770065,0.7770065,0.104639225,5.4443197,0.9697525,-5.2796435,1.0,0.9990635,0.16210938,0.0051441425,-10.575878,-10.582195,-4.1130285,16.532578,0.34929127,2.795706e-06,0.019293359,-0.011017229,0.21079142,1.7457716,-7.799117,0.77991176,0.11190223,5.667579,0.9658599,-5.474088,1.0,0.9985266,0.06640625,0.006544456,-10.482378,-10.488336,-4.3876724,13803.568,26.651604,7.716482e-06,0.002927974557876587,999.589601278305,20000
1.763416,-7.751852,0.7751852,0.10008606,5.4898977,0.9882309,-5.4252872,1.0,0.9990349,0.15039062,0.0052423063,-10.559506,-10.565633,-4.2918186,18.050093,0.20135,1.1219282e-05,0.02617377,-0.015605184,0.25932288,1.7453828,-7.8081503,0.78081506,0.11416054,5.722238,0.9645678,-5.5194874,1.0,0.9983139,0.068359375,0.007286978,-10.268761,-10.274661,-4.2325525,2116.8447,7.2453394,6.9603793e-06,0.002931766223907471,1014.2484390735626,25000
1.7577747,-7.756795,0.77567947,0.101321645,5.467456,0.98209524,-5.369563,1.0,0.99905396,0.17089844,0.005086341,-10.776724,-10.783197,-4.1549015,21.306479,0.24567324,1.5912607e-05,0.025197465,-0.015713055,0.27322772,1.7563957,-7.79323,0.7793231,0.11043062,5.7003946,0.9770726,-5.5697002,1.0,0.9986353,0.091796875,0.0060998625,-10.518253,-10.524339,-4.2928023,649.7299,0.725325,7.345507e-08,0.0029294590950012206,1028.8957424163818,30000
1.75618,-7.737894,0.77378947,0.09659657,5.6011853,0.9823905,-5.502552,1.0,0.99905014,0.1484375,0.0051096645,-10.76337,-10.7698,-4.184847,16.817148,0.2530015,7.636291e-06,0.009651173,-0.015933577,0.21554464,1.738281,-7.777105,0.77771044,0.10639912,5.629664,0.96057063,-5.4076905,1.0,0.9982834,0.072265625,0.0068275435,-10.619095,-10.625456,-4.1098146,1915.09,5.040811,1.1688184e-06,0.0029313082218170167,1043.5522906780243,35000
1.7579937,-7.718766,0.7718766,0.09181454,5.342362,0.9861172,-5.268196,1.0,0.9990492,0.18945312,0.004795528,-11.002558,-11.009525,-3.8742604,11.411644,0.22757705,1.619107e-05,0.021879466,-0.018996974,0.26495,1.7452767,-7.785689,0.77856886,0.10854517,5.5694213,0.96670777,-5.3840036,1.0,0.9985504,0.083984375,0.006345703,-10.340462,-10.3464575,-4.2080717,1466.6647,3.0671406,6.6516236e-08,0.0029350643634796143,1058.2276196479797,40000
1.7511748,-7.746443,0.77464426,0.0987336,5.398526,0.97653055,-5.2718267,1.0,0.99906826,0.18164062,0.0049734283,-10.832899,-10.839617,-3.9604259,22.980888,0.32206073,1.597385e-05,0.021686947,-0.022723522,0.2576601,1.7554595,-7.802538,0.78025377,0.11275737,5.8246307,0.9752057,-5.680214,1.0,0.9986601,0.07714844,0.006389058,-10.505689,-10.511721,-4.3351536,1092.5521,2.0713818,4.6033602e-08,0.002934219741821289,1072.898725271225,45000
1.7511263,-7.7282953,0.7728295,0.09419674,5.3882713,0.97829676,-5.2713294,1.0,0.9990778,0.19140625,0.004886035,-11.10124,-11.108271,-3.9100056,71.88659,0.40002725,3.5156818e-06,0.021748982,-0.01582407,0.24807103,1.7434227,-7.7656555,0.77656555,0.10353687,5.593299,0.9668572,-5.4079223,1.0,0.998559,0.10058594,0.0065849195,-10.752327,-10.758689,-4.2435856,480.4681,2.1700294,4.5946172e-07,0.002932767629623413,1087.5625717639923,50000
