training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
23.352358,-15.142719,377.337,333.50406,2.0555274,-9.886787,0.13948055,1.0,141.28403,0.03489493,-7.8055067,0.11349959,1.0,1.0610526,-16.743238,-27.194365,3.5145354,4.652644,348.4074,1.8980478,-9.821449,0.12641291,1.0,153.67075,0.11581133,-7.8154807,0.11599319,1.0,0.3905194,-16.68479,-27.188957,3.4732122,3.4358513,0.20203226990699769,1010.1613638401031,5000
46.237526,-40.547565,711.9791,386.91284,2.5746293,-9.744017,0.110926084,1.0,198.77995,0.064469315,-7.7068477,0.08883484,1.0,0.19867264,-26.531866,-44.34466,6.730212,6.3793902,410.44928,2.6138592,-9.748023,0.11172753,1.0,237.8302,0.21529073,-7.746604,0.098774,1.0,0.2543889,-26.593176,-44.397816,6.870289,7.206257,0.013408120822906494,1077.2019793987274,10000
76.08198,-91.509346,783.2838,455.45328,3.0513725,-9.710433,0.104209684,1.0,215.59824,0.181623,-7.705113,0.08840121,1.0,0.3932073,-32.80083,-57.356144,10.294708,10.79723,465.25296,2.833305,-9.731847,0.10849223,1.0,206.64568,0.1318515,-7.724969,0.09336525,1.0,0.20014986,-33.89233,-57.431778,10.986016,14.937481,0.014926741409301758,1151.8356969356537,15000
191.6958,-278.87628,2125.3,513.1006,3.3941584,-9.64762,0.09164696,1.0,179.71217,0.13433288,-7.6757684,0.081065096,1.0,0.21572223,-39.69462,-68.074394,14.347565,18.414688,504.1162,3.093831,-9.658159,0.09375477,1.0,175.22821,0.07319531,-7.7138276,0.090579875,1.0,0.27474812,-38.380154,-67.85998,14.013801,25.824451,0.015321432638168335,1228.44286942482,20000
103.92958,-72.53541,977.6573,533.20105,3.1658278,-9.672191,0.09656105,1.0,182.41187,0.15668304,-7.666069,0.07864028,1.0,0.31466758,-41.77282,-76.40502,16.365725,11.659525,556.81104,3.2900274,-9.678843,0.09789135,1.0,184.76254,0.21186285,-7.736929,0.096355274,1.0,0.37844074,-41.173782,-76.4883,15.888213,11.326664,0.015428243255615235,1305.5840992927551,25000
256.6854,-209.80457,1591.5867,546.05493,3.3911636,-9.686993,0.09952148,1.0,187.05176,0.17764798,-7.6783457,0.08170941,1.0,0.25995123,-43.22776,-83.126144,17.611885,13.197087,562.25146,3.4505959,-9.723021,0.10672704,1.0,195.01851,0.2508883,-7.7091913,0.089420825,1.0,0.2871911,-41.97339,-83.00627,17.885303,13.665205,0.015406125116348266,1382.6147425174713,30000
180.07619,-206.57474,1455.877,537.99084,3.2079082,-9.729483,0.108019374,1.0,182.66183,0.2315911,-7.6568456,0.07633438,1.0,0.29951364,-46.550617,-88.82596,20.048325,16.032297,557.6712,3.1686053,-9.723997,0.10692233,1.0,197.28577,0.29202005,-7.7306476,0.094784826,1.0,0.33003676,-45.242226,-88.40724,19.080614,15.567859,0.015421753740310669,1459.7235276699066,35000
105.69808,-160.1976,1584.3341,567.51074,3.3840137,-9.73229,0.10858114,1.0,178.75554,0.15249874,-7.660572,0.07726598,1.0,3.736985,-47.227608,-93.92036,20.873775,19.71101,579.6111,3.7866654,-9.698908,0.101904534,1.0,186.64555,0.23552969,-7.69788,0.08659297,1.0,0.4350341,-46.57934,-92.13392,21.204033,18.237007,0.01534152626991272,1536.4311699867249,40000
336.04868,-164.65103,1871.7148,576.2201,3.3814688,-9.745438,0.11121054,1.0,182.15924,0.13980545,-7.6345186,0.07075255,1.0,13.299559,-48.449207,-104.50211,22.847637,20.299416,595.21484,3.4839969,-9.7242565,0.1069743,1.0,195.5371,0.26364046,-7.6891627,0.0844136,1.0,0.76432985,-47.519085,-94.710625,22.827866,33.89686,0.015333460569381714,1613.098492383957,45000
99.023895,-116.34829,1066.917,556.3059,3.6149309,-9.679016,0.097926155,1.0,216.10886,0.34770626,-7.634489,0.070745304,1.0,11.282288,-48.63049,-119.456215,23.61029,20.263416,586.824,3.4264622,-9.713379,0.10479869,1.0,208.01938,0.2609869,-7.7283134,0.094201386,1.0,14.910794,-47.475815,-109.57711,24.219078,24.269028,0.015416180467605591,1690.179409980774,50000
