seed,variant,beta,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
0,plain,0.0,0.42800000000000005,0.36,0.56,0.42,0.52,0.28
0,plain,0.5,0.392,0.38,0.48,0.52,0.34,0.24
0,plain,2.0,0.42000000000000004,0.5,0.62,0.42,0.28,0.28
0,rank,0.0,0.41200000000000003,0.38,0.56,0.52,0.4,0.2
0,rank,0.5,0.42400000000000004,0.46,0.58,0.5,0.3,0.28
0,rank,2.0,0.404,0.44,0.56,0.4,0.3,0.32
0,normalized,0.0,0.376,0.34,0.58,0.5,0.26,0.2
0,normalized,8.0,0.404,0.44,0.54,0.46,0.34,0.24
0,normalized,32.0,0.41600000000000004,0.38,0.64,0.54,0.26,0.26
0,residual,0.0,0.43599999999999994,0.46,0.52,0.46,0.4,0.34
0,residual,0.5,0.4039999999999999,0.4,0.48,0.52,0.38,0.24
0,residual,2.0,0.392,0.32,0.6,0.5,0.28,0.26
