training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
8.009973,-9.05064,252.53578,305.82312,1.6337646,-10.218363,0.20579548,1.0,145.65205,0.1480962,-7.8213005,0.11744805,1.0,0.22738993,-15.00813,-26.368244,1.2612758,2.7852254,359.58527,1.9556435,-10.272251,0.21657307,1.0,150.63513,0.062146056,-7.847291,0.123945706,1.0,0.23554896,-14.07651,-26.328566,1.2565048,2.1408238,0.20812045745849608,1040.6022992134094,5000
13.278081,-15.115462,362.90704,424.61237,2.5248964,-10.073633,0.1768496,1.0,167.82314,0.15834352,-7.726201,0.09367328,1.0,0.10499462,-20.978924,-43.63661,2.2970414,2.5600839,462.2284,2.4640713,-10.246374,0.21139775,1.0,168.33554,-0.047124263,-7.7835445,0.10800916,1.0,0.1177239,-20.616283,-43.652493,2.3091893,3.36412,0.014754410266876222,1114.3743603229523,10000
18.267033,-14.913921,384.24435,500.08887,2.7206078,-9.994881,0.16109918,1.0,174.8464,0.14753035,-7.6938334,0.08558124,1.0,0.23748216,-25.145617,-56.58387,3.0644736,4.2530503,534.927,3.1397328,-9.949248,0.15197259,1.0,178.58115,0.13999686,-7.7269964,0.093872145,1.0,0.09455093,-24.80853,-56.64578,3.1459327,3.8648648,0.014838821220397948,1188.5684850215912,15000
11.490044,-11.437224,348.82916,566.4575,3.4416106,-9.936002,0.14932321,1.0,163.21594,0.17072287,-7.6958675,0.08608995,1.0,0.115574986,-28.00232,-67.21182,3.6939187,3.5464892,521.1951,2.7540479,-10.078722,0.17786722,1.0,153.63718,-0.026398806,-7.7342553,0.09568671,1.0,0.27559632,-26.445728,-67.17063,3.708823,4.8584375,0.014829062986373901,1262.7138135433197,20000
20.332445,-22.162096,430.49237,536.6908,3.0091763,-9.977657,0.15765432,1.0,165.81868,0.22254775,-7.6648235,0.07832897,1.0,0.21735308,-26.957983,-75.1381,3.629588,3.64076,558.04236,3.293416,-10.035123,0.16914758,1.0,178.80603,0.16552067,-7.709934,0.089606464,1.0,0.17710991,-28.554224,-74.99291,3.757044,3.4705784,0.014824179553985595,1336.8347218036652,25000
47.478825,-32.404163,645.9379,577.90924,3.4411244,-9.915197,0.14516248,1.0,169.01228,0.17687675,-7.6536756,0.07554184,1.0,0.071297005,-30.124292,-81.40769,3.9919226,5.063248,584.97144,3.5567183,-10.034357,0.16899443,1.0,157.6823,0.0752494,-7.696826,0.0863295,1.0,0.1233814,-31.214533,-81.21637,4.0305996,3.224093,0.014831094264984131,1410.9902048110962,30000
46.926064,-52.198433,628.23773,534.73016,2.8453286,-9.952393,0.15260136,1.0,164.12857,0.21421441,-7.655055,0.0758868,1.0,0.19834027,-30.168707,-85.613075,3.991193,5.6330338,580.70776,3.5495663,-9.895989,0.14132094,1.0,172.11536,0.29709315,-7.6933994,0.08547284,1.0,0.26026365,-30.12757,-85.242294,4.029751,5.0972548,0.014815341567993164,1485.0669240951538,35000
16.173084,-7.9184313,297.52646,573.6009,3.4012818,-9.886463,0.13941541,1.0,179.36417,0.24010783,-7.6528263,0.07532954,1.0,0.10462834,-33.184734,-89.193405,4.1529417,4.3261757,603.0386,3.623624,-9.993281,0.16077922,1.0,204.04755,0.3809322,-7.7016773,0.087542266,1.0,0.081670485,-31.643866,-89.809265,4.1345773,4.505631,0.014818275785446167,1559.1583135128021,40000
29.777805,-27.370079,407.9621,572.7916,3.3048515,-10.060377,0.17419821,1.0,164.89233,0.18182682,-7.6399255,0.07210438,1.0,0.066338815,-32.36474,-92.89504,4.0352015,3.875234,580.95715,3.0610638,-10.097654,0.18165386,1.0,178.52872,0.3620032,-7.7060513,0.08863585,1.0,0.09934066,-32.114723,-92.77135,4.1530247,6.4567165,0.014819985485076905,1633.2582507133484,45000
22.896152,-24.621391,409.2625,570.9383,3.5290089,-9.821067,0.12633643,1.0,170.23404,0.28379798,-7.6593723,0.07696603,1.0,0.18804866,-33.88099,-95.1536,4.1656475,4.4908657,599.45557,3.3694344,-9.988882,0.15989934,1.0,162.59052,0.22665219,-7.7091503,0.08941054,1.0,0.5193909,-32.614292,-94.87423,4.2702436,5.445819,0.014827094888687133,1707.3937344551086,50000
