training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.3336577,-7.779035,2.3337107,0.106881775,16.609146,0.9999471,-16.608269,1.0,1.6718975,1.6273928,-14.289793,-24.659279,3.5615969,-2.227181,50.92089,1.9395492,-13.700395,-23.894243,0.060002387,3.3368936,-7.7896457,2.3368938,0.10953446,17.102598,0.9999999,-17.102598,1.0,1.9059551,1.5426772,-14.701924,-24.680029,3.4080303,-14.062502,-23.921371,0.07300028,0.23563159375190734,1178.1580185890198,5000
3.311403,-7.7046766,2.311403,0.08829203,24.090675,0.99999994,-24.090675,1.0,2.1874824,0.0,-20.959038,-39.981426,9.753182,-7.5439835,101.61605,1.2715528,-20.503986,-39.379772,0.08722138,3.317022,-7.7234697,2.317041,0.09299043,24.10176,0.9999812,-24.10131,1.0,2.6862264,0.0,-21.187374,-40.04049,0.90108335,-20.665485,-39.414284,0.10207506,0.0028776901245117187,1192.5464766025543,10000
3.3034692,-7.6782303,2.3034692,0.08168045,28.013767,1.0,-28.013767,1.0,3.7796345,0.0,-25.441044,-51.742462,25.075184,-18.918755,220.11307,1.20511,-24.978405,-51.206776,0.111891754,3.319932,-7.7331057,2.319932,0.095399365,28.59346,0.9999999,-28.59346,1.0,3.3475356,0.36311793,-24.036497,-51.79317,0.8238627,-23.518526,-51.31332,0.13108194,0.00313859224319458,1208.2394442558289,15000
3.3002267,-7.667493,2.300248,0.07899619,30.899904,0.9999788,-30.89925,1.0,2.9697747,0.05990565,-27.0551,-60.656197,10.652965,-17.597227,171.32669,1.21122,-26.642359,-60.244884,0.15120932,3.3138466,-7.7128477,2.3138542,0.09033487,30.831482,0.99999225,-30.831245,1.0,4.147009,0.0,-26.375591,-60.47237,1.1534488,-25.846779,-60.149227,0.25611928,0.003149498748779297,1223.9869465827942,20000
3.2912588,-7.637529,2.2912588,0.071505174,31.650585,1.0,-31.650585,1.0,2.1271706,0.0,-27.459068,-67.009384,11.718781,-14.785259,157.95543,0.608282,-27.073444,-66.73004,0.13346311,3.3091035,-7.697012,2.3091035,0.08637585,30.527264,1.0,-30.527264,1.0,2.8437738,0.0,-27.663414,-67.044426,0.76509225,-27.260662,-66.71694,0.1411746,0.0031313838481903077,1239.6438734531403,25000
3.2916567,-7.6388555,2.2916567,0.071836784,30.803577,0.99999994,-30.803577,1.0,2.4381008,0.20503235,-27.621883,-71.82056,8.866102,-12.543641,118.42856,0.69907457,-27.236748,-71.496925,0.14105247,3.3140173,-7.713394,2.3140182,0.09047159,32.649643,0.99999917,-32.649616,1.0,4.4418697,0.34092903,-26.683811,-71.452835,1.9599429,-26.198505,-71.23586,0.18577486,0.0028925533771514893,1254.106647491455,30000
3.2906158,-7.635385,2.2906158,0.07096928,33.51584,1.0,-33.51584,1.0,6.8816977,0.0,-28.852612,-75.38417,6.9336853,-11.922127,160.057,1.0132518,-28.573105,-75.1341,0.15451413,3.3053703,-7.684613,2.3053842,0.08327632,31.844872,0.99998623,-31.844433,1.0,2.70991,0.2989936,-27.752388,-74.81384,0.8311487,-27.319326,-74.559494,0.12789914,0.002953888702392578,1268.8761026859283,35000
3.2853956,-7.617985,2.2853956,0.066619135,31.76715,0.99999994,-31.76715,1.0,3.0579224,0.0,-28.65672,-76.672775,9.550275,-11.656915,148.20638,1.3294395,-28.162977,-76.28989,0.1696457,3.306387,-7.6879554,2.306387,0.084111854,32.98723,1.0,-32.98723,1.0,2.9228568,0.0,-29.205282,-77.86581,0.7819264,-28.835176,-77.53162,0.22301301,0.003155909776687622,1284.6556584835052,40000
3.2927284,-7.6424284,2.2927287,0.07273011,31.179546,0.99999964,-31.179537,1.0,2.125829,0.39320385,-28.988546,-79.396126,3.8249514,-6.1749964,68.65912,1.7364718,-28.58665,-79.180336,0.12066867,3.2985425,-7.6619053,2.2985716,0.07759927,32.86829,0.99997085,-32.867332,1.0,2.0389628,0.83188426,-29.607908,-77.89467,1.160365,-29.164257,-77.950325,0.15319303,0.0031623785972595213,1300.4675586223602,45000
3.2867544,-7.622534,2.2867603,0.06775643,33.209457,0.9999941,-33.209263,1.0,2.5235312,0.345899,-28.644012,-80.34376,18.13546,-13.885836,194.71147,0.8907025,-28.28445,-80.14538,0.17587064,3.3025632,-7.675235,2.3025708,0.08093169,32.890526,0.9999923,-32.890274,1.0,3.0243084,0.0,-28.238205,-78.71484,1.0382307,-27.845814,-78.42667,0.1633162,0.0029498948574066164,1315.217039823532,50000
