training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
173.77803,0.07530859,-7.846876,0.12384201,1.0,2.883265,-2.8127048,77.074745,0.7582872,-13.718813,-25.745775,0.33378273,193.62624,0.069587156,-7.8745284,0.13075513,1.0,0.8324335,-13.896179,-25.721382,0.19278416,0.16282528295516968,814.1264390945435,5000
251.90085,0.044413783,-7.750499,0.0997476,1.0,6.262217,-7.3206577,115.6601,0.47957763,-18.833458,-43.641884,0.34857103,259.48895,0.05791316,-7.783515,0.10800178,1.0,0.60694885,-19.476738,-43.774086,0.44344068,0.0020034757137298584,824.143844127655,10000
279.17572,0.079223454,-7.7091684,0.0894151,1.0,6.6156974,-3.9863696,93.43989,0.63559306,-21.431274,-58.651184,0.33903512,320.0719,0.19623837,-7.752149,0.1001603,1.0,0.6036439,-21.77525,-58.62011,0.3355446,0.0019935638427734377,834.1116998195648,15000
291.93958,0.09752199,-7.704187,0.08816971,1.0,5.9059925,-5.241716,95.11828,0.9355334,-23.936441,-68.91643,0.3537653,316.2815,0.13151002,-7.741885,0.097594276,1.0,0.8499278,-22.301582,-68.54266,0.36086905,0.002002573251724243,844.1245925426483,20000
319.8422,0.13512793,-7.69835,0.08671054,1.0,13.839749,-6.698408,147.39275,0.42044705,-23.573338,-76.06209,0.42627317,325.1942,0.08984861,-7.734164,0.09566407,1.0,0.6378802,-22.849329,-75.06952,0.49265778,0.002021626853942871,854.2327544689178,25000
293.44934,0.09710578,-7.6901712,0.08466579,1.0,4.4163,-6.4865694,97.78537,0.6286414,-22.949924,-78.9411,0.31782502,321.83594,0.18026842,-7.730468,0.09473985,1.0,0.67821944,-23.711765,-78.631035,0.6641438,0.0020386050701141356,864.4258081912994,30000
298.0888,0.12563123,-7.6605387,0.07725769,1.0,4.9455485,-4.121826,88.88282,0.44221783,-24.845646,-83.37129,0.33935922,308.71564,0.12486663,-7.7059803,0.08861803,1.0,0.5959075,-23.720776,-81.07367,0.46386853,0.0020647841930389404,874.7497570514679,35000
297.4834,0.10833427,-7.6852617,0.08343844,1.0,9.472931,-13.29715,117.19745,0.769792,-23.716944,-81.22247,0.2831195,279.9766,0.057610013,-7.7127676,0.0903149,1.0,0.5385139,-23.870628,-82.23065,0.3220657,0.0020185646533966064,884.8426048755646,40000
313.193,0.17633072,-7.6867933,0.08382133,1.0,6.2803373,-7.980284,100.23378,0.4915102,-24.679905,-84.98888,0.3890022,301.79138,0.109099746,-7.730198,0.09467236,1.0,0.46484888,-24.317587,-81.09461,0.33547905,0.0020249862670898436,894.9675636291504,45000
293.67685,0.11876847,-7.6514883,0.074995086,1.0,6.472661,-10.485509,99.768524,0.54136306,-24.663252,-85.645294,0.37651128,295.35742,0.10750882,-7.7027326,0.08780612,1.0,0.6243696,-24.670364,-85.86246,0.36375296,0.0020027901649475096,904.9815516471863,50000
286.601,0.0842745,-7.663164,0.07791395,1.0,6.727006,-3.7612338,87.635315,0.39390892,-25.28819,-87.64245,0.39935827,304.0954,0.13196498,-7.7359934,0.09612124,1.0,0.71347404,-23.040554,-85.057465,0.38113582,0.002025757122039795,915.1103644371033,55000
288.833,0.13797945,-7.6519117,0.07510089,1.0,6.498257,-4.6437387,83.725464,0.8187926,-24.129852,-86.5634,0.31878242,293.43988,0.059443396,-7.718895,0.091846645,1.0,0.74941987,-23.968761,-81.84781,0.3756129,0.0020163980484008788,925.1923792362213,60000
306.35696,0.13835432,-7.651766,0.07506444,1.0,8.69306,-4.3219337,89.94166,0.75705945,-24.477383,-80.7426,0.45348758,321.13364,0.13344368,-7.7034736,0.08799137,1.0,1.2921321,-25.024298,-87.92015,0.62467563,0.001997872066497803,935.1817629337311,65000
303.92004,0.13090436,-7.646723,0.07380363,1.0,12.422886,-16.7585,124.13179,0.5554832,-25.932432,-86.25125,0.37833482,283.83643,0.06976716,-7.7382035,0.09667389,1.0,0.36185807,-25.091103,-86.311104,0.7822265,0.002005923271179199,945.2114043235779,70000
