training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
10.765301,-9.953902,194.92502,300.47638,1.718196,-10.07098,0.17631893,1.0,150.91849,0.1690208,-7.8232017,0.117923394,1.0,0.099641934,-15.375536,-24.88824,0.7642384,346.07214,2.0674837,-10.110762,0.18427542,1.0,152.35474,0.05675091,-7.8511066,0.124899685,1.0,0.10570215,-14.592083,-24.926163,0.7965857,0.2750287115097046,1375.1435737609863,5000
44.472282,-32.081066,443.88016,407.1905,2.4998145,-9.970154,0.15615378,1.0,152.7357,0.15903288,-7.727044,0.09388392,1.0,0.23173946,-21.361944,-42.314674,1.0813922,441.33356,2.4961977,-10.096758,0.18147433,1.0,155.37418,-0.03464132,-7.774786,0.10581936,1.0,0.4605693,-21.110641,-42.302353,0.9604702,0.003603627347946167,1393.1617178916931,10000
40.43091,-35.769974,381.2194,511.92252,2.5408597,-10.019201,0.16596316,1.0,181.26111,0.15090206,-7.6897507,0.08456059,1.0,0.21146505,-23.849968,-55.726357,1.4663956,534.91724,2.9178743,-9.945793,0.15128158,1.0,172.96211,0.13893545,-7.73106,0.09488792,1.0,0.18312378,-23.449518,-55.241898,1.2895335,0.003621087884902954,1411.2671642303467,15000
23.15228,-19.094267,311.9691,552.1122,3.2965906,-9.880906,0.13830437,1.0,157.88162,0.10274891,-7.687309,0.08395014,1.0,0.11787818,-27.913227,-66.47525,1.5174358,505.7391,2.81217,-10.014678,0.16505867,1.0,168.91006,0.048465658,-7.728073,0.09414126,1.0,0.15066439,-26.528273,-66.31105,2.8352475,0.003641140413284302,1429.47287607193,20000
23.699507,-21.67332,308.12753,514.47406,2.9303355,-9.9513235,0.15238766,1.0,157.50632,0.16112846,-7.6663113,0.078700885,1.0,0.12140558,-26.643658,-74.02933,1.3318216,569.28723,3.242547,-10.019873,0.16609757,1.0,161.86336,0.14096561,-7.7084475,0.089234814,1.0,0.10572572,-28.171658,-74.211845,1.1250379,0.003612670183181763,1447.5362343788147,25000
15.902312,-10.014072,288.56378,555.59485,3.3337123,-9.954914,0.15310578,1.0,171.45166,0.15510169,-7.6543617,0.075713426,1.0,0.15169153,-30.041973,-80.09249,1.9587953,580.69727,3.669114,-10.050793,0.17228137,1.0,175.85953,-0.020278476,-7.68976,0.08456296,1.0,0.09632385,-31.374016,-80.141945,1.7575963,0.0036142292499542236,1465.6073880195618,30000
10.680056,-8.481198,268.31247,547.0271,2.9959464,-9.990545,0.16023216,1.0,179.1142,0.22132519,-7.659767,0.07706472,1.0,0.17396079,-30.211798,-85.096306,1.5506783,583.17316,3.5558558,-9.896233,0.14136955,1.0,188.44792,0.29022366,-7.687871,0.084090605,1.0,0.15005499,-30.00769,-84.799194,1.4051638,0.0035633012771606443,1483.4239053726196,35000
18.637419,-20.646585,248.56268,569.5428,3.4013157,-9.877715,0.13766597,1.0,168.85185,0.31505764,-7.6514244,0.074978925,1.0,0.026071887,-33.18779,-88.588135,1.0045909,590.9981,3.4701214,-9.93178,0.14847887,1.0,190.07712,0.3670205,-7.6955423,0.08600855,1.0,-0.014907621,-31.666586,-88.539505,1.4528275,0.003594975709915161,1501.39879155159,40000
10.831624,-10.17956,253.26717,571.2834,3.339948,-9.941652,0.15045343,1.0,177.39015,0.14376125,-7.6464148,0.07372665,1.0,0.0916106,-32.475105,-91.81545,1.3100636,577.1383,3.1270013,-9.97404,0.15693095,1.0,195.73175,0.30897865,-7.702509,0.087750174,1.0,0.14651912,-32.437065,-91.227974,1.7940248,0.00359730224609375,1519.385311126709,45000
18.4161,-17.949392,299.03943,578.4124,3.5809104,-9.848751,0.13187324,1.0,176.56963,0.27473116,-7.649497,0.07449727,1.0,0.20617288,-34.036873,-94.2661,1.4820501,598.0995,3.437091,-9.967103,0.15554348,1.0,189.44727,0.2221542,-7.699357,0.086962104,1.0,0.16941407,-32.590034,-93.86606,2.4584599,0.0035665188789367674,1537.2179124355316,50000
14.50712,-22.195665,288.77533,580.6686,3.4651842,-9.848215,0.13176607,1.0,150.44403,0.16231337,-7.635232,0.0709309,1.0,-0.035192803,-34.476517,-95.749405,1.4611638,592.8804,3.3521202,-9.99777,0.16167697,1.0,157.86877,0.22407672,-7.677363,0.08146371,1.0,-0.061568853,-33.358337,-95.92408,1.581407,0.0035210044860839846,1554.8229422569275,55000
16.97888,-17.513468,303.63574,571.69824,3.5011878,-9.866988,0.13552062,1.0,150.88242,0.17495608,-7.630969,0.0698653,1.0,0.1285564,-32.42459,-97.51577,2.2653913,623.5453,4.0739155,-9.8839035,0.13890365,1.0,181.28275,0.35873654,-7.6988935,0.08684653,1.0,0.12208913,-34.269146,-97.43689,1.574877,0.0036061100006103517,1572.853499174118,60000
20.292917,-26.82854,400.20273,574.3059,3.4586902,-9.84948,0.13201903,1.0,167.66183,0.22181341,-7.641224,0.072428934,1.0,0.11567226,-34.901825,-98.72474,1.8236073,588.9237,2.999216,-10.00258,0.16263892,1.0,181.46176,0.27612096,-7.7025604,0.0877631,1.0,0.11265017,-34.714157,-98.54327,1.6312383,0.003571330404281616,1590.710158586502,65000
9.629713,-10.866459,296.6954,582.5484,3.4692473,-9.893821,0.14088719,1.0,176.18509,0.3075873,-7.626828,0.06883001,1.0,0.067445666,-36.312252,-99.30148,1.933553,618.923,3.8209662,-9.874971,0.13711713,1.0,175.50943,0.19650465,-7.693815,0.08557674,1.0,0.060192455,-34.846733,-99.28129,1.551976,0.0034970237255096434,1608.1952838897705,70000
14.325366,-28.552708,340.7068,579.6933,3.8090382,-9.845071,0.13113718,1.0,182.02657,0.3073935,-7.6286125,0.069276184,1.0,0.21347162,-35.77781,-99.67766,1.7339845,599.473,3.7182257,-9.93387,0.14889692,1.0,175.634,0.27720815,-7.6952877,0.085944876,1.0,0.1365218,-34.33336,-99.30954,1.9444268,0.0035562968254089357,1625.9767758846283,75000
41.868065,-22.637243,359.6129,575.68396,3.6277122,-9.908426,0.14380817,1.0,180.07907,0.2415643,-7.619501,0.06699823,1.0,0.06829482,-37.127388,-100.19607,1.6260827,600.6459,3.7130623,-9.963463,0.1548156,1.0,187.41382,0.36072588,-7.666584,0.07876901,1.0,0.09944472,-33.860977,-99.4491,1.8508062,0.0035564459800720215,1643.7590129375458,80000
14.403489,-11.163219,290.00418,596.12195,3.884428,-9.858142,0.13375126,1.0,179.44775,0.34297204,-7.626398,0.06872247,1.0,0.16723263,-35.73633,-101.21654,2.1331682,594.51776,3.4154606,-10.015124,0.16514783,1.0,179.28928,0.24416715,-7.6792707,0.08194061,1.0,0.25896913,-35.87672,-99.84747,1.7048545,0.003543213176727295,1661.4750888347626,85000
13.473744,-13.465878,308.12863,582.3341,3.7873602,-9.743955,0.11091383,1.0,171.77855,0.43441665,-7.620866,0.06733951,1.0,0.012300223,-36.16159,-100.47514,2.27254,599.41876,3.623164,-9.879454,0.13801365,1.0,168.33206,0.30449894,-7.7017407,0.087558135,1.0,0.029509898,-35.998405,-100.33499,1.9648669,0.0034909597873687744,1678.9298951625824,90000
14.128168,-20.39979,254.22514,587.9691,3.5774999,-9.785425,0.11920805,1.0,172.28241,0.30790564,-7.6268444,0.068834096,1.0,0.22471699,-37.392372,-100.71727,1.8647149,624.51697,4.1472993,-9.920889,0.14630066,1.0,179.5186,0.22833183,-7.677594,0.08152141,1.0,0.1903406,-35.64289,-100.91264,1.6869411,0.0035612009525299074,1696.7359070777893,95000
21.8234,-19.024323,284.00702,602.9866,4.009166,-9.798841,0.12189125,1.0,157.54504,0.2941686,-7.6146593,0.06578785,1.0,0.06952455,-36.22205,-100.884514,1.5362058,616.6167,4.307431,-9.865302,0.1351835,1.0,180.58109,0.28213853,-7.701768,0.087564886,1.0,0.10037093,-36.056683,-101.111664,1.9700376,0.0035704731941223144,1714.5882806777954,100000
19.313875,-21.228699,279.28217,602.37274,3.7157798,-9.824554,0.12703381,1.0,184.45607,0.33800536,-7.623743,0.068058714,1.0,0.16193303,-38.026695,-100.964615,1.3792155,615.77997,3.5601478,-9.875376,0.13719808,1.0,178.62473,0.2689124,-7.7012763,0.08744207,1.0,0.21625271,-36.72027,-100.975784,1.900677,0.19060774464607239,2667.627014875412,105000
21.090063,-19.198072,330.52878,590.53845,3.4825609,-9.843636,0.13085008,1.0,168.84503,0.34469402,-7.624675,0.06829165,1.0,0.07988411,-37.57382,-101.58528,2.4979312,616.2399,3.5552382,-9.906165,0.14335597,1.0,178.11949,0.33596778,-7.6854095,0.08347529,1.0,0.08704196,-34.945633,-101.07243,2.4720268,0.003880271339416504,2687.0283784866333,110000
13.299533,-18.36769,305.8103,596.59827,3.3389573,-9.846222,0.13136742,1.0,146.69763,0.20257413,-7.613976,0.065617,1.0,0.1261739,-35.293648,-101.30179,1.385617,620.0797,4.042646,-9.907263,0.14357565,1.0,167.56279,0.2857315,-7.6787987,0.08182257,1.0,0.1165565,-35.6276,-101.15163,2.044491,0.003851284885406494,2706.2848098278046,115000
11.130575,-10.827634,262.22086,587.41907,3.6993213,-9.74164,0.11045108,1.0,176.19168,0.2991904,-7.6235595,0.068012804,1.0,0.35057005,-37.18781,-101.39483,2.2177563,642.60516,4.110673,-9.769026,0.115928076,1.0,175.87836,0.3248759,-7.6799173,0.08210233,1.0,0.16654497,-36.109184,-100.81213,2.4569564,0.003865323305130005,2725.611433506012,120000
13.390198,-13.274482,250.42099,591.5364,3.9317222,-9.775993,0.11732154,1.0,167.32553,0.3465658,-7.6084366,0.06423204,1.0,0.16774057,-35.799355,-101.478836,1.9122245,590.17596,3.6505616,-9.887739,0.1396708,1.0,177.03894,0.37038022,-7.6978664,0.08658953,1.0,0.11466904,-37.262337,-101.36578,1.4372168,0.003757898473739624,2744.400932788849,125000
24.411812,-17.04235,243.06865,624.0338,4.2433853,-9.705505,0.103223875,1.0,168.1135,0.33039093,-7.6044216,0.063228294,1.0,0.063798055,-36.402855,-101.71579,1.4761357,627.1111,3.9418283,-9.873617,0.13684644,1.0,178.60532,0.23065473,-7.6992655,0.086939245,1.0,0.06531044,-34.45634,-101.95039,1.547825,0.0038158767700195314,2763.480324268341,130000
23.31302,-36.24127,403.926,572.4705,3.499978,-9.787247,0.119572304,1.0,160.96638,0.33034134,-7.60672,0.06380299,1.0,0.00036474317,-37.242516,-101.54788,1.7413064,639.9657,4.3401356,-9.877323,0.13758758,1.0,184.08636,0.3301233,-7.6680174,0.07912718,1.0,0.03050622,-36.539204,-101.56787,2.1557903,0.003907326936721802,2783.0169670581818,135000
36.96648,-30.390858,384.0795,615.42737,4.2838144,-9.7452135,0.11116576,1.0,167.86604,0.24195829,-7.6274796,0.06899287,1.0,0.061775036,-36.155624,-101.51637,3.1213222,612.12024,4.0193844,-9.826845,0.12749188,1.0,188.13818,0.35357895,-7.719965,0.09211415,1.0,0.1138189,-37.950302,-102.326035,3.1856768,0.003811245059967041,2802.07320022583,140000
