training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0232794,-7.759828,0.023279484,0.10208001,233.67693,1.0,-233.67693,1.0,3.3182025,257.14618,-187.5037,2095.0981,116.84154,1032.1282,535.7584,1.2992241,10.286406,20.321945,3.0050654,0.006666906,4.743769,-48.559143,117.078735,165.63788,1.0233736,-7.7912254,0.023373678,0.10992938,209.7799,0.99999994,-209.7799,1.0,3.0459828,130.05386,1005.32556,514.1452,0.90590227,11.598191,26.630524,3.089001,0.015845409,4.745128,-54.797646,130.29114,185.08878,0.20713612985610963,1035.6806664466858,5000
1.0236278,-7.8759055,0.023627717,0.13109934,152.87172,1.0,-152.87172,1.0,1.2999935,95.962074,-112.01342,1358.2798,174.07187,1104.422,441.17438,0.46796304,2.5975714,15.935567,1.708596,0.007827064,20.950039,-53.37172,175.11937,228.49109,1.0237561,-7.9187083,0.023756124,0.1418,156.3403,1.0,-156.3403,1.0,1.362073,192.361,1107.7886,406.30157,0.5413342,2.840882,12.215306,1.8713807,0.009837121,20.955732,-58.484978,193.40878,251.89375,0.005988913774490357,1065.6252431869507,10000
1.0239146,-7.9715385,0.023914617,0.15500763,88.937645,0.99999994,-88.937645,1.0,0.7689438,128.42583,-160.46979,1710.7822,245.03806,1122.2256,353.11948,0.37201706,0.55102485,7.533698,1.079402,0.0020346805,82.686295,-41.427887,249.17236,290.60025,1.0239799,-7.9933043,0.023979912,0.1604489,90.27702,1.0,-90.27702,1.0,0.86568105,253.59186,1129.6003,342.03983,0.71571803,0.5365258,6.3700657,1.144876,0.0046383506,82.70629,-40.238743,257.72717,297.9659,0.005985134506225586,1095.5509250164032,15000
1.0240202,-8.006716,0.02402015,0.16380204,71.22191,1.0,-71.22191,1.0,0.7030162,140.47829,-251.85204,2182.6812,291.63947,1103.6445,286.07172,0.6724694,0.15985838,5.0854297,0.86031854,0.0032883289,204.53963,-22.470392,301.86646,324.33685,1.0241797,-8.059893,0.024179678,0.17709613,64.54028,1.0,-64.54028,1.0,0.6563585,296.4305,1093.8987,288.63745,0.5806416,0.15883645,4.265248,0.8648993,0.004726756,204.58615,-22.266432,306.65982,328.92624,0.005980758714675904,1125.4547262191772,20000
1.0241085,-8.036198,0.024108592,0.17117232,61.835457,0.99999994,-61.835457,1.0,0.8577449,125.73738,-206.45053,1324.3274,312.71094,859.94965,229.58582,0.5684734,0.08647241,3.306804,0.8039919,0.0016304917,254.07562,-9.266749,325.4147,334.68146,1.0242589,-8.086297,0.024258891,0.18369718,56.143715,1.0,-56.143715,1.0,1.0859406,311.1202,871.82745,239.86429,0.70402455,0.09039816,3.6725612,0.8162035,0.009014472,254.07623,-10.264213,323.824,334.08823,0.005984286689758301,1155.3761672973633,25000
1.0240147,-8.004906,0.024014715,0.16334927,63.431374,1.0,-63.431374,1.0,0.5898384,500.0915,-178.88885,2150.931,303.09656,1019.8286,266.40152,0.5581832,0.08527131,3.9939115,0.7730939,0.0049948865,268.52618,-9.471269,316.52286,325.99414,1.0242915,-8.097168,0.024291504,0.18641499,63.841156,1.0,-63.841156,1.0,1.446089,317.22388,1013.3361,246.5439,0.09045694,0.10512346,3.7367346,0.83205175,0.00079836923,268.53528,-14.802593,330.65067,345.45325,0.005985051441192627,1185.3014333248138,30000
1.0237705,-7.9235,0.0237705,0.14299792,64.34051,1.0,-64.34051,1.0,0.55221355,291.93784,-306.09805,2242.31,317.11157,1074.1488,252.09822,0.54397994,0.0741,4.297245,0.74301755,0.0031707548,371.16687,-8.945123,335.66992,344.61505,1.0240067,-8.002226,0.024006676,0.16267937,53.533424,1.0,-53.533424,1.0,0.54344463,321.89612,1099.7694,254.1622,0.4568652,0.050335992,2.9333515,0.74121493,0.0072236722,371.23004,-0.124730095,340.4576,340.58234,0.005984926462173462,1215.2260739803314,35000
1.023972,-7.990711,0.023972135,0.1598008,27.212322,0.99999994,-27.212322,1.0,0.61974376,62.093803,-51.79097,802.2227,430.50735,300.92276,71.21509,0.5139374,0.039978534,3.0864627,0.6348696,0.001617587,421.4671,4.2237186,451.58072,447.357,1.0240525,-8.017544,0.024052631,0.16650891,23.33182,0.9999999,-23.33182,1.0,0.68226445,433.5519,269.67874,68.11094,0.5559609,0.09018883,6.3461914,0.663417,0.004174288,421.4671,-16.93827,454.62527,471.56354,0.005984661722183228,1245.1493899822235,40000
1.0247358,-8.245281,0.024735844,0.22344333,52.680344,1.0,-52.680344,1.0,0.6300167,144.60715,-127.19086,1450.8035,367.5984,581.02747,138.95789,0.94631666,0.047307186,3.904805,0.76018804,0.004243336,421.32724,1.1345563,388.66473,387.53018,1.0248239,-8.274647,0.024823938,0.23078455,47.837044,1.0,-47.837044,1.0,0.62718165,368.29517,627.228,138.95024,0.07095012,0.04811523,2.6641421,0.7555562,0.002279221,421.32724,0.7941048,389.3615,388.5674,0.005983655977249145,1275.0676772594452,45000
1.0239556,-7.985186,0.023955557,0.15841942,52.990547,1.0,-52.990547,1.0,0.66410285,101.60893,-103.44606,1029.8082,319.60767,1046.5221,235.86208,0.050036002,0.029008996,2.5495584,0.72965,0.0038438633,417.17804,8.756987,340.46658,331.7096,1.0240982,-8.032705,0.024098113,0.17029913,53.644737,1.0,-53.644737,1.0,0.58630943,329.40497,1045.9824,227.58081,0.27890158,0.09844846,6.9308686,0.74780285,0.0036422764,417.17584,-20.211529,350.26376,370.47528,0.005984507465362549,1304.990221977234,50000
