training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
6.090061,-4.7528377,207.05745,299.91452,1.7111197,-10.086282,0.17937918,1.0,162.47559,0.15544203,-7.8191566,0.11691216,1.0,0.19858605,-15.356208,-25.160711,1.2227453,2.0077543,348.13635,2.1181374,-10.127256,0.18757418,1.0,156.19281,0.03219341,-7.8466444,0.123783976,1.0,0.11534765,-14.545402,-25.150763,1.2534196,2.6314182,0.1752364646434784,876.1823353767395,5000
17.873686,-20.318604,471.58502,437.89578,2.6989613,-9.991585,0.16043995,1.0,195.96039,0.18015632,-7.727124,0.093904,1.0,0.15796101,-21.080688,-42.49038,2.2009037,3.9737024,446.33228,2.4921455,-10.140069,0.19013683,1.0,195.5805,0.027204283,-7.779195,0.106921785,1.0,0.14180219,-20.707098,-42.46869,2.2173572,3.526029,0.006520249128341675,908.7835991382599,10000
24.145428,-22.067284,503.11746,494.27423,2.4479458,-9.987216,0.15956609,1.0,170.24606,0.14343347,-7.696212,0.08617588,1.0,0.13035819,-24.29331,-56.12544,3.0867815,4.6981506,517.24097,3.0651548,-9.978398,0.15780264,1.0,179.74377,0.0798482,-7.728419,0.09422769,1.0,0.064001,-24.182371,-56.137188,3.1628118,4.1639395,0.006656257486343384,942.0649013519287,15000
25.993292,-23.252892,473.003,561.79736,3.3180227,-9.878466,0.13781603,1.0,172.33902,0.118465304,-7.6822367,0.08268207,1.0,0.15763018,-27.801767,-66.474495,3.7560482,5.102104,524.9117,2.7799034,-9.965326,0.15518813,1.0,174.3998,0.07816064,-7.7240915,0.09314587,1.0,0.20045193,-26.298334,-66.41522,3.7213516,5.467329,0.006367297697067261,973.9014036655426,20000
23.391289,-26.09497,524.3656,531.59216,2.9870274,-9.883633,0.13884948,1.0,154.0454,0.15487039,-7.6581326,0.07665615,1.0,0.433659,-26.775702,-75.19603,3.871548,4.6040926,556.96045,3.2659268,-9.961071,0.15433727,1.0,175.31941,0.15189636,-7.702346,0.08770937,1.0,0.24113905,-28.321924,-74.85537,3.9344158,3.5899792,0.006173979806900025,1004.771317243576,25000
16.389887,-17.438107,388.57617,552.0045,3.4128332,-9.888478,0.13981867,1.0,171.60632,0.16172616,-7.6545987,0.0757727,1.0,0.29539594,-30.647522,-81.48868,4.2532377,4.736657,584.2787,3.6678164,-9.981798,0.15848264,1.0,164.00879,0.016303446,-7.690341,0.08470821,1.0,0.2028916,-31.932562,-81.44787,4.383871,3.2744088,0.00618143720626831,1035.6785151958466,30000
18.097574,-11.633056,385.02164,546.6553,2.900578,-9.904526,0.143028,1.0,184.89305,0.15860537,-7.6533847,0.07546916,1.0,0.32763967,-30.429853,-86.51824,4.316153,3.7371347,585.19275,3.592091,-9.864891,0.13510118,1.0,192.38948,0.2704479,-7.6958356,0.086081855,1.0,0.26592633,-30.499573,-86.84484,4.400426,4.856363,0.0061605986595153804,1066.4815196990967,35000
24.91657,-27.236496,528.3144,575.19293,3.410839,-9.818045,0.12573177,1.0,181.2662,0.26447588,-7.6488132,0.07432625,1.0,0.23379478,-33.35427,-90.850525,4.6111617,4.4571652,586.6971,3.604144,-9.942152,0.15055327,1.0,199.78494,0.3439188,-7.710802,0.08982354,1.0,0.10753127,-31.842442,-89.74623,4.46367,4.420598,0.006172958469390869,1097.3463242053986,40000
24.467838,-34.734127,402.36847,552.0126,3.252678,-9.891762,0.14047532,1.0,155.07053,0.17417148,-7.6463695,0.07371536,1.0,0.14953566,-32.43058,-92.99299,4.3972187,3.1375003,568.10803,3.1829495,-9.932357,0.14859429,1.0,168.0867,0.2750606,-7.698188,0.086669944,1.0,0.15473704,-32.34364,-93.12589,4.511057,4.6116157,0.006256377553939819,1128.6282255649567,45000
69.22569,-108.78797,1329.8518,572.322,3.4707012,-9.901505,0.14242406,1.0,173.68295,0.28131822,-7.6623297,0.07770528,1.0,0.10042602,-33.61455,-95.79111,4.45564,5.1013727,595.23444,3.3941617,-10.072407,0.17660439,1.0,199.56274,0.15930076,-7.719348,0.09195995,1.0,0.16932386,-32.347816,-95.3133,4.462014,5.548638,0.0061609773635864255,1159.4331262111664,50000
