training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.85846,-4.650434,13.951302,0.022296589,3.7376873,0.9071589,-3.3906772,1.0,0.99932384,0.6923828,0.002095989,-22.11488,-22.135784,-0.73205745,50.13105,1.7767736,5.417958e-06,0.05862482,-0.061678,0.88747156,14.838002,-4.6467724,13.940317,0.020831866,4.439803,0.89768535,-3.985547,1.0,0.9980898,0.33496094,0.0049229185,-21.065773,-21.085327,-1.0635151,111.94526,2.2606304,7.076768e-08,0.1484164975643158,742.082503080368,5000
14.711033,-4.642495,13.927486,0.019121116,3.322319,0.7835461,-2.603191,1.0,0.9994345,0.8095703,0.0015503427,-21.227037,-21.248034,0.2513698,103.49063,4.158312,3.793943e-05,0.050808333,-0.09460284,0.76545495,14.873951,-4.6481733,13.944519,0.021392155,5.702341,0.92943215,-5.29994,1.0,0.998189,0.34765625,0.0051321285,-20.550953,-20.56984,-1.2295499,966.4334,5.1594324,1.6012755e-11,0.002932538366317749,756.7452034950256,10000
14.638615,-4.641865,13.925594,0.0188688,3.1852803,0.7130206,-2.2711713,1.0,0.99951077,0.84375,0.0012829932,-20.898254,-20.919601,0.9410047,1290.7855,8.493467,1.6410509e-07,0.110670224,-0.054785255,0.9579372,14.882272,-4.643554,13.930663,0.019544657,6.827628,0.9516083,-6.4972286,1.0,0.99828434,0.34570312,0.0053531798,-20.288418,-20.306591,-1.6972203,248.50865,5.4467993,1.4188424e-09,0.002938105058670044,771.4357376098633,15000
14.559039,-4.6408134,13.92244,0.018448329,2.794605,0.63659984,-1.7790458,1.0,0.9995775,0.8671875,0.0010629235,-20.6773,-20.698418,0.92484605,300.7521,6.4687185,1.5305696e-06,0.073571704,-0.11316925,0.8251595,14.895414,-4.64827,13.944811,0.021431059,6.7409635,0.95060354,-6.4079847,1.0,0.99839497,0.34960938,0.005430556,-20.153725,-20.171303,-2.1712155,1198.5779,6.9510674,9.2706637e-10,0.0029511752128601075,786.1916222572327,20000
14.512955,-4.6425085,13.9275255,0.019126382,2.8561714,0.5854293,-1.672087,1.0,0.9996128,0.8779297,0.000999935,-20.330896,-20.351866,1.1179857,423.3296,7.4994946,2.2317057e-05,0.11847394,-0.04691649,0.8213217,14.861233,-4.638854,13.916563,0.017664675,7.2982483,0.9446697,-6.8944354,1.0,0.99847794,0.34472656,0.005119631,-19.763084,-19.780312,-2.1390471,1349.2743,6.1087074,1.8681243e-08,0.0029630104064941407,801.0066831111908,25000
14.453748,-4.6448812,13.934642,0.020075282,2.6494403,0.51910585,-1.3753405,1.0,0.99959946,0.88183594,0.0010257196,-19.76469,-19.785278,1.2969165,181.39542,8.466944,3.0352842e-07,0.07033757,-0.064595625,0.77954304,14.886414,-4.641204,13.923611,0.01860437,7.443884,0.9628024,-7.1669903,1.0,0.9985485,0.3486328,0.005355646,-19.37091,-19.387333,-2.5687728,898.97064,4.556653,1.05335185e-11,0.002996573829650879,815.9895620346069,30000
14.434761,-4.6410007,13.923002,0.018523276,2.6431208,0.51175886,-1.352641,1.0,0.9996424,0.8857422,0.0009333224,-19.660858,-19.681295,1.2447655,178.6448,7.8469887,6.886542e-06,0.042520903,-0.08231724,0.6873692,14.888756,-4.6403966,13.921189,0.018281525,7.385626,0.9675667,-7.1460867,1.0,0.9984865,0.32128906,0.0054683974,-19.177048,-19.193205,-2.6482782,756.89014,5.6158347,1.1694559e-10,0.0029685627460479735,830.83238697052,35000
14.417153,-4.6379976,13.913993,0.01732204,2.4740314,0.50316024,-1.2448347,1.0,0.99962807,0.8876953,0.0009282521,-19.478058,-19.498274,1.2033653,450.30484,7.623296,0.00012072543,0.079331465,-0.08294543,0.6612536,14.900044,-4.644726,13.934177,0.02001327,7.53788,0.965867,-7.28059,1.0,0.99847317,0.328125,0.00521173,-18.99604,-19.012169,-2.4951935,2376.3425,5.9632273,2.1113529e-09,0.002971881151199341,845.6918022632599,40000
14.5239105,-4.637803,13.913408,0.017244076,2.6717575,0.6105019,-1.6311135,1.0,0.9996128,0.88964844,0.0009317397,-19.526512,-19.546618,1.0414485,331.09946,5.9993687,5.8953483e-05,0.06400864,-0.08799672,0.66343117,14.889033,-4.638147,13.91444,0.01738159,7.681748,0.9745928,-7.486577,1.0,0.9986286,0.3466797,0.0052238703,-19.17844,-19.194407,-2.8458638,520.1724,4.327361,4.894943e-09,0.0029758159637451173,860.5708909034729,45000
14.477584,-4.6400986,13.920296,0.01816233,2.3853264,0.5572879,-1.329314,1.0,0.9995899,0.875,0.00095738086,-19.47607,-19.496151,1.0642738,85.74632,5.5372806,0.0001161066,0.062354915,-0.04499648,0.7648245,14.912218,-4.646068,13.938204,0.020550232,7.612312,0.9740142,-7.414501,1.0,0.99859905,0.31445312,0.005400016,-19.027687,-19.043102,-3.2570858,461.7815,3.0733957,5.3918932e-11,0.0029813005447387694,875.4774029254913,50000
