training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.6513786,-4.6513786,4.6513786,0.022674408,18.382599,0.9999999,-18.382599,1.0,0.34998322,0.0,-14.278427,-23.231565,0.20544454,-0.66249746,17.2008,1.2202557,-13.607362,-22.486496,0.041917644,5.647047,-4.647047,4.647047,0.020941714,18.304066,0.99999994,-18.304066,1.0,0.34279644,0.0,-14.570268,-23.14941,0.9100277,-13.922098,-22.37675,0.03428831,0.17602429246902465,880.1214756965637,5000
5.6504054,-4.6504107,4.6504107,0.022287067,26.273903,0.9999946,-26.273762,1.0,0.66845375,0.0,-19.99958,-38.49986,0.61043775,-0.6084154,23.411236,0.8464792,-19.49715,-37.916496,0.09576051,5.650997,-4.651017,4.651017,0.022529947,26.581406,0.99998,-26.580875,1.0,0.68876773,0.0,-21.255806,-38.502018,0.8535242,-20.743546,-37.687267,0.091380045,0.0028936503410339357,894.5897357463837,10000
5.642069,-4.642069,4.642069,0.018950447,30.29079,0.99999994,-30.29079,1.0,0.9591605,0.0,-24.396187,-49.452785,0.5224756,-0.4490286,28.305454,0.6583186,-23.938297,-48.81613,0.10157661,5.6470127,-4.6470127,4.6470127,0.020928044,31.335209,1.0,-31.335209,1.0,0.86199045,0.0,-24.534208,-49.012257,0.63557535,-24.076405,-48.49822,0.102102205,0.0029031508445739747,909.1054975986481,15000
5.6444054,-4.6444054,4.6444054,0.019885063,34.02318,1.0,-34.02318,1.0,1.2207359,0.0,-25.466766,-56.912727,0.4355407,-1.4281042,46.538918,0.8909049,-25.056255,-56.40912,0.12928295,5.6463337,-4.6463337,4.6463337,0.020656353,33.503258,1.0,-33.503258,1.0,1.2018038,0.0,-26.083393,-57.306675,0.7202719,-25.643839,-56.57731,0.16596334,0.002911992835998535,923.6654734611511,20000
5.638853,-4.638853,4.638853,0.017664477,35.129368,1.0,-35.129368,1.0,1.2325861,0.0,-27.553587,-61.815044,0.80999017,-0.9492196,48.68698,0.4929396,-27.102371,-61.41207,0.17454432,5.6464634,-4.6464634,4.6464634,0.020708386,35.250626,1.0,-35.250626,1.0,1.6414866,0.0,-28.077637,-62.26055,0.7946339,-27.663986,-61.93198,0.12633252,0.002949093437194824,938.4109487533569,25000
5.637924,-4.637924,4.637924,0.017292656,35.31333,1.0,-35.31333,1.0,1.346636,0.0,-29.22729,-65.319756,0.65170884,-0.70596206,35.315556,0.78395414,-28.812569,-64.95728,0.1722139,5.6433725,-4.6433725,4.6433725,0.01947183,36.09855,1.0,-36.09855,1.0,0.95716065,0.0,-27.863762,-65.94839,0.80627257,-27.491236,-65.821365,0.13421443,0.002941693353652954,953.1194229125977,30000
5.638743,-4.638747,4.638747,0.017621791,37.4028,0.9999956,-37.402637,1.0,0.6430548,0.0,-29.190731,-69.17439,0.5153264,-0.51351285,27.679476,0.7347126,-28.77491,-68.80522,0.116225,5.641243,-4.6412497,4.6412497,0.018622823,36.97775,0.9999934,-36.977505,1.0,0.74549973,0.0,-29.145504,-67.72311,0.714351,-28.735058,-67.402405,0.11406462,0.0029155752182006838,967.6973066329956,35000
5.6381497,-4.6381497,4.6381497,0.017382871,37.41636,1.0,-37.41636,1.0,0.77231157,0.0,-30.031055,-70.64717,0.5794532,-0.50247836,24.264212,0.58780515,-29.639212,-70.40456,0.15519258,5.6449156,-4.6449156,4.6449156,0.0200891,37.75899,1.0,-37.75899,1.0,0.71058667,0.0,-30.019339,-68.77454,0.4673107,-29.653412,-68.482475,0.101374134,0.0029538757801055907,982.4666934013367,40000
5.6383944,-4.6383944,4.6383944,0.017480755,37.233177,1.0,-37.233177,1.0,0.8330107,0.0,-30.80708,-71.47891,0.55308586,-0.42642,20.939898,0.53052634,-30.46211,-71.26154,0.09703608,5.646655,-4.646655,4.646655,0.020785017,37.377167,1.0,-37.377167,1.0,0.93965185,0.0,-30.411873,-70.11744,0.78695196,-30.064348,-70.02107,0.16035515,0.002937583637237549,997.1546199321747,45000
5.6379027,-4.6379027,4.6379027,0.017284065,38.70052,1.0,-38.70052,1.0,0.7773886,0.0,-30.360481,-70.57055,0.37272155,-0.60890156,26.012547,1.0057234,-29.957787,-70.04253,0.16867436,5.6463428,-4.6463428,4.6463428,0.020659957,37.22358,1.0,-37.22358,1.0,1.009891,0.0,-29.749619,-70.503746,0.4498504,-29.397997,-70.48597,0.101475805,0.0028504729747772218,1011.4069938659668,50000
5.6413293,-4.6413293,4.6413293,0.018654663,38.975502,1.0,-38.975502,1.0,0.8569631,0.0,-29.539303,-71.058914,0.5762212,-0.73331,32.182667,0.6204939,-29.151829,-70.91958,0.18197581,5.655297,-4.655297,4.655297,0.024241686,38.59966,1.0,-38.59966,1.0,0.83153456,0.0,-30.007032,-71.29717,0.41060734,-29.64325,-71.04312,0.12860474,0.00283056902885437,1025.5598480701447,55000
5.634986,-4.634986,4.634986,0.016117277,36.596115,1.0,-36.596115,1.0,0.58553773,0.0,-31.113054,-71.86271,0.5260831,-0.39619628,20.288813,0.7041804,-30.75769,-71.37119,0.08912818,5.6504216,-4.6504216,4.6504216,0.022291644,37.554874,0.99999994,-37.554874,1.0,0.8279456,0.0,-32.068237,-72.8257,0.47148347,-31.671722,-72.49392,0.117412955,0.002934901189804077,1040.2343637943268,60000
5.634718,-4.634718,4.634718,0.01601007,39.104,1.0,-39.104,1.0,0.62023705,0.0,-32.168972,-72.53697,0.6295555,-0.6331567,24.011183,0.38240954,-31.809216,-72.305336,0.10329372,5.6442676,-4.6442676,4.6442676,0.01983001,39.316,1.0,-39.316,1.0,0.6285909,0.0,-32.11949,-73.570885,0.6228705,-31.768013,-73.26008,0.10433242,0.0028729541778564453,1054.599142074585,65000
5.6348104,-4.6348104,4.6348104,0.01604709,38.761063,1.0,-38.761063,1.0,0.8701311,0.0,-29.795029,-74.94778,0.7181782,-0.57091767,26.042198,0.7483536,-29.454697,-74.69752,0.1125713,5.6472025,-4.6472025,4.6472025,0.021003986,39.029633,1.0,-39.029633,1.0,0.84461397,0.0,-32.471786,-74.83176,0.63468856,-32.09762,-74.55014,0.1507723,0.00315567684173584,1070.3775351047516,70000
5.6361713,-4.6361713,4.6361713,0.016591517,38.914288,0.99999994,-38.914288,1.0,0.73611534,0.0,-32.511055,-75.6057,1.0555806,-0.90453523,32.814346,0.5026642,-32.15889,-75.2539,0.10490669,5.6494913,-4.6494913,4.6494913,0.021919522,37.978516,1.0,-37.978516,1.0,0.7243657,0.0,-32.963295,-74.06505,0.5041651,-32.579975,-73.75843,0.1366744,0.0029069101810455323,1084.9120950698853,75000
5.6364775,-4.6364784,4.6364784,0.016714497,38.69715,0.999999,-38.697113,1.0,0.60436296,0.0,-32.9011,-75.862885,0.46454608,-0.43085653,17.306862,0.44109565,-32.549107,-75.64475,0.1240332,5.6502156,-4.6502156,4.6502156,0.022209285,39.112427,1.0,-39.112427,1.0,0.70163757,0.0,-32.72386,-75.7522,0.7283008,-32.35425,-75.57216,0.12929085,0.002804429054260254,1098.9342477321625,80000
5.6395025,-4.6395025,4.6395025,0.017924024,37.56088,1.0,-37.56088,1.0,0.8489207,0.0,-33.6839,-77.56539,1.6461751,-1.649791,44.465584,0.42396152,-33.37069,-77.562004,0.10837868,5.6445384,-4.6445384,4.6445384,0.019938374,39.016083,1.0,-39.016083,1.0,0.9283698,0.0,-34.34871,-76.574486,0.41194606,-34.014534,-76.386894,0.111303225,0.002753108263015747,1112.6997964382172,85000
5.632559,-4.632559,4.632559,0.01514667,39.478573,1.0,-39.478573,1.0,1.3644402,0.0,-33.31436,-78.37294,2.0187254,-2.5827863,46.91201,0.5469469,-32.95318,-78.18693,0.1104544,5.647969,-4.647969,4.647969,0.021310488,39.406105,1.0,-39.406105,1.0,0.6660962,0.0,-32.564213,-78.21889,0.8442894,-32.186493,-77.91854,0.18739367,0.0027336191177368165,1126.367900133133,90000
5.632533,-4.632533,4.632533,0.015136145,39.770466,1.0,-39.770466,1.0,0.80894226,0.0,-34.054886,-79.84742,1.2853658,-1.5602336,36.30064,0.45213032,-33.669296,-79.8573,0.11472834,5.659336,-4.659336,4.659336,0.025857324,39.50468,1.0,-39.50468,1.0,0.63977003,0.0,-33.99007,-79.607796,0.74283606,-33.641533,-79.273766,0.1266865,0.002749079513549805,1140.1133053302765,95000
5.6298246,-4.6298246,4.6298246,0.014052746,39.90251,1.0,-39.90251,1.0,0.73381203,0.0,-34.48845,-82.324066,1.152468,-0.87630063,31.714565,0.5632398,-34.169518,-82.03225,0.15743929,5.647911,-4.647911,4.647911,0.021287434,39.913937,1.0,-39.913937,1.0,0.74473256,0.0,-33.053234,-82.2365,0.46535158,-32.722923,-82.08206,0.10515958,0.0027341060638427736,1153.783843278885,100000
5.632475,-4.632475,4.632475,0.015112876,39.657356,1.0,-39.657356,1.0,1.0783806,0.0,-34.275085,-83.37,3.6203928,-1.4371921,58.210342,0.5060915,-33.93598,-83.12461,0.19719379,5.6460752,-4.6460752,4.6460752,0.020552987,40.357765,1.0,-40.357765,1.0,1.4009719,0.0,-33.378723,-81.59836,0.64480764,-33.02969,-81.3989,0.12012287,0.1643767324924469,1975.6675131320953,105000
5.6318946,-4.6318946,4.6318946,0.014880627,39.68248,1.0,-39.68248,1.0,0.6953213,0.0,-33.784645,-83.652824,1.1428943,-2.5085812,30.583,0.9410702,-33.476418,-83.328995,0.0878385,5.651721,-4.651724,4.651724,0.022812555,38.866615,0.9999969,-38.866497,1.0,0.6355026,0.0,-35.52388,-83.23911,0.46186212,-35.173096,-82.95285,0.108403735,0.002847619915008545,1989.9056205749512,110000
5.6311436,-4.6311436,4.6311436,0.014580453,39.263626,1.0,-39.263626,1.0,0.6683485,0.0,-34.02421,-85.033875,0.84607923,-0.90982926,24.510227,0.5752074,-33.72057,-84.91887,0.088395596,5.6541653,-4.6541653,4.6541653,0.023789097,40.060844,1.0,-40.060844,1.0,0.75416154,0.0,-32.84545,-84.545296,0.4183014,-32.552383,-84.38157,0.07847868,0.002787081289291382,2003.8410339355469,115000
5.6291423,-4.6291423,4.6291423,0.013779833,41.126083,1.0,-41.126083,1.0,0.47467345,0.0,-34.994705,-85.015625,0.37577257,-0.41893482,18.335852,0.507475,-34.66571,-84.9426,0.11287525,5.651897,-4.651897,4.651897,0.022881882,40.074577,1.0,-40.074577,1.0,0.96374214,0.0,-33.744476,-84.249725,0.4376537,-33.382683,-83.88063,0.35220426,0.002742460346221924,2017.5533435344696,120000
5.630028,-4.630028,4.630028,0.014134238,39.532345,1.0,-39.532345,1.0,0.5934044,0.0,-34.36771,-85.70798,1.2470156,-1.2508625,20.410973,0.65824455,-34.068733,-85.50664,0.107863195,5.6535215,-4.6535215,4.6535215,0.023531446,39.743923,1.0,-39.743923,1.0,0.71256244,0.0,-36.41626,-85.07051,0.44970876,-36.08379,-84.62118,0.14866014,0.0027187151432037353,2031.1469271183014,125000
5.6318474,-4.6318474,4.6318474,0.014861956,40.203583,1.0,-40.203583,1.0,0.53494346,0.0,-35.532562,-85.74485,0.60895175,-0.55112857,21.868145,0.30546576,-35.24813,-85.630615,0.09973158,5.6516104,-4.6516104,4.6516104,0.022767246,40.687294,1.0,-40.687294,1.0,0.59398216,0.0,-34.844193,-85.36557,0.30505177,-34.552376,-85.3259,0.09430705,0.002675440549850464,2044.524137020111,130000
5.631338,-4.631338,4.631338,0.014658034,40.445164,0.99999994,-40.445164,1.0,0.59165597,0.0,-34.85794,-86.076126,0.61440045,-0.62879634,18.651157,0.49802,-34.51516,-85.91956,0.104861334,5.6613445,-4.6613445,4.6613445,0.026660813,39.865562,1.0,-39.865562,1.0,0.5567788,0.0,-33.178658,-84.82346,0.83187854,-32.83692,-84.65191,0.1492692,0.0027916507720947264,2058.482398033142,135000
5.6301613,-4.6301613,4.6301613,0.014187603,39.436165,0.99999994,-39.436165,1.0,0.9232009,0.0,-34.15512,-87.32993,0.7520278,-0.7514492,26.575142,0.46769786,-33.80415,-87.22923,0.17246187,5.653104,-4.653104,4.653104,0.023364363,39.493313,1.0,-39.493313,1.0,0.64652395,0.0,-34.855423,-86.47175,0.5643502,-34.5567,-86.2896,0.14668545,0.002780976390838623,2072.387287378311,140000
