training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
95.65785,0.090563886,-4.666686,0.028797532,1.0,0.44028437,-1.420586,11.438453,0.931823,-15.267247,-24.837833,0.09073381,94.41221,0.119888246,-4.6623793,0.027074698,1.0,0.8786877,-15.755108,-25.126575,0.10285558,0.15152851543426513,757.6426062583923,5000
146.64142,0.1237377,-4.663513,0.027528143,1.0,0.9029246,-0.7886931,15.802734,0.7035472,-22.434555,-43.171547,0.17871557,143.06316,0.11983836,-4.6660404,0.028539015,1.0,0.5632509,-23.973259,-44.11232,0.15218183,0.0024770583629608153,770.0280079841614,10000
176.29868,0.1647868,-4.651559,0.022746488,1.0,0.8582059,-1.0183718,15.220514,0.8157376,-28.298405,-59.87539,0.21263678,181.42346,0.17915072,-4.6645684,0.02795035,1.0,0.4987867,-28.518326,-58.673134,0.26547635,0.0025684428691864014,782.8702878952026,15000
179.146,0.15499753,-4.6568365,0.024857571,1.0,0.96975225,-1.6515276,25.044512,0.53028893,-30.10603,-69.43056,0.35589856,192.5818,0.14990577,-4.6591015,0.025763506,1.0,0.7375259,-30.656557,-68.39455,0.32816488,0.0025374442100524904,795.5575406551361,20000
187.1493,0.11160411,-4.652542,0.0231397,1.0,1.3791332,-0.41619483,19.401245,0.5160728,-32.427704,-75.994705,0.33219188,188.64142,0.15268366,-4.660914,0.026488448,1.0,0.8139607,-32.78208,-75.41361,0.30432093,0.0024967992305755613,808.0415613651276,25000
202.30853,0.1483868,-4.648643,0.021580154,1.0,0.86068714,-1.1086879,19.268387,0.6633673,-33.77253,-80.60045,0.3221895,193.40233,0.16417769,-4.6505895,0.022358824,1.0,0.76316917,-32.510403,-81.38941,0.27024755,0.0025398286342620847,820.7407310009003,30000
199.6039,0.199302,-4.644834,0.02005655,1.0,0.7679371,-1.5677432,23.723171,0.43267068,-33.69998,-83.812805,0.3334071,196.10101,0.2075366,-4.649775,0.022033004,1.0,0.61692905,-33.790104,-81.675865,0.24968207,0.0025248340606689452,833.3649308681488,35000
201.57095,0.14958489,-4.646902,0.020883612,1.0,1.15623,-1.127526,19.425615,0.40187925,-34.848473,-86.72873,0.33249566,185.78426,0.16456515,-4.6586437,0.02558045,1.0,0.36927056,-35.23847,-85.3734,0.2464759,0.0024958112716674803,845.8440163135529,40000
197.98392,0.17532152,-4.6500807,0.022155035,1.0,1.1623689,-1.2732097,18.884691,1.0402036,-36.359917,-89.32007,0.23637947,197.50928,0.1732534,-4.658846,0.025661414,1.0,0.38820022,-35.36316,-86.273224,0.37682444,0.002406725883483887,857.8776655197144,45000
190.68503,0.14832814,-4.6478796,0.021274872,1.0,1.1353986,-0.8024435,24.255417,0.57585067,-35.445312,-90.02793,0.48760092,204.41806,0.14422128,-4.6575184,0.025130302,1.0,0.36678874,-34.77257,-89.327286,0.52053386,0.002495995330810547,870.357672214508,50000
198.91565,0.18026562,-4.6542654,0.023829047,1.0,0.7365386,-0.931665,20.104923,0.6864232,-34.326744,-89.09909,0.29399353,202.64957,0.19977655,-4.669311,0.029847411,1.0,0.6514021,-34.91785,-89.95938,0.31306213,0.0024668546199798583,882.691974401474,55000
213.15913,0.24545148,-4.6411123,0.018567942,1.0,1.1291997,-1.5898786,19.673174,0.715832,-35.732082,-92.96643,0.29868782,207.80154,0.16904478,-4.6590934,0.025760302,1.0,0.7320555,-36.877396,-91.600555,0.29453406,0.0023536611557006836,894.4603083133698,60000
201.60175,0.1795797,-4.645486,0.020317432,1.0,0.7465932,-1.3387778,18.31257,0.45758557,-37.374016,-93.26406,0.3317113,198.76218,0.14595518,-4.6517687,0.022830514,1.0,0.52731097,-36.69444,-91.93701,0.24700287,0.0026683938026428222,907.8023326396942,65000
196.635,0.19941303,-4.6444025,0.01988392,1.0,0.78946126,-1.3996146,18.421099,0.56888866,-33.9924,-92.871185,0.23485631,201.23816,0.1814676,-4.6504536,0.022304459,1.0,0.5702367,-36.849846,-93.219696,0.24056724,0.0025405540466308593,920.5051338672638,70000
197.51746,0.16467613,-4.6470256,0.020933291,1.0,1.3732824,-1.194046,16.432974,0.49478352,-36.680046,-94.22078,0.22423646,193.05272,0.1451204,-4.64768,0.02119478,1.0,0.4651072,-37.258636,-93.88986,0.3200538,0.0024729536056518554,932.8699312210083,75000
201.40958,0.19464996,-4.6504436,0.02230046,1.0,0.6536219,-0.7367585,15.562618,0.5854121,-36.900455,-94.628525,0.26225966,196.00516,0.15315622,-4.652428,0.023094246,1.0,0.36533633,-37.120193,-94.16873,0.3019691,0.0025059210777282717,945.3995645046234,80000
203.5868,0.13801137,-4.649028,0.021734096,1.0,1.5338954,-1.508404,28.035023,0.4606222,-38.001904,-94.77725,0.41381875,194.05412,0.17456289,-4.652257,0.023025883,1.0,0.40702203,-38.65679,-93.91055,0.45460722,0.002502365446090698,957.9114234447479,85000
192.18462,0.16322094,-4.6453,0.020242704,1.0,0.8488209,-1.19035,22.580414,0.2631362,-37.028282,-95.74913,0.34696233,192.02179,0.12006505,-4.655184,0.024196452,1.0,0.40750885,-36.336884,-93.86879,0.34837767,0.002455304527282715,970.1879761219025,90000
205.31462,0.14764991,-4.6438093,0.01964659,1.0,0.92680174,-1.5890859,18.043312,0.4561752,-37.44188,-95.20846,0.23691428,197.93149,0.1674919,-4.649741,0.022019377,1.0,0.6542134,-37.473793,-95.05806,0.25632536,0.002543441867828369,982.905214548111,95000
202.1018,0.2229816,-4.638518,0.017530112,1.0,1.8466048,-1.207551,24.273495,0.47305942,-38.021965,-96.72364,0.3609171,209.64603,0.18732916,-4.6582894,0.025438685,1.0,0.2691251,-36.174923,-97.509964,0.2369214,0.002474729108810425,995.2788889408112,100000
206.80386,0.1867103,-4.643638,0.019578233,1.0,1.0344224,-0.89820904,18.457684,0.31922668,-37.517353,-95.95642,0.3393829,194.59488,0.15849423,-4.648015,0.021328947,1.0,0.55335927,-36.571075,-94.678604,0.38436964,0.14943028383255005,1742.430377483368,105000
200.83214,0.20471531,-4.6394124,0.01788792,1.0,0.71004105,-0.9274029,18.737959,0.46927515,-36.807938,-97.504555,0.25579965,194.60474,0.13376877,-4.658288,0.025438173,1.0,0.47420174,-38.59722,-95.1852,0.34270734,0.002431351613998413,1754.5871739387512,110000
214.37033,0.20797502,-4.6420527,0.018943882,1.0,1.4935902,-0.918933,19.343061,0.5158931,-36.91098,-95.653305,0.24150966,204.63568,0.20747359,-4.6524687,0.023110315,1.0,0.4241113,-35.522774,-95.47136,0.17717549,0.0024501490116119384,1766.837946653366,115000
193.06265,0.17925408,-4.64082,0.01845103,1.0,1.5726147,-0.7836106,16.620623,0.340626,-37.78879,-96.09679,0.2488899,197.01123,0.17002496,-4.653764,0.023628445,1.0,0.5915842,-36.383854,-94.50905,0.68768346,0.0024408095359802246,1779.0420279502869,120000
