training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
9.351848,-5.0638075,121.15174,277.62732,0.8066031,-10.2781,0.21774296,1.0,126.69563,0.81891835,-4.6476483,0.021182457,1.0,-0.04713808,-16.638111,-25.720348,0.53010994,251.34042,0.77767086,-10.298099,0.22174259,1.0,125.18484,0.7977992,-4.650564,0.02234878,1.0,-0.09898265,-17.081453,-25.652443,0.26469406,0.1849416319847107,924.7082114219666,5000
4.829627,-8.720271,133.97517,423.19083,1.3769364,-9.91699,0.14552106,1.0,100.16492,0.7239331,-4.659311,0.02584728,1.0,0.2759608,-25.411541,-42.894844,0.5130286,413.7874,1.1685258,-9.974092,0.1569413,1.0,101.83826,0.7307295,-4.651304,0.022644455,1.0,0.35296583,-25.184624,-42.869392,0.57895195,0.0033746142864227295,941.5812904834747,10000
4.8939157,-3.5352087,112.96003,514.0636,1.830441,-9.744226,0.11096837,1.0,137.01492,0.896301,-4.6365943,0.016760718,1.0,0.28250873,-31.936722,-56.43911,1.2434213,491.61615,1.6291552,-9.789383,0.11999959,1.0,136.87814,0.90098166,-4.642533,0.01913613,1.0,0.209243,-31.399569,-56.469677,0.85864764,0.0034390130043029784,958.7763652801514,15000
5.7896023,-6.3702955,112.04479,541.4302,1.8253331,-9.788908,0.11990452,1.0,135.68156,0.9233619,-4.6397457,0.018021187,1.0,0.33169514,-34.734703,-66.90863,0.90252244,556.9203,1.3946059,-9.779726,0.11806808,1.0,131.28522,0.8769627,-4.649887,0.022077857,1.0,0.14212985,-34.941032,-66.81917,0.7012886,0.0033532792568206787,975.5427691936493,20000
9.113254,-4.197788,123.80309,587.18164,2.1192682,-9.676804,0.0974836,1.0,117.191986,0.8691536,-4.640107,0.018165804,1.0,0.09525254,-36.73815,-75.0211,0.720229,564.7237,1.647243,-9.714308,0.10498438,1.0,123.663124,0.86382353,-4.644249,0.019822625,1.0,0.058130417,-37.079346,-75.26106,0.93120134,0.0033468835830688477,992.2771949768066,25000
7.0129795,-7.5378675,114.15318,595.3449,1.8506204,-9.642292,0.09058154,1.0,136.58456,0.9382856,-4.650299,0.022242501,1.0,0.3947271,-38.72694,-81.48902,1.157166,610.37524,2.1543741,-9.712444,0.10461184,1.0,134.59976,0.902292,-4.6511064,0.022565546,1.0,0.20428118,-36.93139,-81.39383,1.2724526,0.0033870205879211425,1009.2123055458069,30000
6.8138127,-6.9837885,240.0592,584.61633,1.8195652,-9.681992,0.09852129,1.0,109.61304,0.8259121,-4.6359825,0.01651606,1.0,0.13459823,-38.55431,-86.2045,1.6228136,612.96533,2.080306,-9.670879,0.09629877,1.0,96.41594,0.7551222,-4.64163,0.018775074,1.0,0.05988427,-37.21872,-86.39823,0.80517393,0.003549224662780762,1026.9584379196167,35000
2.7339866,-3.5420957,126.05988,582.3144,1.7982287,-9.655277,0.09317854,1.0,113.77046,0.8070147,-4.6420774,0.018954018,1.0,0.1257545,-40.709076,-89.75755,1.6797396,607.0683,1.9473492,-9.699328,0.10198858,1.0,112.1066,0.8186815,-4.642683,0.01919621,1.0,0.18550242,-40.97532,-89.69948,1.9671718,0.0033680184841156004,1043.7985377311707,40000
2.4800706,-1.9507952,119.31938,596.0229,2.0192962,-9.667191,0.09556097,1.0,105.56528,0.87200654,-4.642337,0.019057779,1.0,0.16709071,-41.53263,-92.36337,1.4928039,583.97266,1.8171656,-9.647581,0.09163921,1.0,105.812164,0.8233507,-4.6436286,0.019574394,1.0,0.16472457,-40.913322,-92.006165,1.1568832,0.003350750017166138,1060.552297592163,45000
8.318743,-10.750335,144.61722,615.5283,1.9172344,-9.713741,0.10487131,1.0,89.13469,0.74465805,-4.641115,0.018569,1.0,0.24317707,-41.55202,-94.59213,0.847485,622.0039,1.9643302,-9.689079,0.09993895,1.0,92.14021,0.7510833,-4.6460743,0.020552678,1.0,0.19567414,-41.54232,-94.20047,1.0777965,0.0033474338054656984,1077.2894749641418,50000
