training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
2.3945537,-4.648512,1.3945537,0.02152781,118.57396,1.0,-118.57396,1.0,2.05759,8.9988575,-30.51012,253.2816,75.98778,1235.0728,639.89954,59.426003,6.057616,44.02382,2.0519655,0.051713943,5.0785737,-30.51012,76.241714,106.75183,2.3932467,-4.6441545,1.3932465,0.019784866,111.169075,1.0,-111.169075,1.0,2.170553,80.89219,1212.8542,629.32104,21.950695,6.662238,37.047657,2.158363,0.05716075,5.0797644,-33.58861,81.14618,114.73479,0.1622205672264099,811.1028618812561,5000
2.393188,-4.64396,1.3931881,0.019707114,89.41449,1.0,-89.41449,1.0,1.7056466,19.450993,-61.054176,551.8681,109.70833,1111.8906,519.01,6.3825755,3.941667,43.788437,1.6696621,0.02930967,15.688437,-61.054176,110.492744,171.54692,2.3936582,-4.645528,1.3936582,0.020333849,91.64567,1.0,-91.64567,1.0,1.7092338,114.22633,1070.8875,508.7143,14.053547,2.2294793,11.545488,1.6711967,0.024445008,15.6918125,-34.19998,115.010925,149.2109,0.006034843111038208,841.2770853042603,10000
2.3911576,-4.637192,1.3911576,0.016999764,64.204666,1.0,-64.204666,1.0,1.195671,28.261066,-66.07176,675.6223,153.55516,992.6968,417.94104,30.610468,1.2366705,19.340042,1.1710014,0.002794271,55.67827,-66.07176,156.33907,222.41083,2.3929975,-4.643325,1.3929975,0.019452943,70.66123,1.0,-70.66123,1.0,1.2761233,161.66025,1013.17694,407.73688,10.474396,2.648929,28.946117,1.2462044,0.018803965,55.69144,-144.73811,164.44481,309.18292,0.006041567087173462,871.4849276542664,15000
2.391956,-4.6398535,1.3919561,0.018064259,42.647934,1.0,-42.647934,1.0,0.8515209,45.904446,-75.82148,1368.1034,241.13791,694.5015,279.09137,9.229861,0.449488,18.087362,0.84740674,0.030845612,189.79663,-75.82148,250.62775,326.44922,2.3925908,-4.6419687,1.3925908,0.018910537,43.571648,1.0,-43.571648,1.0,0.9416354,250.33498,647.66394,267.4206,6.502943,1.1406238,22.110033,0.9392108,0.015419588,189.834,-207.03749,259.82666,466.86414,0.006038194751739502,901.6759095191956,20000
2.3905678,-4.6352262,1.3905678,0.016213356,30.971024,0.9999999,-30.971024,1.0,0.6224084,149.68547,-115.97323,3534.0725,301.4578,532.32574,206.97887,6.790021,0.27308905,15.863159,0.65234816,0.012067297,517.0721,-115.35312,327.3114,442.66452,2.3926072,-4.642024,1.3926073,0.018932609,31.938515,0.9999999,-31.938515,1.0,0.7263109,309.27542,523.06915,198.21509,6.85294,0.2678137,10.095367,0.72694623,0.011057223,517.19116,-112.65133,335.13498,447.78632,0.006038040447235107,931.866119146347,25000
2.390376,-4.6345873,1.3903762,0.015957886,27.610432,0.99999994,-27.610432,1.0,0.57117283,34.263226,-29.321539,987.14825,317.30765,468.77637,189.24905,3.9316673,0.05942567,6.963496,0.5917255,0.0070338775,816.29926,-7.694167,358.12262,365.81677,2.3922558,-4.640853,1.3922558,0.018463964,30.359434,0.99999994,-30.359434,1.0,0.6439668,321.1615,458.617,185.1838,5.0754585,0.28870836,11.162024,0.6615844,0.012602849,816.34406,-194.86815,361.9787,556.84686,0.006036841058731079,962.0503323078156,30000
2.3907056,-4.635686,1.3907057,0.016397169,28.183022,0.99999994,-28.183022,1.0,0.5410735,32.380882,-43.34178,726.87866,318.2576,486.44632,188.18996,4.4139996,0.03131151,3.0573354,0.58389896,0.0052494206,863.0732,16.129538,361.41125,345.2817,2.3915992,-4.6386633,1.391599,0.017588373,29.841812,1.0,-29.841812,1.0,0.6224425,328.6899,466.68948,177.13156,4.5887213,0.11147319,5.264154,0.6648612,0.017783754,863.1275,-53.0592,371.84628,424.9055,0.006038059520721436,992.2406435012817,35000
2.390399,-4.6346626,1.3903989,0.015988026,31.239899,1.0,-31.239899,1.0,0.61790764,97.05516,-49.890377,865.1826,303.08118,568.8707,205.20192,12.833405,0.040676128,2.9491935,0.6330831,0.005086902,875.66315,8.164572,346.86435,338.69977,2.3927484,-4.642494,1.3927484,0.019120602,32.57345,1.0,-32.57345,1.0,0.6649144,309.71307,510.2381,198.10794,8.902377,0.3422094,11.848215,0.7141051,0.014428295,875.71783,-255.89297,353.499,609.39197,0.006036248254776001,1022.4218924045563,40000
2.3903577,-4.6345263,1.3903579,0.01593335,31.120832,0.99999994,-31.120832,1.0,0.610528,57.005974,-65.8919,991.4907,287.73737,583.57117,222.9072,4.5888596,0.04084952,3.580334,0.6312812,0.018842328,881.9332,8.070111,331.834,323.76392,2.3938572,-4.6461906,1.3938572,0.020599281,32.865444,1.0,-32.865444,1.0,0.7414716,295.31754,528.0108,213.95769,2.368019,1.2542106,27.961191,0.75380754,0.0060460363,881.9135,-1062.0096,339.4131,1401.4227,0.0060381958484649655,1052.61288022995,45000
2.3902547,-4.6341825,1.3902547,0.01579594,32.987377,1.0,-32.987377,1.0,0.6233541,28.104652,-23.32654,688.35706,289.80453,622.00714,220.62206,7.860232,0.02984194,3.363405,0.64066076,0.02858366,890.3045,17.946812,334.31976,316.37296,2.3930786,-4.6435947,1.3930786,0.019560983,32.31379,1.0,-32.31379,1.0,0.68381095,294.76984,558.9174,215.46736,0.8499528,0.5874803,19.340483,0.72793776,0.03107406,890.3113,-478.52478,339.2854,817.8102,0.00603810453414917,1082.8034100532532,50000
