training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.048357,-20.48373,2.048373,0.11295439,6.926074,0.9999839,-6.9259634,1.0,0.9990244,0.046875,0.006436608,-8.768669,-8.771765,-5.601617,1.2188324,0.018807082,1.6124479e-06,0.011599027,-0.011311395,0.42080504,3.0508456,-20.508453,2.0508456,0.11530912,6.9169626,0.9999999,-6.9169626,1.0,0.99902344,0.02734375,0.006519141,-8.739145,-8.742235,-5.5794935,0.24366724,0.009740616,2.5747438e-06,0.36661377234458925,1833.0689039230347,5000
3.039249,-20.398682,2.0398684,0.10485463,6.7703066,0.9993805,-6.7661133,1.0,0.999032,0.09082031,0.0059577194,-9.012632,-9.016527,-5.0283213,2.9548438,0.03744876,6.8835348e-06,0.00796683,-0.010015403,0.39024085,3.0375338,-20.37534,2.037534,0.102631435,6.8617907,0.9999999,-6.8617907,1.0,0.9990244,0.09082031,0.006090463,-9.042853,-9.046658,-5.1515856,1.5854837,0.021834075,6.069602e-06,0.0030579555034637453,1848.3586919307709,10000
3.032055,-20.340258,2.0340257,0.09929036,6.6638656,0.99802923,-6.650734,1.0,0.999032,0.15332031,0.0054941685,-9.31068,-9.31522,-4.6669507,8.23777,0.067483276,7.2197736e-06,0.011072114,-0.012907522,0.35312992,3.03532,-20.353443,2.0353441,0.10054609,6.9293394,0.999976,-6.9291735,1.0,0.99901867,0.10644531,0.0058993567,-9.272361,-9.276586,-4.950446,5.5452447,0.04538717,4.344058e-06,0.003037711572647095,1863.547259092331,15000
3.0209036,-20.283478,2.028348,0.09388286,6.706524,0.9925556,-6.656599,1.0,0.9990444,0.17285156,0.005355982,-9.496973,-9.501919,-4.4375696,23.791746,0.16530442,3.8173134e-06,0.010907503,-0.00780377,0.34551206,3.0280309,-20.288294,2.0288293,0.09434144,6.811084,0.9992015,-6.805646,1.0,0.9989929,0.12207031,0.0059265,-9.432257,-9.436643,-4.944852,10.816807,0.07749345,7.6151025e-07,0.0030460770130157472,1878.7776527404785,20000
3.0223608,-20.24908,2.024908,0.09060692,6.65456,0.99745274,-6.63761,1.0,0.99903584,0.20019531,0.0053658504,-9.571419,-9.57642,-4.4551935,12.163484,0.111438364,3.5360822e-06,0.009922656,-0.012540424,0.3604776,3.028676,-20.290995,2.0290995,0.09459867,6.909969,0.9995767,-6.9070444,1.0,0.9990206,0.12109375,0.005773777,-9.424711,-9.429222,-4.810609,4.0894713,0.052715898,3.5938506e-06,0.0030595181941986084,1894.0752539634705,25000
3.0182478,-20.233847,2.0233846,0.08915598,6.454024,0.9948632,-6.4208717,1.0,0.9990444,0.2265625,0.0050900304,-9.636196,-9.641562,-4.1470604,29.534803,0.18909329,5.2737187e-06,0.012905767,-0.009948498,0.3515061,3.0280385,-20.280386,2.0280385,0.09358831,6.9787025,0.9999999,-6.9787025,1.0,0.9990225,0.14453125,0.005854618,-9.498778,-9.503411,-4.7593613,6.566298,0.07131983,8.994589e-07,0.003043295669555664,1909.2917408943176,30000
3.0142555,-20.215466,2.0215466,0.087405436,6.5217304,0.99270886,-6.4741807,1.0,0.99903774,0.25,0.0050234133,-9.780794,-9.786363,-4.085388,17.245296,0.20567346,4.580759e-06,0.012094624,-0.014407199,0.34776565,3.0273952,-20.28461,2.028461,0.09399059,7.1038923,0.99893427,-7.096322,1.0,0.9990015,0.16113281,0.005861736,-9.609421,-9.614078,-4.8457546,13.36273,0.10769129,3.0397123e-06,0.003062545156478882,1924.6044754981995,35000
3.0167565,-20.201794,2.0201795,0.08610332,6.6662908,0.99657714,-6.6434736,1.0,0.999033,0.23535156,0.005026255,-9.877465,-9.883112,-4.100052,39.320724,0.22686276,2.8993256e-07,0.014957562,-0.013640557,0.38695338,3.021307,-20.243107,2.0243108,0.09003804,6.899643,0.99699605,-6.8789177,1.0,0.9989977,0.1484375,0.0058633303,-9.723841,-9.728603,-4.8518095,27.60578,0.11734705,8.144654e-07,0.0030604753971099855,1939.9068608283997,40000
3.0118532,-20.174822,2.0174823,0.08353462,6.5669966,0.9943708,-6.5300307,1.0,0.99904823,0.27148438,0.0048431074,-10.051353,-10.057303,-3.9653502,53.100864,0.21476701,4.246039e-06,0.010639949,-0.0151056405,0.35230473,3.0245376,-20.254911,2.0254912,0.09116216,7.0509996,0.9990463,-7.044276,1.0,0.99899864,0.14941406,0.0057743583,-9.767766,-9.772637,-4.7851086,14.866736,0.116926536,1.2044942e-06,0.0030454697132110595,1955.1342175006866,45000
3.0186944,-20.234043,2.0234046,0.08917483,6.5355244,0.99528986,-6.504742,1.0,0.9990463,0.26757812,0.00487791,-10.00856,-10.014458,-3.9762955,62.11297,0.25164384,4.6260207e-06,0.011980549,-0.010244656,0.36497608,3.020788,-20.23351,2.023351,0.08912387,7.1369634,0.99743694,-7.1186714,1.0,0.99895763,0.14746094,0.005702753,-9.820862,-9.825946,-4.620482,100.75856,0.19366644,2.7060341e-06,0.0030532889842987063,1970.4006705284119,50000
3.011046,-20.186752,2.0186753,0.08467082,6.3874774,0.99237055,-6.338745,1.0,0.9990587,0.25878906,0.0048814155,-10.111995,-10.118026,-3.94308,38.886288,0.31203964,1.1700719e-06,0.0088544125,-0.014611213,0.36009553,3.0232282,-20.253195,2.0253196,0.09099879,7.0050435,0.9979085,-6.990393,1.0,0.99897575,0.13964844,0.0058532218,-9.790982,-9.79584,-4.821883,10.279967,0.097076684,1.6189333e-06,0.0030409896850585936,1985.605626821518,55000
3.0058894,-20.167622,2.0167623,0.082848825,6.420188,0.98912716,-6.350383,1.0,0.9990492,0.25195312,0.0049144807,-10.249266,-10.255415,-3.9584973,63.369488,0.3910844,4.9658365e-06,0.009527026,-0.013863523,0.3616245,3.019434,-20.21998,2.021998,0.08783538,6.930578,0.99743617,-6.912811,1.0,0.9989672,0.15039062,0.0058205705,-9.8285675,-9.833563,-4.7181635,76.95638,0.17701481,5.091591e-07,0.003061723041534424,2000.914261341095,60000
3.0051003,-20.188395,2.0188394,0.08482718,6.418078,0.98626083,-6.3299,1.0,0.9990711,0.28808594,0.0047453865,-10.258796,-10.265156,-3.7530932,52.30894,0.45882857,1.2340314e-07,0.010903216,-0.01104527,0.37638035,3.0201712,-20.207829,2.020783,0.08667813,7.428896,0.9993881,-7.4243507,1.0,0.9990015,0.16601562,0.005735445,-9.91561,-9.920695,-4.71391,29.738243,0.124711014,1.3091043e-06,0.003034922933578491,2016.0888831615448,65000
