training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.0447922,-20.447926,2.0447924,0.10954437,22.101898,0.9999999,-22.101898,1.0,2.1675,0.0,-17.886173,-24.12738,0.76156473,-0.9337436,26.453283,0.8704805,-17.253525,-23.303644,0.07241969,3.0465136,-20.465134,2.0465136,0.11118342,22.237492,0.99999994,-22.237492,1.0,3.5000465,0.0,-17.877684,-24.091524,0.40736237,-17.22769,-23.196474,0.101446,0.4428547649860382,2214.2738423347473,5000
3.03444,-20.344398,2.03444,0.09968489,33.8946,1.0,-33.8946,1.0,3.135073,0.0,-26.22477,-41.33437,1.925874,-1.8357489,62.69525,0.76308316,-25.579466,-40.445263,0.22959861,3.0328774,-20.328775,2.0328774,0.09819683,33.910366,1.0,-33.910366,1.0,2.3163471,0.0,-26.188099,-41.375885,0.83799183,-25.568802,-40.593124,0.15288578,0.003097743034362793,2229.762565135956,10000
3.0257406,-20.257404,2.0257406,0.09139974,41.943584,1.0,-41.943584,1.0,3.5728908,0.0,-31.426949,-57.201443,8.235338,-2.8366618,76.29541,0.46064332,-30.96056,-56.45602,0.17690691,3.0274568,-20.274569,2.0274568,0.09303422,42.881775,1.0,-42.881775,1.0,2.7536557,0.0,-33.218914,-57.15623,0.4606269,-32.681107,-56.472427,0.14343561,0.003064042901992798,2245.082793712616,15000
3.0191154,-20.191154,2.0191154,0.085089974,49.95913,0.99999994,-49.95913,1.0,3.2676487,0.0,-37.086933,-71.26053,3.9316347,-2.7156534,73.43814,0.48454496,-36.569397,-70.60792,0.13055815,3.0212932,-20.21293,2.0212932,0.08716392,49.875244,0.99999994,-49.875244,1.0,2.159698,0.0,-38.40258,-71.329796,0.52874225,-37.928078,-70.71435,0.09725646,0.003087876081466675,2260.522181749344,20000
3.0154142,-20.15414,2.0154142,0.081564955,57.047703,1.0,-57.047703,1.0,1.9838284,0.0,-44.50287,-84.649605,2.2794118,-2.9245255,50.457565,1.060756,-44.06601,-84.03247,0.08089258,3.0210953,-20.210953,2.0210953,0.08697577,58.01977,1.0,-58.01977,1.0,2.1080523,0.0,-42.714115,-84.503586,0.6082888,-42.222126,-83.935104,0.11480894,0.003056483745574951,2275.8046078681946,25000
3.0155792,-20.15579,2.0155792,0.081722096,61.628143,1.0,-61.628143,1.0,2.8106263,0.0,-46.309563,-95.87856,4.50116,-4.52289,116.19585,0.3133542,-45.89659,-95.33102,0.13274331,3.0176187,-20.176186,2.0176187,0.08366446,63.52865,0.99999994,-63.52865,1.0,2.507869,0.0,-47.370262,-96.16834,0.3501575,-46.932228,-95.65559,0.105982184,0.003059237241744995,2291.1008014678955,30000
3.0128918,-20.128916,2.0128918,0.079162546,66.53888,1.0,-66.53888,1.0,2.1380537,0.0,-50.98368,-106.00352,2.2442002,-2.0791485,65.37952,0.4357174,-50.51084,-105.50322,0.12135689,3.0182471,-20.18247,2.0182471,0.08426301,68.53409,1.0,-68.53409,1.0,2.5284638,0.0,-52.589584,-106.352135,0.55122554,-52.14421,-105.7914,0.12095691,0.0030298491477966307,2306.2500541210175,35000
3.013255,-20.132553,2.0132554,0.07950892,70.11086,0.9999996,-70.11083,1.0,2.8081977,0.0,-51.253464,-114.792564,2.6629088,-2.6009068,79.55502,0.36140954,-50.865623,-114.32029,0.17276922,3.0143795,-20.143806,2.0143807,0.08058082,68.6349,0.9999988,-68.63482,1.0,2.4745202,0.0,-53.958908,-114.10306,0.33233297,-53.54568,-113.70714,0.118992895,0.0030543010234832762,2321.521566390991,40000
3.0112815,-20.112812,2.0112815,0.07762894,70.09239,1.0,-70.09239,1.0,3.4792626,0.0,-53.825867,-120.50866,3.3298607,-3.3454726,103.64803,0.41814163,-53.489487,-120.320885,0.14592749,3.0171783,-20.171783,2.0171783,0.08324515,69.524284,1.0,-69.524284,1.0,3.2357347,0.0,-53.123226,-121.28199,0.401469,-52.68446,-120.720024,0.13246311,0.003016535949707031,2336.604253053665,45000
3.0148299,-20.1483,2.0148299,0.08100858,71.78699,1.0,-71.78699,1.0,3.6556969,0.0,-52.302353,-127.12716,3.4919405,-3.892157,83.75139,0.25941488,-51.91506,-126.904655,0.14427984,3.014635,-20.14635,2.014635,0.080823064,72.8307,1.0,-72.8307,1.0,3.0565286,0.0,-52.772354,-126.85571,0.33168718,-52.386375,-126.45357,0.123571545,0.003022701406478882,2351.71776676178,50000
