training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
519.75525,0.0409047,-20.624043,0.12631738,1.0,2.3703125,-2.9894855,129.60481,0.3901044,-15.090102,-25.6774,0.3167808,483.46844,0.0031374916,-20.646774,0.12848257,1.0,0.38892567,-15.062567,-25.888065,0.35080904,0.3685317523956299,1842.658821105957,5000
532.6437,0.07821443,-20.467571,0.111415364,1.0,2.3215423,-2.5357103,134.55922,0.41075206,-25.038044,-46.641,0.23635146,516.9584,0.05644927,-20.426327,0.10748733,1.0,0.45476243,-24.785717,-46.547245,0.23994508,0.002641305160522461,1855.8653836250305,10000
640.401,0.12697431,-20.34337,0.09958679,1.0,2.4713304,-2.9746475,138.22968,0.50325817,-32.087696,-66.35104,0.3789272,589.312,0.105415,-20.353851,0.10058496,1.0,0.31841803,-34.325546,-66.228,0.2607572,0.0032552202701568605,1872.1415219306946,15000
682.801,0.12263724,-20.261591,0.09179842,1.0,3.1224718,-2.8903084,143.41545,0.60809153,-38.16152,-84.13588,0.33621854,713.6845,0.11974774,-20.273853,0.09296615,1.0,0.49138147,-39.79589,-84.42694,0.3913226,0.0031000534534454346,1887.6418197154999,20000
784.2749,0.15964916,-20.218891,0.08773171,1.0,4.5739574,-5.8101974,154.6773,0.3429147,-43.822075,-99.66214,0.3228588,748.1269,0.09023969,-20.268276,0.09243488,1.0,0.29683602,-41.80954,-99.34064,0.4412096,0.0027203611850738526,1901.2436981201172,25000
799.5063,0.1311039,-20.21981,0.087819315,1.0,4.9929943,-6.7787285,170.56451,0.37429422,-43.102306,-109.33089,0.44880834,762.2599,0.08453767,-20.225712,0.08838137,1.0,0.48841855,-44.251987,-110.53874,0.38056457,0.0028798198699951172,1915.6428306102753,30000
825.2998,0.13027585,-20.188786,0.084864266,1.0,4.579525,-4.87192,161.75133,0.31198794,-46.149143,-114.66961,0.3353813,842.62244,0.1378621,-20.23447,0.089215316,1.0,0.37137422,-47.595886,-114.0077,0.3582438,0.002652970027923584,1928.9077203273773,35000
805.41284,0.12021163,-20.17398,0.08345457,1.0,4.5725026,-4.347366,169.48697,0.35187888,-45.525635,-118.716896,0.46160808,805.5742,0.1544994,-20.184422,0.08444883,1.0,0.35594738,-48.105194,-119.45246,0.37755138,0.0025892526626586916,1941.8540337085724,40000
769.5614,0.08581893,-20.1609,0.08220872,1.0,4.1996813,-3.8756375,154.5355,0.3630811,-47.313263,-121.63868,0.58016545,797.44275,0.09708294,-20.213402,0.087208934,1.0,0.40341577,-46.87741,-120.79196,0.5893936,0.002969935607910156,1956.7037432193756,45000
835.206,0.13624603,-20.190401,0.08501831,1.0,6.167418,-5.0075507,169.70789,0.44087204,-45.543163,-125.97496,0.531692,825.916,0.15607464,-20.197384,0.08568338,1.0,0.36008394,-46.415253,-124.65277,0.4046799,0.0031544705390930176,1972.476125717163,50000
813.5991,0.10551946,-20.152159,0.08137612,1.0,4.743878,-4.231631,164.83406,0.3199029,-49.120506,-128.45575,0.4397037,831.9968,0.12332165,-20.202587,0.08617886,1.0,0.33982503,-46.436905,-125.56308,0.40109766,0.002820681619644165,1986.5795674324036,55000
814.67566,0.12129967,-20.13068,0.079330355,1.0,4.712595,-3.6820679,151.97156,0.2924823,-45.915493,-126.67685,0.41984135,794.30316,0.15373276,-20.19143,0.08511614,1.0,0.31440258,-47.123024,-128.51297,0.338965,0.002552035713195801,1999.3397755622864,60000
786.96094,0.10741154,-20.149422,0.08111544,1.0,3.2953918,-3.1702847,151.15231,0.70595014,-48.03556,-133.06757,0.44699156,823.9136,0.12134305,-20.142794,0.08048423,1.0,0.35308146,-46.095825,-125.57201,0.38486376,0.002913172912597656,2013.90567111969,65000
822.97723,0.15881142,-20.133598,0.07960839,1.0,4.859557,-5.708631,170.40527,0.3245445,-47.899414,-133.09985,0.41538745,839.2139,0.13958597,-20.1863,0.08462776,1.0,0.38648784,-50.36956,-136.77547,0.42810804,0.002711578798294067,2027.4635920524597,70000
828.963,0.11668493,-20.116062,0.077938385,1.0,7.619718,-4.948802,161.3692,0.37167314,-48.423756,-130.79895,0.4136362,804.484,0.12784883,-20.17268,0.08333066,1.0,0.5935459,-49.117485,-129.40758,0.37522575,0.0026489211559295655,2040.7082266807556,75000
816.9204,0.11667403,-20.122124,0.07851562,1.0,3.7569976,-3.8482263,163.0717,0.26350343,-49.990562,-136.70874,0.4440921,777.53876,0.1110035,-20.126335,0.0789167,1.0,0.41961905,-50.19892,-134.27628,0.34980232,0.002592349338531494,2053.670000553131,80000
852.03516,0.12776193,-20.124702,0.078761265,1.0,4.458021,-4.368676,165.68568,0.39416626,-48.3651,-131.60532,0.53187454,786.2947,0.08346522,-20.13979,0.08019812,1.0,0.68715984,-50.702927,-131.40674,0.58251953,0.002726412582397461,2067.3021132946014,85000
820.2904,0.11171849,-20.139706,0.080190115,1.0,4.7650795,-4.520137,159.14714,0.26275942,-50.26244,-133.71368,0.4176157,824.53064,0.10941432,-20.170486,0.08312153,1.0,0.24478728,-48.957302,-132.87886,0.43041015,0.002985315990447998,2082.228729724884,90000
855.6422,0.15009192,-20.099497,0.07636087,1.0,5.384691,-4.6268754,172.24072,0.25369006,-50.47174,-137.60242,0.52225244,818.8031,0.10779452,-20.172047,0.083270386,1.0,0.35361755,-50.46715,-131.73404,0.42726448,0.0027853456497192383,2096.1554992198944,95000
859.4904,0.16644569,-20.118883,0.07820715,1.0,4.814933,-5.580093,163.94557,0.380058,-48.762634,-136.35294,0.41775084,859.107,0.17538923,-20.157024,0.08183966,1.0,0.18270975,-49.75415,-137.78487,0.38499427,0.0027249445915222166,2109.780249118805,100000
840.00574,0.119267456,-20.09509,0.075941235,1.0,3.9801316,-5.069889,154.06827,0.20244364,-49.139168,-135.47018,0.32179356,803.52454,0.11973151,-20.185001,0.08450415,1.0,0.28947872,-48.845753,-137.22705,0.47902495,0.3617561557292938,3918.561173915863,105000
834.5933,0.14637342,-20.06573,0.073144846,1.0,4.780444,-6.462745,163.17972,0.39534324,-48.681488,-138.95134,0.40463108,841.33594,0.14688304,-20.143753,0.080575764,1.0,0.23851086,-48.887543,-138.70554,0.38980547,0.003174096965789795,3934.4317100048065,110000
823.0488,0.13398664,-20.1058,0.07696108,1.0,7.469473,-6.024937,164.5471,0.30471268,-50.550014,-134.05667,0.47800067,834.6951,0.1375463,-20.140736,0.08028815,1.0,0.4220773,-50.6333,-139.86258,0.34003252,0.002823753356933594,3948.5505409240723,115000
841.7468,0.12063,-20.112286,0.07757866,1.0,5.100954,-7.732537,174.66034,0.3108111,-50.911797,-139.71332,0.37868518,816.82056,0.1249356,-20.157955,0.08192832,1.0,0.17714694,-49.74032,-137.20718,0.3097691,0.0027319009304046632,3962.2101113796234,120000
818.7516,0.13129663,-20.086426,0.07511577,1.0,4.669912,-5.593323,162.25612,0.23680684,-50.04813,-137.34354,0.39671716,787.9636,0.09884316,-20.15623,0.081764035,1.0,0.23544754,-51.264816,-136.04932,0.37894112,0.0026679445266723635,3975.549877882004,125000
836.4627,0.15351427,-20.099182,0.076330766,1.0,5.103499,-4.298698,166.01067,0.33931425,-48.27265,-134.43015,0.5667993,831.7356,0.16908473,-20.13694,0.07992669,1.0,0.49289963,-51.663258,-139.62646,0.3366844,0.0026516032218933104,3988.807947397232,130000
791.2328,0.14123076,-20.099876,0.07639671,1.0,6.3250566,-7.6929417,160.78543,0.32401127,-51.3925,-140.75853,0.3061121,771.8638,0.10762416,-20.148685,0.08104538,1.0,0.35223624,-49.139046,-137.26318,0.35917675,0.00266661376953125,4002.1410613059998,135000
821.9242,0.15336746,-20.089842,0.07544136,1.0,5.267071,-4.3452315,160.85631,0.26338091,-51.682114,-137.35573,0.46860528,817.46313,0.13382775,-20.150707,0.08123804,1.0,0.2286562,-50.792114,-143.43248,0.3907208,0.0026270370960235594,4015.276354789734,140000
818.2484,0.16962287,-20.0619,0.072779946,1.0,4.948122,-4.0088577,160.53975,0.22369733,-50.7136,-148.41615,0.45076922,764.5206,0.09767848,-20.146635,0.08085013,1.0,0.21037374,-53.460655,-138.24774,0.52075136,0.002636977481842041,4028.461310148239,145000
837.4666,0.10603067,-20.095055,0.07593764,1.0,6.975153,-5.208044,169.1908,0.5062274,-52.057686,-139.77917,0.431597,818.1771,0.11673255,-20.157642,0.08189842,1.0,0.24882321,-51.50287,-138.58147,0.35191083,0.0026258105278015136,4041.5904171466827,150000
877.1888,0.16282976,-20.073223,0.073858455,1.0,4.6736984,-4.335106,158.66049,0.34451443,-51.22328,-143.80923,0.3991753,846.6046,0.1316531,-20.14303,0.080506735,1.0,0.3128088,-51.206123,-136.46292,0.38067815,0.002634799289703369,4054.764467716217,155000
841.3994,0.1133668,-20.08104,0.074602775,1.0,4.4828525,-5.9202394,161.43536,0.20692714,-51.345505,-148.371,0.36607936,821.50134,0.13809286,-20.13198,0.07945466,1.0,0.3238656,-50.575424,-138.00378,0.5932634,0.002633861494064331,4067.933817386627,160000
853.55145,0.17540774,-20.075996,0.07412278,1.0,4.19824,-5.0089865,165.67456,0.30605924,-52.955093,-153.53738,0.49926645,874.0818,0.17470054,-20.15469,0.08161733,1.0,0.24461296,-51.577282,-142.61333,0.37204227,0.0026571441173553465,4081.219586610794,165000
852.56085,0.16594742,-20.06821,0.07338125,1.0,4.059955,-5.676131,174.90665,0.386851,-50.814934,-153.27818,0.41684398,807.9691,0.093195,-20.124554,0.078747146,1.0,0.27467588,-50.878304,-139.41858,0.28898317,0.0026366607666015625,4094.4029607772827,170000
813.3264,0.0847695,-20.069647,0.073517896,1.0,4.1927943,-4.6219864,159.76425,0.5369144,-51.874283,-143.35632,0.56706464,784.9844,0.14080016,-20.128235,0.07909774,1.0,0.30113548,-49.42141,-141.5924,0.4705113,0.002618487739562988,4107.495616436005,175000
829.217,0.14619447,-20.063307,0.07291416,1.0,5.706377,-4.8723435,163.2175,0.5447503,-51.53014,-147.18533,0.38944232,856.01794,0.17729999,-20.143118,0.08051518,1.0,0.3270455,-50.95024,-140.50906,0.35868913,0.002771029901504517,4121.350810289383,180000
880.7174,0.19129464,-20.081074,0.07460635,1.0,6.7861176,-4.6837416,166.84608,0.38020492,-51.499496,-149.56218,0.5121307,809.5363,0.1166565,-20.122757,0.07857596,1.0,0.16800821,-52.501045,-139.70616,0.3979538,0.0027468884468078614,4135.085298538208,185000
797.3534,0.098425105,-20.104324,0.07682066,1.0,5.1353316,-4.9207964,159.28166,0.28653365,-51.38247,-140.63904,0.41661716,811.4742,0.1338951,-20.136124,0.07984902,1.0,0.34100628,-51.51322,-139.26727,0.382694,0.002720360469818115,4148.68713760376,190000
849.1659,0.12742253,-20.081541,0.07465059,1.0,6.4154596,-6.7331057,170.06096,0.38945937,-51.914387,-141.91241,0.48792613,811.9402,0.15403032,-20.128048,0.07907981,1.0,0.34075972,-52.77569,-139.0022,0.5047196,0.0028093493461608886,4162.733931064606,195000
852.6923,0.15215641,-20.099598,0.0763705,1.0,4.5434694,-4.320788,164.63571,0.29683024,-52.608,-160.98196,0.41890547,840.37646,0.1607374,-20.129463,0.07921469,1.0,0.17487018,-53.489223,-145.60248,0.5410993,0.002773181390762329,4176.599902153015,200000
827.6217,0.14632003,-20.059101,0.07251339,1.0,3.978722,-4.6960344,175.58382,0.33275038,-50.000362,-141.64934,0.43030223,821.0961,0.1348139,-20.127808,0.079057015,1.0,0.32818818,-51.890938,-137.87057,0.44103312,0.35224486680030825,5937.824634313583,205000
814.61206,0.12713532,-20.069965,0.07354823,1.0,5.7366056,-4.6854377,163.43262,0.26152647,-52.465725,-150.12251,0.4060744,846.5225,0.12406271,-20.134628,0.07970654,1.0,0.24808627,-50.79967,-141.0122,0.44811636,0.002755125713348389,5951.600306749344,210000
830.5161,0.13781624,-20.052658,0.071899906,1.0,7.4340286,-5.900323,151.78253,0.44217658,-52.1568,-135.87329,0.40315104,849.8749,0.13386673,-20.111368,0.07749137,1.0,0.26696104,-53.569584,-140.8364,0.3954897,0.002764550352096558,5965.423118591309,215000
846.6981,0.16908494,-20.12081,0.07839051,1.0,7.0171747,-5.708519,168.36142,0.20603557,-53.29955,-143.04077,0.42916197,870.90283,0.15473735,-20.102562,0.07665263,1.0,0.19283554,-53.641,-139.06879,0.42979503,0.002763893175125122,5979.242617845535,220000
848.8556,0.13927218,-20.085617,0.07503891,1.0,5.5181475,-6.201095,165.09491,0.3959291,-53.399414,-142.19025,0.43946326,799.3484,0.08731148,-20.144955,0.08069015,1.0,0.352067,-49.587143,-146.03702,0.47079656,0.00275039381980896,5992.994629144669,225000
848.76355,0.15197307,-20.08127,0.07462486,1.0,5.95088,-4.7672963,172.07231,0.56224376,-51.66269,-170.31021,0.5719767,801.0545,0.1284634,-20.14312,0.0805153,1.0,0.6765848,-51.15594,-141.60162,0.8655728,0.0026779489040374754,6006.384416103363,230000
782.1018,0.0730186,-20.06137,0.07272984,1.0,4.8969193,-5.061745,156.18643,0.3346784,-51.790558,-138.64452,0.5174079,826.7497,0.17620279,-20.110636,0.07742166,1.0,0.32547596,-51.627487,-146.77042,0.4396189,0.0026587512016296388,6019.678211212158,235000
810.88525,0.1250428,-20.074284,0.07395958,1.0,5.0603285,-5.88271,160.59421,0.5421554,-50.60984,-140.84274,0.338853,836.83875,0.16923113,-20.110928,0.07744932,1.0,0.47529316,-52.115566,-150.03426,0.321451,0.002793033742904663,6033.643444299698,240000
827.33203,0.1181681,-20.069218,0.073477134,1.0,6.3431015,-7.4495974,163.04787,0.2506469,-51.5387,-147.23106,0.55603194,836.80817,0.14866635,-20.11586,0.077919096,1.0,0.23256311,-53.125,-148.45203,0.3963241,0.0027370431423187256,6047.328699350357,245000
870.2419,0.19219106,-20.071867,0.07372939,1.0,4.2425237,-4.515223,169.24825,0.42216206,-52.971397,-142.01315,0.39417398,818.5679,0.17548642,-20.11607,0.07793918,1.0,0.36052334,-52.991028,-146.43088,0.36314487,0.0027660664558410643,6061.159072637558,250000
825.0232,0.14597096,-20.054546,0.07207991,1.0,5.692969,-5.976176,175.60518,0.42478424,-52.86318,-143.72687,0.48239428,806.8865,0.10327339,-20.14777,0.08095815,1.0,0.27129585,-52.146935,-143.40796,0.6528244,0.002776543378829956,6075.041825056076,255000
854.5144,0.13085666,-20.078403,0.07435189,1.0,4.1092486,-5.824753,167.91837,0.5181365,-49.835117,-140.93813,0.36623538,853.0758,0.15995023,-20.100664,0.076472014,1.0,0.48186076,-51.329773,-146.08163,0.37616542,0.0028377124786376955,6089.230429172516,260000
806.02484,0.12642789,-20.081024,0.07460143,1.0,4.687586,-3.958524,157.38177,0.24314763,-53.726295,-144.26874,0.37811634,804.5558,0.13338254,-20.116013,0.077933565,1.0,0.42253745,-52.275223,-145.40642,0.3532361,0.0028970652103424074,6103.715789794922,265000
768.1926,0.08242404,-20.108242,0.07719361,1.0,4.076395,-3.9310446,149.8084,0.5338121,-51.412193,-156.56723,0.38000178,832.92664,0.1709938,-20.131737,0.07943124,1.0,0.36949456,-54.598106,-146.25064,0.28642416,0.0028204440116882325,6117.81804728508,270000
867.3164,0.16785036,-20.074883,0.07401654,1.0,5.307617,-7.105917,165.27678,0.3862887,-51.434814,-143.1745,0.31057686,858.9463,0.13789342,-20.121521,0.07845844,1.0,0.42331877,-54.393906,-142.56119,0.40353513,0.00266162748336792,6131.1262583732605,275000
811.6339,0.1194191,-20.072931,0.073830694,1.0,5.5170565,-5.5594206,161.6526,0.6226322,-51.438423,-146.10767,0.34269,839.489,0.15181756,-20.116375,0.07796823,1.0,0.30409485,-52.44983,-146.02867,0.33926684,0.002651310586929321,6144.383029937744,280000
