training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
7.740886,-5.7220526,250.0119,411.67667,4.195059,-10.488634,0.2598498,1.0,232.25546,0.017702127,-20.630508,0.1269333,1.0,0.09598103,-18.101685,-26.533249,1.0976465,405.68195,4.124848,-10.42837,0.24779716,1.0,249.12032,0.038787127,-20.634068,0.1272722,1.0,0.10834231,-18.036226,-26.518764,0.9768224,0.5076700571060181,2538.3503127098083,5000
9.235027,-8.343166,261.53775,615.00977,6.5459485,-10.158094,0.19374175,1.0,364.6262,0.12888207,-20.424381,0.107302114,1.0,0.03693816,-25.654995,-46.690536,0.8033167,609.8185,6.3585973,-10.18108,0.19833909,1.0,365.9885,0.114988275,-20.431246,0.10795586,1.0,0.032765582,-26.460335,-46.680573,0.83393776,0.003669600009918213,2556.6983194351196,10000
10.531644,-8.527407,183.68335,645.95044,6.0111504,-9.748,0.11172297,1.0,271.64084,0.098013476,-20.324537,0.09779315,1.0,0.10662608,-25.851692,-63.14083,0.81247234,633.50696,6.0843763,-9.765808,0.115284555,1.0,269.58893,0.103674635,-20.326866,0.09801504,1.0,0.15224746,-26.172863,-62.679024,0.7134504,0.003704517602920532,2575.2209148406982,15000
3.7935095,-5.572282,144.51323,589.2348,4.087939,-9.544726,0.071068235,1.0,248.43924,0.08314781,-20.282772,0.09381568,1.0,0.3563177,-19.084743,-65.679886,0.7073333,594.192,3.9907162,-9.545718,0.07126656,1.0,225.32191,0.04734224,-20.301853,0.095632695,1.0,0.39483422,-20.186733,-68.67206,0.7244011,0.003629152822494507,2593.366687774658,20000
9.114744,-9.907231,267.87317,666.5309,7.0316405,-9.88336,0.13879485,1.0,500.17096,0.1476894,-20.22134,0.087964915,1.0,0.055970233,-30.023495,-76.61733,1.9255371,680.26074,7.7565556,-9.83737,0.12959698,1.0,482.97992,0.15786599,-20.281696,0.09371323,1.0,-0.004660234,-30.67693,-77.725365,2.3129973,0.003614428186416626,2611.4388353824615,25000
3.6228857,-3.529054,197.61894,659.24554,9.288376,-9.720796,0.10628207,1.0,480.0869,0.27356482,-20.232094,0.088989206,1.0,0.113321245,-41.72495,-89.64781,1.1612418,649.89764,8.927751,-9.818115,0.12574594,1.0,481.68475,0.23568897,-20.255276,0.0911968,1.0,0.07378955,-40.224464,-89.65838,1.1070256,0.004273449420928955,2632.806090116501,30000
4.0815754,-2.2504227,119.17667,620.20374,4.9862313,-9.337111,0.029545361,1.0,176.49965,0.12280234,-20.223722,0.08819192,1.0,0.267588,-23.59154,-87.39213,0.9161332,625.7527,5.0420704,-9.341867,0.030496312,1.0,148.64395,0.094801575,-20.260677,0.091711394,1.0,0.39296556,-24.401485,-85.620544,0.7361944,0.004124175977706909,2653.4269778728485,35000
4.3791094,-4.803666,207.67964,639.3711,7.842763,-9.654298,0.09298255,1.0,420.21808,0.18228775,-20.214722,0.08733456,1.0,0.30158412,-37.473015,-98.32582,1.0037029,664.8579,7.622493,-9.673704,0.09686395,1.0,429.93243,0.29479855,-20.233627,0.08913519,1.0,0.32753557,-37.204742,-97.26077,0.925836,0.0037557944774627683,2672.205957889557,40000
3.2110984,-3.9721804,115.08608,635.3098,6.9940257,-9.336135,0.029349929,1.0,198.79561,0.12496144,-20.196913,0.08563848,1.0,0.07303034,-31.656763,-96.93225,0.9260839,644.4191,7.2775326,-9.36927,0.035977084,1.0,196.62039,0.11571938,-20.187756,0.08476639,1.0,0.14765407,-34.133385,-97.64455,0.86004317,0.0037221301555633544,2690.816615819931,45000
9.596579,-9.935817,303.2747,667.6448,10.411562,-9.537686,0.06966024,1.0,422.90942,0.21068622,-20.161854,0.082299635,1.0,0.21491686,-45.956444,-107.727036,1.8676717,646.1675,10.13887,-9.59958,0.082038924,1.0,479.03314,0.344949,-20.215702,0.08742796,1.0,0.19865054,-48.337406,-107.418594,1.0951203,0.003668029737472534,2709.1567780971527,50000
