training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.020621,-20.620958,0.02062096,0.1260238,359.2971,1.0,-359.2971,1.0,2.7747748,570.38745,-462.34213,2534.6772,150.36362,1026.2642,499.9666,1.8333665,7.9608316,12.779837,2.7629304,0.018307474,6.474245,-51.216663,150.68733,201.90399,1.0206912,-20.691158,0.020691158,0.13270938,341.52533,1.0,-341.52533,1.0,3.0040588,160.72537,1026.3337,477.13293,1.617927,9.868846,20.15523,2.9903057,0.023067424,6.476188,-63.58869,161.0492,224.63788,0.40910735139846804,2045.536775112152,5000
1.0203377,-20.337755,0.020337757,0.09905212,294.32288,1.0,-294.32288,1.0,1.8357525,2392.449,-3551.376,13623.367,135.65213,1187.2604,478.13968,7.457101,1.8734359,6.2522364,1.8246167,0.024861896,29.286926,-53.402832,137.11647,190.5193,1.0203803,-20.38021,0.020380212,0.10309542,300.89624,1.0,-300.89624,1.0,1.8683668,131.6818,1177.5702,479.68225,16.577074,2.0857224,6.990834,1.8641843,0.019241504,29.29597,-59.638466,133.1466,192.78506,0.006170777988433838,2076.3906803131104,10000
1.0202422,-20.242191,0.020242194,0.08995079,207.56677,1.0,-207.56677,1.0,1.2465864,7889.1865,-3709.1465,22528.203,200.88849,808.6001,341.27606,4.57869,0.5437784,4.396686,1.2354809,0.013169872,127.554245,-62.983532,207.26619,270.24973,1.020292,-20.292038,0.020292036,0.0946979,216.2009,1.0,-216.2009,1.0,1.1520205,195.28784,832.4654,351.3385,3.7741618,0.40862083,4.304208,1.137536,0.011017957,127.59233,-45.757267,201.66747,247.42473,0.0061861025810241695,2107.3212032318115,15000
1.020886,-20.885986,0.02088599,0.15126462,161.93903,1.0,-161.93903,1.0,0.70654166,1615.8529,-2648.8838,10631.858,268.25235,659.2068,247.9563,3.287229,0.08934514,3.0182474,0.8273667,0.008970673,451.1695,-17.751328,290.81085,308.56216,1.0208988,-20.898848,0.020898849,0.15248942,162.57675,1.0,-162.57675,1.0,0.75416374,255.29155,672.62897,263.75644,2.3335013,0.08943282,3.018067,0.8306668,0.013872539,451.26736,-17.794744,277.85492,295.64966,0.006175765943527221,2138.2000403404236,20000
1.0207248,-20.724731,0.020724732,0.13590695,141.99902,1.0,-141.99902,1.0,0.5649253,2498.0308,-5589.357,15488.05,282.8098,591.56903,229.94519,2.6410315,0.060822308,2.5845644,0.79363817,0.0074581257,672.172,-7.2744517,316.41843,323.69287,1.0207708,-20.770798,0.0207708,0.14029422,154.26578,1.0,-154.26578,1.0,0.5811675,274.5006,644.4083,239.50565,3.8151383,0.052571945,2.3436153,0.7933804,0.0128295645,672.2073,-1.7288796,308.11096,309.83984,0.0061751006126403805,2169.075558900833,25000
1.0207093,-20.709276,0.020709276,0.13443495,141.25732,1.0,-141.25732,1.0,0.54637027,2110.748,-1865.9944,9192.031,286.82956,619.74365,225.73245,3.6514144,0.050248597,3.2263615,0.7702223,0.0039605964,681.06085,-0.16930905,320.8826,321.0519,1.0207111,-20.711117,0.020711116,0.13461013,144.83456,0.99999994,-144.83456,1.0,0.5402569,279.94083,625.8422,233.38528,1.45316,0.045372684,2.373183,0.7931477,0.010858737,681.04456,3.1514091,313.99304,310.84164,0.0061784240245819095,2199.9676897525787,30000
1.0205595,-20.559566,0.020559568,0.120176956,147.43588,1.0,-147.43588,1.0,0.5116105,2747.9639,-2047.7842,9248.434,268.07965,652.8183,246.50314,3.006395,0.0485292,2.771919,0.7772081,0.014013572,682.7712,1.0042201,302.2182,301.214,1.0205373,-20.537203,0.020537201,0.118046954,151.02931,1.0,-151.02931,1.0,0.49233466,268.23276,637.9873,247.95378,0.38227153,0.048392184,2.2147386,0.80714756,0.012956843,682.7162,1.0976825,302.36856,301.27087,0.006181369590759277,2230.874546766281,35000
1.0204946,-20.49456,0.020494562,0.11398599,143.59166,1.0,-143.59166,1.0,0.44258538,3068.9453,-1506.9441,10478.552,273.17667,615.56726,240.96133,1.8442842,0.046713434,2.5599802,0.76056755,0.008207301,684.1109,2.2483761,307.38223,305.13385,1.0205395,-20.539482,0.020539481,0.118264005,152.40836,1.0,-152.40836,1.0,0.4548635,263.61395,619.1188,252.55147,1.41797,0.03785522,2.0901525,0.75759447,0.011741261,684.1145,8.308421,297.81967,289.51126,0.0061709457874298095,2261.7292909622192,40000
1.0204556,-20.455608,0.02045561,0.1102761,138.7584,1.0,-138.7584,1.0,0.48933437,1376.3776,-2127.1091,7847.8013,277.88382,620.6267,235.61191,2.4342604,0.044931836,2.3606453,0.7796536,0.009660357,686.59033,3.4797525,312.21335,308.73358,1.0205218,-20.521793,0.020521794,0.11657946,153.55823,1.0,-153.55823,1.0,0.4954607,265.1326,646.35455,251.64154,5.153311,0.042338632,2.3009648,0.77168334,0.009861794,686.589,5.2602115,299.46207,294.20184,0.006179619312286377,2292.627394914627,45000
1.0204265,-20.426558,0.020426556,0.10750939,141.44467,1.0,-141.44467,1.0,0.4794044,3102.1223,-3062.9304,13324.662,278.65878,596.643,234.52026,3.073331,0.050135963,2.7981777,0.7644558,0.0034751806,692.3856,-0.09413808,313.27805,313.3722,1.020403,-20.403042,0.020403042,0.10526979,150.99707,1.0,-150.99707,1.0,0.5257976,279.65753,601.12994,233.74068,0.7072832,0.06634689,3.2006757,0.8023443,0.008260857,692.515,-11.320467,314.2833,325.60376,0.006178172445297241,2323.518274784088,50000
