training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
7.847453,-6.928383,174.80043,229.39206,1.4525902,-11.82965,0.528053,1.0,29.807594,0.37799013,-2.194857,0.35697973,1.0,0.13576388,-12.728561,-27.488022,0.830879,1.769356,208.69669,1.3507049,-12.200644,0.6022517,1.0,32.303722,0.47678998,-2.1639693,0.32609215,1.0,0.13368729,-12.917743,-27.476988,0.8434708,2.812688,0.3373086059093475,1686.543075799942,5000
98.754524,-190.81506,1326.4138,327.1558,2.4086165,-12.388603,0.63984346,1.0,38.412,0.42447364,-2.1674237,0.32954687,1.0,0.71665883,-19.935284,-45.886665,0.9947592,1.9625508,351.14813,2.4159513,-12.968174,0.75575775,1.0,37.084824,0.4547631,-2.138849,0.30097187,1.0,0.5244541,-21.966673,-45.910763,1.06477,1.6692779,0.005199818611145019,1712.5421776771545,10000
217.39645,-113.48357,1432.851,396.96936,2.284141,-12.44905,0.6519329,1.0,36.612198,0.40304735,-2.2299337,0.39205652,1.0,0.8861679,-22.184484,-59.30325,1.6961268,3.1499794,401.3219,2.5726962,-12.381466,0.63841605,1.0,34.05403,0.39001238,-2.2051682,0.36729136,1.0,0.7470867,-23.500397,-59.32977,1.7104315,2.813427,0.005212615346908569,1738.6052627563477,15000
20.189314,-13.807188,331.28275,360.93024,2.4795256,-11.637761,0.4896752,1.0,40.73018,0.42590046,-2.2493405,0.41146356,1.0,0.6184467,-27.686522,-69.97039,1.9794083,3.5371614,379.45053,2.7266707,-12.222556,0.60663414,1.0,45.842957,0.5814669,-2.1909199,0.35304284,1.0,0.31064218,-28.5797,-69.700966,2.0123417,3.6920907,0.005224909973144531,1764.7298214435577,20000
144.39763,-122.645065,1203.9187,467.32263,3.1803231,-11.716475,0.5054178,1.0,37.94729,0.4046183,-2.1704433,0.33256632,1.0,0.560151,-28.177656,-79.14967,2.2796984,1.9461851,480.94092,3.6357439,-11.928221,0.5477671,1.0,42.99663,0.5622982,-2.1220357,0.28415865,1.0,0.72837085,-29.382574,-79.2056,2.2185411,1.7327006,0.00521707010269165,1790.815179347992,25000
54.35806,-37.155518,418.99384,450.71887,2.8306684,-11.990368,0.5601966,1.0,38.293015,0.4349524,-2.164169,0.32629198,1.0,1.5178204,-30.85003,-87.87539,2.6564498,3.3550458,473.08215,3.744524,-11.695264,0.50117576,1.0,36.24819,0.43591532,-2.155602,0.31772482,1.0,0.75650936,-32.134544,-87.698364,2.7482307,3.1010313,0.0052238982677459715,1816.9346833229065,30000
63.663902,-39.822773,641.97345,438.93942,3.4381905,-11.681717,0.4984663,1.0,37.61875,0.44788247,-2.2019148,0.36403787,1.0,1.1085345,-29.893732,-94.12658,2.6315389,2.923527,471.6107,3.5328012,-11.91391,0.544905,1.0,41.91637,0.53145146,-2.1742256,0.33634847,1.0,0.99504524,-31.505249,-93.84776,2.5468848,1.7726667,0.0052194499492645265,1843.0319406986237,35000
190.3067,-330.9647,1515.6074,474.00183,2.8856788,-12.642391,0.6906011,1.0,36.909737,0.4194686,-2.1696053,0.33172828,1.0,1.0716404,-31.746778,-97.24336,2.7667353,2.3932514,498.3961,3.3240077,-12.236955,0.6095139,1.0,39.82656,0.47475323,-2.1652274,0.32735053,1.0,0.94191587,-32.082165,-97.276726,2.4529262,1.6536691,0.005222144174575806,1869.142671585083,40000
33.04738,-57.336628,387.8916,471.03693,3.2235858,-12.664743,0.69507164,1.0,32.60682,0.44276035,-2.170698,0.3328209,1.0,0.31154525,-31.887083,-99.24746,2.693377,1.5786607,474.89398,3.5543036,-12.693098,0.70074254,1.0,36.61467,0.509554,-2.1266432,0.2887661,1.0,0.14834464,-32.855858,-99.48523,2.7043414,3.4061334,0.005223560047149658,1895.260479927063,45000
85.32246,-88.4702,851.8694,465.63586,3.457817,-12.426617,0.6474462,1.0,34.971428,0.40758348,-2.1566887,0.31881192,1.0,0.5220132,-33.888664,-101.90144,2.5271351,1.5666333,499.68964,3.6193256,-12.580239,0.6781708,1.0,39.912804,0.5505897,-2.145983,0.3081059,1.0,0.519287,-34.8049,-101.40749,2.6585674,1.6283292,0.005232443380355835,1921.4227051734924,50000
20.489721,-44.655815,470.73682,501.79208,3.6381016,-12.029182,0.56795925,1.0,39.570446,0.4171018,-2.1598818,0.3220048,1.0,0.83793974,-31.101374,-101.79065,2.495098,2.1989405,505.19513,3.22118,-12.184599,0.5990428,1.0,37.67615,0.45429164,-2.1587565,0.3208795,1.0,0.79551256,-32.799896,-103.07549,2.5559344,2.2502909,0.005238796186447144,1947.6166968345642,55000
58.57627,-102.009674,667.5098,466.62106,3.158739,-12.517099,0.6655428,1.0,36.82241,0.4025015,-2.1527998,0.3149229,1.0,0.5383709,-32.15115,-105.29756,2.507821,2.2962837,504.03308,3.860438,-12.2635145,0.61482584,1.0,37.91677,0.528942,-2.1381214,0.30024445,1.0,0.4722478,-34.00172,-104.55315,2.487564,2.241609,0.005236735343933105,1973.800383090973,60000
40.890556,-43.46709,573.994,486.7554,2.9180326,-12.211407,0.6044043,1.0,36.765705,0.43235904,-2.1536787,0.3158017,1.0,0.4993461,-32.740334,-106.00737,2.4344916,2.5522249,514.83923,3.8012257,-12.321964,0.62651587,1.0,39.79033,0.5123851,-2.1258252,0.28794816,1.0,0.5431982,-37.26312,-105.37515,2.7697039,2.1475627,0.005235618257522583,1999.9784815311432,65000
89.039444,-42.042,687.96704,478.49582,3.8442214,-12.492096,0.66054213,1.0,32.79505,0.41702002,-2.1590672,0.3211899,1.0,0.6561632,-33.064266,-106.5852,2.5963256,1.9262582,508.7478,3.8326259,-12.385265,0.63917613,1.0,38.08445,0.48328462,-2.1410568,0.30317977,1.0,0.5757046,-35.991253,-106.36546,2.6952744,1.8066213,0.005232277488708496,2026.1398754119873,70000
325.42392,-172.59969,1459.5148,484.18356,3.2435384,-12.493568,0.66083664,1.0,42.5055,0.5204974,-2.1346946,0.29681772,1.0,0.46369088,-34.463223,-107.22085,2.715227,2.7618442,504.39056,3.5246723,-12.410561,0.64423525,1.0,38.947044,0.5364034,-2.1598163,0.3219394,1.0,0.49600232,-34.866676,-106.94963,2.6918716,2.6062124,0.0052418681621551515,2052.349224090576,75000
43.92117,-45.019623,595.0718,439.73563,2.9368653,-12.724775,0.707078,1.0,37.654953,0.44811925,-2.1362534,0.29837614,1.0,0.5989646,-33.55086,-106.857,2.5846212,3.0243855,484.356,2.657658,-12.594842,0.6810914,1.0,40.85549,0.5079783,-2.1414618,0.3035849,1.0,0.6641607,-35.940197,-106.5147,2.719933,1.9638916,0.005245226287841797,2078.5753626823425,80000
261.44543,-235.37427,1349.4573,466.46228,3.5092554,-12.414206,0.64496416,1.0,37.126045,0.4637773,-2.132203,0.29432595,1.0,0.9966701,-34.65381,-107.38485,2.877957,3.0625477,489.27765,3.3870962,-12.080706,0.5782642,1.0,34.362244,0.44643492,-2.1576967,0.3198198,1.0,1.3108113,-35.346165,-107.31801,2.841155,3.442977,0.00523799204826355,2104.7653300762177,85000
33.87236,-29.60054,458.3594,465.69168,3.3280418,-12.373314,0.6367857,1.0,32.896732,0.42342323,-2.1097226,0.27184552,1.0,0.853422,-31.625996,-108.52098,2.569037,10.459214,544.8536,4.1844883,-12.180237,0.5981704,1.0,38.43931,0.554633,-2.1108356,0.27295864,1.0,0.880414,-34.125843,-108.696686,2.6567285,3.4580483,0.0052286337852478024,2130.908506631851,90000
168.00394,-192.16759,1124.6003,490.24344,3.6265862,-12.250889,0.6123007,1.0,34.62944,0.39436433,-2.1179533,0.28007632,1.0,0.6554901,-35.555023,-109.04567,2.720833,2.6989067,525.48206,3.7009802,-12.086563,0.57943547,1.0,35.225044,0.4355835,-2.121194,0.2833169,1.0,0.66591984,-35.71995,-109.52569,2.6916156,2.85364,0.005231965303421021,2157.068341255188,95000
27.653234,-24.563572,516.2375,480.38736,3.4129086,-12.003834,0.5628896,1.0,35.935493,0.4127903,-2.111087,0.27321005,1.0,1.7845064,-33.371887,-110.08577,2.7151346,2.6793945,499.11893,4.065797,-11.719648,0.5060525,1.0,36.227505,0.49320596,-2.1460943,0.30821735,1.0,0.86828476,-34.92387,-109.99185,2.7120628,2.0598526,0.005228666114807129,2183.2116792201996,100000
