training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
66.73126,0.20757902,-2.0580852,0.9977417,0.6328125,0.0108409375,-10.342293,-10.377776,-1.293781,154.89345,3.9175067,8.4746677e-07,4.186823,-6.695568,174.41924,0.9971161,0.5625,0.013765691,-9.858388,-9.888013,-2.3040257,13.513413,0.94181913,4.3930032e-07,59.45456,0.14569184,-2.0587015,0.99742126,0.60546875,0.011182861,-9.922635,-9.957408,-1.055528,162.52553,4.451997,8.080845e-06,0.99684143,0.53125,0.013146814,-9.561644,-9.591096,-2.0511785,14.503864,1.1081622,9.257254e-06,0.1329396463871002,664.6982474327087,5000
37.607635,-0.3838886,-1.9396262,0.99806213,0.734375,0.008809514,-11.058775,-11.100249,-0.48258874,486.02692,11.979781,3.5121076e-07,1.5826366,-1.4836078,74.79239,0.997818,0.69921875,0.009131791,-10.920307,-10.960441,-0.6858448,382.5832,8.098276,1.5324056e-06,28.86948,-0.60805464,-1.995564,0.99786377,0.71484375,0.00988071,-11.404861,-11.446687,-0.73931825,283.781,10.24192,4.3434657e-06,0.997818,0.671875,0.010149805,-10.90982,-10.949324,-0.83611155,247.70593,8.635534,1.8664915e-06,0.014600346660614013,737.6999893188477,10000
42.61645,-0.2983235,-2.0059543,0.99835205,0.77734375,0.007265281,-11.597823,-11.644389,0.27663165,1528.1699,27.04467,1.3348433e-05,2.1945286,-6.650194,135.12845,0.99842834,0.77734375,0.006957074,-11.568102,-11.61534,0.47779155,1787.9302,30.950392,4.4957356e-05,35.292618,-0.4418271,-2.040789,0.9978943,0.73046875,0.009015223,-11.650031,-11.695291,-0.10854784,1226.5591,24.24535,2.329355e-06,0.9978943,0.7109375,0.00905169,-11.697536,-11.74305,-0.091471784,2015.006,45.289513,1.4323619e-05,0.014603613901138306,810.7180681228638,15000
35.728386,-0.58058214,-2.0030668,0.99868774,0.85546875,0.00601449,-12.7309265,-12.785246,1.1208766,3383.9587,66.05676,1.8339974e-09,4.1400414,-2.3100796,115.099686,0.99871826,0.85546875,0.005784545,-12.341728,-12.394967,1.2343495,3110.835,80.53705,2.6150906e-06,36.925396,-0.57961214,-2.009269,0.9980316,0.73828125,0.009295117,-12.3197775,-12.368157,0.017438084,8690.978,79.64164,2.0568103e-07,0.99786377,0.70703125,0.009584896,-12.22709,-12.274337,-0.17898616,2293.17,42.382545,6.0952466e-06,0.014627402782440185,883.855092048645,20000
39.370792,-0.65218604,-1.9969198,0.9991913,0.92578125,0.0037117596,-13.286386,-13.346152,1.9544883,5678.821,97.06275,9.482858e-06,2.1393344,-4.9720383,104.42226,0.99894714,0.87890625,0.0040103216,-13.351095,-13.411057,1.9395486,10466.647,121.47263,5.5067644e-06,38.081238,-0.8777734,-1.9943169,0.9978943,0.75,0.009499548,-13.42412,-13.475171,-0.40589797,59232.992,194.59805,8.83444e-07,0.997879,0.6796875,0.009866457,-13.49803,-13.549023,-0.49433225,4661.7915,68.0437,2.8430077e-06,0.014701912784576415,957.364664554596,25000
42.79591,-0.6077342,-2.00915,0.99913025,0.9296875,0.00394989,-14.098749,-14.1642475,2.6033843,24772.06,270.68945,1.5398011e-07,4.111183,-3.4323368,133.8686,0.9988861,0.90625,0.0038516005,-14.020697,-14.084996,2.376071,8201.51,172.7568,5.1623065e-05,54.595222,-0.6172073,-1.9502431,0.99801636,0.72265625,0.010132346,-13.953354,-14.008189,0.029736504,26573.195,190.77869,8.1983046e-08,0.997818,0.73046875,0.0098403385,-13.764719,-13.817743,-0.24329308,3079.22,71.557205,1.3273169e-07,0.014650439023971557,1030.616868019104,30000
50.4998,-0.5445564,-1.9782655,0.999115,0.89453125,0.004208478,-14.483355,-14.550111,2.5398073,60346.273,416.04718,2.2211572e-05,3.4790401,-2.7848697,131.07816,0.9989319,0.8984375,0.0039514815,-14.360203,-14.425196,2.2133553,8466.681,190.6842,2.7728718e-05,53.670998,-0.90338194,-1.9970859,0.99798584,0.765625,0.009553018,-14.538086,-14.595165,0.017340012,794362.06,1723.7883,6.5837225e-10,0.9977875,0.71875,0.009587408,-14.556683,-14.613077,-0.17575458,23285.516,192.5732,8.432193e-08,0.014564306163787842,1103.4384143352509,35000
40.322647,-1.0038842,-1.9876258,0.9993286,0.9453125,0.0032142997,-15.44623,-15.5183525,2.945195,19634.717,313.23068,8.2649024e-07,1.643745,-1.6905619,93.03737,0.99913025,0.90625,0.0032374691,-15.369663,-15.441726,3.0066447,10789.63,321.2308,1.1157794e-06,48.49025,-1.3208752,-2.027667,0.99809265,0.76171875,0.009971218,-15.267065,-15.326089,-0.21581437,85256.39,308.99304,1.6392753e-09,0.99790955,0.72265625,0.009584723,-15.261864,-15.321058,-0.16667685,28918.307,196.00981,1.2618916e-09,0.014670398950576782,1176.7904176712036,40000
34.916847,-1.161735,-1.9256986,0.9990845,0.91796875,0.0037459924,-15.205906,-15.274886,2.384286,13861.665,178.12904,1.0528573e-06,2.843575,-3.731198,124.45807,0.9989929,0.8984375,0.0033273129,-15.362913,-15.434317,2.8450115,22402.39,324.58682,6.710679e-05,35.82638,-1.264765,-1.9503676,0.9979248,0.703125,0.0117756305,-14.973817,-15.028722,-0.972861,30134.814,191.56537,1.7077983e-09,0.99780273,0.671875,0.012174996,-14.861204,-14.915583,-0.99397963,4987.9487,117.70573,1.0303115e-08,0.014698418474197388,1250.2825183868408,45000
43.62418,-1.1529584,-1.9702847,0.9995117,0.9453125,0.0027171145,-16.149792,-16.225359,3.1199398,38344.38,480.67645,1.3640367e-06,2.1640835,-3.1129806,105.50375,0.99923706,0.9296875,0.0028851372,-16.408028,-16.484201,3.0165393,41405.633,469.22604,2.7481633e-06,44.087856,-1.1576357,-1.932267,0.99768066,0.734375,0.0117080435,-16.066456,-16.124777,-1.1943663,8449.08,74.39032,3.1232354e-09,0.9976349,0.69921875,0.0119079035,-15.974248,-16.032019,-1.2422702,45296.734,256.83795,1.9583833e-11,0.014588204050064087,1323.2235481739044,50000
