training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
2.0671024,-0.643607,-2.0918698,0.5617783,0.0,-13.321908,-18.434301,2.6680768,-2.696848,132.72101,0.119784586,-12.642857,-17.609125,0.028694347,0.5370365,-0.788712,-2.0818,0.69702953,0.0,-12.269209,-18.43372,0.12391676,-11.701723,-17.60711,0.041266225,0.1281686468601227,640.8432514667511,5000
0.36338487,-0.91203105,-2.0779853,0.77099514,0.0,-18.978977,-35.037407,3.1689224,-3.8665931,166.64677,0.014160918,-18.511503,-34.379066,0.053671133,0.58283365,-0.7373577,-2.0814776,1.1219602,0.0,-18.628983,-35.148975,0.012297351,-18.121891,-34.48652,0.05647792,0.010729167461395264,694.4890978336334,10000
0.9112544,-0.860332,-2.0859752,1.2133944,0.0,-23.545883,-46.49007,3.9914393,-6.670119,259.8136,0.058733474,-23.064503,-45.939934,0.05444558,0.5241765,-0.9632517,-2.0789511,1.2034647,0.0,-23.005478,-46.589638,0.050020855,-22.650461,-46.04927,0.05248169,0.010719750881195068,748.0878627300262,15000
2.1052938,-0.56357837,-2.0779905,1.1608236,0.0,-24.4601,-53.444828,6.12032,-6.936361,231.2761,0.12535568,-24.022156,-52.976303,0.091517374,65.519165,0.8203814,-2.0888703,5.026719,0.0,-25.590683,-51.727222,0.11266479,-25.107529,-51.195343,0.1247042,0.010718678045272828,801.6812634468079,20000
3.3831065,-0.40134752,-2.0858903,1.2952396,0.0,-26.478123,-58.250435,5.732354,-7.186433,227.2941,0.0908933,-26.049938,-57.83734,0.06832377,5.1976485,-0.23278666,-2.0871096,0.71044415,0.0,-21.83187,-57.745556,0.0621515,-21.484608,-57.267757,0.05070262,0.011161819076538087,857.490377664566,25000
4.0821276,-0.33721197,-2.097958,0.8818728,0.0,-27.316303,-62.42224,5.4594655,-4.328399,204.89331,0.056769326,-26.891422,-62.04629,0.063126236,6.9813547,-0.08962111,-2.0762377,1.249681,0.0,-28.303946,-62.415718,0.06509936,-27.864124,-62.037975,0.072809346,0.011395376253128052,914.4672751426697,30000
1.9825562,-0.8220851,-2.0871,1.2442904,0.0,-26.77372,-63.16513,6.233432,-6.6820045,302.31265,0.037490398,-26.373135,-62.819927,0.06714909,2.6463718,-0.5579592,-2.0876646,1.3351791,0.0,-26.436432,-65.16493,0.048872232,-25.995426,-64.78048,0.05712495,0.010726023769378663,968.0974125862122,35000
2.9435139,-0.43597627,-2.0788841,0.77408314,0.0,-26.851368,-66.62329,2.7262514,-2.5051997,113.50667,0.023909584,-26.493141,-66.31182,0.05343127,5.7091603,-0.16555536,-2.0906038,0.88866657,0.0,-25.767675,-68.406876,0.023263417,-25.432518,-68.07299,0.06416208,0.011206751823425292,1024.1311886310577,40000
4.3735657,-0.34640568,-2.072878,0.8720393,0.0,-29.85862,-70.77704,8.420711,-7.4898205,263.01724,0.031623304,-29.48267,-70.51349,0.07126622,1.0518064,-0.8047191,-2.0909238,1.0010049,0.0,-26.5691,-70.33413,0.06893961,-26.16832,-70.03613,0.06190179,0.011259365177154541,1080.4280297756195,45000
1.8577614,-0.5283215,-2.085673,1.0238444,0.0,-27.883299,-72.516884,4.982376,-3.7401247,175.95557,0.04249396,-27.473839,-72.23531,0.06317947,7.360602,-0.31610718,-2.0834532,1.0746454,0.0,-28.493652,-67.73086,0.019997336,-28.12698,-67.43208,0.05365978,0.010731755638122559,1134.086823940277,50000
0.51666015,-1.1039014,-2.0862336,1.6874366,0.0,-27.084177,-68.16035,10.414402,-11.327128,541.52246,-0.021590754,-26.688658,-67.784805,0.06768334,0.70114183,-0.83411527,-2.0812588,0.98832786,0.0,-30.884636,-68.342964,-0.0017414093,-30.44493,-67.98382,0.05774309,0.01068782730102539,1187.525972366333,55000
6.9366674,-0.44213003,-2.087244,1.3458613,0.0,-32.274445,-73.46922,5.863777,-8.04566,212.84686,0.08044869,-31.846384,-73.1568,0.054911107,8.959812,-0.32628122,-2.0788217,1.1731391,0.0,-30.149347,-72.81735,0.08469036,-29.770931,-72.534706,0.08775867,0.010694164514541625,1240.9968066215515,60000
4.3390694,-0.38313818,-2.0835276,0.7984756,0.0,-32.158287,-73.14755,3.542347,-3.6214743,169.86945,0.016965717,-31.78846,-72.88964,0.054883003,11.901571,-0.082994245,-2.0856595,1.3980083,0.0,-29.980051,-76.62348,0.020580731,-29.658096,-76.38879,0.07868935,0.010682595586776733,1294.409794807434,65000
5.1604905,-0.3497336,-2.084547,1.0860252,0.0,-29.182953,-70.509796,8.9326935,-8.109592,301.2533,0.023291036,-28.883354,-70.14527,0.07296784,1.9718038,-0.7359265,-2.0771685,1.0173985,0.0,-28.633144,-76.360245,0.029676728,-28.275436,-76.234665,0.06681202,0.010694895458221436,1347.8842849731445,70000
3.9133542,-0.63046986,-2.077971,1.3571858,0.0,-30.077856,-70.39862,5.8689556,-9.106474,289.37543,0.06461637,-29.63832,-70.18759,0.06133186,0.9349929,-0.8914906,-2.0850265,1.803926,0.0,-32.062595,-75.82562,0.07418381,-31.653767,-75.67265,0.06789176,0.010691591024398804,1401.3422520160675,75000
2.5516565,-0.5084344,-2.0901818,0.7379452,0.0,-31.37731,-76.91169,2.0581934,-3.8310497,103.9171,-0.007145405,-31.023148,-76.66769,0.040315665,0.71869844,-1.0472802,-2.0885725,1.1956036,0.0,-31.627033,-67.8387,0.009378456,-31.236773,-67.737976,0.0731084,0.010692919969558717,1454.8068656921387,80000
1.559261,-0.5227332,-2.0811183,0.7862808,0.0,-31.023586,-73.01133,1.06341,-1.9658083,74.88664,0.025288105,-30.612238,-72.90884,0.052181676,7.845623,-0.18485263,-2.0795321,1.1374053,0.0,-28.967587,-70.47759,0.018407747,-28.645287,-70.313156,0.04860993,0.010692523193359374,1508.269493818283,85000
1.3371835,-0.54063874,-2.0927804,0.8495668,0.0,-28.955692,-78.68578,3.4812384,-3.0296144,138.06966,0.0727393,-28.620914,-78.464035,0.052118707,9.957691,-0.12708452,-2.0705361,1.2458433,0.0,-31.327517,-80.27261,0.047016583,-30.960648,-80.072495,0.058231626,0.010691197776794434,1561.7254960536957,90000
9.860498,-0.056577016,-2.0816517,0.82445157,0.0,-29.065937,-77.11104,6.144827,-7.276973,262.6339,0.010212228,-28.718369,-76.956894,0.050729424,3.8824048,-0.34845746,-2.0948725,0.8012843,0.0,-31.255589,-71.945656,0.019294776,-30.919674,-71.61639,0.054360706,0.01070774221420288,1615.2642221450806,95000
0.53651637,-0.9309453,-2.0755506,1.2883407,0.0,-31.43475,-79.33958,11.734746,-9.965199,396.72296,0.073885456,-31.114368,-79.11444,0.06827082,4.48641,-0.3233933,-2.0858455,1.1398425,0.0,-28.592785,-75.568535,0.08471716,-28.242653,-75.46162,0.046842195,0.010712215375900268,1668.8253128528595,100000
4.950614,-0.2901881,-2.0715973,0.81188166,0.0,-34.677505,-76.9095,3.726576,-3.0300918,108.98541,0.004863687,-34.35204,-76.81865,0.043903135,5.7038584,-0.25201333,-2.0862834,0.7764314,0.0,-30.853783,-73.940056,-0.0010186508,-30.54185,-73.69125,0.055842567,0.12516413855552674,2294.646020412445,105000
4.4225636,-0.28931373,-2.0858574,0.72674775,0.0,-32.024326,-75.449394,3.745697,-3.7440648,148.61278,0.080687664,-31.673595,-75.61785,0.036924765,0.5311475,-0.80779266,-2.0885296,0.88469374,0.0,-30.195381,-79.02755,0.08007658,-29.817593,-78.823616,0.053857096,0.010725755405426026,2348.2748098373413,110000
3.2232695,-0.3821404,-2.0886424,0.90172225,0.0,-31.602184,-81.104645,2.6750314,-3.9640083,136.54224,0.101181656,-31.28339,-80.99503,0.05230508,11.862743,0.040201105,-2.0957603,1.4421141,0.0,-32.2727,-76.806854,0.08916457,-31.893734,-76.62188,0.07170001,0.010681344556808471,2401.6815457344055,115000
2.9377358,-0.33462802,-2.100721,1.0962805,0.0,-33.08966,-75.4268,4.811472,-4.328199,219.50165,0.033586748,-32.75991,-74.49668,0.0534698,3.4813225,-0.36277685,-2.1051958,1.0299361,0.0,-31.262936,-74.64531,0.026286334,-30.92913,-74.6404,0.063441865,0.010694347190856934,2455.153298139572,120000
3.3686,-0.50113046,-2.0971978,1.1711875,0.0,-32.33695,-76.260254,10.599353,-10.879012,360.83966,0.04127253,-32.03232,-76.009514,0.06380881,1.3061405,-0.7505397,-2.0925436,0.9595424,0.0,-32.385124,-75.57952,0.03918363,-32.055107,-75.37349,0.062758334,0.010684263563156129,2508.574633359909,125000
0.9130016,-0.674597,-2.094149,0.8561893,0.0,-32.810883,-78.44625,5.536542,-5.1055117,196.89157,0.03558883,-32.477524,-78.29849,0.05827178,1.0319592,-0.65274477,-2.085875,0.79176843,0.0,-34.597683,-76.01242,0.02405075,-34.259506,-75.73669,0.041890427,0.01070318260192871,2562.090556383133,130000
1.7414126,-0.48825645,-2.0825815,0.8819238,0.0,-33.296703,-77.201225,1.1695437,-1.1082828,89.87649,0.02031254,-32.93058,-76.965805,0.05189115,2.853909,-0.32122335,-2.1029637,0.73497486,0.0,-30.7096,-73.16955,-0.0032084137,-30.433952,-72.89563,0.036481865,0.011515748119354248,2619.6693108081818,135000
5.2909822,-0.37523654,-2.0833588,1.2460907,0.0,-31.899475,-76.89617,7.5932207,-8.248436,232.75276,-0.0050546825,-31.557884,-76.65675,0.04672353,2.3992605,-0.7411963,-2.0956206,1.3007925,0.0,-32.55209,-77.12223,-0.004204169,-32.249832,-76.88033,0.039606452,0.011011207389831542,2674.725362300873,140000
5.262639,-0.36380154,-2.094968,0.96807766,0.0,-32.623436,-77.29247,2.4661634,-4.535616,180.48117,0.022957832,-32.265198,-76.97933,0.05203928,13.394919,0.13090838,-2.0863447,1.3052502,0.0,-33.30359,-76.79452,0.012039073,-32.97398,-76.48103,0.06795342,0.010681273698806762,2728.131741285324,145000
1.778317,-0.41302067,-2.0863187,0.991482,0.0,-32.500732,-78.13124,2.509216,-4.307158,118.10563,0.045419216,-32.17907,-78.01505,0.054552995,4.1827736,-0.30756915,-2.0846899,1.0610772,0.0,-32.56407,-79.13667,0.061129898,-32.23348,-78.983986,0.05317404,0.011960644245147705,2787.9349789619446,150000
3.5264976,-0.34330925,-2.0992606,0.8682609,0.0,-33.26452,-76.230804,2.6359208,-3.3016753,118.15287,0.02674964,-32.973198,-75.97834,0.059760574,5.328205,-0.2368733,-2.0761693,0.63806313,0.0,-33.590916,-82.36596,0.024634697,-33.26301,-82.10301,0.046981253,0.011037187242507934,2843.1209259033203,155000
6.422601,-0.1586127,-2.09903,0.75663805,0.0,-32.041424,-81.231476,3.4195247,-2.74694,139.9391,0.0134065,-31.76529,-81.079994,0.04805556,11.277269,0.08400056,-2.0916877,0.862029,0.0,-32.760788,-76.27811,0.020834707,-32.48892,-75.79577,0.05933959,0.010698348474502564,2896.612679719925,160000
1.3128676,-0.7006028,-2.0925174,1.2032044,0.0,-29.918106,-78.059,9.681509,-7.676285,324.31168,0.035575256,-29.64832,-77.9288,0.05271654,0.87302685,-0.8347751,-2.0856261,0.9492506,0.0,-31.327232,-77.03331,0.035647243,-30.935547,-76.81954,0.06573582,0.010696907758712768,2950.0972299575806,165000
1.8573837,-0.5226704,-2.0818007,0.90478617,0.0,-34.956688,-80.21229,4.1144304,-3.0963435,162.53961,0.013638578,-34.665524,-79.81311,0.04788991,2.6800704,-0.4544002,-2.0870361,0.77192324,0.0,-33.382816,-74.233894,-0.0015670434,-33.12626,-74.37667,0.036303535,0.01069313669204712,3003.5629229545593,170000
3.1969237,-0.20046659,-2.0833607,0.6492311,0.0,-35.744057,-80.26749,4.659902,-3.3350282,150.59703,0.019145168,-35.483475,-79.83628,0.0360118,3.147066,-0.33856004,-2.0955014,0.9755484,0.0,-33.116257,-73.71495,0.013547353,-32.85344,-73.772606,0.044100553,0.010694825267791749,3057.0370588302612,175000
8.295688,-0.041806784,-2.1060228,0.8990409,0.0,-32.335484,-81.764565,6.4537773,-7.583756,242.06319,0.028520107,-32.066784,-81.62936,0.045442708,13.742418,0.12630963,-2.0873303,1.3054991,0.0,-32.22586,-82.367836,0.029835396,-31.932066,-82.156364,0.042957254,0.010662374544143677,3110.34894156456,180000
1.931579,-0.53196824,-2.082501,1.0376579,0.0,-34.495552,-76.79509,6.255307,-5.0396004,192.94554,-0.005071193,-34.182667,-75.92879,0.045494005,1.9858472,-0.37300128,-2.0859184,0.69249713,0.0,-33.54413,-79.79987,0.0026723072,-33.266197,-79.546974,0.037571676,0.012335228681564331,3172.0251009464264,185000
1.1967189,-0.6859078,-2.0932736,1.0286336,0.0,-35.07051,-80.375916,5.4264116,-7.443962,228.56189,0.046735242,-34.735245,-80.269005,0.054286167,6.6810884,-0.103557914,-2.0847678,1.0663278,0.0,-36.363365,-77.25895,0.042282425,-36.086296,-76.993324,0.045513928,0.01116614408493042,3227.855837583542,190000
0.9198793,-0.6482587,-2.0775504,1.0298307,0.0,-34.796944,-78.58876,6.032504,-4.676702,214.53775,0.050302766,-34.454407,-78.39068,0.048009902,2.0914047,-0.40149897,-2.1010718,0.78075624,0.0,-36.83786,-78.87947,0.041004837,-36.49479,-78.61267,0.042072296,0.010680904626846314,3281.2603726387024,195000
1.9662694,-0.39687097,-2.088347,0.7460973,0.0,-35.433273,-78.69455,3.2685308,-3.3269563,131.6457,0.070860356,-35.14774,-78.45137,0.05249248,0.6352198,-0.7448294,-2.0872464,0.98099804,0.0,-35.061356,-79.82931,0.058786727,-34.73204,-79.56915,0.062642366,0.010687356567382813,3334.6971683502197,200000
1.7969687,-0.46740913,-2.082056,0.7687191,0.0,-34.10982,-78.10722,3.997104,-4.5180454,163.3564,0.055556893,-33.77416,-78.11869,0.057764634,1.7691402,-0.3822125,-2.0992074,0.9238846,0.0,-34.69513,-80.24272,0.051543295,-34.36001,-80.193825,0.050983746,0.12515234127044678,3960.45889210701,205000
0.88854855,-0.5672723,-2.0844011,0.68994427,0.0,-34.10732,-81.05421,3.4131093,-4.5351,125.225624,0.028716907,-33.790672,-80.9701,0.039918505,2.239272,-0.35636038,-2.108567,0.82185733,0.0,-37.470497,-78.87236,0.03707751,-37.201595,-78.71483,0.05580096,0.010668261337280273,4013.800215244293,210000
5.1167727,-0.09107515,-2.090447,1.111836,0.0,-32.895325,-78.41055,8.34815,-8.870269,256.82355,0.021257773,-32.644547,-78.005104,0.061350778,4.945364,-0.22675967,-2.09782,0.9095979,0.0,-34.72273,-81.3406,0.035369106,-34.42373,-81.18204,0.045278993,0.010684985971450806,4067.225164413452,215000
7.998103,-0.23818411,-2.0980477,1.1200302,0.0,-35.943405,-80.14724,4.5065613,-6.4773026,228.38559,0.038710207,-35.708664,-79.75587,0.056434754,7.782381,-0.16972078,-2.0738766,0.9425031,0.0,-35.420994,-77.09344,0.040607527,-35.127228,-76.87098,0.055021755,0.010712287664413452,4120.786621809006,220000
2.6199021,-0.4104731,-2.091369,0.7035494,0.0,-35.0216,-80.330505,3.6080205,-3.5406742,101.27963,-0.0014345571,-34.751175,-80.23618,0.044817343,1.7862557,-0.75380373,-2.0990276,0.8360419,0.0,-33.907516,-80.21382,0.004386291,-33.659275,-79.96083,0.04751423,0.010724417495727539,4174.408724069595,225000
3.0247703,-0.33918017,-2.0832558,1.0592964,0.0,-36.40218,-80.45566,4.6815395,-4.94398,184.94557,0.018121138,-36.04327,-80.39445,0.04394285,1.9193795,-0.53036034,-2.0854578,1.0141485,0.0,-33.788155,-77.61454,0.0063927993,-33.54061,-77.03832,0.033990115,0.010646693086624146,4227.642200469971,230000
8.917404,0.029171146,-2.0856268,1.366662,0.0,-34.189896,-78.286514,10.717466,-12.071808,424.13434,0.037669703,-33.863968,-78.08487,0.0659464,3.36243,-0.36458513,-2.089426,0.81837,0.0,-33.527245,-79.21843,0.037553973,-33.247986,-78.82853,0.051305324,0.01065838975906372,4280.9341633319855,235000
5.443618,-0.36681837,-2.0802774,1.1758432,0.0,-37.13462,-83.61002,7.949563,-6.518439,251.01343,0.0018170327,-36.825775,-83.445366,0.06684153,0.9868088,-0.6661669,-2.096467,0.9006052,0.0,-33.99048,-79.06534,0.008174695,-33.66297,-78.74377,0.054212175,0.01065747356414795,4334.221546173096,240000
1.4910635,-0.49143824,-2.108428,0.751058,0.0,-37.09488,-83.52371,2.9644802,-3.248525,110.38509,0.00330548,-36.72339,-83.34085,0.03878938,2.1030579,-0.47764516,-2.0927596,0.6771139,0.0,-31.5103,-79.883,0.009735465,-31.205479,-79.64712,0.035736002,0.010683237361907958,4387.637747049332,245000
2.8199763,-0.24381149,-2.1021185,0.70830184,0.0,-36.71146,-78.35369,5.204647,-5.5579963,201.0641,-0.0017997697,-36.376324,-77.977875,0.040090002,7.4878316,-0.013363226,-2.0867684,0.9710858,0.0,-35.24417,-84.31893,-0.0055271313,-34.979866,-84.14955,0.042710498,0.010650542640686034,4440.890475034714,250000
2.253664,-0.41160876,-2.0901608,0.77324,0.0,-34.356247,-78.45955,4.017445,-3.5524652,161.10645,0.046092503,-34.07808,-78.14749,0.039868806,5.049511,-0.29761264,-2.0757627,1.1800015,0.0,-35.816956,-78.680084,0.06068389,-35.41979,-78.1901,0.062050033,0.010647165727615357,4494.126319885254,255000
4.197792,-0.15312696,-2.0833144,0.6672973,0.0,-37.576736,-79.79575,5.6301656,-6.5298243,229.46652,0.03709977,-37.328743,-79.60407,0.044241697,2.5319462,-0.25918978,-2.0923507,0.90830326,0.0,-34.084938,-80.826065,0.04533399,-33.781178,-80.629845,0.042321045,0.010676567411422729,4547.509171962738,260000
4.721618,-0.13606738,-2.0883048,0.7290419,0.0,-31.896564,-83.88238,7.2868915,-6.2611904,212.02188,0.050178483,-31.669886,-83.79974,0.044312626,5.402828,-0.0842849,-2.0939226,0.65295875,0.0,-37.431923,-78.76012,0.06862152,-37.100388,-78.69165,0.03597363,0.010687590360641479,4600.947140932083,265000
2.9728463,-0.20498408,-2.083161,1.0569389,0.0,-32.84433,-79.93792,5.2479143,-5.8144073,204.0228,0.018369779,-32.557938,-79.62954,0.05089186,3.4537506,-0.3558544,-2.090366,0.7436664,0.0,-37.913048,-81.35957,0.015124373,-37.627388,-81.01238,0.040897317,0.010726714992523194,4654.580731630325,270000
1.9722674,-0.35179073,-2.0915089,0.77936125,0.0,-34.802036,-81.12153,2.6615224,-1.9155458,101.46086,-0.009917252,-34.502083,-80.88428,0.03378156,4.543258,-0.21161528,-2.090808,1.1138821,0.0,-33.148262,-78.91571,-0.014515318,-32.836014,-78.78876,0.04120397,0.010706912517547608,4708.115305185318,275000
5.14943,-0.25323927,-2.0749147,0.9490917,0.0,-34.667076,-78.99801,5.7131243,-7.655202,198.36859,0.041460834,-34.3539,-78.9024,0.053355627,3.7684436,-0.37100917,-2.1038213,1.0707747,0.0,-35.144684,-80.45434,0.037190355,-34.90531,-80.021515,0.03855673,0.010690475416183471,4761.567697525024,280000
3.687247,-0.16380824,-2.1015038,0.64105415,0.0,-34.818077,-80.08919,6.8325214,-6.9774075,217.47432,0.020558447,-34.49286,-79.78821,0.038548507,4.1446114,-0.10029477,-2.0753214,0.71151644,0.0,-35.22677,-81.5804,0.009006821,-35.00443,-81.4313,0.041929945,0.010689127492904663,4815.013354063034,285000
3.0465267,-0.6211746,-2.0878003,1.0783272,0.0,-33.272713,-79.987495,6.450695,-6.6708794,210.5737,0.011235088,-32.985313,-79.81672,0.049912274,3.9000695,-0.4510374,-2.0895681,1.2329347,0.0,-33.9722,-81.111305,0.013380967,-33.67038,-81.18044,0.043564364,0.010673466491699219,4868.380701303482,290000
2.9537272,-0.31248116,-2.0971284,0.5482253,0.0,-34.116714,-83.855835,4.6460814,-4.1728873,123.22911,0.022390485,-33.87709,-83.717094,0.0315009,2.1368015,-0.54042757,-2.107371,0.99642116,0.0,-38.14548,-81.801865,0.019941114,-37.877457,-81.387184,0.055818237,0.010722286224365234,4921.992146492004,295000
1.1238775,-0.6209403,-2.0844133,0.9057343,0.0,-36.09219,-83.187386,4.289757,-4.576096,190.00493,-0.0019282252,-35.766144,-82.93067,0.054095455,0.68677425,-0.75260615,-2.0840096,0.921119,0.0,-34.13595,-79.22586,0.026798978,-33.901638,-78.999084,0.038877394,0.010735926532745362,4975.67179107666,300000
8.606449,-0.017617626,-2.0752394,1.0453124,0.0,-35.476456,-78.78154,11.479721,-11.317623,343.1543,0.019543245,-35.17426,-78.79183,0.058992337,2.8349988,-0.48459285,-2.091362,1.0397453,0.0,-32.73217,-80.43062,0.025977448,-32.47687,-80.12325,0.034914277,0.12452495827674866,5598.296596050262,305000
1.3856843,-0.46970403,-2.0906224,0.8027628,0.0,-37.48505,-79.87012,3.537065,-4.035567,117.6695,0.023914784,-37.172142,-79.624596,0.04129772,5.6043224,-0.07371364,-2.10112,0.8841974,0.0,-35.604076,-83.1093,0.023338094,-35.30567,-82.95728,0.053246267,0.010691912651062011,5651.75616979599,310000
2.7353256,-0.4366543,-2.1011257,1.2229921,0.0,-32.038353,-81.1984,5.395113,-6.966938,217.03912,0.045211345,-31.80712,-80.97508,0.04768259,1.588278,-0.52403164,-2.0943248,0.8259692,0.0,-34.501442,-81.83723,0.049530357,-34.224937,-81.66784,0.0576339,0.010690496826171875,5705.208668708801,315000
5.1338444,-0.13826302,-2.0943265,1.1931744,0.0,-36.679752,-79.58483,5.370681,-5.2111187,180.8228,0.010282591,-36.471527,-79.53599,0.045307674,1.0378293,-0.53800017,-2.0799851,0.6287966,0.0,-33.77038,-80.67722,0.014394045,-33.459717,-80.36892,0.031968772,0.010704356718063355,5758.730468988419,320000
2.3826537,-0.5530871,-2.0924551,0.9052731,0.0,-40.221386,-80.70854,6.0266705,-5.0576625,200.5133,0.039457545,-39.8764,-80.47131,0.052081708,3.7359734,-0.2721673,-2.0983222,0.8985024,0.0,-34.080914,-82.956215,0.030914143,-33.77461,-82.797165,0.041309237,0.010686627435684205,5812.163620471954,325000
