training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
9.3876,0.10769451,-2.0795245,0.845182,-1.392348,42.57659,0.21171233,-14.124905,-23.728981,0.14725298,7.436771,0.05493044,-2.127739,0.18072446,-13.58527,-23.688496,0.09453815,0.12904751214981078,645.2376070022583,5000
10.149305,0.13738659,-2.1172547,2.3707836,-1.7250861,112.93479,0.0033094045,-21.853914,-47.350838,0.19168916,11.600734,0.14080237,-2.1174695,0.090905145,-21.398775,-47.36293,0.21496743,0.008549371337890625,687.9844741821289,10000
8.025493,0.12582317,-1.9005696,1.934721,-1.5750906,123.72467,0.05728955,-23.579191,-62.669006,0.18966676,10.6003895,0.14110687,-1.9730976,0.0349169,-26.861904,-62.71893,0.21313782,0.008506674957275391,730.517861366272,15000
10.488694,0.21848626,-1.9109657,1.4004759,-2.2856243,118.495804,-0.03139612,-25.102991,-71.9944,0.21587962,10.516399,0.2033798,-2.0224032,0.011313178,-23.192505,-70.35472,0.23684204,0.00848444414138794,772.9401001930237,20000
10.770946,0.12669939,-1.9992793,1.5540485,-1.2204129,119.19514,-0.009465784,-26.762169,-76.8929,0.2633473,10.636433,0.1415831,-2.1084712,-0.0049926005,-25.507187,-76.24295,0.23293653,0.008416436624526978,815.0222930908203,25000
10.679613,0.1352149,-2.116075,3.1887078,-2.5305748,171.45491,0.043044716,-26.615995,-73.60918,0.17670776,11.419374,0.24075031,-1.9554465,0.018742025,-28.646694,-77.44174,0.2275599,0.008261831140518188,856.3314609527588,30000
8.634247,0.15244842,-2.0545459,1.0964515,-2.3096948,97.6618,0.03378044,-29.999214,-83.513664,0.18748844,10.360303,0.1714619,-1.8993025,0.037643168,-28.134686,-81.88492,0.23157048,0.008389295387268066,898.2779469490051,35000
13.32526,0.21952792,-1.9316294,5.5458384,-3.6900647,214.89438,0.048374094,-27.9767,-83.21817,0.31552905,10.285097,0.20319861,-1.9819509,0.05483047,-27.85706,-69.39606,0.28774583,0.008327558517456054,939.9157564640045,40000
10.866375,0.19402115,-2.1527865,1.6761007,-1.567737,108.72132,0.01240512,-29.258484,-78.85621,0.24354349,7.593013,0.16525555,-1.9229641,0.023258533,-24.66941,-68.34003,0.22302121,0.008277987909317016,981.3057081699371,45000
9.04727,0.19117033,-1.8827289,3.4251385,-3.6359754,169.07071,-0.006091729,-30.57103,-85.4487,0.22894895,9.572552,0.16487607,-2.0163357,-0.0071755536,-28.822144,-86.941376,0.21193697,0.008264183568954468,1022.6266393661499,50000
