training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.8702111,-1.5248748,133.447,140.1451,0.4521901,-11.284611,0.41904518,1.0,19.623032,0.35584253,-2.116895,0.10642749,-6.259355,-21.852917,0.07011096,94.62519,0.29090118,-10.9544525,0.35301337,1.0,25.388304,0.41467348,-2.2093334,0.17636287,-6.5767317,-19.677042,0.06972392,0.11039884104728699,551.9942243099213,5000
4.656645,-7.831972,350.67114,299.78552,0.96057916,-11.0133915,0.3648012,1.0,64.45865,0.8142003,-2.1577973,0.11702547,-17.350487,-34.50238,0.30638394,318.2223,1.0142474,-10.845235,0.33116993,1.0,62.260014,0.7000989,-2.1223125,0.12342859,-19.087965,-34.582535,0.26935694,0.01804877552986145,642.2381136417389,10000
8.033814,-12.660719,724.44495,401.2502,1.2367793,-12.712733,0.7046698,1.0,44.50865,0.83164,-2.032579,0.1572957,-25.023869,-44.10707,0.8941459,453.97302,1.4570367,-12.621858,0.6864945,1.0,55.730835,0.81187093,-2.0855808,0.06686627,-27.86304,-44.108215,0.86185765,0.0180760883808136,732.6185691356659,15000
7.286908,-11.166649,591.0772,517.9903,1.3644314,-11.310894,0.4243017,1.0,26.855694,0.046862476,-2.130326,0.041738525,-30.2804,-56.508553,1.2257502,516.42834,1.3896893,-11.408053,0.4437336,1.0,24.54739,0.16449238,-1.9694903,0.09348929,-28.667053,-56.457085,1.1495576,0.018052356338500976,822.8803629875183,20000
14.3578415,-13.41967,1156.4437,552.8228,1.6363167,-11.899807,0.54208463,1.0,38.006355,0.25171143,-1.6625375,0.1922366,-29.493773,-65.02028,1.3550104,473.2558,1.3045778,-11.842938,0.5307107,1.0,40.451916,0.3484453,-1.5586016,0.18903327,-29.780916,-64.95853,1.6230507,0.018043702936172485,913.0988898277283,25000
28.988861,-23.673267,1660.4956,536.3308,1.1311796,-12.080807,0.57828444,1.0,49.400314,0.76485443,-1.2292924,0.12589943,-28.156797,-68.32893,1.4248935,577.47943,1.1709139,-12.307743,0.6236715,1.0,39.162,0.71679413,-1.0086935,0.10033435,-22.77398,-67.42178,1.3193252,0.018088252353668212,1003.540164232254,30000
8.524238,-20.550129,1208.5889,621.1814,1.3607328,-11.962266,0.5545762,1.0,36.298927,0.48180774,-1.1531057,-0.06519368,-26.960358,-74.380646,1.3506746,559.93506,1.2370232,-11.900552,0.5422333,1.0,33.919262,0.47777665,-1.13333,-0.08603383,-24.146112,-63.403038,1.5059447,0.018033347702026366,1093.7069146633148,35000
20.454227,-10.909684,1308.8329,590.8874,1.7158539,-11.874132,0.5369492,1.0,27.924698,0.72796935,-0.9940916,0.2695583,-30.111198,-72.855225,1.5880375,564.71704,1.6975236,-12.205422,0.6032075,1.0,21.985626,0.6618922,-0.86202675,0.2665681,-30.369349,-69.352234,1.2930123,0.0180448326587677,1183.9310886859894,40000
17.414984,-20.378073,1561.8755,568.2484,1.3911083,-12.23689,0.60950094,1.0,24.99784,0.6231654,-0.79221094,0.039552316,-31.433117,-74.79405,1.083811,571.17847,1.4373715,-12.09459,0.581041,1.0,24.479431,0.6811305,-0.6990548,0.07228841,-29.123947,-79.236145,0.945995,0.01807125720977783,1274.287388086319,45000
35.323826,-22.484024,1725.2837,664.9855,1.7279963,-12.314207,0.62496454,1.0,25.052597,0.4106114,-0.94856465,0.12124719,-30.585953,-79.94351,1.2179568,627.8151,1.8513583,-12.238468,0.60981655,1.0,20.690016,0.53717375,-0.79092264,0.06507542,-31.135128,-77.98017,1.3111703,0.018050390911102294,1364.5393545627594,50000
