training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
86.93022,0.7034091,-2.0729108,566.29047,-784.603,14174.227,288.4859,852.10236,232.09944,0.49483055,12.346291,22.54765,3.1387808,0.0041032485,6.075632,-74.70773,288.7897,363.49744,83.015335,0.43671423,-2.1079865,288.7549,836.5573,231.56299,2.515613,8.623193,13.753258,3.0271764,0.043503247,6.0774717,-52.103336,289.05878,341.1621,0.1321453953742981,660.7270002365112,5000
58.67643,0.2800176,-1.9776224,342.41248,-385.78214,8518.004,327.47284,797.61914,192.09052,1.1121837,2.6712062,13.9194765,1.6367362,0.00012085051,22.52719,-59.04841,328.5992,387.6476,53.947617,0.22056837,-2.0801916,353.53278,767.9379,159.49149,4.111155,2.2523885,8.239204,1.6664695,0.00020649913,22.53233,-49.624943,354.6594,404.28433,0.012857656621932983,725.015291929245,10000
32.496788,0.26072294,-2.1594892,430.29846,-318.43564,7459.1367,417.33316,356.2577,84.78932,1.8478312,0.1737236,4.062093,0.9390168,0.005848398,69.59774,-8.610883,420.81305,429.42392,35.862164,0.3726505,-1.9942636,414.79593,379.60147,87.3145,7.219711,0.36822972,5.3340664,1.1075246,0.037324175,69.60949,-22.151808,418.27643,440.42822,0.012389454460144044,786.9625794887543,15000
16.631397,0.17647436,-2.0275416,253.65141,-255.35547,8145.355,433.92358,407.70267,67.91814,3.3294678,0.26220307,6.5525537,0.8508314,0.024952175,159.76358,-33.90232,441.91177,475.8141,18.336552,0.1809407,-2.073082,442.64313,365.436,59.015892,1.6275246,0.1287426,4.8022394,0.8379133,0.005336957,159.77905,-12.581419,450.63208,463.2135,0.01240349907875061,848.9800944328308,20000
17.282402,0.13366458,-1.9211942,248.53526,-328.1618,13875.717,437.98727,341.26068,63.662857,1.309913,0.40326405,10.240321,0.8220551,0.002631239,229.4439,-81.054276,449.45947,530.51373,15.048705,0.14344904,-1.962795,447.68115,369.60883,53.782936,0.10305418,0.039498672,3.3216171,0.756624,0.013602141,229.49455,2.4099977,459.15588,456.74588,0.012397535943984985,910.9677851200104,25000
16.816837,0.13390553,-1.9667206,127.23667,-153.821,2722.3196,447.33575,210.63046,53.92636,0.67757744,0.03565871,3.3481293,0.7486392,0.034861147,251.07881,3.6007943,459.8897,456.2889,15.300584,0.18111098,-1.9233137,446.5603,220.59079,54.702194,1.3506882,0.02672003,2.179403,0.7901888,0.05794602,251.07365,5.8449874,459.114,453.269,0.012400616359710693,972.9708774089813,30000
8.8832035,-0.011743329,-1.9078854,85.60507,-28.551208,1587.9469,443.81317,285.2773,57.631958,0.43697459,0.020161705,2.5291927,0.64479506,0.042183187,257.618,7.6868825,456.6941,449.0072,13.2259865,0.20442888,-1.8549916,444.87585,304.49805,56.526142,1.0971613,0.024203068,2.7496817,0.671641,0.041801278,257.60278,6.645362,457.75598,451.11063,0.012393601512908935,1034.938900232315,35000
19.35798,0.25925517,-1.9530847,406.29486,-467.041,6909.7715,425.60608,324.48093,76.247925,2.1703339,0.083018504,3.2761838,0.91673326,0.03951663,262.4793,-8.666674,438.73004,447.39673,20.516968,0.23000485,-1.9926898,428.19635,379.75357,73.693,2.082591,0.15521249,5.055997,0.871588,0.01837235,262.48544,-27.616749,441.32062,468.93738,0.01239558801651001,1096.9168496131897,40000
13.138062,0.21726227,-1.8318287,155.76889,-181.55627,2473.9395,450.58344,227.83812,50.64711,0.55235094,0.0040990626,1.4103516,0.7053811,0.030624403,268.04504,12.303518,463.9857,451.68216,12.962492,0.20373522,-1.8536599,444.912,251.70377,56.42145,1.9116635,0.015079666,2.1183786,0.7301783,0.03315013,268.03763,9.359963,458.31387,448.95392,0.012393541145324706,1158.8845677375793,45000
15.929289,0.1592437,-1.9298717,44.30991,-156.40604,1769.6443,435.21365,372.68167,66.56794,5.08153,0.006437462,1.5672927,0.7500196,0.026143909,273.81912,11.928256,448.9046,436.97635,13.7762575,0.1429254,-1.8994478,438.30383,303.46844,63.221344,0.5538588,0.013510101,1.8231349,0.74034506,0.029546566,273.7951,9.990756,451.9936,442.00284,0.012393475532531738,1220.8519542217255,50000
