training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
37.13024,-0.22845152,-1.88539,0.9977875,0.703125,0.009874107,-10.750655,-10.788453,-1.1120102,73.795456,4.1189785,2.777923e-06,2.4717243,-3.362727,76.391174,0.99780273,0.6640625,0.010565352,-10.328728,-10.363934,-1.3508945,71.4949,2.5632293,3.8419225e-06,43.0355,-0.12587994,-1.8778117,0.9975586,0.65625,0.010970902,-10.442675,-10.479706,-0.9994818,148.58508,5.8111873,6.203026e-07,0.9974823,0.609375,0.010993123,-10.308093,-10.343956,-1.1628505,35.167362,3.2992897,1.3944277e-06,0.13285325121879576,664.266273021698,5000
30.570995,-0.53245974,-1.8586065,0.99835205,0.796875,0.007393543,-11.790926,-11.838716,0.3957968,588.24634,20.28814,1.0587079e-05,1.5255268,-1.7770665,57.55822,0.9982147,0.7578125,0.007831367,-11.371143,-11.417045,0.33373743,939.17535,21.097244,7.3126707e-06,27.33057,-0.7075994,-1.9448069,0.9976654,0.65234375,0.010540985,-11.836481,-11.881153,-0.44499338,1800.65,22.803831,2.2111087e-06,0.99742126,0.6171875,0.011042903,-11.32814,-11.370668,-0.4835261,479.93915,19.554512,2.4950252e-06,0.014659798526763915,737.5652740001678,10000
45.571625,-0.12852782,-1.8495038,0.9985962,0.84375,0.0060278354,-12.502455,-12.555906,1.1280994,2547.9204,58.18888,1.4898639e-05,4.933222,-4.581931,126.33629,0.9982147,0.76953125,0.0068316683,-12.411361,-12.461867,0.4678936,1281.7665,37.748383,2.2460163e-06,41.007446,-0.6153761,-1.8464797,0.9973755,0.671875,0.011293662,-12.83091,-12.877699,-0.8994888,6964.09,48.011395,3.6577983e-08,0.997345,0.625,0.011932131,-12.782318,-12.827975,-1.1396582,3880.2053,42.340313,1.6216992e-08,0.014707683181762696,811.1036989688873,15000
43.583763,-0.4428095,-1.871356,0.9989929,0.90234375,0.0047240695,-13.68788,-13.748472,1.7635545,6831.7305,120.17241,1.7208739e-06,2.257917,-4.228545,111.58403,0.99868774,0.875,0.0047446582,-13.786991,-13.846629,1.4208595,1409.4108,59.957222,1.4286593e-05,47.903713,-0.7025608,-1.8587537,0.9974823,0.63671875,0.012851715,-13.643154,-13.691751,-1.2508819,5338.463,49.354385,5.188613e-09,0.9973297,0.59765625,0.01328526,-13.718119,-13.764963,-1.7723658,749.65326,19.366198,2.6750142e-09,0.014751729822158813,884.8623564243317,20000
40.32486,-1.0058107,-1.8025026,0.99913025,0.92578125,0.0040322533,-14.554533,-14.622023,2.655686,45667.37,307.61188,1.7034386e-06,4.443857,-5.5146646,150.154,0.9989624,0.8984375,0.0039005172,-14.299197,-14.365503,2.6090682,8462.071,218.9237,1.45887125e-05,45.21901,-1.140228,-1.833055,0.99739075,0.58984375,0.014741877,-14.504667,-14.553048,-2.1672337,9808.94,62.817947,6.142609e-09,0.9971771,0.59375,0.014360289,-14.467466,-14.516078,-2.0713372,1006.47595,24.554134,4.527441e-07,0.01473741192817688,958.5494244098663,25000
45.45523,-0.8165784,-1.796251,0.9993439,0.93359375,0.0033321863,-15.666008,-15.738793,2.8944812,53473.523,416.34573,2.492275e-05,2.7437482,-4.0821075,144.38834,0.9990692,0.89453125,0.003481506,-15.016426,-15.0853,2.5471435,7093.0312,180.12878,2.8558163e-05,50.634903,-0.7445981,-1.8301831,0.99754333,0.66796875,0.013483211,-15.476423,-15.530751,-1.6224875,2496.5957,36.32111,1.5827675e-08,0.9974518,0.62890625,0.01389985,-14.866449,-14.917824,-1.7658572,3809.9736,50.81553,5.175848e-07,0.014709778118133544,1032.0983233451843,30000
41.615505,-0.9385832,-1.8159614,0.99938965,0.953125,0.0029221734,-16.096186,-16.170914,2.9595428,40750.48,420.9986,1.5072189e-07,3.1559849,-4.864002,179.89725,0.99913025,0.92578125,0.0032245705,-15.679901,-15.752687,2.8806374,8530.466,314.14456,7.577187e-07,41.80812,-1.3295833,-1.7540206,0.997406,0.66796875,0.0143191125,-16.121899,-16.176691,-2.149634,8820.116,52.067627,1.9371427e-09,0.9972687,0.66796875,0.014098904,-15.7954035,-15.84963,-1.9674782,1258.5173,31.067064,2.1894087e-09,0.01465502438545227,1105.3734526634216,35000
35.23654,-1.0545714,-1.71361,0.99923706,0.94921875,0.0029299143,-16.44046,-16.515903,2.797549,27367.895,344.0373,0.00010071953,3.931654,-4.4949465,180.02235,0.9991913,0.9296875,0.0028975583,-16.179344,-16.25451,2.9883409,10303.944,337.02267,0.001031492,39.161736,-1.6893529,-1.7253734,0.99746704,0.6640625,0.015661813,-16.241755,-16.296291,-2.3346896,35813.535,119.695366,5.2204957e-10,0.99746704,0.58984375,0.015480313,-16.18174,-16.236563,-2.2020087,40823.023,379.50525,1.5481018e-10,0.014642157030105591,1178.5842459201813,40000
33.996254,-0.99637604,-1.7991753,0.99935913,0.9609375,0.0026462153,-16.762497,-16.840675,3.1733584,19177.74,335.6665,6.941639e-08,2.6673224,-3.1171741,153.37965,0.9990845,0.953125,0.0029354673,-16.67601,-16.7537,3.1353202,8683.48,337.68784,1.6277747e-06,41.788795,-1.3849275,-1.6614176,0.9972992,0.6875,0.014761787,-16.826433,-16.884186,-2.0989041,91680.445,336.87363,5.2907545e-10,0.997406,0.640625,0.014652414,-16.241743,-16.29766,-1.9827083,5065.343,79.22452,1.7269839e-09,0.014716124391555787,1252.1648757457733,45000
38.81842,-0.8777813,-1.7018968,0.99946594,0.95703125,0.0024295892,-16.538107,-16.615429,3.1786656,14033.624,329.255,0.00067043374,4.103281,-5.730711,248.23245,0.9991913,0.953125,0.002410702,-16.418545,-16.49503,3.085672,16562.875,409.30692,0.0032773807,41.428894,-1.0799001,-1.6807475,0.99697876,0.6328125,0.016297199,-16.541077,-16.594755,-2.852772,1984.524,36.232273,2.062474e-10,0.996933,0.5703125,0.017083967,-16.703022,-16.756369,-3.0996659,4110.369,34.79229,3.190125e-09,0.014704527950286865,1325.6875231266022,50000
