training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.4072104,0.10092445,-1.9625394,0.36001027,-0.5898992,37.53305,0.06405799,-14.653653,-23.891058,0.07183866,6.509585,0.107950404,-1.9212261,0.073532544,-14.852813,-23.921444,0.077705584,0.09121468014717102,456.0734212398529,5000
6.8960233,0.056763537,-2.1033716,1.7433326,-1.5287472,83.9121,0.090059854,-23.459524,-47.57296,0.1621421,9.025326,0.113889396,-2.0748694,0.16301048,-21.455753,-47.574646,0.27097237,0.00787824673652649,495.46466875076294,10000
11.113345,0.08121964,-2.1528146,1.7991614,-2.0867867,157.80923,0.042230353,-25.053528,-62.88657,0.27172646,11.666159,0.17891033,-1.9711795,0.020796247,-23.200573,-62.87526,0.19487408,0.007880205488204957,534.8657078742981,15000
11.279254,0.18861857,-2.0538926,1.9363756,-2.3931456,170.33766,0.0346172,-24.48438,-72.868515,0.27675605,11.040655,0.1438696,-2.1008205,0.07188612,-25.87,-72.603455,0.39202216,0.007881271696090698,574.272082567215,20000
9.920782,0.10114898,-2.0501785,2.7201455,-2.5956748,214.28473,0.025713954,-26.318954,-75.10637,0.25046992,10.550318,0.12911776,-2.183579,0.02127175,-25.288343,-66.89525,0.22256294,0.007880752277374267,613.6758570671082,25000
9.162661,0.05296038,-2.0954342,2.4599001,-2.119754,118.34964,0.015306883,-24.355015,-72.29903,0.26513878,8.267375,0.14536485,-1.9041522,0.0040967017,-25.641449,-77.51219,0.27738667,0.007882217741012573,653.0869569778442,30000
10.68165,0.1081763,-1.9551426,2.224735,-2.576924,161.2735,0.13643217,-23.95036,-80.523895,0.29348642,10.577744,0.16491851,-1.9838833,0.1152457,-25.10337,-67.82507,0.26637256,0.007882775783538819,692.5008502006531,35000
10.01333,0.121847175,-1.9561596,3.6764827,-2.2579591,161.59885,-0.03832771,-25.72454,-69.020905,0.21829708,8.927206,0.1537232,-2.054459,-0.04724976,-25.944866,-70.072426,0.379486,0.007885250329971314,731.9271230697632,40000
8.473074,0.15308243,-1.8666576,1.5154566,-1.7515985,103.89339,0.033092227,-24.997845,-70.97692,0.18340676,8.041391,0.13847786,-1.9715859,0.05645115,-25.77801,-71.2063,0.1560091,0.007889361763000488,771.3739433288574,45000
6.4193363,0.024012158,-2.0242302,1.6827273,-1.4260294,96.511826,0.0032779016,-27.274988,-74.57434,0.17796417,7.3461914,0.16377118,-1.9780608,-0.011790194,-27.762148,-67.808556,0.16598102,0.007891500234603882,810.831460237503,50000
10.556279,0.19023445,-1.8711214,2.670123,-2.5958753,173.13461,-0.013770651,-26.42846,-66.724815,0.29259697,8.439789,0.15462264,-1.9411976,0.00095387176,-28.657816,-68.92262,0.36379594,0.007892545700073242,850.2942042350769,55000
9.345279,0.1723122,-1.9792473,2.4701502,-3.3059611,184.24028,-0.002589304,-27.844381,-73.700836,0.22891812,8.114218,0.15232675,-1.9596405,-0.0010641329,-26.990433,-68.29068,0.28339037,0.0078897789478302,889.7431168556213,60000
8.539751,0.13436732,-1.9574492,1.9731336,-2.2831128,166.77322,0.010845404,-27.481173,-72.9684,0.17789182,8.09642,0.1297333,-1.9626667,0.011719696,-27.638124,-70.66771,0.21419773,0.00822535719871521,930.8699200153351,65000
8.184909,0.16859889,-1.9536798,2.893848,-3.0577435,167.72226,-0.019535214,-28.179287,-71.94066,0.22070467,7.7296124,0.21383375,-1.9550768,-0.00077386945,-26.743887,-69.58618,0.25533703,0.008071647357940673,971.2281773090363,70000
6.860877,0.07538943,-2.0265718,4.0710926,-3.9766703,143.68666,-0.00097139925,-31.219448,-72.3793,0.20493965,6.3063655,0.14912519,-1.9073244,0.015038997,-29.497559,-73.56914,0.22776274,0.00789298300743103,1010.6931149959564,75000
7.3741045,0.16470005,-2.055318,1.7334268,-1.3148459,120.18242,0.06397076,-27.075539,-66.69581,0.21773815,10.933076,0.21606709,-2.043021,0.072708964,-27.905346,-67.7206,0.21110019,0.008038050603866578,1050.8833796977997,80000
8.036192,0.20818317,-1.9388134,4.3954983,-4.439421,191.98923,-0.0072724894,-29.485226,-70.035805,0.17425823,6.9811344,0.21803695,-1.7768328,-0.009956267,-31.38783,-70.74521,0.28970724,0.008958603429794312,1095.676420211792,85000
9.202541,0.1327204,-1.9488759,2.736117,-2.6562836,118.49053,0.0032706857,-27.918602,-75.12929,0.21376438,7.502203,0.16173837,-1.9863999,0.011366859,-27.943531,-72.03038,0.18715212,0.008157185506820678,1136.4623606204987,90000
9.76559,0.19575834,-1.8953612,1.5181814,-1.7773248,127.994156,0.0056564286,-29.424084,-66.99029,0.1858845,7.1973367,0.17515245,-1.8486586,-0.0017389804,-30.48081,-73.00877,0.24679415,0.007881239366531373,1175.868570804596,95000
5.744268,0.14746292,-1.9210958,1.2542865,-1.4628994,96.1048,-0.020755049,-27.760529,-71.00403,0.17774631,8.407702,0.1889421,-1.8296453,-0.0155891515,-29.898369,-71.61106,0.22123761,0.007875569438934325,1215.2464315891266,100000
10.664179,0.19114424,-1.8053927,3.2713661,-3.0667367,197.94138,0.003530465,-30.250025,-73.84674,0.18673503,10.873304,0.21268988,-2.0208387,0.030835543,-27.910042,-65.98115,0.15141994,0.07855619387626649,1608.0274131298065,105000
7.0011253,0.17433909,-2.025655,2.307618,-2.2268043,152.08682,-0.01668873,-28.118294,-75.97052,0.22415403,6.9059906,0.04529003,-1.876162,-0.002772767,-28.588463,-73.44748,0.19641876,0.007891309833526611,1647.4839718341827,110000
