training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
0.24488068,-1.0438725,10.766893,9.187627,-9.8777935e-05,-9.1900625,0.00013539543,1.0,1.8381506,5.322043e-05,-1.8389628,-1.8280234,-1.837263,-1.8449154,1.2510087,9.183942,-0.00022614887,-9.190002,0.00012344231,1.0,1.9024453,-3.9068982e-07,-1.9030929,-1.8301411,-1.8360056,-1.8413515,1.3352715,0.14100198922157287,705.0099952220917,5000
0.53317475,-0.15562434,9.351154,9.19137,-4.8442744e-05,-9.192672,0.00065722625,1.0,1.829763,-3.92613e-05,-1.8293386,-1.7059274,-1.7066507,-1.7079723,1.1772988,9.192266,-2.3307744e-05,-9.192867,0.00069656357,1.0,1.7345467,-4.2403582e-05,-1.7339242,-1.7177348,-1.7185836,-1.7198936,1.3582962,0.018673959493637086,798.3798053264618,10000
0.13658398,-0.48502064,7.203546,9.187924,-6.9784466e-05,-9.189774,7.770934e-05,1.0,1.8411944,-9.211665e-05,-1.8424166,-1.7014508,-1.7034075,-1.7054036,1.2916534,9.190517,2.6138965e-05,-9.189728,6.85653e-05,1.0,1.7376755,5.5083074e-05,-1.737865,-1.7028627,-1.7047752,-1.7066654,1.1822572,0.018585964584350585,891.3096401691437,15000
0.10453987,-0.18797755,5.5503078,9.190044,1.8186867e-05,-9.189535,3.0147114e-05,1.0,1.7731287,3.0845404e-06,-1.7730699,-1.7369182,-1.7375354,-1.7381961,1.2590075,9.189534,-1.8402934e-06,-9.189577,3.8485876e-05,1.0,1.7788553,2.7757604e-05,-1.7786351,-1.7334644,-1.734102,-1.7347877,1.2018255,0.018653477382659912,984.5770378112793,20000
0.1508941,-1.6683204,10.44806,9.190224,-4.5681372e-07,-9.190237,0.00017031771,1.0,1.5742394,-3.8184226e-07,-1.5742384,-1.6527301,-1.652739,-1.6527481,1.4476335,9.190166,-1.3504177e-08,-9.190167,0.00015643658,1.0,1.5968297,-4.2375177e-08,-1.5968277,-1.6408613,-1.6408689,-1.6408784,1.370761,0.018644078826904296,1077.7974452972412,25000
0.092512734,-2.2453995,11.996183,9.189512,1.792796e-07,-9.189507,2.4411142e-05,1.0,1.519067,2.1839514e-07,-1.5190649,-1.6893275,-1.6893289,-1.6893461,1.4482841,9.189475,-1.5320256e-07,-9.189478,1.8746945e-05,1.0,1.6037753,-2.0675361e-07,-1.6037757,-1.6803885,-1.6803896,-1.6803944,1.2472266,0.01854575729370117,1170.5262417793274,30000
0.19710833,-0.5289554,8.208711,9.18944,1.44355e-08,-9.18944,1.0925868e-05,1.0,1.5701773,6.0535967e-09,-1.5701773,-1.6663967,-1.6663971,-1.6663977,1.3250532,9.189497,-7.450581e-09,-9.189497,2.2303328e-05,1.0,1.5983431,-6.0535967e-09,-1.5983433,-1.6636424,-1.6636429,-1.6636435,1.286486,0.018505498027801513,1263.0537419319153,35000
1.563178,-0.19298702,9.756391,9.18939,-1.1641532e-08,-9.18939,1.0367561e-06,1.0,1.56115,-8.381903e-09,-1.5611501,-1.6496017,-1.6496024,-1.6496029,1.1699053,9.189392,4.33065e-08,-9.18939,1.0641751e-06,1.0,1.5995941,4.5169145e-08,-1.5995939,-1.6467013,-1.6467018,-1.6467028,1.3313887,0.018499903964996338,1355.553272485733,40000
0.5933386,-0.10891389,7.299304,9.189443,7.450581e-09,-9.189443,1.1436627e-05,1.0,1.6505244,-2.3283064e-09,-1.6505244,-1.6913888,-1.6913891,-1.6913894,1.1984491,9.18943,1.5832484e-08,-9.18943,9.016386e-06,1.0,1.5269208,2.7939677e-09,-1.5269208,-1.6890084,-1.6890087,-1.6890094,1.2923185,0.0185401481628418,1448.2540271282196,45000
1.4539163,-0.20003076,8.76705,9.189402,-2.0023435e-08,-9.189402,3.41312e-06,1.0,1.6015909,-2.2351742e-08,-1.6015911,-1.6507696,-1.6507719,-1.6507722,1.1822665,9.189405,-5.448237e-08,-9.189405,4.1773865e-06,1.0,1.5207174,2.7939677e-09,-1.5207176,-1.6526213,-1.6526223,-1.6526287,1.2318224,0.01852486686706543,1540.8783688545227,50000
0.32477847,-0.17523217,6.472812,9.189386,-6.0535967e-09,-9.189386,3.227794e-07,1.0,1.5354944,1.2572855e-08,-1.5354944,-1.689358,-1.6893585,-1.6893587,1.2294481,9.189388,-1.071021e-08,-9.189388,5.6944884e-07,1.0,1.633237,-1.8626451e-09,-1.6332371,-1.6943252,-1.6943254,-1.6943266,1.2292614,0.01866747922897339,1634.2157769203186,55000
