training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
88.97181,0.6735923,-1.8521786,388.58392,-429.43472,7891.062,234.4735,962.848,315.29932,0.7846422,10.614752,20.98842,2.9348617,0.019988379,6.170515,-65.18996,234.78203,299.972,96.56775,1.1204036,-1.8842758,250.26749,924.2912,291.54794,7.313809,16.085781,30.57279,3.3543787,0.13369636,6.1721706,-98.97558,250.57608,349.55167,0.12528308205604552,626.4154617786407,5000
64.38799,0.39939034,-1.9841001,617.85834,-448.2177,8789.722,355.33322,629.8204,152.00943,1.5803881,1.560233,7.670751,1.5879318,0.017170783,23.793606,-35.93389,356.5229,392.4568,61.66547,0.41640005,-1.8777164,352.40613,580.6256,155.36014,3.1820512,2.16842,11.373758,1.6436698,0.11238329,23.80009,-50.41859,353.59613,404.0147,0.012410546112060546,688.4682018756866,10000
29.816307,0.24094969,-1.8077674,109.8858,-122.96809,2942.7178,413.28278,420.01364,88.93322,3.001994,0.21199784,3.8260534,0.9310096,0.04857173,76.20085,-12.344374,417.09283,429.4372,30.689693,0.22585543,-1.8573484,409.36197,391.475,93.03183,1.1735724,0.58345467,7.5795965,1.0373503,0.02525651,76.21695,-40.658287,413.17282,453.83112,0.012409383153915406,750.5151267051697,15000
19.500565,0.09843062,-1.8297638,187.57132,-137.16797,2543.542,430.34622,326.32404,71.31361,1.9734867,0.07133652,2.5402799,0.75468916,0.036631394,183.21896,-3.9092555,439.50717,443.4164,14.58939,0.15611523,-1.8291627,428.64084,292.1618,73.02213,1.5473418,0.037968367,2.3965743,0.79731554,0.032850396,183.23564,2.2046242,437.8026,435.598,0.012409061527252198,812.5604436397552,20000
12.92474,-0.023666844,-1.8997071,267.864,-184.33122,3728.8777,439.25516,224.86136,62.160023,2.5320065,0.025960222,2.0158541,0.6860249,0.015886903,260.021,6.2508473,452.25623,446.00537,13.793863,0.20511878,-1.8181148,443.29492,271.48288,58.055725,1.0242194,0.034178436,2.6132662,0.71803117,0.03230178,260.02982,4.1140785,456.29642,452.18234,0.012412614822387695,874.6235270500183,25000
14.6908045,0.19608551,-1.7400464,204.34877,-153.97198,2397.9978,438.48395,309.81693,63.02186,1.394784,0.021336067,1.8764185,0.7524913,0.030123703,282.29575,8.091706,452.59872,444.50702,11.218365,0.1707559,-1.779221,436.6585,280.52008,64.89232,1.7124096,0.017580166,1.8967326,0.7185552,0.0204085,282.2839,9.151597,450.7727,441.6211,0.012404616928100586,936.6466228961945,30000
15.869164,0.22900958,-1.7919269,185.17996,-131.14772,3696.5044,441.73123,307.13434,59.66126,1.255392,0.07222449,4.763868,0.776556,0.02078887,288.66516,-6.415436,456.1645,462.57993,13.919333,0.15689647,-1.7208765,438.66138,280.85074,62.779537,0.57332605,0.017858673,1.8152404,0.77810055,0.022218622,288.69727,9.279114,453.09625,443.81714,0.012407177734375,998.6825199127197,35000
23.597229,0.12179155,-1.8506253,227.39044,-244.01157,4298.455,429.1364,306.59058,72.481476,0.75216633,0.08149475,2.9624777,0.8585343,0.016078733,293.80383,-9.253278,443.82663,453.0799,19.054146,0.088036746,-1.7784083,417.3109,309.40735,84.62604,2.0576987,0.043468185,2.8343842,0.7827859,0.010374708,293.80988,1.9191121,432.0014,430.0823,0.012398790550231933,1060.6764814853668,40000
16.605667,0.21324009,-1.7418354,334.8791,-259.2025,5741.0215,426.96664,296.91708,74.75261,0.8881234,0.12737095,4.9238806,0.8516506,0.034968376,297.07425,-22.984919,441.82034,464.80527,17.649452,0.11384351,-1.7995214,421.24457,397.40042,80.6868,8.646401,0.11009903,3.878375,0.81362295,0.025189877,297.06406,-17.853262,436.09778,453.95105,0.012397367811203003,1122.6633303165436,45000
19.682735,0.14936548,-1.8756075,122.05871,-108.24076,2958.9858,424.2344,308.8981,77.548004,0.11774635,0.04531739,3.6978786,0.78329706,0.025107598,299.964,1.4046149,439.2326,437.828,19.81266,0.26371115,-1.8077493,423.61563,364.39444,78.222176,1.9532024,0.038944975,3.0647352,0.8264079,0.045879774,299.95453,3.3160052,438.61337,435.29736,0.012407755994796753,1184.7021219730377,50000
15.201107,0.04592073,-1.5591891,155.12843,-151.54118,3812.5854,417.10803,474.16278,85.39519,2.2369688,0.09351704,4.229369,0.7967278,0.030378383,302.84296,-13.178829,432.25018,445.42902,17.86061,0.16499299,-1.7691059,419.85645,458.95245,82.53677,0.555077,0.047360096,2.650598,0.81736934,0.016023558,302.88107,0.7995771,435.00052,434.20093,0.012400320100784302,1246.7037312984467,55000
