training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.7745783,-7.8110657,0.7811066,0.11488946,6.0691986,0.99347174,-6.029578,1.0,0.99903107,0.12207031,0.005716333,-10.029827,-10.03498,-4.758912,2.7930698,0.12009384,2.844871e-06,0.008116762,-0.0074415733,0.25495017,1.7746464,-7.8260736,0.7826074,0.1186414,6.1802874,0.992039,-6.1310873,1.0,0.9987726,0.056640625,0.0063757487,-9.833102,-9.837988,-4.8352685,15.997949,0.18724693,2.3577297e-06,0.18887924427986144,944.3962681293488,5000
1.762629,-7.7773614,0.7777362,0.106463335,6.110213,0.9848929,-6.017906,1.0,0.9990492,0.140625,0.005301467,-10.015068,-10.02061,-4.346944,7.4372787,0.19967473,9.584172e-07,0.008775308,-0.009034663,0.23592488,1.7627114,-7.7948337,0.7794834,0.11083138,6.1785007,0.983228,-6.074876,1.0,0.99854183,0.076171875,0.0063873003,-10.003811,-10.009189,-4.5025187,128.64622,0.51133543,2.0743887e-06,0.0029319956302642823,959.0562551021576,10000
1.7629178,-7.7681623,0.77681625,0.10416354,5.9862623,0.98610145,-5.903063,1.0,0.99905586,0.15429688,0.0053408653,-9.914152,-9.919555,-4.387203,11.496412,0.20562714,2.8627328e-06,0.014493603,-0.013550704,0.24542512,1.7594851,-7.781578,0.77815783,0.10751754,6.0416713,0.9813273,-5.928858,1.0,0.9987221,0.07421875,0.0060639693,-9.760645,-9.765815,-4.4731374,109.36946,0.6675134,4.6266183e-07,0.0029346590518951414,973.7295582294464,15000
1.7520291,-7.721223,0.77212226,0.09242864,5.862257,0.9799068,-5.7444663,1.0,0.9990568,0.171875,0.0051774844,-10.14267,-10.148478,-4.2023587,13.748565,0.28176892,7.926429e-06,0.01153205,-0.009354029,0.20611218,1.7540237,-7.7655864,0.77655864,0.10351953,6.014413,0.97746503,-5.878879,1.0,0.9985657,0.0703125,0.006164231,-9.873083,-9.878502,-4.3299284,73.95772,0.58544356,1.8576906e-06,0.0029347652912139893,988.403392791748,20000
1.7431228,-7.7190275,0.7719028,0.09187986,5.805645,0.97121996,-5.6385593,1.0,0.9990721,0.18457031,0.0050045345,-10.154013,-10.160063,-3.9653249,37.180775,0.39863664,1.7161809e-05,0.0144420555,-0.00881218,0.19865541,1.7482036,-7.7635193,0.7763519,0.10300283,6.025651,0.9718517,-5.85604,1.0,0.9985752,0.087890625,0.006248635,-9.869974,-9.875371,-4.3485527,475.7671,1.4270718,2.020714e-06,0.0029429708957672118,1003.1182548999786,25000
1.7569973,-7.715965,0.7715965,0.09111413,5.760813,0.98540086,-5.676711,1.0,0.9990597,0.1796875,0.0050431835,-10.194337,-10.2003355,-4.058223,23.207365,0.23532262,8.82336e-07,0.009520601,-0.010479849,0.18903236,1.7635779,-7.788769,0.7788769,0.10931516,6.2647414,0.984701,-6.1688976,1.0,0.99880314,0.09082031,0.0059357984,-9.8471365,-9.852409,-4.4535947,70.78829,0.3845082,6.2256204e-06,0.0029441946029663086,1017.839234828949,30000
1.75545,-7.718697,0.77186966,0.09179723,5.8336515,0.9835804,-5.7378664,1.0,0.99905014,0.17089844,0.0049659307,-10.253883,-10.259927,-4.0713673,9.896766,0.24671446,4.6942343e-08,0.0072691394,-0.00898468,0.1770437,1.7541237,-7.7772303,0.777723,0.106430486,6.1730866,0.97640073,-6.027407,1.0,0.99858856,0.09277344,0.00642148,-9.977687,-9.98327,-4.2660313,157.09344,1.0056419,1.9942115e-07,0.0029513201236724853,1032.5958433151245,35000
1.7551515,-7.7176943,0.7717694,0.09154647,5.93789,0.9833821,-5.8392153,1.0,0.99906254,0.19238281,0.004982104,-10.271847,-10.277937,-4.0415955,30.683817,0.28469568,1.2626061e-06,0.011367659,-0.020446178,0.21588889,1.7597332,-7.771108,0.7771108,0.10489997,6.3461075,0.98262244,-6.2358284,1.0,0.9987631,0.099609375,0.006022165,-10.014426,-10.019953,-4.3611436,91.73835,0.67651653,8.4067284e-07,0.00295204553604126,1047.3560798168182,40000
1.757072,-7.7002916,0.7700292,0.0871959,5.97289,0.9870428,-5.8954988,1.0,0.99906063,0.18359375,0.0050332635,-10.155577,-10.161517,-4.077609,17.468666,0.2179718,1.8263415e-06,0.012324464,-0.019920487,0.20105232,1.7540951,-7.7994943,0.7799494,0.111996606,6.21064,0.9741456,-6.0500684,1.0,0.9985609,0.087890625,0.0065079825,-10.169758,-10.175509,-4.2855453,90.53015,0.732596,4.7138023e-08,0.002962464475631714,1062.168410539627,45000
1.7489814,-7.6818767,0.76818764,0.082592085,5.73542,0.9807937,-5.625265,1.0,0.9990473,0.18554688,0.0049848426,-10.3243475,-10.330517,-4.0118055,11.792287,0.30314428,1.0841745e-06,0.013297831,-0.015316565,0.2017639,1.7569872,-7.752654,0.7752654,0.10028646,6.2201014,0.9817218,-6.10641,1.0,0.99876404,0.09472656,0.006081902,-10.040556,-10.046009,-4.4612722,103.94444,0.6522487,4.59557e-08,0.0029535239696502685,1076.9360377788544,50000
