training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.3155859,-7.718707,2.3156123,0.09179973,18.919167,0.9999735,-18.918667,1.0,0.9584756,1.6391463,-14.719984,-26.282244,3.0654562,-3.4345236,52.821316,2.280398,-14.145679,-25.543068,0.040716242,3.3179865,-7.726621,2.3179865,0.09377832,19.233387,0.9999999,-19.233387,1.0,0.9456971,0.0,-15.387245,-26.225859,1.1071355,-14.840993,-25.48295,0.045540158,0.2316752143383026,1158.3761413097382,5000
3.3006754,-7.6689177,2.3006754,0.07935226,28.453156,0.99999994,-28.453156,1.0,1.7189887,0.0,-23.241098,-41.663445,7.5236263,-6.330883,121.883644,0.7465942,-22.822586,-41.08804,0.054603346,3.3101177,-7.700411,2.3101234,0.08722571,29.116232,0.9999942,-29.116066,1.0,1.1516222,0.0,-23.618443,-41.76918,1.027405,-23.152206,-41.186756,0.06440349,0.002818127202987671,1172.4667840003967,10000
3.294177,-7.6472573,2.294177,0.07393725,34.089317,1.0,-34.089317,1.0,2.2068303,0.0,-26.072187,-53.685356,8.379074,-10.299692,142.90729,0.7663326,-25.68798,-53.243046,0.097635135,3.3012445,-7.6708155,2.3012445,0.079826765,35.203915,1.0,-35.203915,1.0,2.484882,0.0,-27.610443,-53.704136,0.6325543,-27.224665,-53.236507,0.13077478,0.0027593843460083007,1186.2637124061584,15000
3.2880273,-7.6267567,2.2880273,0.06881213,35.910393,0.99999994,-35.910393,1.0,1.9894738,0.0,-29.650686,-62.962414,7.3412714,-6.540879,109.19014,0.95882165,-29.285923,-62.588123,0.08365944,3.2974901,-7.658299,2.2974901,0.076697715,36.617126,1.0,-36.617126,1.0,1.6315389,0.0,-29.925373,-63.161335,1.1866608,-29.586525,-62.78921,0.09921441,0.002757804822921753,1200.0527431964874,20000
3.2908666,-7.636277,2.2908833,0.07119233,37.41854,0.99998325,-37.417915,1.0,1.9568691,0.0,-30.560236,-70.018074,4.4357224,-4.2839007,102.30746,0.5419563,-30.214474,-69.71632,0.11714508,3.2961173,-7.653724,2.2961173,0.07555404,38.300423,1.0,-38.300423,1.0,1.7638371,0.0,-31.360838,-69.9901,0.9981469,-31.032291,-69.68647,0.10067746,0.002835788869857788,1214.2316942214966,25000
3.2838876,-7.612984,2.2838953,0.06536904,38.95545,0.9999923,-38.95515,1.0,2.0617251,0.0,-29.581505,-75.20483,5.240651,-5.946176,107.0307,0.9614219,-29.24558,-74.833145,0.10848962,3.2943437,-7.647813,2.2943437,0.07407608,38.498405,1.0,-38.498405,1.0,1.9721658,0.0,-31.51212,-74.75427,0.7084087,-31.149345,-74.49726,0.0910703,0.002766861152648926,1228.06600689888,30000
3.282424,-7.6080837,2.2824254,0.06414388,38.171574,0.9999987,-38.171524,1.0,1.6087759,0.0,-30.615837,-78.33041,5.3988705,-5.290447,89.247635,0.7181399,-30.282454,-78.108376,0.103710294,3.2942626,-7.6475525,2.2942657,0.074011095,39.49745,0.99999696,-39.49733,1.0,1.2930566,0.0,-32.389412,-78.03487,0.75663507,-32.103012,-77.840416,0.1370453,0.0028425430297851564,1242.2787296772003,35000
3.2875414,-7.625138,2.2875414,0.068407334,38.335228,1.0,-38.335228,1.0,1.5847002,0.0,-30.645306,-79.78544,3.970725,-3.3628576,69.99599,1.3762375,-30.277569,-79.604065,0.15860848,3.2897186,-7.632429,2.2897286,0.07023023,37.152122,0.9999899,-37.15175,1.0,1.3132447,0.0,-31.744675,-79.77721,1.1868316,-31.395615,-79.57319,0.13080455,0.00288526930809021,1256.7050833702087,40000
3.2802014,-7.6006875,2.2802062,0.062294878,40.001785,0.99999535,-40.0016,1.0,1.8083283,0.0,-31.48491,-80.92397,4.1976814,-4.6923943,80.31969,0.68046623,-31.18697,-80.69114,0.10396078,3.2888613,-7.6295815,2.2888744,0.06951824,39.84217,0.99998677,-39.84164,1.0,1.5444047,0.0,-32.8101,-81.382744,0.6495901,-32.489113,-81.19388,0.095436975,0.0028626589775085447,1271.0183851718903,45000
3.2777696,-7.5925703,2.2777712,0.060265545,39.16718,0.99999833,-39.167114,1.0,1.1642017,0.0,-32.503693,-82.3943,3.17795,-3.447538,63.37062,0.75123847,-32.104492,-82.18677,0.095008075,3.2900374,-7.633458,2.2900374,0.070487484,39.792515,1.0,-39.792515,1.0,1.3093044,0.0,-31.920263,-81.51361,0.5710566,-31.544357,-81.32589,0.10111299,0.0027517911434173582,1284.7773475646973,50000
3.271656,-7.572187,2.271656,0.055169612,39.94291,1.0,-39.94291,1.0,1.670059,0.0,-32.882545,-83.4112,4.344483,-4.8804502,73.58016,0.62785643,-32.49907,-83.24462,0.09379296,3.2943077,-7.6476927,2.2943077,0.074046105,40.535885,1.0,-40.535885,1.0,1.3464029,0.0,-32.436935,-82.8936,0.91604775,-32.08438,-82.724014,0.1617375,0.0027419852733612062,1298.4872810840607,55000
