training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
124.29069,0.053424753,-7.813453,0.11548628,1.0,1.9941413,-2.0210605,51.384487,0.5169241,-14.066522,-25.535366,0.12481589,146.58746,0.10806299,-7.818123,0.11665377,1.0,0.66359746,-14.727066,-25.561207,0.11915196,0.19214962344169617,960.7481513023376,5000
194.4855,0.08174505,-7.724324,0.09320398,1.0,3.1093864,-2.5431988,70.040474,0.9902197,-22.31138,-43.41191,0.2012178,217.5054,0.12345138,-7.766492,0.10374582,1.0,0.7763662,-22.615402,-43.466007,0.19664547,0.0025467415809631347,973.4818921089172,10000
251.9048,0.11500232,-7.6990814,0.08689329,1.0,3.635941,-2.7997823,73.46039,0.7854904,-24.731936,-58.879272,0.23001787,267.6237,0.16739088,-7.717243,0.091433704,1.0,0.62958366,-25.941109,-58.49427,0.20414409,0.002551715660095215,986.2404987812042,15000
285.21262,0.13920407,-7.6967278,0.08630499,1.0,5.0138583,-3.9813645,82.03256,0.5837225,-27.560024,-69.5969,0.26229998,285.28998,0.1489127,-7.70292,0.08785291,1.0,0.67374164,-28.04866,-69.62382,0.3020181,0.0026049272060394285,999.2651686668396,20000
299.80182,0.14859681,-7.681423,0.08247869,1.0,4.0528684,-3.5339422,78.81308,0.55906856,-28.239017,-77.95516,0.26997417,286.97168,0.11604993,-7.7113967,0.089972146,1.0,0.54380584,-28.959595,-78.59422,0.2450466,0.002486063098907471,1011.6955134868622,25000
276.99564,0.13986942,-7.6629977,0.07787243,1.0,3.0189137,-2.5080311,81.41312,0.69283164,-27.012424,-84.21226,0.29439673,306.1807,0.14611223,-7.7006397,0.08728279,1.0,0.77386355,-28.878109,-84.80379,0.2559331,0.002483250665664673,1024.1117968559265,30000
298.05356,0.16278507,-7.65112,0.07490297,1.0,2.7920613,-3.263767,72.52876,0.542153,-28.12156,-86.87689,0.31258172,295.23438,0.13266644,-7.688985,0.08436918,1.0,0.3765339,-29.948483,-86.76722,0.28431138,0.0024942200660705567,1036.5829286575317,35000
304.74994,0.17224881,-7.6770263,0.0813795,1.0,2.6873255,-4.299609,82.91473,0.7219502,-28.082932,-88.332825,0.35381877,303.1265,0.14564313,-7.6785116,0.081750795,1.0,0.32425383,-29.319147,-87.90675,0.27374023,0.0025373390197753905,1049.2696545124054,40000
309.8634,0.17539018,-7.6503944,0.07472166,1.0,4.2846375,-4.188907,83.902596,0.528157,-28.936829,-89.208084,0.2668468,306.41168,0.14610657,-7.680796,0.08232192,1.0,0.8268257,-30.095673,-89.48329,0.27476305,0.0025314913272857665,1061.9271426200867,45000
282.0842,0.10750657,-7.6611238,0.07740399,1.0,3.1821628,-4.14688,73.697876,0.6664486,-29.766403,-90.38649,0.24419306,297.32993,0.12457658,-7.7044725,0.0882411,1.0,0.43451345,-29.23613,-91.03598,0.27169436,0.002532105302810669,1074.5877003669739,50000
289.57452,0.14155006,-7.632277,0.0701922,1.0,3.1415348,-4.332426,77.42118,0.4444281,-30.098133,-90.931145,0.27788782,285.11273,0.10462791,-7.7077994,0.08907285,1.0,0.48964924,-29.550919,-91.97931,0.3567137,0.002554120969772339,1087.3583371639252,55000
299.10223,0.15118912,-7.6138945,0.06559657,1.0,3.7864566,-2.3439653,79.18396,0.5809636,-29.323727,-91.34212,0.56626576,292.1183,0.13334286,-7.68927,0.0844405,1.0,1.2428814,-28.949375,-92.26711,0.28338408,0.002586334705352783,1100.2900414466858,60000
292.18982,0.13160071,-7.623458,0.06798747,1.0,9.059425,-3.9934564,89.59036,0.48022816,-29.025162,-87.07442,0.49186814,296.32892,0.14841524,-7.674878,0.08084255,1.0,0.3213449,-28.694569,-88.61641,0.34446204,0.002552063465118408,1113.0503902435303,65000
319.3188,0.11816772,-7.632448,0.070234954,1.0,4.0811114,-3.069498,83.275055,0.42697665,-28.209633,-89.17182,0.78753245,302.9447,0.07789383,-7.661335,0.077456675,1.0,0.517563,-29.109953,-93.1357,0.5578207,0.002536296796798706,1125.731901884079,70000
298.7826,0.11240341,-7.616136,0.06615696,1.0,2.966797,-3.8147633,91.43909,1.2401415,-24.224003,-94.74067,0.86016285,330.2689,0.13925849,-7.668462,0.07923849,1.0,0.9608359,-24.738232,-93.446915,1.3948655,0.002819484233856201,1139.8293669223785,75000
310.35754,0.09700601,-7.601631,0.062530875,1.0,3.7262967,-4.337733,80.772896,4.6332183,-21.185764,-92.3513,0.73757935,295.26196,0.1042182,-7.6611,0.077397875,1.0,1.0709308,-21.387419,-81.72748,1.8419454,0.0026915515422821046,1153.2871613502502,80000
291.9885,0.10235133,-7.612526,0.06525451,1.0,3.4947307,-3.893111,83.401535,1.1780012,-19.585487,-95.7056,0.592386,322.29022,0.13496381,-7.673993,0.08062128,1.0,0.48349357,-19.919838,-90.48885,0.71398807,0.0026337012767791747,1166.45570230484,85000
287.50516,0.08935447,-7.611992,0.06512096,1.0,6.0288634,-5.611794,78.48881,1.1823134,-20.313148,-101.11151,0.4319653,313.08334,0.14514776,-7.6811943,0.08242148,1.0,0.6229855,-19.68421,-82.17526,0.43892965,0.0027578693389892577,1180.245088815689,90000
289.7779,0.09460202,-7.6302476,0.06968483,1.0,7.520897,-6.5696044,93.54846,0.8354332,-21.63117,-110.45053,0.38852584,270.99478,0.043835133,-7.6628866,0.077844575,1.0,0.7567121,-21.275568,-95.19363,0.5962746,0.0028366950988769533,1194.4286170005798,95000
293.7223,0.12753429,-7.6047516,0.06331076,1.0,4.3021936,-10.929032,95.49455,0.7779491,-21.576824,-113.86965,0.46602976,322.39478,0.106383756,-7.669783,0.07956872,1.0,0.3395518,-20.797737,-72.63388,0.5349972,0.002621661329269409,1207.5369596481323,100000
280.10718,0.07643643,-7.5955105,0.06100057,1.0,4.709597,-2.373444,81.46035,0.7024795,-21.8098,-119.082245,0.46804407,282.7687,0.07071394,-7.664257,0.07818714,1.0,0.838269,-22.273548,-109.730316,1.1511647,0.19423118033409117,2178.6929569244385,105000
290.43207,0.1044069,-7.5872774,0.058942333,1.0,3.3422842,-6.036639,85.20305,0.41309196,-22.766644,-124.18267,0.7649255,302.88577,0.115771815,-7.657534,0.07650643,1.0,0.65394086,-22.011166,-73.648155,0.5475605,0.0027328875064849853,2192.357427597046,110000
300.5098,0.1585517,-7.6004076,0.062224854,1.0,4.0059857,-7.9333043,86.676476,0.46689442,-22.758766,-115.82055,0.44744152,294.17987,0.10015957,-7.662148,0.077659994,1.0,0.3705497,-22.25164,-104.679596,0.88333017,0.002903832197189331,2206.87663936615,115000
259.33264,0.05258427,-7.6176,0.06652293,1.0,6.663645,-4.8386745,86.65522,0.43121806,-23.885328,-120.194336,0.5042112,271.40225,0.10595195,-7.6673727,0.0789661,1.0,0.43222514,-22.66634,-115.87517,0.6437415,0.00263778395652771,2220.065591812134,120000
293.03552,0.16413958,-7.576412,0.056225933,1.0,5.466908,-2.8082213,68.993126,0.570753,-23.659094,-129.9094,0.4080357,284.798,0.12747192,-7.654646,0.07578446,1.0,0.7839489,-22.573816,-111.53311,0.64850366,0.002741822624206543,2233.774741411209,125000
