training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
4.7517924,-5.1280627,143.4281,302.66095,1.6946471,-10.0834675,0.1788166,1.0,134.45207,0.19513889,-7.732441,0.095233165,1.0,0.11378519,-14.47053,-24.549648,0.41539365,308.3275,1.6092684,-10.138449,0.18981259,1.0,125.531525,0.18001196,-7.737218,0.096427396,1.0,0.11733839,-13.4314575,-24.547792,0.5886727,0.2705469266891479,1352.7346851825714,5000
6.627985,-5.342583,163.94762,428.6261,2.5128021,-9.810568,0.1242367,1.0,208.99309,0.38671616,-7.6693087,0.079450205,1.0,-0.02537569,-21.796867,-41.94179,0.8135699,428.90338,2.828226,-9.8594,0.13400286,1.0,182.90128,0.30461565,-7.7114677,0.08998993,1.0,-0.0098846145,-22.093819,-41.96183,0.62146467,0.004073887968063354,1373.1041345596313,10000
12.227813,-17.924723,210.4101,513.1979,2.8883426,-9.743099,0.11074277,1.0,182.31284,0.38356757,-7.6585884,0.07677002,1.0,0.045603447,-25.798061,-55.164196,0.78143203,536.8377,3.398231,-9.759417,0.114006236,1.0,183.63928,0.38472483,-7.676712,0.08130097,1.0,0.050359033,-27.035072,-55.095688,0.97514164,0.0036157317161560057,1391.1828010082245,15000
4.839378,-5.1656623,172.86185,534.8988,2.8695612,-9.940846,0.15029217,1.0,161.03857,0.26572093,-7.644927,0.07335479,1.0,0.17713761,-27.986794,-65.24414,1.341256,577.73846,2.9441652,-9.910091,0.14414142,1.0,184.91829,0.33851862,-7.6710668,0.07988967,1.0,0.13255504,-28.344505,-65.22316,1.0092525,0.003707425022125244,1409.719934463501,20000
10.662529,-14.912842,206.42249,609.6832,3.6475196,-9.849756,0.13207422,1.0,168.56673,0.3231868,-7.611143,0.06490877,1.0,-0.03108856,-27.591648,-73.017944,1.1456795,590.2459,3.223982,-9.96513,0.15514898,1.0,178.15222,0.31351608,-7.654436,0.07573198,1.0,0.046850268,-28.079922,-73.20828,1.230074,0.0037136223793029785,1428.288054227829,25000
9.822677,-7.271071,178.13103,598.23773,3.8842494,-9.720177,0.106158376,1.0,156.83076,0.2446745,-7.607306,0.06394948,1.0,0.1758736,-33.26615,-79.18901,0.9303045,612.4859,4.0118303,-9.740706,0.11026434,1.0,176.42825,0.37410665,-7.6630836,0.07789385,1.0,0.15631145,-33.999588,-79.319214,0.8720613,0.003693288946151733,1446.7545080184937,30000
5.2030087,-6.914627,161.86827,583.8217,3.6519108,-9.722952,0.10671335,1.0,181.95479,0.41850188,-7.610755,0.064811766,1.0,0.11899037,-32.6108,-83.93137,0.7483361,591.00244,3.3482015,-9.825087,0.12714036,1.0,182.3744,0.4278564,-7.6587157,0.07680191,1.0,0.101432905,-33.393936,-83.92791,0.9675883,0.0037373043060302735,1465.4410393238068,35000
9.358914,-11.628594,233.29291,590.01074,3.7414863,-9.743169,0.11075675,1.0,151.00818,0.29041937,-7.6001134,0.06215129,1.0,0.19651705,-35.55113,-87.4819,1.1302121,603.5062,3.4901552,-9.793228,0.12076851,1.0,180.90689,0.43200058,-7.6460934,0.073646225,1.0,0.09249083,-35.23375,-87.11801,0.9048241,0.0037416414260864257,1484.1492538452148,40000
28.293465,-28.838127,243.86768,633.348,4.43452,-9.673565,0.096836045,1.0,168.7463,0.38711697,-7.607745,0.06405933,1.0,0.08317292,-34.937096,-90.49036,1.0419822,630.7531,3.97576,-9.764906,0.11510408,1.0,161.19324,0.41938773,-7.6366444,0.07128401,1.0,0.03981891,-35.104874,-90.141754,1.0694051,0.0036238128662109373,1502.268325328827,45000
10.975853,-7.6792727,195.41498,615.3441,3.7744455,-9.875796,0.13728218,1.0,154.28784,0.33913243,-7.601948,0.06260999,1.0,0.057343956,-35.474518,-92.92627,1.1187994,619.4619,4.299261,-9.9296875,0.14806037,1.0,148.79837,0.3093403,-7.6452913,0.07344582,1.0,0.058140162,-36.260773,-92.94072,1.6604202,0.003694973659515381,1520.7432010173798,50000
7.385968,-5.4683475,176.07736,627.17456,3.9843154,-9.676189,0.09736083,1.0,151.47781,0.39954022,-7.6079283,0.064104974,1.0,0.045536846,-36.128895,-94.824066,1.3907981,621.5067,4.06584,-9.746315,0.111385845,1.0,145.48785,0.38753724,-7.6324506,0.07023561,1.0,0.024855237,-36.858948,-95.06855,1.141664,0.0037254289150238035,1539.3703527450562,55000
16.783728,-18.232233,244.16487,625.1737,4.078355,-9.807798,0.123682715,1.0,171.91127,0.36706185,-7.590536,0.059757117,1.0,0.119476944,-35.248314,-96.62071,1.3576105,638.50146,4.37385,-9.82646,0.12741493,1.0,154.74265,0.3881865,-7.621622,0.0675285,1.0,0.12957305,-35.945717,-96.76036,1.4083762,0.003689035701751709,1557.8155388832092,60000
16.75998,-20.63558,261.66916,623.5714,4.1496468,-9.736713,0.1094656,1.0,190.79248,0.51269615,-7.597161,0.06141323,1.0,0.11157626,-36.88804,-98.05166,1.2874147,647.2001,4.651986,-9.737104,0.10954391,1.0,173.76596,0.3681987,-7.647173,0.07391624,1.0,0.11937494,-38.485085,-98.28956,1.4641643,0.003711622714996338,1576.3736612796783,65000
14.742015,-8.372023,189.33395,630.57477,3.849085,-9.705237,0.103170514,1.0,183.70178,0.4666876,-7.569194,0.05442141,1.0,0.18480365,-38.11359,-98.81153,1.0750346,672.5748,4.7244983,-9.717599,0.10564285,1.0,169.0521,0.38307697,-7.6181197,0.06665286,1.0,0.2817762,-37.501076,-99.517044,1.4709824,0.003721331787109375,1594.980327129364,70000
20.241789,-17.321129,237.93848,644.2422,4.092937,-9.716209,0.10536484,1.0,173.66132,0.49484977,-7.5738945,0.055596575,1.0,0.15615162,-36.95529,-99.80981,1.4825163,645.17346,4.118705,-9.867817,0.13568638,1.0,165.62912,0.32492316,-7.668154,0.07916149,1.0,0.10625184,-36.46562,-100.23313,1.1699572,0.0037002178192138673,1613.4814248085022,75000
8.362477,-10.235025,207.95949,651.256,4.450074,-9.875767,0.1372764,1.0,185.05606,0.40198252,-7.5812435,0.05743397,1.0,0.06030619,-38.62182,-100.37511,1.2943784,644.9899,4.335073,-9.870476,0.13621819,1.0,199.16898,0.46569175,-7.6326747,0.07029159,1.0,0.029780108,-36.373745,-100.596306,1.2545455,0.003799959421157837,1632.4812297821045,80000
18.630316,-17.521648,402.8629,639.6547,3.874218,-9.932086,0.14854021,1.0,207.18439,0.37701577,-7.579597,0.057022236,1.0,-0.06262815,-37.866978,-100.43422,2.2627366,651.4624,4.444938,-10.033899,0.1689028,1.0,206.83525,0.45890522,-7.648715,0.07430173,1.0,-0.08862113,-38.828293,-101.29228,2.532681,0.0037879694938659668,1651.4210875034332,85000
28.821787,-38.648014,339.48114,652.04395,4.07454,-9.729149,0.10795275,1.0,154.56924,0.34495994,-7.594844,0.06083398,1.0,0.09925565,-36.982586,-100.9395,1.1825733,633.3357,4.1640625,-9.84158,0.13043904,1.0,154.85565,0.39566588,-7.651225,0.07492931,1.0,0.09005622,-38.6531,-101.43735,1.1098657,0.0037907299518585204,1670.3747458457947,90000
10.958319,-7.962235,250.52277,651.75146,4.571938,-9.728281,0.1077792,1.0,201.99557,0.5050533,-7.565114,0.053401522,1.0,0.08467975,-39.976234,-101.79825,1.7250708,673.10034,5.046661,-9.729738,0.108070634,1.0,186.17859,0.47379503,-7.6312513,0.069935754,1.0,0.101140305,-38.14051,-101.921684,1.3816838,0.0037739809989929198,1689.2446591854095,95000
12.585737,-7.911886,257.55716,654.14124,4.40362,-9.714441,0.10501108,1.0,161.90466,0.42358404,-7.5759296,0.056105442,1.0,0.10289401,-37.832222,-101.81881,1.9851084,655.09503,4.5758915,-9.706056,0.10333411,1.0,162.54384,0.41385067,-7.648874,0.07434149,1.0,0.14675862,-38.687923,-101.2798,1.2499526,0.0037080704212188722,1707.7850184440613,100000
23.832975,-25.803003,264.8794,649.83215,4.50618,-9.746506,0.11142421,1.0,173.82936,0.41634792,-7.5970087,0.061375063,1.0,0.24654521,-39.315063,-101.594055,1.3652302,654.3612,4.4019027,-9.7926445,0.12065183,1.0,174.83176,0.45349425,-7.6538963,0.07559706,1.0,0.15251034,-38.28298,-102.10672,1.1953672,0.17232165470123292,2569.3933017253876,105000
9.282366,-8.828977,203.17256,635.9898,4.0379753,-9.780199,0.11816286,1.0,160.75069,0.43783677,-7.582041,0.05763323,1.0,0.2723285,-39.30703,-101.945435,1.0162798,658.0062,4.4536915,-9.79734,0.121591054,1.0,152.72871,0.3512319,-7.6257753,0.06856689,1.0,0.13631019,-39.42181,-102.37488,1.1095488,0.00412014570236206,2589.9940433502197,110000
10.806909,-14.046946,231.1801,633.08057,3.9519708,-9.717366,0.10559621,1.0,169.01758,0.44014996,-7.5551114,0.050900873,1.0,0.087836064,-36.32764,-101.77554,1.2134589,658.29254,4.3159657,-9.891943,0.14051147,1.0,174.84357,0.35466272,-7.6304593,0.06973784,1.0,0.020613022,-38.1967,-101.91586,1.2189869,0.00449992880821228,2612.4936957359314,115000
8.340658,-10.083364,210.1213,659.6563,4.2051053,-9.756739,0.113470696,1.0,160.42596,0.39682522,-7.575048,0.055884995,1.0,0.1905205,-39.069237,-102.080246,1.0871766,666.21094,4.493766,-9.800783,0.12227948,1.0,161.64687,0.4001277,-7.6460733,0.0736414,1.0,0.008040283,-39.21369,-101.95958,1.5861304,0.0043184611320495605,2634.0860114097595,120000
9.549456,-17.197912,217.46051,647.2368,4.472028,-9.709883,0.10409943,1.0,170.95273,0.39085314,-7.593989,0.060620174,1.0,0.1375851,-36.97734,-102.174255,1.5082581,667.7075,4.4768915,-9.761736,0.11447018,1.0,198.7515,0.44479066,-7.643318,0.07295242,1.0,0.13449551,-39.553345,-101.934456,1.4972048,0.004307526636123657,2655.623655796051,125000
10.378853,-8.126599,243.04184,674.3756,4.792972,-9.664797,0.09508242,1.0,170.03262,0.42081332,-7.5838375,0.058082275,1.0,0.15670131,-38.0645,-102.25437,1.8132657,639.7495,4.207103,-9.7472,0.11156291,1.0,165.44077,0.47281283,-7.6417694,0.072565444,1.0,0.1382552,-35.84629,-102.3815,1.2212048,0.004151012611389161,2676.378726243973,130000
13.993619,-13.191515,362.18396,664.35266,4.313483,-9.692976,0.1007182,1.0,174.58368,0.4515285,-7.5715466,0.055009536,1.0,0.29479015,-39.144146,-102.00737,2.008871,670.15076,4.822448,-9.763746,0.114872195,1.0,173.30945,0.37063068,-7.655496,0.07599692,1.0,0.34820485,-38.237286,-101.57982,1.4901662,0.004906457710266114,2700.911026954651,135000
11.439213,-10.840744,188.59607,650.5772,4.225576,-9.669729,0.09606885,1.0,161.94464,0.41760617,-7.572222,0.05517852,1.0,0.19073161,-38.01303,-102.05413,1.4826916,659.54974,4.116397,-9.736407,0.109404445,1.0,158.17714,0.46668398,-7.638718,0.07180249,1.0,0.19064786,-40.148293,-102.10167,1.3038453,0.00434412579536438,2722.6316680908203,140000
29.87181,-41.855576,706.84625,644.58984,3.99073,-9.665368,0.095196545,1.0,169.40457,0.49871653,-7.5786176,0.056777366,1.0,0.057798512,-39.582066,-101.82948,6.4940825,652.3551,4.327623,-9.792139,0.12055073,1.0,165.41327,0.35818046,-7.6657777,0.07856732,1.0,0.15723097,-38.4236,-102.10707,1.3086002,0.004213597488403321,2743.6996641159058,145000
12.727015,-11.040508,221.41553,654.3412,4.374076,-9.730692,0.10826118,1.0,183.97644,0.35186172,-7.5751896,0.05592035,1.0,0.080659464,-37.9042,-101.96285,1.2032927,669.46796,4.426658,-9.862359,0.13459472,1.0,175.67767,0.43417728,-7.6619806,0.07761805,1.0,0.05567498,-38.319168,-102.530136,1.2534345,0.004144228172302246,2764.4208147525787,150000
22.745222,-18.12598,307.55417,630.7095,4.0783143,-9.924641,0.14705104,1.0,198.35112,0.26838243,-7.5824623,0.057738576,1.0,-0.31830925,-37.285576,-102.41738,1.3603234,670.8751,4.5120025,-9.943525,0.15082799,1.0,205.93465,0.41305044,-7.6567583,0.076312445,1.0,-0.38340765,-39.65651,-102.14685,1.9812877,0.004131507825851441,2785.078364610672,155000
