training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0231352,-7.711727,0.023135182,0.090054706,312.38687,1.0,-312.38687,1.0,2.8937662,69.36144,-79.47828,988.08795,114.71366,1066.6747,552.83844,5.430645,7.1713305,9.831483,2.8947806,0.008410305,7.329284,-52.194252,115.08013,167.27438,1.0232135,-7.737843,0.023213528,0.096583664,330.43213,1.0,-330.43213,1.0,3.0439806,111.67942,1065.3801,550.6315,0.45315933,8.08833,9.086651,3.03086,0.0026596494,7.3316174,-58.93396,112.046005,170.97997,0.2053797878265381,1026.8989827632904,5000
1.0229721,-7.657383,0.022972148,0.07646865,210.30197,1.0,-210.30197,1.0,1.7602252,135.50699,-153.48041,1753.2201,186.24483,922.75366,376.90836,2.2332144,1.7556732,5.539288,1.7396448,0.004064645,34.600094,-59.016453,187.97484,246.99129,1.0230099,-7.669965,0.023009896,0.07961415,214.91922,1.0,-214.91922,1.0,1.7900711,190.70071,892.6604,372.73474,0.116082236,1.7705395,5.7556267,1.7714545,0.0025656396,34.61034,-59.54846,192.43123,251.97969,0.005982194948196411,1056.8099648952484,10000
1.023634,-7.8779707,0.023633912,0.13161564,127.447586,1.0,-127.447586,1.0,0.95424306,271.58276,-277.17776,1935.227,280.86847,645.3102,233.0966,2.5924428,0.35389087,3.1718316,1.1478462,0.002945142,139.7484,-42.46826,287.8559,330.32416,1.0237464,-7.915473,0.02374642,0.14099118,123.829926,0.99999994,-123.829926,1.0,0.9833144,276.6891,603.7985,238.87947,0.9436203,0.3461059,3.6038504,1.158607,0.0041398583,139.7844,-41.390984,283.67828,325.06927,0.0059859667301177975,1086.739806652069,15000
1.0236714,-7.8904657,0.023671396,0.1347394,100.22463,1.0,-100.22463,1.0,0.6848513,175.28897,-215.44409,1631.018,334.78238,494.92593,171.50839,0.3419003,0.060527988,2.2412763,0.8486775,0.0014410268,401.47174,-4.2266893,354.85596,359.08264,1.0237812,-7.927083,0.023781251,0.14389373,101.27863,0.99999994,-101.27863,1.0,0.67150915,326.3222,496.5238,180.4219,0.26515666,0.06639647,2.3136082,0.8614797,0.0031157003,401.52826,-6.583645,346.39862,352.98227,0.005990008926391601,1116.6898593902588,20000
1.0237013,-7.9004197,0.023701258,0.1372278,90.74951,1.0,-90.74951,1.0,0.58552396,96.41639,-100.403305,963.641,340.77167,514.4086,164.94872,0.5842703,0.04400979,2.142586,0.8087656,0.0035762698,476.6836,2.8554354,364.60587,361.75043,1.0239016,-7.9671965,0.02390159,0.15392193,101.269516,1.0,-101.269516,1.0,0.56287545,332.609,466.39417,173.67268,0.3709597,0.052538864,3.0058405,0.8269548,0.0022927574,476.66833,-1.2101959,356.4424,357.65262,0.005987598562240601,1146.6278593540192,25000
1.023752,-7.917336,0.023752008,0.14145698,92.157005,1.0,-92.157005,1.0,0.54582655,103.69035,-122.20484,1189.956,322.36768,636.2837,185.99203,1.622318,0.044743195,2.0603924,0.7959259,0.002639848,496.4936,2.6099703,347.19238,344.5824,1.023896,-7.9653225,0.023895968,0.15345365,94.74539,1.0,-94.74539,1.0,0.5835235,322.5299,570.58813,185.81459,0.2328104,0.05882378,3.5488813,0.86606544,0.001897854,496.47842,-4.3808155,347.35382,351.73465,0.005991565656661988,1176.5856955051422,30000
1.0238149,-7.9383183,0.023814956,0.14670247,90.05525,1.0,-90.05525,1.0,0.5442835,186.04013,-182.20331,1515.2341,319.09537,873.5736,199.84747,1.1410011,0.04662147,2.5203488,0.8285836,0.0018406732,473.0719,1.5982872,342.74896,341.15067,1.0237586,-7.9195843,0.023758754,0.1420191,93.518585,0.99999994,-93.518585,1.0,0.5766386,306.55756,863.521,218.46033,0.81215024,0.070268705,3.890781,0.8551718,0.0034620436,473.06244,-9.588363,330.2107,339.79904,0.005987243747711182,1206.5219221115112,35000
1.0237769,-7.9256296,0.023776889,0.14353037,91.701294,1.0,-91.701294,1.0,0.53846055,121.16712,-120.56901,1546.6747,309.91666,897.1212,216.81009,1.7097489,0.048178732,2.8060615,0.8358604,0.0029308705,469.9976,0.8559917,333.41653,332.56055,1.0239539,-7.9846253,0.023953874,0.15827923,96.860855,1.0,-96.860855,1.0,0.5039089,305.16486,915.3739,223.60341,0.92070085,0.05024387,3.1053143,0.8552899,0.0030889194,469.97833,-0.114613,328.66376,328.77838,0.005985702466964722,1236.4504420757294,40000
1.0236195,-7.8731675,0.023619503,0.13041487,90.15216,1.0,-90.15216,1.0,0.5171697,114.34542,-110.57266,1424.485,307.5039,939.11945,224.54187,0.7667928,0.056277778,2.5546756,0.86290413,0.0027973228,461.59302,-2.897778,330.58356,333.48132,1.0238363,-7.945426,0.023836276,0.14847936,93.38482,1.0,-93.38482,1.0,0.5094412,300.81107,933.51843,233.44745,0.019664664,0.06363301,4.19611,0.87742794,0.0020502629,461.6078,-6.293103,323.89148,330.18457,0.005987633085250854,1266.3886182308197,45000
1.02365,-7.883335,0.023650005,0.13295664,96.4444,1.0,-96.4444,1.0,0.43927574,128.19153,-129.10872,1257.179,302.36386,975.4844,226.89876,0.81277156,0.054270595,1.9934638,0.8620335,0.0026530207,453.2339,-1.9355782,325.02554,326.96112,1.0238878,-7.9625797,0.02388774,0.15276797,88.38948,1.0,-88.38948,1.0,0.65171933,294.01843,956.3594,240.70107,1.697897,0.056003958,3.5012157,0.8436453,0.0028817102,453.25183,-2.7213047,316.68103,319.40234,0.005986624050140381,1296.3217482566833,50000
