training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.8213699,-8.2163,0.82163,0.216198,9.426371,0.9997398,-9.42392,1.0,0.9990282,0.07421875,0.0053905686,-15.068809,-15.0791025,-4.5389366,6.5766063,0.044915207,5.593566e-07,0.015408069,-0.014014935,0.35321385,1.8138036,-8.138037,0.8138037,0.19663216,9.197859,0.9999999,-9.197859,1.0,0.9990244,0.059570312,0.005551495,-14.794674,-14.804735,-4.5016346,6.81629,0.030167498,2.4477029e-06,0.19031760120391847,951.5880212783813,5000
1.8140938,-8.158022,0.8158022,0.20162855,9.3307495,0.9982916,-9.31481,1.0,0.99903774,0.10644531,0.0048907273,-15.129143,-15.140089,-3.9302926,6.9693236,0.08853513,3.8628545e-07,0.010148661,-0.013380837,0.29802287,1.8122383,-8.137537,0.8137536,0.196507,9.442377,0.99848473,-9.42807,1.0,0.9990101,0.08984375,0.0050617717,-15.219006,-15.229853,-4.122649,19.055645,0.09537552,1.3773387e-06,0.002925657033920288,966.2163140773773,10000
1.7928531,-7.971958,0.79719585,0.15511261,9.297134,0.9956572,-9.25676,1.0,0.99904156,0.119140625,0.004579358,-14.959996,-14.971128,-3.57164,16.062887,0.20314582,0.00014607151,0.009152708,-0.009397133,0.23652363,1.800545,-8.0237255,0.8023725,0.16805421,9.524091,0.9981724,-9.506685,1.0,0.9990196,0.09472656,0.004847847,-15.021336,-15.03226,-3.8448668,50.826576,0.12677678,2.7247727e-06,0.00292746844291687,980.8536643981934,15000
1.791092,-7.9596257,0.7959626,0.15202945,9.416828,0.99512947,-9.370964,1.0,0.99903584,0.13769531,0.004463641,-15.054319,-15.065759,-3.350974,13.950715,0.20611927,0.00011063998,0.019208567,-0.016134795,0.2611942,1.7905277,-7.95022,0.795022,0.14967793,9.474394,0.9955057,-9.431814,1.0,0.99899864,0.107421875,0.0047640717,-15.16608,-15.177259,-3.7294436,51.984863,0.28139016,7.435409e-05,0.002927248477935791,995.4899134635925,20000
1.7856885,-7.8926406,0.7892641,0.1352831,9.375495,0.99642444,-9.341973,1.0,0.9990339,0.16796875,0.0043364726,-15.130493,-15.141973,-3.3856993,58.771725,0.22516377,7.860723e-05,0.025518965,-0.013268994,0.2961784,1.7912691,-7.9350643,0.7935064,0.14588892,9.861512,0.9977626,-9.839449,1.0,0.9990053,0.12402344,0.004788197,-14.978879,-14.989861,-3.746073,497.14813,0.65611917,2.2606151e-05,0.002931535339355469,1010.1475968360901,25000
1.7902052,-7.951208,0.7951208,0.14992487,9.438797,0.99508446,-9.392402,1.0,0.9990454,0.19238281,0.0041994527,-14.984386,-14.995888,-3.2185118,143.34862,0.4571094,6.260275e-05,0.01921083,-0.014145557,0.2453591,1.7876983,-7.900068,0.79000676,0.1371399,9.696585,0.9976916,-9.674202,1.0,0.9990082,0.14355469,0.004714357,-14.980267,-14.991242,-3.7526555,98.04521,0.25827694,1.2482183e-05,0.0029256722927093505,1024.7759656906128,30000
1.786089,-7.9038386,0.7903838,0.1380826,9.460966,0.9957051,-9.420334,1.0,0.9990387,0.19335938,0.0041510873,-15.146554,-15.158239,-3.1932135,38.229397,0.3066814,0.00020267008,0.024628127,-0.01644036,0.279995,1.7924182,-7.9475193,0.7947519,0.14900275,9.859642,0.99766636,-9.836634,1.0,0.9990177,0.13085938,0.0046817884,-15.115867,-15.126966,-3.7602196,303.24106,0.4112842,3.717731e-05,0.0029348137855529787,1039.4500427246094,35000
1.7852325,-7.903346,0.7903346,0.13795948,9.844638,0.99489796,-9.794411,1.0,0.99905014,0.21679688,0.0041014976,-15.165627,-15.177502,-3.017451,81.8697,0.49836546,9.9059536e-05,0.01759593,-0.048304275,0.30491513,1.7868412,-7.8911366,0.78911364,0.13490716,9.802656,0.9977276,-9.780381,1.0,0.9990063,0.12109375,0.0048383838,-15.207236,-15.218433,-3.7527175,116.843864,0.3940201,2.8517015e-05,0.0029369158267974855,1054.1346294879913,40000
1.7847643,-7.8596644,0.78596646,0.12703905,10.085024,0.99879783,-10.072901,1.0,0.99903965,0.23144531,0.004098459,-15.304255,-15.3161745,-3.110201,26.764093,0.22575334,7.085328e-05,0.018516134,-0.034431837,0.26423508,1.7867694,-7.8928876,0.78928876,0.13534486,10.08637,0.9974807,-10.060961,1.0,0.9989939,0.11328125,0.004886717,-15.319457,-15.33071,-3.806722,116.865425,0.37625486,8.884599e-06,0.002936058759689331,1068.8149299621582,45000
1.7809033,-7.8473306,0.78473306,0.123955585,9.824995,0.99617034,-9.78737,1.0,0.9990463,0.26367188,0.0039171623,-15.43866,-15.450934,-2.8813834,102.57343,0.41720167,0.0001386153,0.027121708,-0.011417254,0.24820447,1.7849483,-7.860203,0.7860203,0.12717378,10.108963,0.998928,-10.098127,1.0,0.9990053,0.12890625,0.004909279,-15.2730255,-15.284233,-3.8081856,99.731,0.37778416,2.709567e-06,0.0029356523513793947,1083.4931988716125,50000
1.7826148,-7.8512745,0.78512746,0.12494156,9.855797,0.99748737,-9.831034,1.0,0.99905396,0.26464844,0.00392405,-15.450932,-15.463154,-2.9471698,133.06258,0.55112916,8.3415536e-05,0.026824705,-0.020190364,0.26966575,1.7827134,-7.8588057,0.78588057,0.12682441,10.092502,0.99683285,-10.060538,1.0,0.9989834,0.13867188,0.0048141815,-15.500606,-15.512175,-3.665092,1441.8705,1.962542,5.006054e-06,0.0029367916107177735,1098.1771638393402,55000
1.7826843,-7.856987,0.78569865,0.12636968,9.64102,0.9969857,-9.611959,1.0,0.9990587,0.25976562,0.0039184187,-15.624236,-15.636676,-2.8977213,62.390633,0.36382556,8.0214435e-05,0.035018105,-0.03265252,0.30068812,1.7823836,-7.872121,0.78721213,0.1301532,9.93874,0.9951714,-9.890751,1.0,0.9989786,0.13964844,0.004782661,-15.485692,-15.497315,-3.5946033,405.04834,1.1030414,1.7863335e-05,0.002935825204849243,1112.8562970161438,60000
