training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.351751,-7.839201,2.3517604,0.1219233,18.158,0.99999076,-18.157835,1.0,1.5251234,0.059677124,-13.756107,-24.049673,5.799268,-7.5501227,106.33679,1.0425822,-13.129938,-23.289703,0.09196176,3.3537385,-7.8458247,2.3537474,0.12357913,18.07849,0.9999911,-18.078331,1.0,1.5074,0.0,-14.123921,-24.069359,2.2562933,-13.498829,-23.279552,0.11355738,0.23107019486427308,1155.350992679596,5000
3.3177934,-7.7261257,2.3178377,0.09365439,27.956285,0.99995553,-27.955044,1.0,3.5333214,0.0,-19.383713,-39.31202,25.713772,-30.458555,374.9976,0.6568868,-18.94254,-38.759945,0.21062952,3.3256817,-7.7522717,2.3256817,0.10019086,27.647694,0.99999994,-27.647694,1.0,2.0240917,0.28192925,-20.128199,-39.445457,1.0319614,-19.597086,-38.794697,0.1498457,0.0028328170776367187,1169.5150847434998,10000
3.3190258,-7.730114,2.3190343,0.09465152,34.209095,0.9999914,-34.2088,1.0,1.7787575,0.104314685,-23.576666,-51.764683,7.7790165,-8.5415945,124.2994,1.2582593,-23.13456,-51.313847,0.110179365,3.3242936,-7.7477083,2.3243127,0.09905002,32.72467,0.99998087,-32.724045,1.0,2.0205042,0.0,-22.782833,-51.834038,0.65241534,-22.266762,-51.28706,0.118522204,0.0028346544742584227,1183.6883652210236,15000
3.3067844,-7.689281,2.3067844,0.0844432,36.389305,1.0,-36.389305,1.0,2.5120063,0.0,-26.11577,-60.711037,10.320665,-13.7505455,161.0132,0.6924896,-25.66853,-60.302113,0.1298205,3.3126729,-7.7089663,2.3126898,0.08936456,35.82694,0.9999831,-35.826332,1.0,2.9736664,0.1342746,-25.682983,-60.982693,0.7457414,-25.263733,-60.556522,0.12916644,0.0028538894653320312,1197.9578194618225,20000
3.3034718,-7.6782384,2.3034718,0.08168259,37.497887,1.0,-37.497887,1.0,1.8358452,0.17329311,-26.553095,-68.24459,2.8272965,-4.3283954,73.92778,0.8162433,-26.211142,-67.91173,0.11791353,3.317587,-7.7253222,2.317597,0.09345348,37.051422,0.9999899,-37.05105,1.0,1.6147118,0.0,-25.630356,-67.88632,1.1360896,-25.236134,-67.60283,0.1474196,0.0028458180904388426,1212.1869168281555,25000
3.3019452,-7.6731625,2.3019488,0.080413625,40.305664,0.9999964,-40.30552,1.0,1.9508953,0.0,-26.762936,-73.08193,13.523275,-11.688878,180.5262,1.0894258,-26.356129,-72.75572,0.16502213,3.3127494,-7.709189,2.3127568,0.089420184,38.994236,0.99999267,-38.99395,1.0,2.3312812,0.0,-25.868744,-73.04877,0.74352753,-25.469639,-72.83833,0.13530165,0.002857891654968262,1226.47638297081,30000
3.2966113,-7.6553936,2.296618,0.075971395,39.663784,0.9999933,-39.66352,1.0,1.9069426,0.0,-27.800987,-77.55821,10.027087,-7.2175612,124.395996,1.3344857,-27.387115,-77.27641,0.11077358,3.308494,-7.6950154,2.3085046,0.08587677,40.05784,0.9999894,-40.05741,1.0,1.9467082,0.21736705,-28.080647,-76.92321,0.7099644,-27.760178,-76.72004,0.107025124,0.0028264581203460695,1240.6086807250977,35000
3.2985857,-7.6619616,2.2985883,0.07761322,41.02769,0.9999973,-41.02758,1.0,1.9252731,0.0,-27.993229,-80.09113,5.0686183,-6.926584,91.02202,1.3215475,-27.515934,-79.92402,0.13393676,3.3078532,-7.692872,2.3078618,0.08534098,42.14381,0.9999914,-42.143448,1.0,2.1107464,0.0,-29.27734,-80.11151,0.96538156,-28.93763,-79.82503,0.11379753,0.00282340407371521,1254.7257080078125,40000
3.2958302,-7.6527667,2.2958302,0.075314686,41.060093,1.0,-41.060093,1.0,1.6337357,0.0,-29.327625,-82.287125,6.511878,-6.177399,96.60158,0.67371714,-28.998188,-82.01974,0.09660993,3.2986398,-7.6621685,2.2986507,0.077665105,41.703148,0.999989,-41.70269,1.0,1.9198401,0.0,-29.459217,-82.033264,1.7593907,-29.099495,-81.997116,0.115060836,0.0028259777069091795,1268.8556034564972,45000
3.291263,-7.6375437,2.291263,0.071508795,40.538315,1.0,-40.538315,1.0,1.9797857,0.0,-28.53791,-83.69388,10.614289,-10.599635,136.08421,1.0103394,-28.177307,-83.54405,0.10823072,3.3036423,-7.678908,2.3036723,0.08184992,41.027958,0.99996996,-41.026726,1.0,1.6315676,0.0,-28.324814,-83.184975,0.60018265,-28.01091,-82.9996,0.119704574,0.00281884241104126,1282.9498221874237,50000
