training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
177.77365,0.13891077,-7.945489,0.14849518,1.0,2.9962072,-4.858073,86.59939,0.66777,-13.820507,-25.643112,0.1912258,180.0883,0.134816,-7.9360237,0.14612891,1.0,0.57839346,-13.872084,-25.632694,0.18418932,0.16344409594535828,817.2205383777618,5000
237.42468,0.12124157,-7.890747,0.13480967,1.0,3.611697,-4.468362,95.55875,0.91288257,-19.11336,-43.45513,0.25512356,232.81587,0.109842256,-7.8622828,0.12769371,1.0,0.54072493,-19.208088,-43.366814,0.20780575,0.002106306743621826,827.752115726471,10000
261.42596,0.11129838,-7.805676,0.11354199,1.0,3.2972045,-4.212226,93.49212,0.6975631,-22.272026,-58.65089,0.3159575,275.84106,0.12425087,-7.85188,0.12509294,1.0,0.58836627,-21.814705,-58.125412,0.34348327,0.0020708521366119385,838.1064023971558,15000
266.0573,0.07271452,-7.8361387,0.12115768,1.0,3.8984313,-4.7935696,85.916504,0.48008266,-24.56316,-69.80572,0.28662175,287.14706,0.13736196,-7.82079,0.1173204,1.0,1.3807914,-23.571236,-69.926674,0.2669938,0.002045929479598999,848.3360714912415,20000
300.94867,0.13610756,-7.77709,0.10639548,1.0,5.0307655,-5.3303256,97.87815,0.35363296,-24.834759,-79.363235,0.24853924,314.2777,0.1774016,-7.792222,0.110178515,1.0,0.7421699,-24.540842,-78.279236,0.3293698,0.0020647706508636473,858.6599397659302,25000
322.8515,0.17117988,-7.7982445,0.11168425,1.0,4.5457172,-3.8881109,107.023506,0.6033277,-24.87603,-82.20254,0.3052233,307.7132,0.16074654,-7.7893004,0.10944804,1.0,0.826265,-24.744087,-82.04725,0.25239694,0.0020585224628448485,868.952573299408,30000
315.2525,0.13877936,-7.8043823,0.11321865,1.0,4.7714167,-8.612555,128.92293,0.80274713,-26.123196,-84.20459,0.35328713,322.87158,0.15233377,-7.8101687,0.1146652,1.0,0.4424622,-24.672474,-84.92621,0.29546443,0.002056077146530151,879.2329773902893,35000
291.3474,0.14735255,-7.7606397,0.102282874,1.0,3.8729165,-4.2490387,86.148705,0.37051848,-24.934252,-85.263374,0.2323376,316.3698,0.14451168,-7.7934937,0.11049638,1.0,0.59209013,-25.119858,-87.37897,0.32090145,0.0020379255294799806,889.4226207733154,40000
297.1493,0.16383201,-7.7478113,0.09907575,1.0,7.366282,-8.36276,127.39665,0.3202355,-25.983074,-85.65451,0.33130038,317.6539,0.14141575,-7.76758,0.1040179,1.0,0.45543057,-25.575996,-85.510605,0.32537296,0.0020710744857788087,899.7780160903931,45000
317.84613,0.17615293,-7.7364807,0.09624317,1.0,6.170729,-5.9877434,98.84489,0.6977228,-25.8098,-85.65326,0.30372757,298.71375,0.123461485,-7.8008184,0.11232758,1.0,0.44391268,-26.173832,-86.00351,0.3374092,0.0020638566970825195,910.097323179245,50000
