training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0234474,-7.815801,0.023447404,0.11607327,353.14526,1.0,-353.14526,1.0,2.6751943,131.7732,-102.49958,1315.4181,96.17972,1087.3115,617.0414,3.740614,6.380215,12.503374,2.6499393,0.006427916,7.292888,-46.16555,96.544365,142.70992,1.0234227,-7.807583,0.02342275,0.114018746,337.65387,1.0,-337.65387,1.0,2.6508281,107.61543,1085.8923,596.95276,0.9558982,5.841545,11.137716,2.61386,0.023027554,7.295207,-42.25052,107.980194,150.23071,0.2168729066848755,1084.364573955536,5000
1.023291,-7.7636747,0.023291025,0.10304172,253.55673,0.99999994,-253.55673,1.0,1.5928297,215.4595,-206.97743,2039.0092,160.61887,1048.8567,438.87527,1.1662169,1.647409,7.3715606,1.576195,0.013806647,34.90073,-55.75074,162.36389,218.11464,1.0233306,-7.7768292,0.023330487,0.10633028,251.66228,1.0000001,-251.66228,1.0,1.5283775,148.57515,1051.614,461.18097,0.31166577,1.3865607,6.7501426,1.5085518,0.017381527,34.911297,-46.661068,150.32071,196.98178,0.005998827981948853,1114.358728170395,10000
1.0237755,-7.92517,0.02377551,0.1434155,161.41797,1.0,-161.41797,1.0,0.9606502,145.71384,-143.11403,1785.3843,240.43243,742.95825,286.77954,0.7644807,0.3131235,5.1379576,1.0202192,0.0055638887,151.75731,-39.930912,248.0203,287.9512,1.0238597,-7.9532523,0.023859758,0.15043609,158.33633,1.0,-158.33633,1.0,1.0077188,240.30441,695.42896,286.98407,0.39059412,0.39714515,5.440848,1.0463221,0.008835198,151.79842,-52.696083,247.89435,300.59042,0.005998144626617432,1144.3494591712952,15000
1.0236621,-7.8873434,0.02366203,0.13395888,102.152435,1.0,-102.152435,1.0,0.6907749,92.35608,-106.657814,1337.8334,304.23663,500.21362,205.21515,0.4442,0.063480556,3.060005,0.7587967,0.0037289383,487.77542,-6.5754833,328.62543,335.2009,1.0237538,-7.9179034,0.02375371,0.14159887,119.26351,1.0,-119.26351,1.0,0.66592824,306.53616,536.2946,203.0279,0.79988307,0.068742335,2.55625,0.7493468,0.012867664,487.85797,-9.143597,330.92908,340.07266,0.005996291971206665,1174.3309254646301,20000
1.0237042,-7.9013734,0.023704119,0.13746625,104.58023,1.0,-104.58023,1.0,0.664495,150.06271,-140.52544,1565.6555,312.43164,488.00037,195.71059,0.9025288,0.055652577,2.4383092,0.76174617,0.004080936,616.7417,-3.4861798,343.26874,346.7549,1.0237708,-7.9236093,0.023770828,0.1430253,107.822624,0.99999994,-107.822624,1.0,0.6441937,315.9689,512.61664,192.23007,0.4889521,0.05157261,2.4095054,0.7374493,0.008978955,616.76495,-0.9699301,346.80713,347.77707,0.006003000831604004,1204.3459408283234,25000
1.0237243,-7.9081163,0.023724347,0.13915205,107.279526,0.99999994,-107.279526,1.0,0.62870353,230.93558,-199.28702,1677.9899,310.96063,525.1425,197.92546,0.8877717,0.044703417,2.5846455,0.7467452,0.0062916204,617.6779,3.271583,341.8445,338.57294,1.0238167,-7.9389133,0.02381674,0.14685127,114.79735,1.0,-114.79735,1.0,0.6579013,315.27695,515.90344,192.53671,0.56112206,0.04829638,2.6347768,0.749048,0.01181893,617.6276,1.0522027,346.15836,345.10614,0.006003236103057861,1234.3621299266815,30000
1.0239165,-7.9721413,0.023916423,0.15515816,105.620285,1.0,-105.620285,1.0,0.5630043,98.08753,-93.62047,1116.6177,307.54733,531.83356,201.59827,0.4629934,0.043066762,2.5505843,0.73397875,0.0034622145,617.4477,4.280912,338.4197,334.1388,1.0240189,-8.006276,0.02401883,0.16369209,115.1995,1.0,-115.1995,1.0,0.5634953,308.48602,486.58844,200.43958,0.5539061,0.047523245,2.5464444,0.73162264,0.004149232,617.5092,1.5294194,339.36148,337.83206,0.00600042896270752,1264.3642885684967,35000
1.023912,-7.970648,0.023911942,0.1547848,105.977516,1.0,-105.977516,1.0,0.52686316,69.58781,-93.20781,928.4139,307.84332,537.57697,201.63782,0.9352692,0.044415765,2.8036895,0.7278462,0.0048394054,618.6002,3.4544098,338.77332,335.3189,1.0239353,-7.9784718,0.023935417,0.1567409,115.72783,0.99999994,-115.72783,1.0,0.54974294,305.2888,512.46704,204.04495,0.52237,0.049063064,2.518268,0.71612656,0.008388897,618.5616,0.579553,336.2169,335.63733,0.005999339199066162,1294.360991716385,40000
1.0238796,-7.9598975,0.023879692,0.15209731,111.829666,1.0,-111.829666,1.0,0.53781617,177.345,-198.6097,1157.6608,306.43112,550.6911,202.83347,0.9600055,0.044638038,2.3552694,0.73816836,0.0032204438,618.65216,3.31719,337.36374,334.04654,1.0239581,-7.986027,0.023958081,0.15862972,116.39318,1.0,-116.39318,1.0,0.5510362,302.27518,499.88727,207.11754,0.5972403,0.050389603,2.5286453,0.73822117,0.0049490565,618.66895,-0.24103469,333.20862,333.44965,0.005996592235565186,1324.3439602851868,45000
1.02394,-7.9799843,0.023939952,0.15711899,109.81038,1.0,-109.81038,1.0,0.5494833,186.5103,-144.89542,1358.2739,315.4908,534.704,192.57687,1.6155859,0.04925411,2.2407415,0.7636343,0.0042967577,619.11017,0.46178964,346.44632,345.98453,1.024056,-8.018635,0.02405591,0.16678192,106.375015,1.0,-106.375015,1.0,0.53434336,312.117,521.39545,196.19289,1.5178665,0.040980123,2.2026186,0.7470434,0.008706315,619.18396,5.584964,343.0762,337.49124,0.006003594875335693,1354.36194896698,50000
1.0238706,-7.9568663,0.023870599,0.15133952,110.6754,1.0,-110.6754,1.0,0.5262947,199.75226,-203.79533,1261.6667,318.09442,551.75433,190.36426,0.47360948,0.05768137,2.7359865,0.769162,0.0027179755,618.80054,-4.753236,349.03445,353.7877,1.0238956,-7.965226,0.023895679,0.15342948,110.93538,0.99999994,-110.93538,1.0,0.5199697,303.33795,523.7347,205.76105,0.15217018,0.05932961,2.5876315,0.7546235,0.0039244625,618.7796,-5.772972,334.27692,340.0499,0.006003343152999878,1384.3786733150482,55000
1.0237814,-7.927123,0.023781369,0.14390366,109.80972,1.0,-109.80972,1.0,0.50394195,244.47423,-214.19128,1857.2323,317.3885,486.9869,190.82477,0.22015744,0.05378055,2.6249855,0.76016533,0.0040846355,621.64886,-2.350173,348.47095,350.8211,1.023792,-7.930664,0.023791993,0.14478905,116.43761,1.0,-116.43761,1.0,0.5181091,313.4672,526.3932,194.95396,1.4199439,0.056003757,2.4519658,0.7755569,0.0025702233,621.69006,-3.7324755,344.5517,348.28418,0.005997311067581177,1414.3652398586273,60000
1.0237617,-7.9206033,0.023761809,0.14227375,111.72529,1.0,-111.72529,1.0,0.49921623,124.8669,-139.42206,1111.0648,304.15988,538.7729,205.08884,1.3546861,0.043111637,2.461601,0.7554058,0.0018112945,621.4633,4.280865,335.23303,330.95218,1.0238746,-7.958205,0.023874614,0.15167424,114.87027,1.0,-114.87027,1.0,0.47434682,308.39838,505.78284,200.54744,0.7929795,0.06253178,3.2081962,0.7522577,0.0056596035,621.4841,-7.788299,339.47256,347.26086,0.005998175001144409,1444.3561215400696,65000
