training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.7875328,-7.891002,0.7891002,0.13487351,5.7174664,0.9984326,-5.7085056,1.0,0.9990301,0.123046875,0.005676344,-10.553097,-10.55876,-4.76072,5.1931553,0.09575748,2.3144457e-06,0.012693814,-0.012840928,0.26015827,1.7797947,-7.878795,0.78787947,0.13182174,5.947258,0.9919152,-5.8991766,1.0,0.99878216,0.049804688,0.0062398035,-9.872225,-9.877213,-4.770109,6.622317,0.16508913,4.8561446e-06,0.19125216689109803,956.2608771324158,5000
1.7745132,-7.7893963,0.7789396,0.10947195,5.5838213,0.9955736,-5.559106,1.0,0.9990425,0.12695312,0.005389258,-10.55468,-10.560608,-4.4884214,7.980341,0.12718056,3.0071678e-06,0.01628208,-0.020010842,0.29427063,1.750343,-7.8188047,0.7818805,0.116824225,5.6032534,0.96846247,-5.4265413,1.0,0.9984293,0.06347656,0.006700416,-10.145538,-10.151214,-4.3398595,271.50565,1.2539574,2.35726e-06,0.002920301103591919,970.8623902797699,10000
1.751909,-7.780816,0.7780816,0.10732697,5.371084,0.9738274,-5.23051,1.0,0.9990587,0.15625,0.005155625,-10.613179,-10.619442,-4.2059383,15.718966,0.3310029,2.2494526e-06,0.010763291,-0.014388808,0.2213573,1.7399516,-7.8259296,0.78259295,0.118605316,5.6905212,0.95735866,-5.4478707,1.0,0.9983959,0.061523438,0.006895782,-10.20649,-10.212317,-4.2439632,2586.9204,9.671394,1.3605056e-06,0.002922822952270508,985.476512670517,15000
1.7611587,-7.7583013,0.77583015,0.10169829,5.490554,0.98532856,-5.4100003,1.0,0.99905586,0.16113281,0.004988051,-10.705072,-10.711617,-4.0097923,25.810898,0.22585757,2.9509367e-06,0.008376829,-0.027072404,0.21039999,1.7524502,-7.7911,0.77911,0.109897956,5.6496353,0.97334015,-5.4990177,1.0,0.9983473,0.07519531,0.006528835,-10.385924,-10.391887,-4.2868404,3858.9304,2.8823934,3.3695644e-06,0.0029309959411621092,1000.1314997673035,20000
1.7552359,-7.741944,0.7741945,0.097608976,5.1902895,0.98104143,-5.09189,1.0,0.9990587,0.16503906,0.004939344,-10.6043825,-10.610975,-3.8599334,14.342178,0.28512025,1.8802893e-06,0.016508136,-0.013533667,0.23943536,1.7518933,-7.784561,0.7784561,0.108263254,5.495928,0.97343713,-5.349941,1.0,0.9985628,0.07910156,0.006429338,-10.250191,-10.256113,-4.1905813,345.9154,0.9039149,3.2969906e-06,0.002939663505554199,1014.8298244476318,25000
1.7545493,-7.7489014,0.7748902,0.09934827,5.367281,0.979659,-5.258106,1.0,0.9990616,0.19238281,0.0048685744,-10.922797,-10.929619,-3.9447536,18.890617,0.3041833,5.207975e-06,0.042029046,-0.0328208,0.32701254,1.7636888,-7.807161,0.7807161,0.113913186,5.7456183,0.9829727,-5.647787,1.0,0.99871254,0.09375,0.006031665,-10.423899,-10.429953,-4.2305,155.25082,0.6007468,8.9672073e-07,0.0029415165424346926,1029.5374143123627,30000
1.7548724,-7.751892,0.7751892,0.100096,5.6168466,0.9796832,-5.5027313,1.0,0.99906635,0.16992188,0.005052996,-10.575914,-10.582272,-4.073006,31.962366,0.32290912,1.5288671e-06,0.012540574,-0.017683487,0.2334594,1.7552923,-7.8183,0.78182995,0.11669794,5.6705513,0.97346234,-5.520069,1.0,0.9984932,0.09472656,0.0063214246,-10.56094,-10.567143,-4.215534,72.0896,0.5625542,9.656118e-07,0.0029456335067749024,1044.2655892372131,35000
1.7479813,-7.7261333,0.77261335,0.09365625,5.332657,0.97536796,-5.2013035,1.0,0.9990549,0.17480469,0.0048903916,-10.979696,-10.986605,-3.911376,45.72694,0.31498355,1.3274334e-05,0.011017549,-0.029699877,0.22309071,1.7464983,-7.791313,0.7791313,0.10995116,5.9179764,0.967367,-5.724856,1.0,0.9984846,0.087890625,0.0064703673,-10.600504,-10.60669,-4.2712555,131.24123,0.79422545,1.4049195e-06,0.002949691104888916,1059.0140523910522,40000
1.752233,-7.746319,0.77463186,0.09870272,5.4376497,0.97760123,-5.315854,1.0,0.99905586,0.18554688,0.0050056297,-10.986141,-10.992941,-4.030571,20.159117,0.29885727,7.0423657e-06,0.011754486,-0.014024696,0.22044882,1.7573514,-7.737533,0.7737533,0.09650622,5.7643185,0.9835982,-5.669774,1.0,0.9987316,0.095703125,0.0059605706,-10.467996,-10.473979,-4.346689,149.8323,0.42866126,5.815415e-06,0.0029516801357269288,1073.7724599838257,45000
1.7527888,-7.742058,0.7742058,0.09763743,5.4913187,0.9785829,-5.3737116,1.0,0.99906826,0.19238281,0.0049040085,-10.81818,-10.824948,-3.8946757,16.373514,0.30879536,2.1534938e-06,0.0157565,-0.025388258,0.2207327,1.7590783,-7.7830353,0.7783035,0.1078818,5.7595344,0.9807748,-5.648807,1.0,0.99872017,0.09375,0.0060088304,-10.59539,-10.601608,-4.2334394,84.23648,0.41928783,1.3784004e-06,0.002950929117202759,1088.5271124839783,50000
