training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
183.56937,0.054506257,-7.8716717,0.13004087,1.0,2.6384113,-9.114135,91.356674,0.79887897,-13.476099,-25.431068,0.18055706,204.20767,0.099562526,-7.8785563,0.13176206,1.0,0.54018915,-13.478218,-25.287193,0.35474488,0.19776762261390687,988.8381433486938,5000
257.28094,0.08454805,-7.7475057,0.098999314,1.0,5.6057487,-4.446977,83.369995,0.73433316,-18.924534,-43.39511,0.26766816,257.87546,0.067544386,-7.778099,0.10664767,1.0,0.5986371,-18.927488,-43.269104,0.31562176,0.002542849063873291,1001.5524156093597,10000
290.138,0.12432921,-7.7246447,0.09328418,1.0,8.550538,-11.88864,135.767,0.96880424,-21.930538,-58.40471,0.35845625,288.1724,0.050536178,-7.78095,0.10736051,1.0,0.89255834,-20.23618,-58.457733,0.3414077,0.002534126710891724,1014.2230820655823,15000
288.44263,0.07152948,-7.7105,0.08974792,1.0,13.674066,-8.612695,146.43663,0.9784618,-22.931585,-69.204575,0.3840465,302.47406,0.08889648,-7.7569942,0.10137159,1.0,0.48757356,-21.707203,-68.2731,0.38053364,0.00255797061920166,1027.0129661560059,20000
300.7705,0.121230535,-7.6754646,0.08098909,1.0,11.523578,-7.710938,115.59978,0.5519065,-22.803087,-74.37713,0.3041228,310.55508,0.05488845,-7.7409678,0.09736496,1.0,0.6152353,-22.772404,-73.763306,0.4008811,0.002635899019241333,1040.1924917697906,25000
319.45798,0.16030893,-7.6922913,0.085195705,1.0,5.165147,-7.7842875,111.86934,0.6340116,-22.998802,-78.63431,0.3743229,303.0959,0.11427962,-7.7598634,0.10208884,1.0,0.88310564,-21.917566,-76.5453,0.57830095,0.0025342655181884765,1052.86386179924,30000
289.0379,-0.014450368,-7.69019,0.084670424,1.0,4.319931,-5.045784,104.897865,0.43467698,-24.323399,-82.72235,0.3957711,329.37802,0.10873891,-7.7369523,0.096361,1.0,0.70351154,-23.434238,-80.34092,0.3605989,0.002616481065750122,1065.946301460266,35000
276.3769,0.11821686,-7.662012,0.077626005,1.0,6.8181148,-4.0076885,90.66616,0.45176995,-24.291004,-81.81981,0.49969652,314.96643,0.13041447,-7.7117205,0.090052985,1.0,0.92762494,-24.385029,-83.4536,0.37198704,0.0025316662311553953,1078.6046690940857,40000
293.4579,0.07604776,-7.6962566,0.08618711,1.0,6.7453556,-10.92593,113.83562,1.1513598,-24.655441,-86.699196,0.406065,306.54904,0.12700476,-7.703858,0.08808744,1.0,0.6410723,-24.889454,-82.59665,0.39668447,0.0025896945476531984,1091.5531809329987,45000
309.13275,0.116217494,-7.6703196,0.079702854,1.0,7.7161593,-6.6294274,106.63338,0.48728338,-24.316196,-82.905655,0.34877312,327.1305,0.16437915,-7.7075567,0.08901211,1.0,0.5430428,-24.119612,-84.15924,0.59123826,0.00257411470413208,1104.4237813949585,50000
305.4517,0.10454951,-7.6497164,0.074552,1.0,4.5081325,-4.267105,85.495445,0.50911117,-24.138199,-88.18789,0.4298726,297.8841,0.08136984,-7.7001085,0.08715011,1.0,0.33859813,-24.51189,-85.994354,0.4418248,0.0025664423942565917,1117.2560274600983,55000
297.5846,0.13587028,-7.67466,0.080788076,1.0,5.6895285,-4.066843,85.46612,0.5497622,-24.900436,-87.843285,0.4425478,317.84622,0.16240893,-7.693472,0.085490875,1.0,0.5028997,-25.199549,-90.35242,0.32474208,0.002615602731704712,1130.3340706825256,60000
295.7778,0.13803007,-7.650028,0.0746302,1.0,6.5122056,-6.8715034,98.2243,0.61237097,-25.854982,-83.83976,0.3642323,283.4748,0.0755144,-7.728692,0.094295934,1.0,0.6852555,-24.237108,-83.77734,0.43671954,0.0025799094676971436,1143.233647108078,65000
309.39728,0.17010032,-7.6505775,0.074767336,1.0,6.418665,-6.1472836,97.116394,1.3139551,-22.947416,-84.42279,0.30605274,310.4434,0.15767819,-7.6692314,0.07943087,1.0,0.4662146,-25.632755,-89.291824,0.3839596,0.002543534469604492,1155.9513533115387,70000
293.87323,0.13847104,-7.6513705,0.074965596,1.0,10.52298,-8.022333,106.42779,0.47738916,-25.49445,-87.43654,0.36227426,316.83902,0.09023406,-7.70695,0.08886044,1.0,0.66946465,-25.555065,-88.49495,0.46374917,0.0026445903778076173,1169.1743443012238,75000
299.77725,0.061891604,-7.631025,0.069879144,1.0,5.450161,-9.858805,99.680984,0.76775765,-25.30779,-90.104095,0.5520334,304.75882,0.1376003,-7.706523,0.08875371,1.0,0.4118205,-25.261534,-85.63057,0.42361814,0.0025884418487548827,1182.1165804862976,80000
296.29626,0.10872093,-7.6361303,0.07115556,1.0,4.2338467,-13.418283,114.61998,0.40201122,-25.784607,-90.31679,0.4660284,300.27637,0.11582039,-7.685669,0.08354029,1.0,0.6574103,-26.145504,-93.50068,0.4478647,0.002589300489425659,1195.063110113144,85000
304.6897,0.15805748,-7.6472154,0.07392673,1.0,5.535282,-10.6755,115.56033,0.69881684,-25.043083,-97.28203,0.35485828,321.37912,0.16806954,-7.6846075,0.08327488,1.0,0.63647896,-24.61154,-90.35568,0.76870286,0.002664423656463623,1208.3852615356445,90000
299.6151,0.103455454,-7.6275296,0.069005355,1.0,8.283859,-3.8282366,98.960205,0.68920445,-25.339443,-100.48601,0.4675833,323.03394,0.14113645,-7.704543,0.08825882,1.0,0.39564657,-24.948889,-84.9969,0.4302609,0.002576290798187256,1221.2667441368103,95000
307.8744,0.15968129,-7.629301,0.06944819,1.0,11.9373665,-11.417175,107.137634,0.49557394,-25.028145,-96.34747,0.35379007,330.92493,0.16704886,-7.680182,0.08216846,1.0,0.57213235,-23.353523,-87.697784,0.5353316,0.002623191022872925,1234.3827283382416,100000
296.67792,0.08663708,-7.6318746,0.070091575,1.0,7.7476506,-11.639339,112.62192,0.4644479,-25.442223,-93.25452,0.45843694,319.01117,0.13615069,-7.705923,0.08860387,1.0,0.6836467,-25.622402,-84.46529,0.4130308,0.15189077558517455,1993.836725473404,105000
299.472,0.12434565,-7.6459846,0.07361922,1.0,7.169412,-12.186078,101.61213,0.97813,-24.865036,-101.16129,0.36995274,297.02493,0.08985482,-7.670928,0.079854965,1.0,0.62336385,-23.760649,-77.59988,0.40683275,0.0026161019802093508,2006.9172654151917,110000
276.73575,0.022325918,-7.6365356,0.07125683,1.0,3.922905,-4.7427235,81.81898,0.6581624,-24.09078,-98.550415,0.48812586,307.42538,0.06811257,-7.7146196,0.09077794,1.0,0.6423767,-23.427948,-86.591995,0.36192548,0.0026650718212127686,2020.2426545619965,115000
296.75302,0.062530786,-7.651211,0.074925564,1.0,4.316003,-5.3447924,82.446266,0.48835236,-25.072788,-102.44539,1.0375044,303.74527,0.098159455,-7.696041,0.08613323,1.0,0.6820923,-23.829374,-92.27019,0.53913546,0.0026017539978027346,2033.251454114914,120000
275.14532,0.04591034,-7.6233606,0.06796316,1.0,13.289471,-12.633244,129.22499,0.37311423,-24.764315,-109.54283,0.48668104,310.85745,0.111087695,-7.6840844,0.08314408,1.0,0.6288507,-25.859198,-89.26373,0.44010955,0.002740058898925781,2046.9517974853516,125000
300.33777,0.109353766,-7.632849,0.07033526,1.0,7.332182,-8.256224,92.057655,0.6425327,-24.782808,-101.85008,0.5875006,315.91214,0.12015875,-7.6921015,0.08514825,1.0,0.5510081,-23.709028,-87.360275,0.3658295,0.002687001132965088,2060.3868432044983,130000
289.1297,0.06304922,-7.636893,0.07134611,1.0,7.1749325,-7.9320135,90.744606,1.4665774,-24.469627,-89.304504,0.36109465,318.68396,0.115094446,-7.67794,0.081607945,1.0,0.48073167,-22.81812,-85.27142,0.3968979,0.002803508949279785,2074.4044229984283,135000
304.10144,0.14353783,-7.6239977,0.06812234,1.0,6.386733,-6.614156,100.90967,0.9017588,-24.617035,-114.77321,0.4897666,300.26862,0.055879682,-7.6958656,0.08608941,1.0,1.1077981,-23.735798,-79.34705,0.4056375,0.0025589362144470213,2087.1991386413574,140000
288.93726,0.12548661,-7.62037,0.06721541,1.0,14.544301,-12.645914,113.59712,0.92810464,-24.428293,-107.31503,0.37603986,326.53925,0.16206199,-7.6905584,0.08476251,1.0,0.90451187,-23.20153,-99.523026,0.49851662,0.0026856982231140136,2100.6276593208313,145000
294.21393,0.05722505,-7.621587,0.06751977,1.0,5.29783,-5.2664227,100.88237,0.69291985,-25.369965,-113.87961,0.3231601,289.09766,0.12382763,-7.712798,0.09032246,1.0,0.80535567,-23.822273,-88.21358,0.4239362,0.002697846984863281,2114.116938829422,150000
302.79718,0.10079681,-7.6330795,0.07039281,1.0,17.464853,-9.725917,125.49873,0.32574898,-24.859142,-110.67051,0.65743417,314.21664,0.12070078,-7.6699457,0.07960945,1.0,0.5581361,-25.258263,-101.325,0.41209662,0.002662326240539551,2127.428603410721,155000
282.33313,0.06211023,-7.6276255,0.06902924,1.0,8.7606535,-9.306962,103.64673,1.6899214,-26.805836,-112.73847,0.63267434,306.27618,0.046062768,-7.68363,0.08303052,1.0,0.6714128,-24.847677,-108.18561,0.46947104,0.0027190758228302003,2141.024016857147,160000
311.9594,0.092645384,-7.6291,0.06939785,1.0,10.467585,-12.348996,109.482925,0.44219202,-27.651104,-120.57095,0.3832907,303.27234,0.14011562,-7.6822777,0.082692355,1.0,0.43040925,-25.449799,-90.5025,0.39947757,0.0026637420177459716,2154.342764377594,165000
283.48956,0.10270366,-7.6209826,0.06736866,1.0,8.950393,-11.210396,100.55746,0.5194637,-24.203588,-105.17043,0.35889757,311.58414,0.111219004,-7.6624584,0.07773763,1.0,0.44725698,-24.682436,-82.3308,0.38702324,0.002799632978439331,2168.3409690856934,170000
