training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
8.303814,-7.540057,210.6594,339.16388,2.124919,-9.999838,0.16209067,1.0,116.84245,0.11851309,-7.82543,0.11848049,1.0,0.019846078,-15.824152,-26.96572,0.7959526,352.32062,1.8848557,-10.055794,0.17328182,1.0,133.19125,0.19477648,-7.8235283,0.11800517,1.0,0.11942577,-15.77051,-27.034336,0.88662744,0.2626881784439087,1313.4409091472626,5000
14.895458,-13.750877,266.1815,429.2132,2.5841994,-9.965681,0.15525913,1.0,165.3147,0.11695078,-7.725169,0.09341523,1.0,0.13239269,-22.696016,-44.209145,1.5755398,451.15393,2.4372013,-9.953878,0.15289876,1.0,182.44824,0.17250602,-7.755624,0.101028964,1.0,0.09835431,-22.460346,-44.22544,1.7680521,0.0034323270797729493,1330.6025512218475,10000
6.6416745,-9.671387,182.04721,493.48743,2.7294235,-9.862755,0.13467374,1.0,166.83363,0.12649822,-7.7174406,0.09148313,1.0,0.06577406,-25.245667,-57.8236,1.2528844,506.42395,2.6363616,-9.913078,0.1447386,1.0,162.24127,0.15586387,-7.7371025,0.09639861,1.0,0.13498446,-25.726482,-57.794388,1.0494471,0.0034458333015441895,1347.8317241668701,15000
15.171304,-11.340986,264.60373,549.0246,3.3380733,-9.781965,0.1185161,1.0,200.0179,0.17843711,-7.677222,0.08142837,1.0,0.14318348,-28.522171,-67.84314,1.8261206,539.4842,2.9454143,-9.902861,0.14269522,1.0,205.67683,0.20775792,-7.7190714,0.091890916,1.0,0.11227967,-27.19798,-67.62715,1.3701651,0.003429697370529175,1364.9802174568176,20000
10.749675,-15.026658,298.75897,521.0648,2.8435879,-9.814075,0.124938264,1.0,161.75166,0.11464965,-7.6747622,0.08081351,1.0,0.06861982,-28.542889,-75.059784,1.5208097,565.08594,3.1983383,-9.823877,0.12689845,1.0,162.79362,0.19895452,-7.743411,0.09797576,1.0,0.08285777,-28.507158,-75.09061,1.6657474,0.0034864694595336913,1382.4125714302063,25000
17.701458,-18.431633,371.69427,545.18616,3.2549753,-9.868087,0.13574035,1.0,178.61166,0.20878145,-7.6866593,0.083787814,1.0,0.41123033,-29.382137,-80.888504,2.2767577,551.7993,3.3911428,-9.889967,0.14011621,1.0,165.24567,0.25016302,-7.7161083,0.091150016,1.0,0.13863343,-27.61677,-80.23926,1.5293132,0.003456696176528931,1399.6960604190826,30000
12.4963455,-11.239449,261.9511,548.7965,3.265101,-9.854395,0.13300186,1.0,159.73242,0.20888886,-7.656595,0.07627184,1.0,0.12772654,-31.178833,-85.5782,1.7390983,574.85114,3.1851025,-9.871529,0.13642858,1.0,188.47313,0.29680818,-7.7275925,0.09402115,1.0,0.15788585,-30.769901,-85.37583,1.6123798,0.0035471150875091553,1417.43164229393,35000
15.160301,-19.788189,310.8309,568.1378,3.2274663,-9.887963,0.13971573,1.0,159.19589,0.1530781,-7.657823,0.07657874,1.0,0.10253143,-32.961628,-88.52139,1.8061142,588.63074,3.6595705,-9.844359,0.1309949,1.0,183.11252,0.3942521,-7.6900835,0.08464381,1.0,0.11724419,-31.379187,-88.60795,1.9695985,0.003749742841720581,1436.1803696155548,40000
10.653686,-9.944837,275.589,572.5417,3.4582524,-9.906069,0.14333664,1.0,187.74248,0.2573537,-7.618008,0.06662505,1.0,0.016601551,-34.2359,-92.019264,1.5531502,588.6149,3.3328705,-9.9316845,0.1484599,1.0,202.15591,0.31497878,-7.6778517,0.08158584,1.0,-0.00088500977,-32.74713,-92.386826,1.6223227,0.003932299184799194,1455.8418729305267,45000
16.449917,-15.26697,285.22498,569.72986,3.6359882,-9.792645,0.1206522,1.0,176.53947,0.29616755,-7.635173,0.07091606,1.0,0.0861942,-34.723297,-94.681366,1.2921159,589.96814,3.4538357,-9.904459,0.14301474,1.0,156.8202,0.19952348,-7.7207885,0.09232013,1.0,0.077714324,-31.706537,-94.15047,2.226061,0.0039815726757049565,1475.7497448921204,50000
7.1281695,-10.350811,217.01967,599.51807,3.8655748,-9.776054,0.11733403,1.0,168.19812,0.31937444,-7.643639,0.07303275,1.0,0.13205056,-32.53739,-96.13643,1.7935555,606.1883,4.1193786,-9.876116,0.13734606,1.0,181.11127,0.31369758,-7.6934037,0.08547376,1.0,0.07107063,-33.986465,-95.09959,1.5345888,0.00385544171333313,1495.0269622802734,55000
15.71629,-15.016648,301.3499,574.0924,3.2315805,-9.860567,0.13423625,1.0,158.8708,0.20729527,-7.624452,0.06823598,1.0,0.053725686,-34.567924,-97.38841,1.7448705,593.49615,3.4744802,-9.855083,0.13313957,1.0,174.89679,0.30472583,-7.695404,0.085973844,1.0,0.04027979,-33.88625,-97.3058,2.118975,0.0037272677421569824,1513.6633083820343,60000
43.567524,-43.943058,423.25073,595.28815,3.7860112,-9.851719,0.13246666,1.0,154.78958,0.23025593,-7.6208215,0.06732834,1.0,0.13513653,-35.415024,-98.94029,2.0427332,615.71216,4.198717,-9.910163,0.14415549,1.0,156.19577,0.1853674,-7.700639,0.08728269,1.0,0.12696004,-34.872025,-97.52716,1.4032516,0.0037038578510284422,1532.182605266571,65000
10.613479,-13.540898,212.13358,584.67004,3.6195898,-9.792893,0.1207016,1.0,171.1766,0.24704896,-7.6270437,0.068883866,1.0,0.1211452,-34.703773,-99.86972,1.3423557,631.0189,3.823988,-9.916273,0.14537778,1.0,173.50357,0.27703428,-7.693796,0.08557196,1.0,0.5796448,-34.807865,-99.11929,1.9203569,0.003755307912826538,1550.959151983261,70000
7.907215,-9.316722,235.81467,602.3222,3.9738736,-9.776144,0.11735191,1.0,179.51054,0.34709105,-7.611047,0.06488462,1.0,0.18985464,-34.345028,-100.72377,1.7647328,607.6776,3.3685422,-9.896902,0.14150332,1.0,189.94055,0.32531893,-7.7162056,0.09117441,1.0,0.051570877,-34.891624,-99.43021,2.7040005,0.003763203001022339,1569.7751774787903,75000
9.821521,-11.071452,220.64821,601.3031,3.9052916,-9.82246,0.1266149,1.0,158.20842,0.30960357,-7.6125307,0.06525573,1.0,0.10506603,-34.313324,-100.01865,1.5408614,587.8909,3.709128,-9.892956,0.14071408,1.0,154.34988,0.25383204,-7.699481,0.08699319,1.0,0.6394422,-34.86523,-99.91516,2.0149405,0.003741491365432739,1588.4826412200928,80000
16.614267,-12.648626,251.97145,597.5256,3.7193227,-9.8141985,0.12496263,1.0,162.96484,0.30009362,-7.634014,0.07062656,1.0,0.08401321,-38.011833,-100.195694,1.2166371,602.173,3.2545042,-9.905123,0.14314756,1.0,188.23619,0.35682672,-7.6847463,0.08330946,1.0,0.07369667,-33.369392,-99.904434,2.5205548,0.0037803494930267333,1607.384396314621,85000
16.467367,-17.237932,343.94598,588.6863,3.4889925,-9.823784,0.1268797,1.0,172.38885,0.34139153,-7.6231713,0.067915805,1.0,0.13715541,-34.81368,-101.23385,4.5535855,607.33215,3.9297194,-9.895607,0.14124446,1.0,155.77408,0.19852296,-7.692167,0.085164614,1.0,0.1465494,-36.22928,-100.385864,1.7973026,0.003795526599884033,1626.3620369434357,90000
13.467155,-12.227068,235.15414,577.95184,3.735161,-9.814637,0.12505047,1.0,170.94577,0.25177157,-7.619094,0.06689644,1.0,0.13714197,-36.296387,-101.27089,1.2309346,618.52905,3.8173077,-9.875333,0.13718963,1.0,173.12398,0.354762,-7.6778893,0.081595264,1.0,0.11019904,-35.794487,-100.7361,1.6225386,0.0037010335445404052,1644.8672115802765,95000
29.932312,-23.70137,336.31796,577.676,3.1571875,-9.821335,0.1263901,1.0,168.72983,0.33134466,-7.6070786,0.06389267,1.0,0.15392953,-35.18853,-101.071,2.015963,610.0051,3.7984357,-9.857766,0.13367632,1.0,166.3326,0.30839035,-7.6980715,0.08664089,1.0,0.1605932,-34.85598,-100.81655,1.8682861,0.0037631367683410646,1663.6829025745392,100000
26.855227,-15.201469,271.12393,582.05853,3.8313365,-9.796047,0.12133243,1.0,163.63882,0.24965346,-7.624421,0.068228275,1.0,0.06887916,-36.7602,-101.746315,1.8082855,636.7062,4.3310905,-9.8467865,0.1314801,1.0,171.48096,0.30090708,-7.694968,0.085864946,1.0,0.080204986,-35.048878,-101.014786,1.8910269,0.20572995462417604,2692.332682609558,105000
13.2033,-20.361687,273.68167,592.76636,3.6039767,-9.766926,0.1155081,1.0,182.96126,0.29712158,-7.6279125,0.069101155,1.0,0.11979632,-37.38891,-101.099,1.5932426,605.4734,3.5294673,-9.878449,0.1378127,1.0,178.57013,0.26656842,-7.7001286,0.087155014,1.0,0.295141,-35.819748,-101.087364,1.8684466,0.003652625799179077,2710.5958185195923,110000
10.126392,-11.940638,261.82584,591.66156,3.2962725,-9.811447,0.12441249,1.0,170.29292,0.31232473,-7.6154366,0.06598198,1.0,0.00016591325,-36.558685,-101.25632,1.7247685,637.18304,4.0221863,-9.896673,0.1414576,1.0,187.75497,0.42777655,-7.650454,0.074736424,1.0,0.04928691,-35.55279,-101.37539,1.692802,0.0036292561531066896,2728.7421066761017,115000
13.281242,-8.694098,244.62474,596.18396,3.5898457,-9.741721,0.11046723,1.0,167.43109,0.35841438,-7.6094713,0.06449078,1.0,0.039551508,-36.12394,-101.69151,1.805253,616.5355,3.658184,-9.835009,0.12912472,1.0,178.8824,0.26295203,-7.6962857,0.08619434,1.0,-0.044641927,-35.379463,-101.31827,2.0161526,0.003641404962539673,2746.949138402939,120000
13.131676,-19.943735,262.69354,592.0032,3.774822,-9.857246,0.13357227,1.0,173.32013,0.34307498,-7.6133156,0.06545174,1.0,0.19950798,-38.194397,-101.67375,1.5086931,618.0361,3.7356596,-9.840948,0.13031259,1.0,159.93022,0.29458648,-7.695553,0.08601116,1.0,0.15538596,-36.613644,-101.46614,1.1735833,0.0036913506031036377,2765.405898332596,125000
26.000444,-38.206062,324.5566,589.4435,3.857604,-9.750442,0.112211324,1.0,163.90994,0.38999605,-7.6107073,0.06479985,1.0,0.12945837,-35.98463,-101.66695,1.6648153,628.72253,4.144582,-9.814357,0.12499433,1.0,180.35846,0.40961355,-7.7044163,0.08822698,1.0,0.11298011,-33.857613,-101.43352,1.7193584,0.0036536151885986326,2783.673980951309,130000
15.036802,-26.660385,318.39258,599.49963,4.0759363,-9.677662,0.0976553,1.0,164.04776,0.33378643,-7.6110153,0.064876795,1.0,0.06578693,-34.97879,-101.452286,2.1070194,629.249,3.7996497,-9.866827,0.13548838,1.0,176.13098,0.32292965,-7.712077,0.09014216,1.0,0.09751539,-36.078995,-101.37285,1.580157,0.0036768723487854006,2802.058350801468,135000
19.117605,-20.039024,368.45453,612.74475,4.2578464,-9.806705,0.12346422,1.0,165.76413,0.29810083,-7.6135507,0.06551065,1.0,0.11970111,-34.965538,-101.522964,2.154038,598.71875,3.4281886,-9.976995,0.15752195,1.0,177.63052,0.38950816,-7.670647,0.07978475,1.0,0.09885963,-36.328957,-101.39926,1.7118591,0.003665156078338623,2820.3841395378113,140000
33.328754,-18.13087,282.5281,613.57306,3.9134095,-9.757418,0.113606535,1.0,161.303,0.30407935,-7.6189795,0.06686774,1.0,0.24069999,-38.110104,-101.2417,1.2708852,596.928,3.5071893,-9.938847,0.14989233,1.0,158.92717,0.1439486,-7.7056665,0.088539585,1.0,0.1474229,-34.342632,-101.22246,2.084702,0.0036395366668701174,2838.5818293094635,145000
20.280146,-22.658216,346.9303,590.746,3.7361846,-9.681963,0.09851559,1.0,172.96239,0.41619733,-7.616084,0.06614405,1.0,0.059432562,-37.004936,-101.161064,1.8506566,620.8412,4.076416,-9.85613,0.13334888,1.0,183.6955,0.3353098,-7.6921988,0.08517271,1.0,0.017542295,-38.00778,-101.519806,5.073658,0.003638481378555298,2856.77424287796,150000
11.108435,-15.757065,211.56006,592.33826,3.9959211,-9.726034,0.107329704,1.0,164.32047,0.301025,-7.6068144,0.06382649,1.0,0.102881,-37.792686,-101.25437,1.7303917,622.81104,3.9686737,-9.774141,0.116951324,1.0,173.44968,0.38252768,-7.675008,0.08087491,1.0,0.08482452,-36.797226,-101.04422,1.9939511,0.0036078474044799803,2874.813486814499,155000
27.93119,-18.942978,310.1464,595.05475,3.5750027,-9.746506,0.11142428,1.0,153.2265,0.31525475,-7.6160097,0.066125475,1.0,0.07199552,-36.25743,-101.68376,1.7411777,623.48334,4.040644,-9.810272,0.124177516,1.0,177.37573,0.26541668,-7.7097077,0.08954985,1.0,0.079627305,-36.96848,-101.144,3.4508023,0.0038381466388702394,2894.0042276382446,160000
14.209492,-21.114805,254.56137,602.8065,3.7714605,-9.757135,0.113549925,1.0,163.21338,0.31244007,-7.628801,0.06932328,1.0,0.2852286,-39.420395,-102.27078,1.9133759,610.94446,3.4823165,-9.912716,0.14466606,1.0,184.59048,0.34050882,-7.686253,0.08368621,1.0,0.12945576,-36.819763,-101.14542,2.861333,0.0036734437465667726,2912.371453523636,165000
