training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0233462,-7.782077,0.02334623,0.107642114,231.56409,1.0,-231.56409,1.0,2.7412124,153.00761,-151.20532,1964.9839,110.79527,972.6484,539.0367,0.5422442,11.441742,36.893856,2.9565969,0.0021799728,4.815758,-54.859875,111.03606,165.89594,1.0233955,-7.7984548,0.023395363,0.1117366,228.4202,1.0000001,-228.4202,1.0,3.0321329,130.33063,960.8409,505.16125,1.0352961,11.974672,24.90908,3.2313433,0.007959223,4.8172116,-57.44367,130.5715,188.01517,0.20784751234054566,1039.2376091480255,5000
1.023464,-7.821329,0.023463987,0.11745531,154.27101,1.0,-154.27101,1.0,1.7325721,371.0839,-192.37923,2776.6199,176.99454,955.72174,416.59314,0.7247274,2.7676961,11.5601845,1.807709,0.0033988636,21.819508,-59.298794,178.08551,237.38431,1.023562,-7.853985,0.023561956,0.12561929,145.64474,1.0,-145.64474,1.0,1.7758085,187.18007,958.98145,403.04025,0.46255857,3.2725868,19.842487,1.8622675,0.0132478075,21.826002,-70.33619,188.27136,258.60754,0.005979761123657227,1069.136423110962,10000
1.0237522,-7.9174027,0.023752209,0.14147364,94.8801,1.0,-94.8801,1.0,1.2484171,140.98111,-220.15652,1842.7434,253.81514,910.74066,311.75958,0.15232068,0.4979786,6.30747,1.0824889,0.0026397256,86.00523,-38.528503,258.11542,296.64392,1.0239879,-7.995965,0.023987897,0.16111434,89.23108,1.0,-89.23108,1.0,0.8676439,268.72638,929.41296,294.1172,0.5957362,0.48923314,6.343345,1.1103318,0.0020230429,86.0271,-37.785954,273.02774,310.8137,0.005981993436813354,1099.046397447586,15000
1.0239543,-7.984741,0.023954224,0.15830818,64.643265,1.0,-64.643265,1.0,0.722149,194.70624,-122.96294,1788.7938,317.18384,817.84735,211.67375,0.54628766,0.09780504,3.7905827,0.83101976,0.003482301,201.93306,-9.653418,327.2805,336.9339,1.0240577,-8.019257,0.024057768,0.16693707,57.50345,0.99999994,-57.50345,1.0,1.11504,325.2657,821.31116,203.04547,0.3143579,0.17627563,6.845371,0.8562595,0.0049240636,201.94171,-25.500317,335.3628,360.8631,0.005978155946731567,1128.9371840953827,20000
1.0238185,-7.9395037,0.02381851,0.14699876,59.75026,1.0,-59.75026,1.0,0.5455148,89.0108,-141.22046,1037.6901,314.27155,963.6508,242.51456,0.9369034,0.049533278,3.0520542,0.72919106,0.0021994074,316.42865,0.14768453,330.09296,329.94528,1.0240631,-8.021042,0.024063125,0.16738343,51.766396,0.99999994,-51.766396,1.0,1.0240587,317.3572,963.07355,249.71988,0.65295243,0.050086647,2.8576403,0.7401152,0.0021394065,316.45337,-0.027419586,333.1799,333.2073,0.00598281569480896,1158.8512711524963,25000
1.0238408,-7.946893,0.02384068,0.1488463,56.52463,1.0000001,-56.52463,1.0,0.51645994,353.5437,-221.62448,2153.279,315.6101,1022.3626,252.21762,0.6675736,0.047405798,3.3071723,0.7266358,0.002444252,387.82663,1.0061009,335.00143,333.99533,1.0241282,-8.042723,0.024128169,0.17280371,57.891724,1.0,-57.891724,1.0,0.64213264,331.9897,1024.9722,226.48798,0.09477486,0.05044816,3.4069023,0.7454027,0.0051908223,387.8161,-0.17380361,351.3805,351.5543,0.005991636610031128,1188.8094613552094,30000
1.0240536,-8.017864,0.024053592,0.16658904,60.55633,1.0,-60.55633,1.0,0.79890853,107.61367,-85.82342,1160.9034,320.3575,974.0562,227.17992,0.37780285,0.03928645,2.718552,0.74785113,0.0017855586,405.66397,4.3461018,340.64072,336.29462,1.0241513,-8.050434,0.024151305,0.17473163,53.784378,1.0,-53.784378,1.0,1.0619701,320.54523,977.6548,235.06415,0.3817671,0.046770263,3.0504136,0.75912416,0.0034636057,405.66104,1.3101786,340.82828,339.5181,0.005994053363800049,1218.7797350883484,35000
1.0237802,-7.9267373,0.023780212,0.1438073,53.55517,1.0,-53.55517,1.0,0.55592036,111.356224,-79.636894,929.389,321.74072,1012.59,240.45264,0.21146606,0.029865716,2.719224,0.67746586,0.0020791555,407.72693,8.2092905,342.12708,333.9178,1.0240505,-8.016823,0.02405047,0.16632883,55.247257,1.0,-55.247257,1.0,0.9677995,329.64813,1032.5316,235.31151,0.32330513,0.04909394,3.4656322,0.716818,0.004200462,407.73822,0.36943585,350.03506,349.66562,0.0059874433994293215,1248.716959953308,40000
1.0238303,-7.9434233,0.02383027,0.14797875,54.10265,1.0,-54.10265,1.0,0.6984278,121.79199,-86.82408,1232.986,310.81842,1055.0404,252.62164,0.7965357,0.034827217,3.1682131,0.73141426,0.0015183387,417.21762,6.3303523,331.6793,325.34894,1.02391,-7.9700317,0.023910096,0.15463097,55.263428,1.0,-55.263428,1.0,0.55297446,320.93982,1064.3413,242.13638,0.5943953,0.04704358,2.6635337,0.7765229,0.0060637267,417.21344,1.2334583,341.8005,340.56705,0.005987445878982544,1278.654196023941,45000
1.0241096,-8.0364895,0.024109472,0.1712455,54.331318,1.0000001,-54.331318,1.0,0.61466116,203.625,-178.2454,2063.183,330.24554,839.69086,190.02911,0.693437,0.056161493,3.9844704,0.7292077,0.005501814,427.21146,-2.63226,351.6061,354.23837,1.0240695,-8.023172,0.024069518,0.167916,53.271366,1.0,-53.271366,1.0,0.72065365,335.7031,849.809,184.18384,0.71983296,0.08406523,5.7774777,0.7261336,0.0033423442,427.20963,-14.552993,357.0636,371.61658,0.005982757663726807,1308.5679914951324,50000
1.0236337,-7.8779182,0.023633754,0.13160244,54.24817,1.0,-54.24817,1.0,0.60313225,140.52542,-97.00519,1255.9324,302.1328,1109.2367,268.05884,0.36682174,0.045980237,3.6319726,0.72465205,0.0010450117,413.52988,1.6622922,322.8093,321.147,1.023979,-7.9929657,0.023978896,0.16036445,56.480255,1.0,-56.480255,1.0,0.5284803,308.62564,1113.3861,269.49512,0.26440617,0.14604487,10.40903,0.7528377,0.00717379,413.5133,-39.71583,329.30133,369.01715,0.005982746839523315,1338.481733083725,55000
1.0237597,-7.919921,0.023759764,0.14210315,54.90041,0.99999994,-54.90041,1.0,0.5753654,193.61612,-115.11332,1174.0688,295.83026,1174.9135,292.88113,1.0105588,0.035817064,3.0777574,0.70635307,0.0046463483,394.53766,5.5957026,315.55716,309.96146,1.0238324,-7.9441357,0.023832407,0.14815688,52.802917,1.0,-52.802917,1.0,0.67235005,306.57898,1172.1221,280.71558,0.65603024,0.11681947,6.4598093,0.7544034,0.0038879379,394.50488,-26.36061,326.30423,352.66483,0.005981772756576538,1368.3906037807465,60000
1.0236632,-7.8877068,0.02366312,0.13404968,57.47215,1.0,-57.47215,1.0,0.72715795,98.06466,-175.50452,1292.429,287.10284,1236.2677,322.3869,0.371228,0.04960729,2.6670423,0.745182,0.0016830957,389.85486,0.15309948,306.59558,306.44247,1.023884,-7.961372,0.023884116,0.152466,57.54084,1.0,-57.54084,1.0,0.6215794,301.47754,1238.6965,295.99228,0.801375,0.13676123,9.708708,0.76732445,0.0009908366,389.8571,-33.824482,320.97037,354.79486,0.00598206934928894,1398.30095744133,65000
1.0235517,-7.8506055,0.023551818,0.124774426,60.020588,0.99999994,-60.020588,1.0,1.2288764,453.682,-198.0464,2163.7004,282.79382,1292.7957,323.08948,0.7878943,0.058487844,4.022013,0.7525109,0.0042827656,373.30783,-3.1685781,301.45923,304.6278,1.0235399,-7.8466425,0.02353993,0.12378368,59.135517,1.0,-59.135517,1.0,0.6092604,290.27332,1301.9443,320.8689,0.113319896,0.054585982,3.1513224,0.7680057,0.010897254,373.30426,-1.7119664,308.9385,310.65048,0.005982178211212158,1428.2118563652039,70000
1.023849,-7.9496403,0.023848921,0.14953303,51.53432,1.0000001,-51.53432,1.0,0.6867473,137.95525,-205.31026,1376.1598,292.7511,1208.5015,292.72675,0.6001908,0.05134049,3.7830555,0.7521136,0.002384121,385.24164,-0.5164125,312.01318,312.5296,1.0240599,-8.0199795,0.02405994,0.16711794,50.484764,1.0,-50.484764,1.0,0.64808077,306.26697,1212.4515,274.42468,0.80361855,0.33824912,18.454132,0.7760049,0.012759286,385.2367,-111.044136,325.5288,436.57294,0.00598307433128357,1458.127235174179,75000
1.0236726,-7.890818,0.023672454,0.13482752,56.904915,1.0000001,-56.904915,1.0,1.1205105,74.45152,-94.44928,707.19324,275.41357,1278.3801,339.69666,1.1516511,0.03339061,2.630069,0.72876596,0.0013615207,360.1915,5.9825606,293.42316,287.44058,1.0238893,-7.963049,0.023889147,0.15288517,56.527435,1.0000001,-56.527435,1.0,0.5108148,301.55457,1279.0962,299.34348,0.88070756,0.040343437,3.0094109,0.7526238,0.004196237,360.1693,3.4779978,319.56302,316.08502,0.005982019805908203,1488.037341117859,80000
1.0236288,-7.876237,0.023628712,0.13118224,52.76872,1.0000001,-52.76872,1.0,0.6741915,1651.5905,-643.6509,9143.013,279.6137,1293.1718,337.75992,0.71141845,0.19184136,13.186742,0.73075277,0.0016142516,359.9192,-51.05143,297.60968,348.6611,1.0236757,-7.891878,0.023675635,0.13509244,58.433876,1.0,-58.433876,1.0,0.66086733,289.18686,1295.7605,323.97998,0.50458735,0.052894335,3.3951426,0.7508954,0.0025581608,359.92743,-1.0417504,307.18323,308.22498,0.005980802583694458,1517.9413614273071,85000
1.0235238,-7.8412514,0.023523754,0.12243572,58.8226,1.0,-58.8226,1.0,0.5148639,179.14566,-119.3059,1222.8887,285.85498,1321.6665,321.07422,0.8274385,0.03962484,2.546059,0.7387401,0.0017463043,358.11548,3.7155056,303.76077,300.04526,1.0236347,-7.8782473,0.02363474,0.13168468,54.764862,0.99999994,-54.764862,1.0,1.0963659,289.48257,1334.4276,332.46454,0.44252452,0.07159907,4.29626,0.77759314,0.00087914563,358.09995,-7.734627,307.38757,315.1222,0.005981555414199829,1547.8491463661194,90000
