training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.840522,-4.6457653,13.937296,0.02042916,3.9075923,0.90322596,-3.5294394,1.0,0.99934006,0.68652344,0.0022640026,-21.864906,-21.885553,-0.7417867,149.59486,2.1518369,6.156794e-08,0.08837418,-0.07214851,1.0635743,14.874268,-4.6530266,13.959081,0.023333762,4.2494264,0.9151873,-3.8890219,1.0,0.99828815,0.328125,0.004541943,-21.042824,-21.062263,-1.15603,278.49716,2.1710374,2.479953e-07,0.14889759922027587,744.488011598587,5000
14.752906,-4.6412992,13.923897,0.01864251,3.540116,0.8290091,-2.9347892,1.0,0.9994345,0.7871094,0.0016242153,-21.26401,-21.284845,0.050571837,646.5941,4.150304,5.9403988e-06,0.12502003,-0.083751574,0.80072105,14.830598,-4.640737,13.922211,0.018417764,5.2449226,0.90838706,-4.7644205,1.0,0.99814606,0.3310547,0.0053246315,-20.534878,-20.553825,-1.152178,1302.8828,5.855298,8.4727636e-10,0.002939541816711426,759.185729265213,10000
14.6458645,-4.643634,13.930902,0.019576529,3.1041548,0.71496284,-2.219356,1.0,0.99951744,0.85253906,0.0012055968,-20.974459,-20.99567,0.72306275,130.1284,5.736767,9.611417e-06,0.084033564,-0.07080528,0.84950674,14.876937,-4.6454897,13.93647,0.020318903,6.8083334,0.94046694,-6.403013,1.0,0.99824715,0.32421875,0.0055377726,-20.357065,-20.375065,-1.9433086,386.2826,4.8160954,9.772848e-11,0.0029409961223602296,773.8907186985016,15000
14.599024,-4.6433487,13.930046,0.01946251,2.8055084,0.6689782,-1.8768246,1.0,0.99954987,0.8652344,0.0011263763,-20.65056,-20.67147,0.7402946,202.14452,5.836665,0.0002303245,0.06824623,-0.08098738,0.7262618,14.881726,-4.6445756,13.933726,0.019953191,6.7851796,0.94800025,-6.4323525,1.0,0.9983711,0.3232422,0.005292378,-20.104473,-20.121927,-2.247432,1227.2969,5.313606,9.318032e-10,0.0029429863929748535,788.6056578159332,20000
14.522489,-4.6418986,13.925697,0.018882575,2.7750485,0.5967914,-1.6561255,1.0,0.9995785,0.8652344,0.0010352707,-20.296513,-20.317297,0.9682965,379.52246,6.560652,0.0001230218,0.17780305,-0.14618456,1.2442542,14.873429,-4.6385117,13.915535,0.017527634,7.1711855,0.9578941,-6.869237,1.0,0.9984894,0.33984375,0.0050788065,-19.985825,-20.003117,-2.295373,855.1639,5.78671,2.5568407e-11,0.0029550680637359618,803.3810064792633,25000
14.485409,-4.6402397,13.920719,0.018218903,2.7015858,0.5646897,-1.5255582,1.0,0.99958515,0.8769531,0.0010550373,-20.067009,-20.087658,1.05709,510.20505,6.8318853,9.484455e-05,0.11094883,-0.2039764,0.8601745,14.886408,-4.6416483,13.924944,0.01878216,7.6099577,0.9614644,-7.3167048,1.0,0.9985523,0.3408203,0.005158633,-19.811798,-19.828522,-2.7052598,4107.9863,6.131892,9.294065e-11,0.002959199094772339,818.1770102977753,30000
14.495302,-4.6357155,13.907147,0.016409276,2.6860752,0.5881551,-1.5798295,1.0,0.9996033,0.8857422,0.0009326098,-19.75019,-19.77061,1.1393393,265.05487,6.788707,0.0003223139,0.07916484,-0.07864244,0.83185273,14.897383,-4.643035,13.929104,0.01933681,7.629221,0.96827865,-7.3872128,1.0,0.998559,0.34472656,0.0050691366,-19.353928,-19.370401,-2.5016494,529.7702,5.1903114,1.2907961e-10,0.0029646130561828614,833.0000832080841,35000
14.461545,-4.638113,13.914339,0.017368218,2.5773578,0.54720604,-1.4103463,1.0,0.9996042,0.8701172,0.0009570855,-19.700346,-19.720758,1.1822487,91.52927,6.536829,0.00039261056,0.06166636,-0.09636815,0.67900974,14.891973,-4.643913,13.931738,0.019688075,7.1285367,0.9602346,-6.845068,1.0,0.9985399,0.33203125,0.0051953616,-19.165258,-19.181314,-2.7392194,198.72116,3.3825722,1.7324694e-10,0.0029696588039398192,847.8483843803406,40000
14.482448,-4.63735,13.912049,0.017062923,2.7594686,0.57039803,-1.5739961,1.0,0.9995785,0.8701172,0.0009932262,-19.534878,-19.555058,1.1115705,138.96927,6.631478,2.4531653e-07,0.07956457,-0.056754317,0.87457097,14.900736,-4.6453066,13.93592,0.0202456,7.81215,0.9648165,-7.5372925,1.0,0.99855995,0.32421875,0.005144311,-19.27631,-19.292587,-2.6255345,227.0982,3.9548984,2.874249e-12,0.002969386339187622,862.6953241825104,45000
14.494231,-4.6385717,13.915714,0.017551575,2.5122476,0.57851726,-1.4533792,1.0,0.9996414,0.89941406,0.0009229691,-19.623169,-19.643415,1.0909684,117.600685,5.9857063,0.00020573195,0.080041975,-0.12110192,0.91016495,14.905004,-4.645197,13.935591,0.020201717,7.169777,0.9694124,-6.9504714,1.0,0.99860954,0.32910156,0.005069153,-19.367481,-19.383514,-2.9636314,179.52942,2.7719877,3.3524797e-10,0.0029781189918518065,877.5859258174896,50000
