training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.6521006,-4.6521006,4.6521006,0.022963166,18.752537,0.9999999,-18.752537,1.0,0.40216094,0.0,-14.70037,-23.772171,0.40729725,-0.3691578,13.468567,0.7623899,-14.099907,-22.97081,0.04190533,5.6484857,-4.6485434,4.6485434,0.021540178,18.53129,0.99994236,-18.530224,1.0,0.42654592,0.0,-14.998333,-23.620277,0.6434302,-14.37328,-22.866962,0.06404294,0.16819133853912355,840.9567108154297,5000
5.645646,-4.645688,4.645688,0.020398363,26.901318,0.9999582,-26.900194,1.0,0.6950092,0.0,-20.968449,-38.728775,0.44660765,-0.5032568,19.566317,0.7971844,-20.457573,-38.126404,0.07848477,5.650963,-4.650967,4.650967,0.022509953,27.039886,0.99999595,-27.039778,1.0,0.8718722,0.0,-21.109112,-38.356026,0.7833008,-20.598362,-37.763996,0.08145278,0.0026924370765686037,854.4189038276672,10000
5.6447134,-4.644716,4.644716,0.020009167,31.082035,0.99999744,-31.081959,1.0,0.9914025,0.0,-24.207588,-49.701214,1.5438153,-0.615277,50.07486,0.57991886,-23.752983,-49.217964,0.11101896,5.647078,-4.6470795,4.6470795,0.020954844,31.572674,0.9999985,-31.572628,1.0,0.8601141,0.0,-24.279808,-49.418594,0.8398192,-23.78341,-48.793324,0.16329268,0.0027092613220214843,867.9652180671692,15000
5.6437507,-4.643753,4.643753,0.019624216,33.617104,0.99999774,-33.617027,1.0,1.0239155,0.0,-27.357338,-58.052113,0.62862456,-0.63968706,32.77691,0.53684163,-26.95114,-57.592762,0.122468606,5.6513176,-4.6513176,4.6513176,0.02264998,33.249996,1.0,-33.249996,1.0,0.8191565,0.0,-26.582111,-57.600243,0.753379,-26.201544,-57.20158,0.11821744,0.0027089257240295412,881.5098550319672,20000
5.6450014,-4.6450014,4.6450014,0.02012373,34.523796,1.0,-34.523796,1.0,1.0085049,0.0,-28.254599,-62.38246,1.3253672,-1.3935971,43.37711,0.5889213,-27.818169,-62.046932,0.16485229,5.6401887,-4.6401887,4.6401887,0.018198585,34.817387,1.0,-34.817387,1.0,0.75130355,0.0,-27.027405,-61.7985,0.63790536,-26.646227,-61.471497,0.08803338,0.0028484979152679445,895.7523522377014,25000
5.6473904,-4.6473904,4.6473904,0.021079225,36.32357,1.0,-36.32357,1.0,0.84050924,0.0,-29.332178,-66.19437,0.6846021,-0.68174523,28.322365,0.49673456,-28.972902,-65.68165,0.119720176,5.6420274,-4.6420274,4.6420274,0.018933972,36.952656,1.0,-36.952656,1.0,0.94680107,0.0,-29.11332,-66.8306,0.42235696,-28.742044,-66.46751,0.30610338,0.00273852276802063,909.4449737071991,30000
5.643711,-4.643711,4.643711,0.019607414,36.908005,1.0,-36.908005,1.0,1.0804799,0.0,-29.602346,-69.011444,0.49076205,-0.55811405,28.072748,0.77901894,-29.221006,-68.709915,0.102398574,5.6420503,-4.642055,4.642055,0.018944908,37.411995,0.9999954,-37.411823,1.0,1.1038125,0.0,-28.956251,-67.58439,0.6480065,-28.563196,-67.091545,0.10765536,0.0027072314739227297,922.9811384677887,35000
5.6405525,-4.640553,4.640553,0.0183442,36.714188,0.9999996,-36.714172,1.0,0.77248,0.0,-29.822552,-69.070404,0.8045857,-0.61494946,36.790455,0.8337895,-29.454355,-68.63189,0.12035713,5.644664,-4.644664,4.644664,0.019988498,37.57368,1.0,-37.57368,1.0,0.9538548,0.0,-29.541409,-69.78297,1.1626371,-29.141973,-69.58157,0.13058573,0.002695435571670532,936.4583237171173,40000
5.6397386,-4.6397443,4.6397443,0.018020691,37.76109,0.99999446,-37.76088,1.0,0.74140984,0.0,-30.914028,-70.46443,0.43150753,-0.39826345,22.978613,0.70233756,-30.49758,-70.20963,0.17996356,5.638131,-4.638131,4.638131,0.017375438,38.21539,1.0,-38.21539,1.0,1.0346955,0.0,-30.286556,-69.10398,0.7862705,-29.876286,-69.15758,0.14871687,0.0026883707523345946,949.9001851081848,45000
5.6404295,-4.6404295,4.6404295,0.01829471,37.574112,1.0,-37.574112,1.0,0.7682898,0.0,-30.473682,-70.18909,0.43747684,-0.4210754,23.14847,0.43577552,-30.092598,-69.85374,0.13251872,5.645896,-4.645896,4.645896,0.020481274,37.64781,1.0,-37.64781,1.0,0.920458,0.0,-31.106022,-70.76067,0.5353168,-30.73683,-70.36225,0.12220575,0.0026991631507873536,963.3960084915161,50000
5.6425195,-4.6425195,4.6425195,0.019130718,39.300705,1.0,-39.300705,1.0,0.7648722,0.0,-32.172367,-71.14408,0.3814932,-0.399659,23.688797,0.7810842,-31.824293,-70.717,0.10962011,5.642605,-4.642605,4.642605,0.01916491,37.631153,1.0,-37.631153,1.0,0.8192216,0.0,-30.358093,-70.88338,0.64649343,-30.01088,-70.69094,0.13114423,0.002724586057662964,977.018946647644,55000
5.6414256,-4.6414256,4.6414256,0.018693108,38.68972,1.0,-38.68972,1.0,0.6590378,0.0,-30.674698,-73.87302,0.66507655,-0.4702719,25.38107,0.6692982,-30.276539,-73.61412,0.15208869,5.645814,-4.645814,4.645814,0.020448528,39.658318,1.0,-39.658318,1.0,0.7674889,0.0,-31.587864,-72.072395,0.70939875,-31.242374,-71.53766,0.12734151,0.002650489807128906,990.2714035511017,60000
5.6344976,-4.6344976,4.6344976,0.015922174,38.725193,0.99999994,-38.725193,1.0,0.90587497,0.0,-31.101532,-72.16479,0.3818193,-0.6760719,27.515278,0.8133751,-30.711464,-71.90082,0.1353465,5.647648,-4.6476517,4.6476517,0.021183753,39.192024,0.99999595,-39.191864,1.0,0.9726584,0.0,-31.9597,-71.976135,0.8197869,-31.56759,-71.82773,0.19810918,0.002638776922225952,1003.465295791626,65000
5.636567,-4.636568,4.636568,0.01675017,38.964867,0.9999993,-38.96484,1.0,0.69240135,0.0,-33.098763,-73.073555,0.7534954,-0.7724285,32.705605,0.67113054,-32.76485,-72.80168,0.10448231,5.6433816,-4.6433816,4.6433816,0.019475617,39.497284,1.0,-39.497284,1.0,0.7662318,0.0,-32.87291,-73.613434,0.4082141,-32.54147,-73.400665,0.20910971,0.0026337546825408935,1016.6340765953064,70000
5.6344476,-4.634454,4.634454,0.015904475,37.629444,0.9999937,-37.629208,1.0,0.8855123,0.0,-33.632786,-75.67019,0.6928656,-0.4752676,27.993484,0.39723408,-33.263313,-75.54954,0.08356478,5.6494255,-4.6494303,4.6494303,0.021895187,39.218113,0.99999505,-39.21792,1.0,0.9889418,0.0,-32.913704,-74.54666,0.43184948,-32.546043,-74.43956,0.11297678,0.00263109712600708,1029.7895698547363,75000
5.6383114,-4.6383114,4.6383114,0.017447531,38.62627,0.99999994,-38.62627,1.0,0.8244189,0.0,-33.04553,-75.099174,0.49619275,-0.52119,25.960419,0.51632273,-32.67763,-74.82879,0.14728385,5.6450744,-4.6450744,4.6450744,0.0201528,38.69872,0.99999994,-38.69872,1.0,0.97619605,0.0,-32.07632,-76.273026,0.7137737,-31.712414,-76.08142,0.13485777,0.0026312887668609617,1042.946021080017,80000
5.631809,-4.63181,4.63181,0.014846894,38.454918,0.9999989,-38.454876,1.0,0.79424953,0.0,-33.18606,-77.95913,0.5783614,-0.5608193,25.673422,0.5577697,-32.873436,-77.66939,0.09693441,5.6439,-4.643903,4.643903,0.019684225,39.88607,0.9999974,-39.885963,1.0,0.682027,0.0,-32.34227,-77.20121,0.532361,-32.025543,-77.02956,0.1060866,0.002663990068435669,1056.26597905159,85000
5.6388474,-4.6388474,4.6388474,0.01766193,39.159824,0.99999994,-39.159824,1.0,0.6105935,0.0,-35.25529,-78.52284,0.5473158,-0.55959886,21.604183,0.78448296,-34.92524,-78.38134,0.09377754,5.6441174,-4.6441174,4.6441174,0.019769937,40.327156,1.0,-40.327156,1.0,0.74057376,0.0,-34.32329,-78.47286,0.3708452,-33.94612,-78.25814,0.16768749,0.0026359360218048094,1069.4456670284271,90000
5.63703,-4.63703,4.63703,0.016935052,40.13171,1.0,-40.13171,1.0,1.0712656,0.0,-34.046555,-79.52722,0.9653368,-1.4900867,40.67337,0.9612187,-33.690453,-79.331955,0.12481093,5.6444826,-4.6444826,4.6444826,0.019916166,39.552807,1.0,-39.552807,1.0,1.1696665,0.0,-33.753777,-79.744995,0.514904,-33.398468,-79.50886,0.18137519,0.0026764590263366698,1082.8279707431793,95000
5.634055,-4.634055,4.634055,0.015745012,40.08931,1.0,-40.08931,1.0,0.664736,0.0,-34.38689,-81.1216,0.4398377,-0.593132,21.161837,0.42759126,-34.11992,-80.874664,0.1064083,5.6517525,-4.6517525,4.6517525,0.022823893,39.546574,1.0,-39.546574,1.0,0.75877523,0.0,-34.180313,-81.52973,0.49852917,-33.848232,-81.36166,0.12788038,0.002664597749710083,1096.1509675979614,100000
5.6344066,-4.634408,4.634408,0.015886152,39.857468,0.9999987,-39.857414,1.0,0.683463,0.0,-33.517254,-82.46531,0.52556,-0.49701765,19.21586,0.45004058,-33.209915,-82.2665,0.066875026,5.643966,-4.643966,4.643966,0.019709427,39.593803,1.0,-39.593803,1.0,0.6521057,0.0,-34.54827,-82.32158,0.46436512,-34.223763,-82.333725,0.08770005,0.16948931918144225,1943.5975711345673,105000
5.632226,-4.6322346,4.6322346,0.015016853,39.246933,0.9999915,-39.246597,1.0,0.86568844,0.0,-34.33117,-82.97152,0.9453167,-0.9775716,30.27972,1.0294602,-33.97878,-82.77349,0.1316466,5.662687,-4.662687,4.662687,0.027197558,39.904644,1.0,-39.904644,1.0,1.4353378,0.0,-34.439674,-82.581345,0.9915788,-34.087643,-82.461235,0.086738154,0.002699299430847168,1957.0940759181976,110000
5.632432,-4.632432,4.632432,0.01509586,40.311615,1.0,-40.311615,1.0,0.8919132,0.0,-34.252243,-83.75677,0.8971727,-0.5093771,27.160194,0.46422347,-33.96807,-83.523636,0.0929907,5.645345,-4.645345,4.645345,0.020260965,40.515106,1.0,-40.515106,1.0,0.7563393,0.0,-35.729218,-83.73012,0.5030203,-35.39338,-83.8543,0.11780865,0.002694504451751709,1970.5666062831879,115000
5.630125,-4.630125,4.630125,0.01417304,40.042114,1.0,-40.042114,1.0,0.83021975,0.0,-35.300312,-84.03949,1.1505759,-1.0173064,41.802208,0.36373538,-34.9492,-83.732956,0.16407579,5.6530933,-4.6530933,4.6530933,0.023360342,41.273804,1.0,-41.273804,1.0,1.065417,0.0,-34.92931,-84.92934,0.43423313,-34.647682,-84.68604,0.069731355,0.002723173379898071,1984.182481765747,120000
5.631419,-4.631419,4.631419,0.014690697,39.509865,1.0,-39.509865,1.0,0.8544749,0.0,-35.65492,-85.264534,0.4826046,-0.5485701,24.464363,0.53508484,-35.312378,-85.13222,0.16104215,5.651929,-4.651929,4.651929,0.022894612,39.982338,1.0,-39.982338,1.0,0.74907935,0.0,-34.509975,-85.709045,0.45923656,-34.218445,-85.503975,0.17778566,0.002691730546951294,1997.641142129898,125000
5.629316,-4.629316,4.629316,0.013849328,39.760895,1.0,-39.760895,1.0,0.6538938,0.0,-34.835182,-86.17533,0.47580376,-0.72940934,21.676668,0.60384196,-34.53561,-85.83273,0.10450017,5.6501846,-4.6501846,4.6501846,0.02219691,40.561596,0.99999994,-40.561596,1.0,0.8276499,0.0,-35.14315,-85.76543,1.5232975,-34.86009,-85.4685,0.09362392,0.0026478415012359618,2010.8803572654724,130000
5.6314726,-4.6314726,4.6314726,0.014712006,39.83197,1.0,-39.83197,1.0,0.7346823,0.0,-34.11908,-87.46424,0.52346617,-0.52462685,20.759317,0.47618484,-33.822113,-87.32878,0.1184962,5.6534038,-4.6534038,4.6534038,0.023484427,40.602474,0.99999994,-40.602474,1.0,0.7750027,0.0,-34.77535,-86.9773,0.48989028,-34.456757,-86.88906,0.15313233,0.002693460702896118,2024.3476684093475,135000
5.6297226,-4.6297226,4.6297226,0.0140119735,40.76001,1.0,-40.76001,1.0,0.7124851,0.0,-36.134445,-86.867165,0.83701366,-0.8461536,35.106354,0.53841174,-35.790825,-86.7086,0.15205473,5.655478,-4.655481,4.655481,0.024315301,40.23973,0.99999696,-40.23961,1.0,0.6114882,0.0,-35.096455,-87.39569,0.51351637,-34.76495,-87.299835,0.10348603,0.00267450213432312,2037.7201862335205,140000
