training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
91.42268,0.08716199,-4.667355,0.029065033,1.0,0.34848273,-0.6723478,9.699112,0.7695696,-15.757404,-25.43182,0.09015742,99.110245,0.10732396,-4.663759,0.027626727,1.0,0.60878396,-16.114508,-25.33926,0.13789132,0.1474580295562744,737.2901802062988,5000
144.45605,0.1373091,-4.655999,0.024522638,1.0,1.087545,-1.1796799,13.3065195,0.6926236,-23.772587,-43.77355,0.13177934,144.41238,0.14878133,-4.661442,0.026699623,1.0,0.5061754,-23.888103,-43.908863,0.20254204,0.002382515621185303,749.2027876377106,10000
169.17102,0.15614653,-4.651481,0.022715265,1.0,1.733811,-1.0502303,16.771511,0.5902135,-27.855476,-59.535175,0.24503139,177.43509,0.18144143,-4.653074,0.023352444,1.0,0.30005535,-28.012417,-58.712086,0.30844197,0.002388614797592163,761.1458938121796,15000
189.62766,0.18445922,-4.654726,0.024013495,1.0,1.2556646,-2.7333994,29.504885,0.5515945,-31.690397,-68.925705,0.36585248,187.33841,0.13496372,-4.6650286,0.02813431,1.0,0.62529856,-30.580635,-69.79236,0.31123498,0.0024670120239257813,773.4809875488281,20000
196.64154,0.10971694,-4.6538033,0.023644334,1.0,1.8474504,-1.2880977,21.21194,0.5572468,-33.027695,-75.72183,0.45769602,197.17314,0.19388062,-4.6502457,0.022221128,1.0,0.55480784,-31.97341,-75.19618,0.26777855,0.0023761114597320556,785.3615810871124,25000
195.2485,0.17065172,-4.654237,0.02381782,1.0,1.2800562,-1.949298,20.428553,0.6472207,-34.095295,-82.37331,0.37659812,202.9898,0.18850935,-4.651022,0.022531662,1.0,0.71399105,-34.164555,-80.56388,0.47854158,0.002395112180709839,797.3371744155884,30000
196.46155,0.18425858,-4.6562247,0.024612825,1.0,1.482247,-1.1403687,30.433704,0.7790612,-34.623642,-84.80742,0.43020985,201.72226,0.15231262,-4.6496162,0.021969557,1.0,0.5930332,-34.08693,-82.02547,0.26140884,0.0023822661399841307,809.24853515625,35000
193.69449,0.14979208,-4.6519194,0.0228908,1.0,1.411455,-0.48584276,16.663298,0.8219788,-35.00788,-87.17293,0.20402177,197.06863,0.15451506,-4.659557,0.025945723,1.0,0.5026525,-34.882545,-86.00139,0.3695015,0.0023519593715667724,821.0083668231964,40000
194.91339,0.16103667,-4.645918,0.020489952,1.0,1.0297621,-1.6861336,18.211815,0.7258477,-36.57756,-89.15238,0.33100498,203.15726,0.1613884,-4.648229,0.021414537,1.0,1.3168492,-35.301453,-87.62118,0.3442793,0.002440804719924927,833.2124216556549,45000
199.39026,0.17078683,-4.6475964,0.021161597,1.0,0.71010506,-0.9647778,19.928295,0.45552158,-35.740517,-90.3077,0.4277989,198.59644,0.1498809,-4.649954,0.022104466,1.0,0.4464102,-36.14235,-88.80853,0.2608888,0.0023742438316345215,845.0836687088013,50000
