training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
4.1401157,-6.929577,135.30746,228.9235,0.9672749,-10.332016,0.22852612,1.0,159.5134,1.0142225,-4.6528397,0.023258833,1.0,1.213779,-16.13743,-25.90957,0.35233676,213.75381,0.88939303,-10.3038025,0.22288342,1.0,156.21336,0.94856966,-4.66498,0.028114736,1.0,1.5275755,-17.459133,-25.89523,0.4289334,0.18704054765701295,935.202782869339,5000
6.0615144,-8.754336,119.868546,431.50616,1.2695227,-10.001705,0.162464,1.0,99.0282,0.75809723,-4.654115,0.02376902,1.0,0.033557143,-25.120209,-43.094604,0.48661566,435.1306,1.3399287,-10.017353,0.16559362,1.0,98.46408,0.7544987,-4.646451,0.020703437,1.0,0.031841256,-24.992373,-43.06526,0.55086535,0.003348824071884155,951.9469106197357,10000
5.3121605,-6.920063,135.01907,511.34924,1.6017369,-9.756874,0.113497786,1.0,125.18319,0.850778,-4.647743,0.021220436,1.0,0.3045795,-30.63717,-56.546204,1.0799701,502.84454,1.4303305,-9.80997,0.12411698,1.0,117.356964,0.81620777,-4.648773,0.021632275,1.0,0.32755297,-29.45454,-56.288548,1.1558573,0.0033494288444519045,968.6940631866455,15000
7.2312174,-6.4080386,222.33511,513.7803,1.5111187,-9.85753,0.13362893,1.0,120.5888,0.8133927,-4.6546106,0.023967016,1.0,0.40604475,-34.007385,-66.90285,1.7200413,577.3385,2.061379,-9.786774,0.11947773,1.0,122.03436,0.8421517,-4.645716,0.020409537,1.0,0.3131218,-34.922134,-66.76645,1.2349281,0.003365753173828125,985.5228369235992,20000
5.617529,-6.0360556,122.2696,566.84674,1.7726345,-9.713915,0.104905926,1.0,92.51906,0.7471117,-4.6438456,0.019661253,1.0,0.45986062,-36.454865,-75.11714,1.182146,567.5968,1.7239683,-9.720626,0.106248096,1.0,101.93967,0.7765221,-4.6431265,0.019373693,1.0,0.32092196,-36.35919,-75.17031,1.0593256,0.0033593945503234864,1002.3198182582855,25000
12.096329,-7.434015,165.68892,561.72864,1.5072715,-9.804668,0.12305681,1.0,108.78098,0.8026504,-4.643526,0.019533476,1.0,0.18591842,-37.664047,-81.480156,1.2710848,593.2357,1.8721805,-9.82699,0.12752108,1.0,115.263466,0.84535754,-4.636195,0.01660114,1.0,0.20360187,-37.113686,-81.713264,0.9069911,0.0033598092555999757,1019.11887383461,30000
3.7040024,-8.760316,142.9195,613.1422,1.9620143,-9.807385,0.12360018,1.0,131.02776,0.9095614,-4.639079,0.017754598,1.0,0.32740784,-39.378757,-86.570755,0.66938853,599.1106,2.0137935,-9.802576,0.122638285,1.0,125.3808,0.8906127,-4.6396575,0.017985895,1.0,0.24996267,-39.112022,-86.652466,0.73916876,0.0033505642890930176,1035.871704339981,35000
5.904889,-5.773613,241.33563,609.7941,1.9550503,-9.801389,0.12240066,1.0,103.5837,0.79181254,-4.636838,0.01685818,1.0,0.2161124,-39.520218,-89.76581,1.508131,614.6194,1.9650055,-9.800713,0.12226552,1.0,108.47941,0.8065879,-4.643609,0.01956675,1.0,0.18316212,-39.555717,-89.77641,1.0674047,0.0033695597648620607,1052.7195110321045,40000
4.7165356,-5.0762997,141.8426,599.05145,1.9874436,-9.696698,0.10146256,1.0,123.39885,0.837789,-4.6461105,0.02056715,1.0,0.2548902,-42.548607,-92.70379,1.1196802,618.98895,2.0971832,-9.798196,0.12176204,1.0,131.8375,0.9286604,-4.645341,0.020259386,1.0,0.35247374,-41.091267,-92.59409,1.6840224,0.0033578496932983397,1069.5087678432465,45000
7.128975,-6.410293,162.26257,618.7451,2.011104,-9.722397,0.10660229,1.0,109.859245,0.81894135,-4.6447415,0.020019641,1.0,0.23826462,-43.465958,-94.40367,1.9587023,620.2596,2.035106,-9.713052,0.1047334,1.0,108.462234,0.80728567,-4.636554,0.016744282,1.0,0.14476007,-41.161148,-94.706245,0.6292509,0.0033496341705322266,1086.2569479942322,50000
