training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
2.393372,-4.6445737,1.393372,0.019952372,116.60649,1.0,-116.60649,1.0,1.9325786,29.986862,-33.99216,428.4558,78.096954,1276.1566,639.1538,16.670341,7.674547,46.10056,1.9235787,0.03765346,4.4582534,-33.99216,78.31987,112.31203,2.3953013,-4.651005,1.3953013,0.02252463,113.75333,1.0,-113.75333,1.0,2.0470896,79.910065,1229.0596,630.4977,17.310595,7.014098,36.581894,2.0360992,0.037831124,4.459338,-31.055267,80.13303,111.1883,0.16256958951950073,812.8479688167572,5000
2.3918993,-4.639664,1.3918993,0.017988598,96.69307,1.0,-96.69307,1.0,1.5883913,11.824045,-47.30329,343.79193,85.52666,1325.6649,629.4189,25.539135,3.3025115,23.34025,1.5949001,0.018409235,14.54362,-47.30329,86.25384,133.55713,2.3916645,-4.638881,1.3916644,0.01767545,96.27998,1.0,-96.27998,1.0,1.6319422,96.86097,1293.8599,602.4558,7.5623813,3.0595598,22.213776,1.6413286,0.007140734,14.546605,-43.778877,97.58831,141.36719,0.0060578952312469484,843.1374533176422,10000
2.3926206,-4.642068,1.3926206,0.018950237,65.60071,1.0,-65.60071,1.0,1.2744188,56.689507,-94.939644,871.561,149.4193,1055.996,435.9627,8.505283,2.1685176,19.738178,1.2840636,0.0023965444,44.814186,-94.939644,151.66,246.59964,2.3931298,-4.6437654,1.3931298,0.01962914,68.752655,1.0,-68.752655,1.0,1.3137017,159.64133,999.83246,416.38428,5.122446,3.0080569,32.870846,1.263912,0.019065835,44.82402,-132.59201,161.88254,294.47455,0.006063020515441895,873.4525632858276,15000
2.392416,-4.641386,1.392416,0.018677462,45.370155,1.0,-45.370155,1.0,0.9468639,51.330257,-77.34197,1018.26074,219.56973,885.86285,312.04016,3.1296427,0.5687683,12.182512,0.93382454,0.009079397,149.08769,-77.34197,227.02411,304.3661,2.3928003,-4.642668,1.3928005,0.019190233,47.388874,1.0,-47.388874,1.0,1.009677,214.87332,761.99036,317.02698,3.6357288,1.3950635,26.398457,0.97954434,0.025901392,149.12402,-200.58128,222.32954,422.91083,0.006060382795333863,903.7544856071472,20000
2.3918898,-4.639633,1.3918898,0.01797611,33.354267,1.0,-33.354267,1.0,0.72289467,43.61902,-56.795364,1845.1748,281.2883,595.55115,230.46745,3.0753703,0.18446371,7.790805,0.6985943,0.01950519,422.38434,-56.795364,302.40753,359.20288,2.3909278,-4.6364255,1.3909277,0.01669317,35.480434,1.0,-35.480434,1.0,0.74000514,288.14783,573.7211,223.00705,2.7055087,0.16879144,4.8604093,0.73203194,0.024876634,422.44778,-50.18318,309.2702,359.4534,0.006060640382766724,934.0576958656311,25000
2.39149,-4.6383,1.3914901,0.017443076,28.777245,0.99999994,-28.777245,1.0,0.55947465,81.19812,-86.98717,971.50745,319.67798,483.45605,186.75098,4.4495797,0.044781685,4.6313305,0.5914377,0.01048384,753.24866,3.9306893,357.34042,353.40973,2.3921638,-4.6405463,1.392164,0.018341534,30.878445,0.9999999,-30.878445,1.0,0.61123496,325.00238,435.4297,181.1056,4.887764,0.37463272,16.147808,0.63668156,0.005396941,753.2699,-244.53604,362.66586,607.2019,0.0060637593269348145,964.376499414444,30000
2.390359,-4.6345296,1.3903589,0.015934823,27.737078,0.99999994,-27.737078,1.0,0.56624645,27.796244,-27.630102,932.5158,316.17596,498.8902,190.56314,2.745542,0.04330203,4.217361,0.5927074,0.012191923,853.44037,5.716319,358.84796,353.13165,2.3927884,-4.6426277,1.3927884,0.019174209,30.830732,1.0,-30.830732,1.0,0.6529466,324.20544,476.11252,181.89609,5.5691447,0.21714976,9.701082,0.66991854,0.0035724747,853.3866,-142.64337,366.87476,509.51813,0.006061974048614502,994.6863765716553,35000
2.3911338,-4.6371126,1.3911338,0.01696796,29.994354,0.99999994,-29.994354,1.0,0.55684114,42.038273,-52.916218,711.7837,302.50537,531.89966,205.8568,5.1767497,0.025458,3.0105793,0.60361844,0.017251566,867.2857,21.284925,345.86963,324.58472,2.3926132,-4.642044,1.3926133,0.018940577,30.67163,0.99999994,-30.67163,1.0,0.6603499,302.92273,527.93524,205.13803,1.286152,0.601215,16.321848,0.7118869,0.005761704,867.26215,-478.0479,346.28583,824.33374,0.006061526966094971,1024.9940185546875,40000
2.39073,-4.635766,1.3907299,0.016429523,31.132973,0.99999994,-31.132973,1.0,0.5897027,66.05438,-65.096245,1129.973,302.93854,549.6218,205.95859,10.981793,0.041579038,3.6970792,0.625535,0.016050106,876.6558,7.382286,346.77133,339.38904,2.3933709,-4.6445694,1.3933709,0.019950736,32.8842,1.0,-32.8842,1.0,0.70386577,301.8127,537.68036,206.6966,2.0528035,0.7073532,21.03721,0.7120056,0.017772136,876.65454,-576.2716,345.6455,921.9171,0.006059725427627564,1055.2926535606384,45000
2.3910089,-4.636696,1.3910089,0.016801441,31.498934,1.0,-31.498934,1.0,0.6031452,171.95079,-123.48231,1699.2252,287.78522,597.958,223.19955,7.393751,0.050829325,4.767212,0.644356,0.0148865525,880.1721,-0.729948,331.79382,332.52377,2.3931289,-4.643763,1.3931289,0.019628106,32.911385,1.0,-32.911385,1.0,0.69690657,296.49802,563.42426,213.26901,7.0516157,0.26024544,9.221594,0.7315679,0.010423756,880.1209,-185.04141,340.50406,525.5455,0.006061474704742432,1085.6000363826752,50000
2.3893592,-4.631197,1.3893592,0.014601973,33.234276,1.0,-33.234276,1.0,0.5998859,39.026234,-54.64897,828.95197,280.51163,712.3675,231.67935,16.180965,0.03693041,4.457937,0.65552396,0.008060443,890.124,11.633558,325.01782,313.38428,2.3945239,-4.6484127,1.3945239,0.021487994,34.49974,1.0,-34.49974,1.0,0.7765205,286.04376,587.11536,225.26877,10.703055,1.4841193,36.872032,0.79202366,0.008907072,890.102,-1276.5125,330.54883,1607.0613,0.006061410617828369,1115.9070966243744,55000
2.3904576,-4.634858,1.3904575,0.0160662,32.81572,1.0,-32.81572,1.0,0.621469,76.867805,-76.26023,1192.751,279.47565,624.86426,232.3844,2.4842021,0.035623536,3.39199,0.6593477,0.014928701,892.3973,12.829518,324.09552,311.266,2.391786,-4.6392865,1.391786,0.017837515,34.24794,1.0,-34.24794,1.0,0.6989211,288.64185,596.93475,223.11623,3.2837396,0.23991647,8.357529,0.7498543,0.015073877,892.5472,-169.50941,333.26923,502.77863,0.0060639163494110105,1146.2266857624054,60000
2.3891745,-4.6305814,1.3891745,0.014355555,32.2412,1.0,-32.2412,1.0,0.5824195,56.354538,-54.02505,1338.1641,284.09338,637.4125,227.99327,7.3200765,0.042478725,4.680432,0.6247622,0.006262799,894.24945,6.7258964,328.80585,322.07996,2.3917098,-4.639033,1.3917099,0.017736124,34.708786,0.99999994,-34.708786,1.0,0.7537285,296.32013,601.72595,213.69217,7.406609,0.8112323,16.773643,0.7830246,0.014149821,894.2972,-680.76794,341.03497,1021.8029,0.006060445737838745,1176.5289225578308,65000
2.3896422,-4.6321406,1.3896422,0.01497927,35.833786,1.0,-35.833786,1.0,0.6374308,72.624016,-59.963676,1285.7693,263.90137,710.544,252.33284,8.300396,0.05911631,4.437665,0.67976177,0.022092631,899.3519,-8.198771,308.869,317.06775,2.393323,-4.6444097,1.393323,0.01988676,39.986534,1.0,-39.986534,1.0,0.81264126,268.69244,627.17755,246.34375,2.2695463,0.9358,18.262577,0.8715274,0.0033177335,899.3386,-796.63416,313.6593,1110.2935,0.006060418748855591,1206.8310239315033,70000
2.3886409,-4.6288033,1.3886409,0.013644183,37.420097,1.0,-37.420097,1.0,0.5967968,22.206995,-36.77031,783.8561,255.1241,685.30817,262.80945,3.8556924,0.03191289,3.1307745,0.6555567,0.0011603291,888.6881,16.073801,299.5585,283.4847,2.3935049,-4.6450157,1.3935049,0.020129288,39.90178,1.0,-39.90178,1.0,0.79149526,260.56323,666.4584,257.23145,5.5307145,1.0382669,22.743423,0.84677017,0.0137443505,888.69824,-878.27106,304.99823,1183.2693,0.006061048364639283,1237.1362752914429,75000
2.3897824,-4.6326075,1.3897823,0.015165997,37.126736,1.0,-37.126736,1.0,0.61205995,47.633774,-32.763737,892.6438,247.08719,706.62317,274.14584,8.066217,0.041677117,3.2425313,0.6713217,0.012411346,882.1192,7.3417754,291.19315,283.85138,2.3930066,-4.6433554,1.3930066,0.019465039,41.186264,1.0,-41.186264,1.0,0.71338284,253.1737,728.4929,266.76025,4.7450905,0.2867916,8.946218,0.8196545,0.017651577,882.0978,-208.87334,297.27856,506.15192,0.006059004497528076,1267.4313051700592,80000
2.389807,-4.63269,1.389807,0.015198888,36.767555,1.0,-36.767555,1.0,0.63710433,86.07157,-54.1243,1650.1147,241.35815,696.443,280.20068,3.7621293,0.055436566,3.41594,0.69922096,0.01636552,884.10175,-4.806477,285.56323,290.36972,2.3979268,-4.6597557,1.3979267,0.026025105,41.548035,1.0,-41.548035,1.0,0.7927176,250.53609,674.23145,269.1006,7.3071976,0.80329776,18.737215,0.8861015,0.028200673,884.11945,-666.0052,294.74207,960.74725,0.00605996732711792,1297.731150150299,85000
2.388545,-4.628484,1.3885452,0.01351648,38.76581,0.99999994,-38.76581,1.0,0.6298876,48.62357,-54.10648,1103.9303,228.43979,812.44653,299.16113,13.612564,0.048070814,3.2753682,0.70258176,0.0060741995,881.7731,1.7011045,272.52844,270.82733,2.3948524,-4.6495075,1.3948524,0.021926112,43.71241,1.0,-43.71241,1.0,0.7761933,240.84207,787.7296,282.763,3.6418488,0.71202743,16.252972,0.89496124,0.022489732,881.7571,-583.7474,284.92987,868.67725,0.006061404848098755,1328.0381824970245,90000
2.389077,-4.6302567,1.389077,0.01422554,39.292652,1.0,-39.292652,1.0,0.6098913,32.241,-37.588303,1079.8236,221.2507,796.27997,309.74448,21.996065,0.043139044,2.9220488,0.678084,0.014388594,875.2169,6.004825,265.01154,259.0067,2.397194,-4.657313,1.3971939,0.02504809,45.247814,1.0,-45.247814,1.0,0.83220494,237.09186,758.182,287.4242,1.8621327,1.200243,31.017454,0.90428805,0.031312376,875.1631,-1006.65027,280.84998,1287.5002,0.0060600330352783205,1358.3383553028107,95000
2.3888946,-4.6296487,1.3888946,0.013982387,40.41899,1.0,-40.41899,1.0,0.6106149,69.81113,-79.94371,1248.6932,236.46938,809.8541,288.7657,4.749988,0.050835837,2.8474617,0.70762455,0.010230386,865.9906,-0.72382605,279.76892,280.49274,2.396696,-4.655654,1.3966961,0.024384499,42.250473,1.0,-42.250473,1.0,0.79674286,239.96144,818.85077,284.25446,0.983857,0.5344475,10.96094,0.9033807,0.026381701,866.1385,-419.5986,283.2684,702.867,0.006061021137237549,1388.6434683799744,100000
2.3883772,-4.627924,1.3883771,0.013292384,40.607132,1.0,-40.607132,1.0,0.6795471,63.78137,-52.260864,1324.3672,215.08072,862.4354,317.07996,11.060543,0.056922004,3.4433732,0.7397016,0.021613289,865.286,-5.9895124,258.34503,264.33453,2.3943396,-4.6477985,1.3943396,0.021242188,48.258358,1.0,-48.258358,1.0,0.887459,224.091,807.7152,307.13776,6.701158,0.92831403,16.551216,0.9554077,0.018454203,865.2101,-759.92615,267.35144,1027.2776,0.15616658153533935,2169.4763836860657,105000
2.3884733,-4.628244,1.3884733,0.0134205315,41.7863,1.0,-41.7863,1.0,0.72337985,105.18447,-79.91012,1270.5802,211.07578,852.9166,325.10892,7.061922,0.06968675,4.1044626,0.7396714,0.041326966,850.5368,-16.744303,253.60262,270.34692,2.397326,-4.6577525,1.3973259,0.025224049,47.35305,1.0,-47.35305,1.0,0.95385826,223.6764,808.0264,308.5048,5.307409,2.284645,35.707596,0.996703,0.014236744,850.6131,-1900.8184,266.20703,2167.0254,0.006062414741516114,2199.7884645462036,110000
2.3888764,-4.629588,1.3888764,0.013958263,36.172054,1.0,-36.172054,1.0,0.6055081,41.538494,-44.094116,1245.7227,245.27863,753.71875,277.06967,17.641722,0.06548035,2.6868527,0.734256,0.02033446,877.0363,-13.57683,289.13043,302.70728,2.3975422,-4.6584735,1.3975422,0.02551241,39.854847,1.0,-39.854847,1.0,0.83696634,259.17404,831.0521,260.7638,5.1063633,1.6147574,33.233852,0.9782697,0.024104012,877.4207,-1372.9506,303.04517,1675.9957,0.006062785530090332,2230.10240650177,115000
2.3890116,-4.6300383,1.3890116,0.014138351,41.58183,1.0,-41.58183,1.0,0.59001017,70.775116,-116.92415,1439.2085,216.61926,970.7136,316.6873,5.9132557,0.06888266,3.8473034,0.72619355,0.041483875,845.67505,-15.968593,258.903,274.8716,2.3958564,-4.652855,1.3958565,0.023264943,50.630127,1.0,-50.630127,1.0,0.8013561,222.52654,789.08295,307.15314,12.0093155,1.4335573,25.576443,0.996596,0.042979524,845.7049,-1170.0812,264.81177,1434.893,0.006061064195632935,2260.407736301422,120000
2.3887808,-4.629269,1.3887808,0.01383057,38.876503,1.0,-38.876503,1.0,0.56387085,46.183384,-80.15958,1164.9478,220.96216,878.281,310.496,4.7267766,0.039627787,3.3766162,0.6909112,0.028295858,851.98553,8.836976,263.56143,254.72446,2.394786,-4.649286,1.3947859,0.021837344,46.151268,1.0,-46.151268,1.0,0.7433367,232.24731,801.3783,294.59808,13.17586,0.81742024,15.344243,0.94605744,0.02057054,852.00464,-653.8456,274.8476,928.6932,0.006058942747116089,2290.7024579048157,125000
