training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.05018,-20.501799,2.05018,0.11467524,7.115122,0.9999999,-7.115122,1.0,0.99902344,0.040039062,0.0064264266,-8.750738,-8.753808,-5.6094255,0.67356443,0.013229664,5.29283e-06,0.008313765,-0.008607388,0.39676327,3.0520787,-20.520788,2.0520787,0.11648383,7.115037,0.9999999,-7.115037,1.0,0.99901867,0.03515625,0.006472324,-8.894987,-8.89826,-5.5471377,1.0336354,0.010331748,5.226808e-06,0.3691978373527527,1845.9892089366913,5000
3.0343132,-20.35073,2.035073,0.10028769,6.5648346,0.99924016,-6.559847,1.0,0.9990244,0.11230469,0.0058496627,-9.158042,-9.16213,-4.975965,1.8393186,0.0437072,5.106542e-06,0.00807131,-0.0077565634,0.37420255,3.0427957,-20.430862,2.043086,0.10791932,6.869708,0.9997097,-6.8677154,1.0,0.9990139,0.0703125,0.006153848,-9.121925,-9.125741,-5.2188025,3.4660256,0.030504914,6.931819e-07,0.0031974170684814455,1861.976301908493,10000
3.0303547,-20.320835,2.0320835,0.09744061,6.797581,0.9982712,-6.7858305,1.0,0.9990282,0.15234375,0.005586967,-9.3814335,-9.385959,-4.7531857,4.8793254,0.060148,2.893863e-06,0.008731937,-0.008450532,0.37507185,3.0349698,-20.35318,2.035318,0.10052102,6.8680754,0.99965185,-6.865685,1.0,0.9990158,0.09765625,0.005987938,-9.32925,-9.333352,-5.1321754,3.4229543,0.033854134,5.931723e-07,0.003244319772720337,1878.197909116745,15000
3.0250108,-20.280811,2.0280812,0.0936289,6.471469,0.9969296,-6.4515996,1.0,0.99902916,0.18261719,0.00542204,-9.424736,-9.429506,-4.5441203,6.0918984,0.08007018,2.5426561e-06,0.0077209175,-0.010549608,0.3642255,3.0330493,-20.341206,2.0341206,0.09938071,7.003014,0.9989287,-6.995513,1.0,0.99901676,0.12109375,0.005826778,-9.312584,-9.316945,-4.8525205,4.684658,0.05395209,3.3047675e-07,0.0032436126708984374,1894.4159820079803,20000
3.0198746,-20.251673,2.0251672,0.09085367,6.568513,0.9947073,-6.5337486,1.0,0.9990339,0.18554688,0.005360731,-9.519575,-9.524525,-4.456732,9.692998,0.12919655,6.4292126e-06,0.010953661,-0.00767919,0.36268947,3.0278723,-20.29097,2.029097,0.09459619,6.945732,0.99877524,-6.937227,1.0,0.9989691,0.13378906,0.0059147053,-9.521175,-9.525717,-4.8748684,40.138657,0.10042095,1.1468532e-06,0.0032786952018737793,1910.8094651699066,25000
3.0159645,-20.233234,2.0233235,0.08909759,6.520758,0.9926409,-6.4727726,1.0,0.9990387,0.21875,0.005133019,-9.720644,-9.72604,-4.201606,20.813738,0.1841004,1.8007227e-06,0.008635867,-0.011386804,0.343924,3.0269156,-20.29618,2.029618,0.09509251,7.0290337,0.99729747,-7.0100384,1.0,0.998971,0.15332031,0.0059234137,-9.562204,-9.566888,-4.7695875,44.883575,0.16479914,8.937913e-07,0.0034023749351501467,1927.821349620819,30000
3.017513,-20.205244,2.0205243,0.08643179,6.547965,0.9969887,-6.528248,1.0,0.9990454,0.22460938,0.005094016,-9.764929,-9.770359,-4.209626,33.96645,0.20621356,1.9506044e-06,0.011048233,-0.0111939125,0.368838,3.0250525,-20.280357,2.0280356,0.09358544,6.894772,0.9970169,-6.874205,1.0,0.9989805,0.16113281,0.0058645178,-9.629227,-9.633906,-4.843068,37.89736,0.13717192,1.3614531e-06,0.00331865177154541,1944.4146156311035,35000
3.0148711,-20.208796,2.0208795,0.08677021,6.4714503,0.9939917,-6.4325686,1.0,0.9990406,0.23535156,0.0050413683,-9.811238,-9.81686,-4.059579,101.569786,0.3268721,1.3514896e-06,0.01886563,-0.011673501,0.34683654,3.0241258,-20.26357,2.0263567,0.09198679,7.0635176,0.99776906,-7.04776,1.0,0.99896526,0.15136719,0.005928059,-9.634781,-9.639496,-4.81112,23.450527,0.1333036,1.2773918e-06,0.0030607667446136476,1959.718457698822,40000
3.0151944,-20.208565,2.0208566,0.08674831,6.517788,0.99433786,-6.4808846,1.0,0.9990406,0.23339844,0.00497206,-9.893684,-9.899472,-3.972178,25.55268,0.23312834,2.8329748e-06,0.010125719,-0.009805851,0.3546461,3.0249302,-20.271559,2.0271559,0.09274763,6.9395704,0.9977743,-6.924126,1.0,0.99900246,0.15429688,0.005849594,-9.697468,-9.702247,-4.8091207,142.95325,0.20602451,1.1097262e-06,0.0030306341648101806,1974.8716351985931,45000
3.012606,-20.183382,2.0183382,0.08434987,6.4257374,0.99426776,-6.3889046,1.0,0.999053,0.27441406,0.004837364,-10.134588,-10.140714,-3.868556,41.319153,0.2702519,1.644638e-06,0.01134454,-0.013494783,0.35964832,3.0216048,-20.245708,2.024571,0.09028578,6.9527483,0.99703383,-6.9321265,1.0,0.9989567,0.16503906,0.0057759816,-9.7939625,-9.799034,-4.60495,93.74732,0.23738211,6.1521484e-07,0.0030275059700012206,1990.0091722011566,50000
3.0112371,-20.171947,2.0171947,0.08326084,6.4565544,0.99404234,-6.418089,1.0,0.99905396,0.26953125,0.004848282,-10.155476,-10.161617,-3.8714442,32.359596,0.33040825,1.05409e-06,0.008504565,-0.014801151,0.35054073,3.024234,-20.244884,2.0244884,0.090207234,7.094953,0.99974567,-7.0931497,1.0,0.99901867,0.18359375,0.0058013657,-9.813587,-9.818474,-4.8146873,48.855858,0.12763487,7.236141e-07,0.0030324742317199707,2005.1715507507324,55000
3.016257,-20.19374,2.0193741,0.085336335,6.589392,0.99688286,-6.568853,1.0,0.99905777,0.27539062,0.00486668,-10.135753,-10.141832,-3.9161706,36.38195,0.25913036,1.969296e-06,0.0111428015,-0.010224252,0.3654668,3.0212271,-20.236269,2.023627,0.08938672,6.886894,0.99760014,-6.870367,1.0,0.9989853,0.15917969,0.0058304616,-9.834278,-9.839274,-4.724062,10.104228,0.12687968,1.8279943e-07,0.00303220329284668,2020.3325741291046,60000
3.0126479,-20.179409,2.017941,0.083971426,6.6157875,0.99470687,-6.58077,1.0,0.999053,0.26367188,0.00481202,-10.22509,-10.231313,-3.858885,71.337944,0.32878393,1.3679996e-06,0.0128415,-0.0131685,0.37636876,3.0210001,-20.213535,2.0213535,0.08722164,7.425314,0.99964666,-7.422691,1.0,0.9989948,0.1484375,0.005918279,-9.939207,-9.944098,-4.9345965,26.126514,0.11581604,7.363986e-07,0.003170773458480835,2036.1864504814148,65000
3.011006,-20.169367,2.0169368,0.083015,6.3891973,0.9940693,-6.351306,1.0,0.9990549,0.2783203,0.004852891,-10.232766,-10.239008,-3.8479671,56.878067,0.39106387,4.039794e-07,0.012676398,-0.011370035,0.3525021,3.0156622,-20.192585,2.0192585,0.085226275,7.2011275,0.9964037,-7.175231,1.0,0.9989481,0.1484375,0.0059260456,-9.979385,-9.9845295,-4.7154694,11.443238,0.13943368,1.33194e-07,0.0033346869468688966,2052.859892845154,70000
3.0157037,-20.187119,2.018712,0.084705725,6.530265,0.99699175,-6.510621,1.0,0.9990549,0.29589844,0.0047492273,-10.254555,-10.260926,-3.734939,51.979137,0.3273502,2.043974e-06,0.012432242,-0.012368351,0.34419864,3.023261,-20.242804,2.0242805,0.09000902,7.102464,0.9989804,-7.0952234,1.0,0.99900913,0.15527344,0.0058200853,-9.929859,-9.934851,-4.824239,28.038027,0.121915445,8.220551e-07,0.0031809593200683595,2068.7646973133087,75000
3.0117168,-20.178562,2.0178561,0.083890885,6.5202384,0.99386084,-6.4802103,1.0,0.99906635,0.30273438,0.004633607,-10.32042,-10.327004,-3.5851955,248.3774,0.51157117,5.3450254e-08,0.011241383,-0.013730657,0.36470807,3.0214634,-20.215956,2.0215957,0.08745219,7.3895216,0.9998676,-7.388544,1.0,0.9990101,0.16210938,0.0057047894,-9.933736,-9.938931,-4.6179357,60.10604,0.13848826,2.8493918e-08,0.0030860312461853025,2084.1948611736298,80000
3.0080674,-20.156944,2.0156946,0.08183203,6.469902,0.9923727,-6.420555,1.0,0.99905777,0.2939453,0.004696528,-10.435568,-10.442172,-3.6802125,49.37662,0.40763137,2.868945e-06,0.010808562,-0.01619719,0.37039605,3.0189652,-20.202993,2.0202994,0.0862176,7.4324074,0.9986658,-7.422492,1.0,0.99901867,0.15136719,0.005896114,-10.053932,-10.058994,-4.8742385,14.371454,0.13716331,8.6344954e-08,0.0030727465152740477,2099.558602809906,85000
3.0096712,-20.168915,2.0168915,0.08297182,6.3734546,0.99277973,-6.3274374,1.0,0.9990597,0.31445312,0.004584795,-10.508446,-10.5152,-3.6003668,57.491585,0.4579569,1.3469031e-07,0.013357429,-0.009965465,0.38028106,3.0196352,-20.20245,2.020245,0.08616582,7.2371297,0.9993901,-7.232717,1.0,0.998971,0.16210938,0.0057821395,-10.035419,-10.040709,-4.6257715,17.661877,0.1284142,7.812532e-07,0.003109881544113159,2115.108019590378,90000
3.0105925,-20.159418,2.0159419,0.08206752,6.4752836,0.9946505,-6.4406447,1.0,0.99906063,0.3154297,0.0046164575,-10.562162,-10.568903,-3.6667006,96.88086,0.42419428,9.2971686e-07,0.01132547,-0.009596604,0.3772322,3.017221,-20.176823,2.017682,0.08372505,7.1926975,0.99953884,-7.1893816,1.0,0.9990158,0.16308594,0.0058803274,-10.021875,-10.026905,-4.8768415,32.085213,0.12067833,2.549298e-07,0.0030955655097961426,2130.585857629776,95000
3.0064068,-20.145107,2.0145109,0.08070468,6.5673647,0.99189603,-6.514144,1.0,0.9990673,0.2939453,0.0047411104,-10.517881,-10.524508,-3.7387547,46.858803,0.41460645,6.293635e-07,0.013579877,-0.009643214,0.3607117,3.0185213,-20.192383,2.0192382,0.085207045,7.1655664,0.99928313,-7.160431,1.0,0.9989586,0.14746094,0.005999176,-10.09735,-10.1023855,-4.945636,16.904123,0.11763172,3.8222333e-07,0.0030978768825531008,2146.0752515792847,100000
3.0051258,-20.108303,2.0108304,0.07719939,6.373534,0.9942954,-6.337177,1.0,0.9990692,0.31640625,0.004624928,-10.550681,-10.557467,-3.6082091,73.49234,0.48133048,1.40522e-09,0.0115247015,-0.011482703,0.36892635,3.017643,-20.194546,2.0194545,0.08541297,7.3023305,0.9981884,-7.2891026,1.0,0.9989805,0.1640625,0.005923289,-10.060162,-10.065306,-4.7982693,45.75187,0.15197685,7.591888e-08,0.29084661607742307,3600.3083395957947,105000
3.008178,-20.156475,2.0156476,0.08178732,6.403777,0.99253035,-6.3559446,1.0,0.99906635,0.2998047,0.004510181,-10.571584,-10.578488,-3.507948,95.83581,0.48345178,4.838977e-07,0.016295688,-0.011664628,0.3658864,3.0200605,-20.212776,2.0212777,0.08714923,7.502616,0.9987828,-7.4934845,1.0,0.9990072,0.15820312,0.005847812,-10.082603,-10.087772,-4.793845,15.824631,0.13911077,1.8561683e-07,0.0030395206928253175,3615.505950689316,110000
3.0030503,-20.135954,2.0135953,0.079832844,6.4513664,0.9894549,-6.383337,1.0,0.99907494,0.30664062,0.0045835087,-10.625761,-10.632662,-3.565588,138.28867,0.7310002,9.161303e-08,0.010622338,-0.01537496,0.3700084,3.0154095,-20.163858,2.016386,0.08249041,7.5527334,0.9990235,-7.545359,1.0,0.99901104,0.15917969,0.005921714,-10.1574745,-10.162612,-4.9026785,71.87984,0.21756585,1.4284154e-07,0.0030512361526489258,3630.7621400356293,115000
3.0039015,-20.134077,2.0134077,0.079654045,6.468046,0.99049366,-6.40656,1.0,0.99908066,0.3125,0.0045226053,-10.622416,-10.629396,-3.48033,109.20088,0.5414719,4.2822373e-07,0.015154024,-0.011450762,0.37354302,3.01714,-20.178127,2.0178127,0.083849475,7.236288,0.9993271,-7.2314196,1.0,0.99901295,0.17675781,0.0057825507,-10.14761,-10.152905,-4.7304626,12.512402,0.13314436,1.431309e-07,0.0030342458248138427,3645.9333770275116,120000
3.003707,-20.143377,2.0143375,0.08053983,6.5941033,0.9893695,-6.5240054,1.0,0.9990692,0.31835938,0.004592842,-10.631022,-10.6379595,-3.5348368,66.66864,0.57901686,3.137299e-07,0.010595048,-0.014958583,0.36381084,3.019665,-20.198856,2.0198855,0.08582363,7.5331287,0.9997794,-7.531468,1.0,0.99901867,0.16601562,0.0058278646,-10.176743,-10.182016,-4.7800455,156.83345,0.20170972,2.7027052e-11,0.0030492674350738524,3661.179722070694,125000
3.0068336,-20.153175,2.0153174,0.08147294,6.2729874,0.9915162,-6.2197695,1.0,0.9990635,0.3310547,0.0044498383,-10.767418,-10.774596,-3.4241602,76.47863,0.48305824,6.298138e-07,0.01271806,-0.011980233,0.37965408,3.0184157,-20.202343,2.0202346,0.086155675,7.492396,0.99818116,-7.4787693,1.0,0.99893856,0.17285156,0.005850509,-10.193106,-10.198447,-4.7286553,60.60346,0.16527714,2.5856913e-08,0.0030419529914855956,3676.389494419098,130000
3.0059762,-20.123882,2.0123882,0.07868311,6.5105715,0.9935879,-6.468826,1.0,0.9990692,0.32128906,0.004572371,-10.796213,-10.803273,-3.5739505,91.3296,0.5597983,6.462398e-07,0.01342992,-0.016372254,0.37155792,3.0163465,-20.176376,2.0176377,0.08368277,7.615681,0.99870867,-7.6058474,1.0,0.9989958,0.16113281,0.0060055647,-10.243469,-10.248595,-5.000172,39.61108,0.139781,8.125065e-07,0.0030469357013702394,3691.624180793762,135000
3.0034795,-20.134785,2.0134785,0.079721496,6.4386206,0.990001,-6.374242,1.0,0.9990597,0.33007812,0.0044174287,-10.825211,-10.832462,-3.4063005,184.98282,0.59896445,8.047647e-09,0.014756394,-0.011198355,0.37396893,3.0154948,-20.169134,2.0169134,0.082992814,7.7055564,0.99858147,-7.694627,1.0,0.9990053,0.18066406,0.0058898246,-10.332483,-10.337847,-4.8459864,68.009766,0.18932825,5.331135e-07,0.0030501179695129393,3706.8747782707214,140000
3.008515,-20.12125,2.012125,0.078432605,6.4569573,0.9963898,-6.433647,1.0,0.99906445,0.33203125,0.0043728333,-10.836287,-10.843576,-3.3785024,336.83267,0.8060398,7.309362e-07,0.011486487,-0.012244811,0.38188082,3.0159311,-20.169159,2.0169158,0.08299524,7.4017706,0.99901533,-7.394483,1.0,0.9990244,0.1640625,0.0059939544,-10.300661,-10.305831,-5.011981,48.263687,0.18915054,3.085879e-08,0.0030521891593933105,3722.135731458664,145000
