training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.046124,-20.461239,2.046124,0.110812396,21.858156,0.9999999,-21.858156,1.0,2.1792889,0.0,-17.517073,-23.706963,0.8346527,-0.717868,24.857038,0.51805145,-16.880747,-22.787746,0.075680986,3.0481539,-20.48159,2.0481591,0.11275068,21.896133,0.99999475,-21.89602,1.0,2.418077,0.0,-17.730564,-23.619612,0.61321867,-17.063383,-22.692463,0.07446728,0.3998935861587524,1999.467943429947,5000
3.0290956,-20.290977,2.0290976,0.09459697,33.33426,0.99999815,-33.334198,1.0,2.5125656,0.0,-26.45024,-40.97185,1.7306718,-1.358463,48.560944,0.49834424,-25.76336,-40.16317,0.19128537,3.0366476,-20.366474,2.0366476,0.101787254,34.528393,1.0,-34.528393,1.0,2.8447788,1.5698638,-26.51839,-40.888283,1.10259,-25.871529,-40.14952,0.22577623,0.0028860029220581056,2013.897965669632,10000
3.0252295,-20.252295,2.0252295,0.09091288,41.932137,1.0,-41.932137,1.0,2.613495,0.0,-32.980858,-56.630527,2.1519985,-2.611733,55.128788,0.39365032,-32.423763,-55.94027,0.19102699,3.0279343,-20.27935,2.027935,0.0934898,42.379684,0.9999993,-42.379654,1.0,2.6815648,0.0,-33.223106,-56.589172,0.5313107,-32.653282,-55.871983,0.16343126,0.0028075105667114257,2027.9355244636536,15000
3.0205998,-20.206347,2.0206347,0.08653692,49.407112,0.99996525,-49.405396,1.0,2.0412312,1.2367723,-39.016747,-71.0261,1.9846096,-1.7243357,72.236015,0.2852702,-38.490498,-70.35277,0.12153563,3.023423,-20.23434,2.0234342,0.08920301,51.131622,0.99998873,-51.13105,1.0,2.1004202,0.0,-38.66709,-70.91821,0.3703508,-38.11196,-70.28102,0.1214326,0.0028391804218292236,2042.1314330101013,20000
3.0171225,-20.171223,2.0171225,0.08319194,57.008324,1.0,-57.008324,1.0,1.957484,0.39864492,-44.211403,-84.34359,3.8400145,-2.8026178,72.63516,0.3760756,-43.736847,-83.8118,0.09608139,3.0203571,-20.203571,2.0203571,0.08627258,58.119606,1.0,-58.119606,1.0,2.6788187,0.0,-44.24176,-84.14732,0.37933674,-43.794765,-83.59302,0.11137807,0.002832612180709839,2056.2945017814636,25000
3.013024,-20.130325,2.0130327,0.07929692,61.62001,0.9999915,-61.619484,1.0,2.3008533,0.0,-48.0783,-96.117256,2.134362,-3.3006415,74.298965,0.3599009,-47.608,-95.49599,0.10019049,3.018453,-20.184528,2.018453,0.084459044,64.76822,1.0,-64.76822,1.0,2.3415532,0.0,-49.426086,-96.34666,0.30684486,-49.00824,-95.82459,0.12058479,0.002854513168334961,2070.5670750141144,30000
3.0113838,-20.113838,2.0113838,0.0777266,66.63168,1.0,-66.63168,1.0,2.822486,0.0,-50.255486,-106.27732,3.8235247,-2.910298,99.46034,0.50295335,-49.823566,-105.75081,0.13748913,3.0184262,-20.184261,2.0184262,0.08443355,67.197586,1.0,-67.197586,1.0,3.0665407,0.0,-51.720528,-106.0076,0.41461968,-51.269527,-105.69742,0.14125656,0.0028919044971466063,2085.026605129242,35000
3.0121179,-20.121178,2.0121179,0.07842552,68.52817,1.0,-68.52817,1.0,2.5405965,0.0,-51.81475,-115.18606,2.0670884,-3.04155,52.945644,0.9183903,-51.377316,-114.77614,0.111419186,3.0156088,-20.156088,2.0156088,0.08175044,71.06346,1.0,-71.06346,1.0,2.7946544,0.0,-53.822426,-114.246414,0.36296508,-53.425392,-114.04056,0.11992563,0.0030604258060455323,2100.3287415504456,40000
3.0119054,-20.119068,2.011907,0.07822475,70.36298,0.99999833,-70.36287,1.0,3.5681627,0.0,-53.87728,-120.91035,4.7321343,-3.716695,110.1949,0.20765372,-53.50747,-120.509766,0.10613915,3.0185332,-20.185333,2.0185332,0.08453557,71.810486,1.0,-71.810486,1.0,3.640781,0.0,-55.72468,-121.397835,0.21707805,-55.348465,-121.1217,0.24586737,0.0028295578479766844,2114.476537704468,45000
3.0105827,-20.105827,2.0105827,0.076963685,70.54323,1.0,-70.54323,1.0,5.901992,0.8787986,-53.988937,-126.78919,5.574085,-5.578193,174.1169,2.4074576,-53.667435,-126.27828,0.2186583,3.0136771,-20.136772,2.0136771,0.07991069,72.14813,1.0,-72.14813,1.0,4.864452,0.0,-53.154182,-125.60371,0.52209353,-52.74372,-125.16174,0.27406862,0.0028513548374176027,2128.733319759369,50000
3.010201,-20.102009,2.010201,0.07660003,71.19884,0.9999999,-71.19883,1.0,4.2576914,0.0,-58.5013,-130.21286,4.7702136,-4.6270204,99.215836,0.37220448,-58.133877,-129.87093,0.1629659,3.016767,-20.167671,2.016767,0.08285343,73.68772,1.0,-73.68772,1.0,5.008874,0.0,-55.18573,-130.37634,0.47001064,-54.702156,-130.085,0.20520633,0.0028310081005096435,2142.8883678913116,55000
3.0107837,-20.107834,2.0107837,0.07715494,72.046936,1.0,-72.046936,1.0,2.905897,0.0,-54.3498,-132.06152,2.3538105,-2.7761884,74.6772,0.37660563,-53.92478,-131.68518,0.1391158,3.0146458,-20.14647,2.0146468,0.080834195,70.80692,0.99999905,-70.806854,1.0,3.7095993,0.0,-56.645203,-134.2958,0.7393419,-56.300087,-133.92726,0.14452833,0.0027910078048706054,2156.8434131145477,60000
3.0087748,-20.087748,2.0087748,0.07524175,73.68263,1.0,-73.68263,1.0,3.0843291,0.0,-54.390533,-135.60037,3.3162308,-2.9600775,71.340195,0.21704215,-54.003613,-135.1085,0.13343222,3.0127034,-20.127037,2.0127034,0.07898342,74.67369,1.0,-74.67369,1.0,2.9003701,0.0,-55.455547,-135.00906,0.3391704,-54.996048,-134.54483,0.13100675,0.0027544065475463867,2170.6154522895813,65000
3.0081797,-20.081795,2.0081797,0.07467493,73.33885,1.0,-73.33885,1.0,3.7150302,0.0,-56.69867,-137.93121,4.2182007,-3.1934502,147.27788,0.30642945,-56.259644,-137.71623,0.15604079,3.0111024,-20.111025,2.0111024,0.0774587,73.9925,1.0,-73.9925,1.0,4.5481844,0.0,-54.53411,-136.70856,0.5615581,-54.07813,-136.28131,0.18741713,0.002793046522140503,2184.580691099167,70000
3.008208,-20.08208,2.008208,0.074702114,73.44348,0.99999994,-73.44348,1.0,3.0963185,0.0,-56.618168,-137.05351,5.5322595,-3.6580472,107.95696,0.5641658,-56.185722,-136.88336,0.13710852,3.0147352,-20.147354,2.0147355,0.080918625,72.1603,0.9999999,-72.16029,1.0,3.5938048,0.0,-57.97055,-137.21704,0.5213342,-57.578796,-136.8705,0.1393114,0.00278605318069458,2198.51096367836,75000
3.0098355,-20.098354,2.0098355,0.07625201,72.001434,1.0,-72.001434,1.0,3.187837,0.0,-55.724644,-136.76208,1.7564561,-1.8837669,58.647316,0.18125597,-55.360683,-136.5046,0.16315472,3.0139608,-20.139608,2.0139608,0.080180906,74.67154,1.0,-74.67154,1.0,3.1744215,0.0,-57.14382,-137.16307,0.27746964,-56.71853,-136.93097,0.14013904,0.0028557690143585206,2212.789815187454,80000
3.006556,-20.06556,2.006556,0.07312877,71.93439,1.0,-71.93439,1.0,2.7745411,0.0,-57.336628,-138.17287,4.408085,-3.3516166,97.44691,0.37843686,-56.95961,-137.80046,0.16583669,3.0124702,-20.124805,2.0124805,0.07877113,75.36548,0.9999896,-75.3647,1.0,2.9686327,0.0,-53.029808,-139.2079,0.68553233,-52.643524,-138.96971,0.16680199,0.0027866767406463625,2226.723205804825,85000
3.0086842,-20.086842,2.0086842,0.07515563,71.541,1.0,-71.541,1.0,3.3931918,0.0,-54.46627,-133.65373,2.3826857,-3.1301477,74.64651,0.35862917,-54.074936,-133.49324,0.14902867,3.0112374,-20.112375,2.0112374,0.07758715,73.153275,1.0,-73.153275,1.0,3.584179,0.0,-55.88719,-134.40846,0.3546781,-55.524715,-134.52661,0.18942624,0.002794345760345459,2240.6949410438538,90000
3.0073676,-20.073679,2.007368,0.073902026,70.68519,0.9999995,-70.68515,1.0,3.3910909,0.0,-57.035057,-136.07774,4.098329,-5.100739,82.42774,0.36027223,-56.620132,-135.68057,0.18173347,3.0110736,-20.110737,2.0110736,0.07743123,72.099075,1.0,-72.099075,1.0,5.191555,0.0,-56.942657,-136.33913,0.8289631,-56.5188,-136.15564,0.23554862,0.002788732481002808,2254.6386103630066,95000
3.0059323,-20.059324,2.0059323,0.07253477,71.90109,1.0,-71.90109,1.0,3.4982796,0.0,-56.753735,-139.71046,3.689902,-2.6916227,106.26378,0.38640505,-56.356403,-139.74887,0.22265051,3.010598,-20.10598,2.010598,0.07697805,72.5768,1.0,-72.5768,1.0,3.903912,0.0,-54.98297,-134.92784,0.43403804,-54.60053,-134.99608,0.17551133,0.0028071783542633058,2268.674509048462,100000
3.0030823,-20.030823,2.0030823,0.06982038,70.7979,1.0,-70.7979,1.0,2.405774,0.0,-52.91795,-137.34125,3.2991838,-2.8893774,82.348694,0.47521678,-52.508083,-136.69925,0.1419574,3.010327,-20.103432,2.0103433,0.076735556,72.34199,0.99998385,-72.34082,1.0,2.5504553,0.0,-58.08246,-137.75136,0.3744095,-57.684334,-136.99309,0.11662014,0.3985163002967834,4261.256017208099,105000
3.0066094,-20.066097,2.0066094,0.073179804,71.47928,1.0,-71.47928,1.0,2.4932036,0.0,-56.412148,-137.27972,1.995045,-2.2968256,59.156822,0.3311677,-56.04976,-137.05193,0.16180985,3.0124574,-20.124575,2.0124574,0.07874922,74.6669,1.0,-74.6669,1.0,2.438873,0.0,-54.461548,-139.34756,0.30911824,-54.112404,-139.09973,0.13080443,0.002912822437286377,4275.8201360702515,110000
3.0044677,-20.044678,2.0044677,0.07113986,72.1438,1.0,-72.1438,1.0,2.342204,0.0,-55.959198,-137.02756,1.8102033,-1.9571857,77.45587,0.21547925,-55.599075,-136.7297,0.13197261,3.0088992,-20.088991,2.0088992,0.07536026,74.31789,1.0,-74.31789,1.0,3.0178025,0.0,-55.742718,-137.55261,0.18245165,-55.33794,-136.86604,0.13365954,0.0028436995029449464,4290.038640260696,115000
3.006332,-20.06332,2.006332,0.07291532,72.35516,1.0,-72.35516,1.0,2.7613587,0.0,-55.830666,-135.6339,1.288193,-1.5842493,75.704765,0.88813233,-55.36136,-135.29932,0.15618801,3.0084486,-20.084486,2.0084486,0.07493109,71.313644,1.0,-71.313644,1.0,2.9241533,0.0,-54.07766,-138.68652,0.5459004,-53.65798,-138.78252,0.15476142,0.002932707214355469,4304.702183008194,120000
3.0039747,-20.039745,2.0039747,0.07067021,73.97483,1.0,-73.97483,1.0,2.7281673,0.0,-55.6204,-138.01495,2.0815985,-2.3354025,55.88736,0.31707454,-55.21685,-137.69913,0.14509942,3.0119443,-20.119442,2.0119443,0.078260295,75.95264,1.0,-75.95264,1.0,2.4809964,0.0,-56.448067,-139.49629,0.57449937,-56.030327,-138.93008,0.16532728,0.0029710949420928955,4319.557664632797,125000
