training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
531.5084,0.05002902,-20.640123,0.127849,1.0,3.57832,-4.195037,139.10458,0.49537426,-14.728725,-25.320099,0.28479722,495.93903,0.011102731,-20.667992,0.1305033,1.0,0.51304036,-15.213734,-25.349358,0.30783007,0.3734617121219635,1867.3085935115814,5000
538.855,0.064231366,-20.419254,0.10681376,1.0,2.5083213,-3.362431,141.32953,0.38676745,-25.37785,-46.82081,0.3313446,560.3986,0.08544299,-20.490852,0.113632634,1.0,0.34008166,-25.338745,-46.69232,0.31700373,0.0027997557163238524,1881.3074383735657,10000
567.9408,0.103255495,-20.325068,0.09784369,1.0,3.0423112,-3.4659357,140.01718,0.39327735,-34.376347,-66.30211,0.35366488,624.95496,0.13798875,-20.35863,0.10104007,1.0,0.3843761,-34.57568,-66.48251,0.27436405,0.0027919193744659425,1895.267070531845,15000
757.7541,0.1432728,-20.276001,0.093170784,1.0,3.6653457,-3.7774074,164.82469,0.568692,-40.474133,-84.850464,0.33208948,721.6416,0.12085354,-20.297077,0.095177904,1.0,0.6562185,-40.42775,-84.71225,0.3070286,0.0028718077182769775,1909.6261489391327,20000
779.00745,0.12202355,-20.22239,0.08806481,1.0,5.339786,-4.5926766,162.69206,0.40484044,-43.322113,-98.69833,0.35396722,797.91345,0.120814525,-20.274164,0.09299573,1.0,0.30150962,-43.450382,-99.09584,0.36378154,0.0028228723526000977,1923.7405471801758,25000
803.6004,0.13432747,-20.187635,0.084754914,1.0,4.044037,-5.567014,168.7371,0.4236508,-44.626793,-106.893265,0.4432688,772.73737,0.09684195,-20.23525,0.089289635,1.0,0.31236255,-45.939438,-109.92714,0.5182532,0.002852963352203369,1938.005394935608,30000
829.9625,0.15191543,-20.174057,0.08346166,1.0,3.9952235,-4.2170577,165.97935,0.45592913,-45.42369,-115.629745,0.4801538,803.4398,0.08214392,-20.237514,0.08950541,1.0,0.36770293,-46.3499,-112.95979,0.4870584,0.002782917594909668,1951.9200122356415,35000
781.65344,0.09450635,-20.180141,0.08404128,1.0,4.8053837,-5.5406823,156.86475,0.6413505,-45.426918,-119.944756,0.3955619,794.8512,0.11707072,-20.209381,0.08682595,1.0,0.70540607,-47.740044,-116.74817,0.46597555,0.002838723087310791,1966.1136617660522,40000
789.5924,0.09380408,-20.167557,0.08284284,1.0,3.4515984,-3.6615083,156.02023,0.3501612,-46.64541,-122.31007,0.56284404,809.57935,0.14808187,-20.22219,0.08804585,1.0,0.41247806,-48.406967,-120.70647,0.6326592,0.0028568740844726564,1980.3980629444122,45000
847.76917,0.16872825,-20.144524,0.08064915,1.0,4.695143,-5.0956993,167.66844,0.24813119,-47.403557,-128.27553,0.5084275,790.6007,0.1333332,-20.188013,0.084790885,1.0,0.46676445,-46.385624,-126.28321,0.39837676,0.0028013519287109377,1994.4048526287079,50000
788.59937,0.10826415,-20.123653,0.07866141,1.0,3.9437702,-5.4614925,150.2334,0.43422517,-50.631207,-126.787704,0.3855495,865.99,0.1637789,-20.199718,0.08590572,1.0,0.34190226,-48.19105,-128.13812,0.35508192,0.003091664505004883,2009.8632135391235,55000
811.72864,0.11885056,-20.15308,0.08146395,1.0,4.8530254,-4.91244,164.3185,0.3307842,-47.270176,-130.44653,0.3706492,823.57166,0.1410054,-20.19078,0.08505445,1.0,0.29280937,-49.29545,-127.6689,0.4511298,0.002763503122329712,2023.6807706356049,60000
788.5813,0.14218855,-20.143494,0.080550805,1.0,3.4388914,-4.0972805,149.28848,0.27502513,-47.599213,-131.05795,0.4461275,771.11755,0.11595747,-20.175333,0.083583206,1.0,0.22406916,-48.422028,-130.91806,0.52198446,0.002810858106613159,2037.735092163086,65000
853.82715,0.11836462,-20.117645,0.07808923,1.0,5.9093533,-4.856109,157.5174,0.39076418,-49.7488,-129.10103,0.3444651,777.4834,0.13010567,-20.149227,0.081096895,1.0,0.3582892,-47.86438,-129.60614,0.4077928,0.00272825665473938,2051.3764050006866,70000
812.63153,0.12691703,-20.125584,0.07884526,1.0,4.326606,-4.548089,155.20575,0.31588128,-50.04624,-135.64534,0.39597186,801.9601,0.10811125,-20.201504,0.086075656,1.0,0.3180182,-51.2555,-133.4306,0.44818953,0.002730760669708252,2065.0302374362946,75000
818.42926,0.15269727,-20.13131,0.07939048,1.0,4.6692758,-4.0406046,158.34113,0.33215758,-49.657784,-132.6344,0.32677093,803.04596,0.10199247,-20.180866,0.0841102,1.0,0.40026903,-50.792744,-136.56352,0.37159097,0.002778693914413452,2078.9237399101257,80000
805.8651,0.1307084,-20.114756,0.07781388,1.0,4.5820794,-3.3900132,144.79892,0.5539211,-51.017372,-133.39182,0.3452599,792.9143,0.09862474,-20.173439,0.083402865,1.0,0.32659978,-47.374023,-131.31058,0.4015514,0.002757278251647949,2092.7101583480835,85000
864.83765,0.15253797,-20.12762,0.07903926,1.0,5.4673715,-5.673888,168.54765,0.2538759,-48.828712,-132.64502,0.399687,837.3211,0.11343696,-20.150888,0.08125525,1.0,0.2737849,-50.44371,-131.92722,0.39296332,0.0028819942474365232,2107.120163679123,90000
792.82294,0.10254848,-20.114567,0.077796064,1.0,5.952262,-5.2625003,164.64848,0.33750722,-51.077866,-138.19409,0.46856287,791.42694,0.10344097,-20.152824,0.08143966,1.0,0.3328051,-51.22991,-141.34409,0.47381875,0.003133213472366333,2122.7862668037415,95000
807.8218,0.13041501,-20.102425,0.07663956,1.0,5.5022845,-4.1100583,162.15659,0.8862544,-51.01274,-135.75523,0.60693777,858.5991,0.16084716,-20.148544,0.081032045,1.0,1.2703285,-49.632015,-133.85294,0.43872398,0.002974241495132446,2137.6575055122375,100000
775.7765,0.1692883,-20.068165,0.07337672,1.0,4.3578663,-4.791876,146.86743,0.36020765,-48.089146,-131.91931,0.33409625,873.0855,0.14109536,-20.148159,0.08099536,1.0,0.50644445,-52.861702,-138.63171,0.33627278,0.36549832463264464,3965.149539709091,105000
803.2446,0.10779025,-20.110909,0.07744753,1.0,4.7745595,-4.827104,161.97313,0.39689767,-51.260834,-134.17554,0.49386504,823.3491,0.17335357,-20.159752,0.08209929,1.0,0.44060278,-49.718803,-141.86722,0.35141262,0.0029264840126037596,3979.7820284366608,110000
860.8899,0.19559512,-20.089905,0.07544731,1.0,4.2469378,-5.3119597,165.84134,0.2811826,-51.392838,-139.93484,0.5726687,820.022,0.14276105,-20.133844,0.079631895,1.0,0.2868358,-51.026276,-135.02905,0.48375797,0.0027674301147460937,3993.6192293167114,115000
808.4619,0.1527929,-20.104786,0.07686456,1.0,5.241109,-4.909874,156.93137,0.26289782,-50.772575,-136.64722,0.442123,837.2625,0.12954502,-20.127901,0.07906588,1.0,0.3669972,-49.42439,-140.3147,0.31611902,0.0027566399574279784,4007.40248298645,120000
811.135,0.11056561,-20.092009,0.07564756,1.0,6.7943735,-4.0910873,162.07932,0.35394758,-50.894043,-138.96269,0.36158574,850.33777,0.15841146,-20.162926,0.0824016,1.0,0.3198192,-51.769413,-136.419,0.3272503,0.0028054401874542238,4021.429766178131,125000
848.3928,0.100102544,-20.102732,0.076668866,1.0,4.428578,-4.7155786,163.38435,0.47644687,-49.212704,-139.52812,0.39438742,790.5946,0.11171375,-20.144726,0.08066808,1.0,0.55220485,-50.69732,-133.02429,0.61351883,0.002779525566101074,4035.3274462223053,130000
825.89294,0.12289526,-20.077393,0.07425541,1.0,5.2325296,-5.415928,169.48325,0.30512044,-50.91284,-139.32094,0.37654346,786.0602,0.11848665,-20.134703,0.079713605,1.0,0.48131076,-50.742226,-136.22533,0.35754848,0.0027460022926330567,4049.0575160980225,135000
858.7237,0.15402395,-20.0829,0.074779995,1.0,3.8313255,-5.2378736,170.43022,0.20815262,-48.664307,-134.23778,0.6507146,821.7472,0.15161051,-20.129059,0.07917613,1.0,0.28369063,-50.20757,-141.15259,0.6635159,0.0028512787342071535,4063.3139588832855,140000
806.66345,0.08560948,-20.08157,0.07465347,1.0,5.292522,-4.5684614,155.67651,0.26015458,-49.417484,-136.13919,0.5683875,830.6924,0.14154328,-20.126726,0.07895405,1.0,0.23733062,-50.10338,-139.957,0.54747957,0.002843427038192749,4077.531168460846,145000
811.23413,0.100714296,-20.103785,0.076769084,1.0,6.322395,-5.083401,162.45999,0.2900532,-52.32254,-142.70386,0.35854623,824.9724,0.117145464,-20.146214,0.080810115,1.0,0.30486357,-51.66033,-138.42558,0.27502203,0.0028070886135101317,4091.5667016506195,150000
878.2371,0.17110538,-20.078152,0.07432775,1.0,5.931303,-4.4217944,164.82132,0.40113145,-50.53479,-138.0544,0.27080494,840.2541,0.15178786,-20.165222,0.08262051,1.0,0.35637563,-52.13234,-141.93027,0.6134985,0.002826209783554077,4105.697803497314,155000
826.1583,0.14615616,-20.070953,0.07364213,1.0,5.9432435,-4.4526463,161.67805,0.36071652,-48.842533,-140.281,0.3355423,857.7116,0.1624487,-20.114605,0.07779957,1.0,0.38297337,-52.06212,-138.66904,0.468291,0.0028200879573822024,4119.798303365707,160000
835.66705,0.10399061,-20.094387,0.07587412,1.0,7.179406,-6.6350484,167.28308,0.3330956,-49.669735,-135.17688,0.44445705,830.95355,0.13337497,-20.144081,0.08060687,1.0,0.24027142,-52.860184,-135.37492,0.46126106,0.002796261119842529,4133.7796626091,165000
849.63196,0.1730381,-20.088154,0.07528041,1.0,6.192808,-5.428475,167.738,0.46659607,-51.766243,-141.0725,0.3871566,834.02234,0.16312873,-20.135983,0.0798356,1.0,0.5055781,-54.71766,-139.45721,0.45777822,0.002818566370010376,4147.872545480728,170000
860.23065,0.19136065,-20.092194,0.07566528,1.0,5.634695,-6.13306,184.90442,0.3927529,-52.090137,-138.0546,0.5257409,826.9619,0.18329626,-20.118017,0.07812458,1.0,0.88847816,-51.942387,-140.54182,0.39471218,0.0028125418186187743,4161.93532037735,175000
836.25574,0.08684001,-20.056858,0.07229993,1.0,4.8248224,-5.783081,160.08617,0.2652063,-52.959545,-156.1391,0.38443136,846.1599,0.134326,-20.10526,0.07690965,1.0,0.28906068,-53.655357,-137.91003,0.35532334,0.0028354113578796386,4176.112416028976,180000
876.82043,0.1626023,-20.078802,0.0743898,1.0,5.5552807,-4.976948,161.86005,0.39598504,-52.976303,-143.78737,0.31223467,825.92236,0.10593601,-20.133804,0.07962799,1.0,0.32514387,-51.930527,-145.33936,0.46603948,0.002841814470291138,4190.321528196335,185000
813.2294,0.12453799,-20.083887,0.07487417,1.0,5.00498,-6.9744506,157.19655,0.3459611,-50.423992,-140.4584,0.31521097,829.52563,0.14224978,-20.142288,0.0804361,1.0,0.33261842,-52.73469,-141.02142,0.39559615,0.002873874521255493,4204.690946340561,190000
