training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0206683,-20.668236,0.020668238,0.13052648,367.1532,1.0,-367.1532,1.0,2.746784,512.9583,-764.6331,2840.1382,139.96014,1020.917,525.1007,1.9323126,7.8299747,13.980356,2.780603,0.019545618,6.4851093,-50.453983,140.28441,190.73839,1.0207057,-20.705751,0.020705752,0.13409932,354.9402,1.0,-354.9402,1.0,2.832242,144.9639,1020.4996,514.0498,0.7912352,8.017098,11.703861,2.8296037,0.008399173,6.48709,-51.683285,145.28825,196.97154,0.33827201523780825,1691.360125541687,5000
1.0203471,-20.34711,0.020347109,0.0999429,294.79175,1.0,-294.79175,1.0,1.8929974,3713.5327,-4539.5938,13748.85,129.47015,1105.1731,485.26135,6.7653675,2.0594897,6.2619205,1.8816571,0.013288902,29.550812,-59.382053,130.9477,190.32974,1.0204266,-20.426584,0.020426584,0.10751184,312.8941,1.0,-312.8941,1.0,1.8745987,125.12796,1080.1691,495.765,6.7701726,1.9900329,6.532889,1.8689805,0.01677016,29.559847,-57.347076,126.60596,183.95303,0.006070667600631714,1721.713470697403,10000
1.0203996,-20.399628,0.020399626,0.104944594,213.65808,0.99999994,-213.65808,1.0,1.2057583,4542.623,-3611.8123,15318.362,202.40854,797.9088,339.56226,7.2754593,0.43527502,4.075182,1.1778103,0.019088821,129.14444,-49.756126,208.86575,258.6219,1.0204664,-20.466413,0.020466417,0.11130534,209.3215,1.0,-209.3215,1.0,1.1802442,201.07864,814.63007,341.17334,5.986218,0.4010244,4.164016,1.1635101,0.007425351,129.18195,-45.346012,207.53775,252.88376,0.006073587608337402,1752.0814173221588,15000
1.0205383,-20.53837,0.020538371,0.11815827,150.95718,1.0,-150.95718,1.0,0.68092775,2204.9485,-1385.6564,8405.302,261.3177,629.6321,255.10095,5.3230715,0.08683583,2.4240496,0.862098,0.0113431085,453.96603,-16.722216,284.016,300.73822,1.0205772,-20.577202,0.020577203,0.12185653,167.02747,1.0,-167.02747,1.0,0.71063954,255.59581,638.33466,262.05942,1.259037,0.11365457,3.279597,0.8813857,0.008273156,454.0676,-28.903479,278.2992,307.20267,0.006070736885070801,1782.435108423233,20000
1.0205557,-20.555716,0.02055572,0.11981027,145.6366,1.0,-145.6366,1.0,0.59939474,4308.052,-4195.1406,16707.186,278.65585,609.141,234.25446,3.3151617,0.052425455,2.9305673,0.781773,0.007884634,679.62726,-1.6484051,312.6372,314.2856,1.0205944,-20.594406,0.020594409,0.12349517,148.438,1.0,-148.438,1.0,0.5482068,271.44028,618.6287,243.16052,4.447775,0.04419037,2.1511655,0.78489006,0.007849668,679.6353,3.9484305,305.42203,301.4736,0.006068583631515503,1812.7780334949493,25000
1.0204954,-20.495367,0.020495368,0.114062674,137.37695,1.0,-137.37695,1.0,0.53101146,2489.9612,-1601.5505,8802.378,281.8957,587.6702,230.47612,0.35653964,0.052056342,2.2835798,0.8150805,0.015450237,677.56116,-1.3932972,315.77374,317.16705,1.020558,-20.55796,0.020557962,0.120024025,154.70152,1.0,-154.70152,1.0,0.5196394,271.24396,598.11884,242.62958,1.7983364,0.042980053,2.5184214,0.7857193,0.009985174,677.5269,4.7562037,305.1203,300.3641,0.006069873142242431,1843.1274063587189,30000
1.0204126,-20.41257,0.020412572,0.10617741,151.62927,1.0,-151.62927,1.0,0.5077832,3797.793,-3333.2622,13170.146,273.90997,642.15814,240.25842,0.95758843,0.06380279,2.6015732,0.8216685,0.014333568,679.6055,-9.380454,307.89023,317.2707,1.020489,-20.488937,0.020488936,0.11345028,151.96698,1.0,-151.96698,1.0,0.52889705,266.89075,644.597,248.98392,4.737742,0.04538244,2.8545823,0.7895605,0.014826983,679.5929,3.1380615,300.8704,297.73233,0.006070624446868896,1873.4805352687836,35000
1.0203549,-20.354824,0.020354824,0.10067756,143.96347,1.0,-143.96347,1.0,0.49585605,4887.6284,-5579.1167,16970.031,281.0005,605.5673,231.66534,3.0805936,0.058275133,2.6617548,0.82621753,0.010043737,681.5263,-5.6397204,315.0768,320.71652,1.0204173,-20.41735,0.020417351,0.106632665,155.01999,1.0,-155.01999,1.0,0.51450247,268.3742,628.1628,247.08444,4.424595,0.05742197,2.5063546,0.8376887,0.009473514,681.514,-5.0581765,302.44992,307.5081,0.006071755838394165,1903.8393242359161,40000
1.0203165,-20.316454,0.020316456,0.09702344,145.57523,1.0,-145.57523,1.0,0.48969012,2418.8894,-2363.4995,9831.857,274.79565,594.7373,238.60834,5.1904306,0.041212067,2.2502542,0.7990687,0.009331519,688.6862,6.052129,309.22995,303.17783,1.0203832,-20.38321,0.020383213,0.10338113,149.70459,1.0,-149.70459,1.0,0.5408098,276.7057,631.5562,237.84592,4.338443,0.039188236,2.2199104,0.7760755,0.021394137,688.6511,7.4455338,311.13824,303.69272,0.0060749505996704105,1934.2140860557556,45000
1.0203097,-20.30965,0.02030965,0.09637532,145.00494,1.0,-145.00494,1.0,0.4411381,2362.1028,-2263.3223,10528.786,273.97327,641.12024,239.82608,1.7051544,0.05564974,2.9828784,0.7905575,0.014439203,680.6251,-3.8453536,308.00452,311.84988,1.0203469,-20.346851,0.020346852,0.099918276,152.25189,1.0,-152.25189,1.0,0.43968943,265.5863,649.9172,250.9928,2.638716,0.056601234,3.7494571,0.8053169,0.016920762,680.6533,-4.493151,299.61896,304.11212,0.006073005819320678,1964.5791223049164,50000
