training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
36.06257,-0.1183366,-2.016572,0.99816895,0.73828125,0.009211147,-10.341472,-10.379855,-0.55363,85.954155,5.332919,1.5498709e-07,3.2884383,-2.4023542,88.583786,0.99783325,0.69921875,0.009876812,-9.962957,-9.998454,-0.91144305,67.108185,3.6177142,6.2244663e-07,27.528786,-0.62920547,-2.0080407,0.99754333,0.625,0.011717031,-10.52794,-10.564152,-1.2937365,218.98907,5.662017,3.6566038e-07,0.9972992,0.609375,0.012071596,-9.829254,-9.862819,-1.2701942,104.63588,4.2372346,6.869962e-07,0.13463213772773744,673.1607036590576,5000
40.116158,-0.39720762,-2.0349035,0.9983368,0.765625,0.0076210806,-11.616436,-11.662197,0.0526826,646.0274,19.534012,3.8139933e-07,1.2746954,-2.3009176,60.116272,0.99809265,0.73046875,0.008470842,-10.766074,-10.807331,-0.24544044,261.51437,12.838978,6.59196e-08,33.727386,-0.54675996,-1.9878534,0.9979706,0.703125,0.009888455,-11.217966,-11.260558,-0.35679996,1060.9326,21.437424,5.2588575e-08,0.99790955,0.69140625,0.010021236,-10.347414,-10.385994,-0.5091832,975.77924,13.064261,2.6483704e-06,0.014729596424102783,746.8086981773376,10000
37.76932,-0.3793059,-1.9343044,0.9988556,0.8515625,0.006100893,-12.063149,-12.1144085,1.0078881,1301.7861,39.14896,1.0102646e-05,4.434191,-2.5593572,114.98137,0.9985199,0.80859375,0.006945724,-11.872323,-11.920164,0.32749623,833.0812,26.491161,1.0733313e-06,47.82402,-0.30453467,-1.9860121,0.9981384,0.75390625,0.007687626,-12.411519,-12.460956,0.19527543,8850.001,57.150826,5.771147e-07,0.9977722,0.7578125,0.008256782,-11.895191,-11.9412155,-0.15859881,477.3828,17.478798,2.3133975e-06,0.01474864902496338,820.5519545078278,15000
34.079033,-0.55338764,-1.9167421,0.99858093,0.8359375,0.0059546004,-12.600826,-12.655299,1.2897868,4656.2324,87.07975,1.11167055e-05,6.13285,-7.230678,165.96504,0.99861145,0.8046875,0.0062122284,-12.479237,-12.532752,1.1674314,3102.255,82.923195,1.589577e-05,49.775497,-0.15529625,-1.9710634,0.998291,0.73828125,0.008945174,-12.528732,-12.579348,0.3782053,2850.3655,68.92262,5.335036e-07,0.9980011,0.71875,0.009244671,-12.741772,-12.791445,-0.07496695,4253.97,61.875824,3.6020185e-07,0.014697858762741088,894.0412583351135,20000
34.134415,-0.7107785,-1.9788479,0.9990845,0.90234375,0.0039700437,-13.6310005,-13.692741,2.1129036,14252.284,149.60687,1.873124e-07,3.0820966,-1.8851563,93.48013,0.9989624,0.90234375,0.0043421607,-13.209276,-13.268538,1.9025505,5982.1143,150.32,1.3410643e-06,49.92469,-0.46362564,-1.9840921,0.9979706,0.75390625,0.008862923,-13.889351,-13.944588,0.19643801,4546.1377,78.85542,1.2727044e-06,0.9976349,0.71875,0.009163725,-13.228899,-13.280196,-0.14812224,3520.039,64.984634,1.6339088e-06,0.014757753992080689,967.8300383090973,25000
50.63011,-0.34267685,-2.0307703,0.9988098,0.90625,0.0047166096,-14.067554,-14.13127,2.1801953,16868.223,257.26468,1.1629693e-05,1.9377617,-2.6455243,82.08226,0.99868774,0.88671875,0.0048311446,-13.371906,-13.430268,1.5105221,2273.8418,96.53758,9.9887175e-06,42.369026,-0.90687656,-1.976522,0.99794006,0.734375,0.009681663,-14.362672,-14.418941,-0.0138839185,23534.062,123.12036,2.9767468e-09,0.99786377,0.703125,0.009083076,-13.548944,-13.601487,-0.15046825,86941.57,379.20694,8.3936544e-07,0.014706015110015869,1041.3601248264313,30000
45.571976,-0.89312387,-2.0043485,0.9990692,0.91015625,0.0040257555,-15.367798,-15.437009,2.2813046,8297.284,180.1694,2.4455852e-07,1.3882344,-2.903836,81.94249,0.9989929,0.90234375,0.004447614,-14.681933,-14.748557,2.307505,6910.725,242.48341,4.4876633e-06,47.47693,-0.9761931,-2.0119236,0.9980316,0.73828125,0.01026783,-15.018061,-15.075762,-0.30377617,2913.5515,79.70225,2.1445715e-07,0.9977875,0.71875,0.010502792,-14.444047,-14.499926,-0.19496351,5973.187,142.10916,3.146292e-08,0.014690390348434449,1114.812087059021,35000
51.040062,-0.6040263,-1.9414463,0.9992523,0.9296875,0.003930289,-15.7471485,-15.818589,2.4707265,45972.156,283.67755,3.962736e-10,1.6157469,-3.9454753,104.23285,0.9990387,0.91015625,0.0040798374,-15.111736,-15.179312,2.1200817,13883.11,189.39401,4.2418765e-07,45.782207,-0.84598166,-1.9998237,0.99775696,0.71484375,0.010973128,-15.014777,-15.071484,-0.55436707,16838.76,136.90167,6.5562573e-09,0.99775696,0.671875,0.010653526,-14.641634,-14.697014,-0.51958936,2506.146,83.14322,4.0406416e-09,0.014681479167938232,1188.2194936275482,40000
44.42608,-0.7718113,-1.9261034,0.99913025,0.92578125,0.0034612943,-16.313065,-16.388083,2.8167386,129237.77,829.4883,1.3080766e-05,6.155158,-5.137127,141.6755,0.99909973,0.8828125,0.0039692833,-15.798201,-15.869521,2.3885856,26433.977,259.90656,6.3587197e-07,52.57634,-0.706923,-1.9959464,0.99794006,0.78515625,0.009626338,-15.621929,-15.682341,-0.21735416,70249.14,353.04877,2.3517899e-08,0.9978485,0.72265625,0.010092435,-15.283628,-15.341409,-0.54908705,9089.705,114.025345,1.394155e-08,0.014737073087692261,1261.9048700332642,45000
46.850487,-0.76581025,-1.9576719,0.999115,0.91796875,0.0036972153,-16.049343,-16.123077,2.7525368,81974.01,670.27246,6.89565e-06,1.9186171,-2.6147482,119.278694,0.99897766,0.89453125,0.0038292953,-15.593833,-15.665754,2.7464933,45421.01,583.7282,9.540459e-06,42.198242,-1.5934987,-2.011027,0.99790955,0.71875,0.012078693,-16.018332,-16.077118,-1.0271595,56983.7,242.29678,3.5765801e-10,0.9977722,0.703125,0.011831502,-15.698275,-15.755211,-1.1794596,2363.2493,49.01721,1.6389556e-10,0.01477246971130371,1335.767228603363,50000
