training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.2220216,-0.7340753,-2.0828452,0.5458845,0.0,-14.068062,-20.577133,1.3392612,-4.0095983,101.017204,0.17181224,-13.4099865,-19.771582,0.023877695,0.79096615,-0.69764817,-2.0700593,0.5238379,0.0,-14.414512,-20.54252,0.17065309,-13.805075,-19.73961,0.036328815,0.09506106162071228,475.3053226470947,5000
0.4569999,-0.85759175,-2.0818198,1.1148381,0.0,-20.750671,-37.379696,4.640133,-4.6440325,195.34645,0.10788669,-20.2204,-36.748436,0.04794732,0.618814,-0.7212627,-2.077353,0.65732086,0.0,-20.631302,-37.257885,0.10302375,-20.169434,-36.628914,0.046957944,0.010472422170639038,527.6674454212189,10000
0.6964849,-0.79039687,-2.0833828,1.1251904,0.0,-25.644136,-50.724728,7.458974,-5.0049644,224.0044,0.08926663,-25.176199,-50.231506,0.05513154,1.108849,-0.6633792,-2.0807042,1.2481489,0.0,-24.942596,-50.384106,0.08482335,-24.488892,-49.856575,0.05087763,0.01047397975921631,580.0373556613922,15000
0.754035,-0.7436115,-2.0743546,1.0121896,0.0,-26.87862,-57.67813,11.46155,-7.0718346,368.59888,0.084938526,-26.470766,-57.267025,0.058524705,3.8291044,-0.35018143,-2.079391,0.9626225,0.0,-26.485397,-58.19234,0.060933854,-26.084103,-57.769875,0.05484679,0.010474138164520263,632.4080584049225,20000
0.33050102,-1.095828,-2.089774,1.7763867,0.0,-27.596855,-63.195858,15.204939,-9.372301,607.8307,0.060092226,-27.152256,-62.82512,0.09970249,2.2940974,-0.8429787,-2.082059,1.2102864,0.0,-23.136707,-62.56169,0.101578444,-22.715824,-62.28544,0.074985534,0.010469810914993286,684.7571244239807,25000
5.436654,-0.3600403,-2.0433612,1.26453,0.0,-28.544353,-66.39053,5.193926,-4.2903156,203.33328,0.07597187,-28.172346,-66.050705,0.05943649,6.4744825,-0.58039385,-2.0618598,1.6831449,0.0,-27.069494,-65.63608,0.06555712,-26.705873,-65.33275,0.07691993,0.010479686546325683,737.1555697917938,30000
3.6458395,-0.47883976,-2.0652173,1.4110146,0.0,-26.780575,-68.4301,8.49415,-5.3760023,257.64615,0.07967444,-26.454502,-68.09731,0.08993368,7.837395,-0.21089692,-2.0738509,1.1622427,0.0,-28.2048,-69.14235,0.051966645,-27.87094,-68.828,0.09623443,0.010476387548446655,789.5375192165375,35000
2.0217898,-0.90603495,-2.07551,1.7885371,0.0,-26.761906,-70.013535,11.105436,-11.245136,472.92404,0.063275024,-26.281857,-69.78057,0.08508825,27.990416,0.010318101,-2.0968523,2.6257029,0.0,-27.629738,-71.7773,0.04090132,-27.27993,-71.47681,0.10511199,0.010470606565475464,841.8905639648438,40000
3.986526,-0.42454243,-2.0838346,1.1094266,0.0,-25.346474,-69.27355,3.6463351,-3.215078,163.3547,0.1357664,-24.912119,-68.95343,0.0682142,2.3102522,-0.7087212,-2.0858371,0.921371,0.0,-27.968313,-72.70115,0.12826778,-27.574263,-72.47829,0.069265865,0.010467011880874634,894.2256336212158,45000
3.4494343,-0.44865704,-2.063915,0.95461893,0.0,-26.776329,-73.1779,6.790984,-5.760333,251.0091,0.0252778,-26.473087,-72.82328,0.053387925,9.257167,-0.22472496,-2.1489134,1.2156028,0.0,-26.142822,-70.58533,-0.007404603,-25.734596,-70.24295,0.067492425,0.010470351886749267,946.5774066448212,50000
6.3623133,-0.26722813,-2.1658201,0.8088995,0.0,-29.976519,-72.20942,5.4839115,-6.2812567,309.3405,0.08807515,-29.545147,-71.950806,0.062157247,1.0641994,-0.8010936,-2.1025615,1.2243683,0.0,-28.808985,-75.86111,0.112114824,-28.382,-75.61889,0.08681019,0.010475199127197266,998.9534146785736,55000
5.533814,-0.28994545,-2.046022,1.1408515,0.0,-27.223343,-75.45839,5.809938,-8.046541,360.96118,0.027235068,-26.827082,-75.212105,0.058918536,5.044322,-0.3248815,-2.0416777,0.94208145,0.0,-31.9407,-72.2529,0.009317823,-31.497732,-71.930885,0.060235962,0.010472287511825561,1051.3148658275604,60000
