training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
6.2326226,0.029899172,-2.1180563,0.66182196,-1.0868843,36.043102,0.16284436,-14.527018,-22.620277,0.118139036,6.0389104,0.06910795,-2.1142724,0.16111894,-13.527993,-22.59208,0.10290107,0.12289439735412598,614.4720056056976,5000
12.840818,0.1497209,-2.1480143,2.3638391,-2.2430503,132.78456,0.026596231,-21.7326,-43.852486,0.22474529,12.080114,0.1102594,-2.2294915,0.06494918,-20.817844,-43.891434,0.1933835,0.008189159297943116,655.4178116321564,10000
11.184168,0.15336415,-2.1723378,4.458029,-5.183341,319.129,0.09448692,-25.029255,-58.875557,0.3759503,12.7309475,0.196571,-2.150931,0.11879836,-24.537384,-59.166595,0.2577927,0.008190924501419068,696.3724465370178,15000
8.489683,0.14941463,-2.0504956,2.0617754,-1.7491679,155.857,0.08570674,-25.60699,-68.04985,0.34498784,13.715155,0.173655,-2.069693,0.11337655,-26.440422,-68.23005,0.26607066,0.008191378927230835,737.3293526172638,20000
13.88021,0.18743113,-2.0769885,4.090582,-3.2651346,153.02524,0.071134806,-27.31718,-74.16809,0.2718733,7.7412157,0.11926468,-2.041756,0.0799865,-22.450684,-74.03795,0.17776391,0.008192022323608399,778.2894780635834,25000
12.317375,0.21548365,-1.9579298,3.4263103,-3.270443,231.40297,-0.040457692,-28.274235,-78.40605,0.29834637,10.977006,0.20659137,-1.9240094,-0.035959776,-29.034168,-77.28053,0.3026225,0.00818978910446167,819.2384352684021,30000
10.768526,0.11230508,-2.0599704,5.16366,-4.0493226,155.87326,0.004072197,-26.986904,-70.28066,0.17774299,13.00535,0.12378131,-2.003916,0.003282681,-26.92139,-81.00186,0.19181353,0.008204911804199218,860.2630050182343,35000
7.5560813,0.14322448,-1.9575781,3.737069,-4.0658894,148.0625,0.012401216,-26.809502,-70.54825,0.22041896,10.684982,0.16333121,-2.020037,0.016981702,-26.336174,-82.47946,0.1466189,0.008210845565795898,901.3172426223755,40000
8.883196,0.20255008,-1.9615963,2.4332795,-1.9227047,141.89305,-0.01144857,-29.738598,-82.83026,0.19406395,11.865925,0.12472515,-2.0093517,-0.012855139,-27.009882,-74.7995,0.23258916,0.008210954141616822,942.3720242977142,45000
9.611855,0.124302916,-2.1343205,2.1950657,-2.09117,155.13792,-0.017743967,-28.68664,-85.80215,0.20247439,12.039261,0.15500067,-2.1633534,-0.019257195,-29.2229,-69.82042,0.16955692,0.008206945371627807,983.4067623615265,50000
8.0657215,0.11011975,-1.9594499,1.6379405,-1.5563211,119.31598,0.035709742,-26.751278,-71.17207,0.24318238,9.436444,0.08583269,-2.1049826,0.04424327,-30.980215,-72.77515,0.37530857,0.008208521175384521,1024.4493792057037,55000
8.104067,0.078379996,-1.9845102,1.54687,-1.5689938,78.2293,0.055474848,-31.96576,-77.525406,0.211425,10.321505,0.21248758,-1.9585372,0.069184385,-29.396889,-75.39963,0.15055281,0.008348684644699097,1066.1928164958954,60000
11.150171,0.17134589,-2.006833,2.3103452,-3.2333422,184.62825,0.032678463,-31.564194,-73.612816,0.20702875,8.827206,0.15697545,-1.992851,0.021230906,-28.8781,-83.99347,0.27708805,0.009725185918807984,1114.8187572956085,65000
8.579938,0.06904455,-2.0986185,1.2897271,-2.3346634,121.635796,-0.0018397309,-28.451523,-70.7036,0.18482074,8.195299,0.18122754,-1.9807612,-0.020542704,-28.449512,-76.39968,0.15271905,0.008562780046463013,1157.632670879364,70000
8.459303,0.16674928,-1.9721761,2.1389267,-2.213288,136.99596,0.025687534,-29.612942,-70.85884,0.16710158,8.688816,0.07893942,-2.0733702,0.022543903,-31.43811,-80.03913,0.18890074,0.008193282270431519,1198.5990986824036,75000
5.817324,0.08873472,-1.9758599,1.8236794,-2.161703,119.769104,-0.017494794,-30.712254,-78.65274,0.24030277,9.913484,0.13954704,-1.9370418,-0.022248078,-31.089771,-73.48566,0.22707048,0.008250008821487426,1239.8491551876068,80000
9.40283,0.211752,-1.9297242,4.811887,-4.0235205,144.86288,0.018788312,-29.976566,-70.42828,0.26027414,8.819493,0.14739925,-1.9392077,0.013862982,-27.907543,-70.75644,0.18168224,0.009635614681243897,1288.0272424221039,85000
8.005255,0.124341145,-1.9808445,4.213848,-2.4259505,189.25803,-0.02386653,-27.712223,-77.40996,0.24441355,7.9246993,0.17680746,-1.8675663,-0.035207707,-30.322445,-81.739136,0.1531331,0.00867639455795288,1331.4092268943787,90000
6.5506964,0.18243137,-1.9685636,1.7451876,-1.6773067,109.428055,-0.029389568,-27.545736,-79.124695,0.17746654,7.9974627,0.22648373,-1.9177434,-0.04843467,-29.550795,-71.07501,0.13810219,0.00820683307647705,1372.4434041976929,95000
10.044921,0.2015683,-2.0261533,3.9399533,-2.887765,164.36237,0.035315458,-29.960268,-81.87178,0.21007374,7.931734,0.17386831,-1.876749,0.037787024,-27.110722,-75.47273,0.21995875,0.008330728435516358,1414.0970704555511,100000
6.8666735,0.047150403,-1.9381154,2.6542463,-3.1213596,97.20688,0.017362531,-28.406645,-76.62357,0.15820423,9.778001,0.16174932,-1.8848863,0.023210872,-31.763006,-83.6817,0.20252565,0.11407452301979065,1984.4696989059448,105000
8.952641,0.121549614,-2.0259366,2.349375,-1.8931878,119.451485,0.005471997,-30.29734,-76.0598,0.2283891,9.153585,0.15100184,-1.8470638,0.024602555,-28.97195,-75.9207,0.23347092,0.009268654823303222,2030.81299161911,110000
8.685763,0.02433104,-2.130608,2.4167218,-2.927888,134.54019,0.05111544,-31.278671,-72.71707,0.18001986,9.254297,0.20385614,-1.8757885,0.04324279,-27.251793,-71.45029,0.16411985,0.010577835130691528,2083.7021882534027,115000
