training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
0.40298486,-0.8424009,10.338837,9.193508,0.00011832174,-9.1899805,0.0001189869,1.0,2.0677452,0.00012153853,-2.0667522,-1.7626956,-1.7699156,-1.7748239,1.2520878,9.191801,6.0345512e-05,-9.189926,0.00010837716,1.0,1.9939913,-7.015141e-05,-1.9949114,-1.820585,-1.8271761,-1.8319391,1.196301,0.15154610753059386,757.7305781841278,5000
0.72819895,-0.1446462,7.2406244,9.189207,-1.4251564e-05,-9.189585,3.999357e-05,1.0,2.041422,-1.12974085e-05,-2.041392,-1.7261949,-1.7267827,-1.7279327,1.0811162,9.190992,5.3132884e-05,-9.18951,2.5110026e-05,1.0,1.9790716,5.543884e-05,-1.9785146,-1.7622979,-1.7630155,-1.7640803,1.1518787,0.018747909879684447,851.4701449871063,10000
0.4028534,-0.1523998,4.8434477,9.189634,-8.606818e-06,-9.189869,9.68428e-05,1.0,1.9808764,-8.6701475e-06,-1.9808428,-1.6393875,-1.6395595,-1.6399031,1.2287328,9.190189,1.5632715e-05,-9.189756,7.409501e-05,1.0,2.003612,1.4973339e-05,-2.0034566,-1.635024,-1.6352369,-1.6355753,1.3632274,0.0190098518371582,946.5194170475006,15000
0.09204313,-0.28936756,5.040058,9.191067,-2.0097941e-06,-9.191122,0.000347436,1.0,1.9557341,-1.6391277e-07,-1.9557295,-1.7078643,-1.7079406,-1.7079804,1.2316353,9.191125,-1.5646219e-07,-9.19113,0.00034894253,1.0,1.987433,-9.872019e-07,-1.9874389,-1.7199645,-1.7200471,-1.7200845,1.2179996,0.019079276037216188,1041.9158205986023,20000
0.29578915,-0.09853579,5.3294387,9.189524,-9.080395e-08,-9.189526,2.8080953e-05,1.0,1.9918448,-1.1641532e-08,-1.9918453,-1.6935762,-1.6935797,-1.693583,1.2099484,9.189503,-3.4924597e-08,-9.189505,2.3698132e-05,1.0,1.8765558,-1.44355e-07,-1.876556,-1.6962243,-1.6962265,-1.6962287,1.3047123,0.01881129093170166,1135.9722845554352,25000
0.13642605,-0.30435026,6.5709796,9.189426,2.2351742e-08,-9.189426,8.089042e-06,1.0,1.8046136,-3.259629e-09,-1.8046136,-1.7112924,-1.7112939,-1.7112949,1.2401793,9.1894245,-1.071021e-08,-9.189424,7.992623e-06,1.0,1.7951031,1.071021e-08,-1.7951031,-1.6978655,-1.6978667,-1.6978682,1.1452584,0.01895452923774719,1230.7449424266815,30000
0.11846781,-0.38778323,7.645972,9.189386,2.142042e-08,-9.189385,2.409506e-07,1.0,1.8381774,3.9115548e-08,-1.8381771,-1.717852,-1.7178528,-1.717854,1.275407,9.189386,3.7252903e-09,-9.189385,2.4153022e-07,1.0,1.8068722,-3.259629e-09,-1.8068724,-1.7239783,-1.72398,-1.7239819,1.2618085,0.018492674732208253,1323.2083311080933,35000
0.21807021,-0.4025638,9.178389,9.189386,8.8475645e-09,-9.189385,1.9241008e-07,1.0,1.7828774,5.5879354e-09,-1.7828774,-1.6738405,-1.6738412,-1.6738415,1.314753,9.189386,-2.7939677e-09,-9.189385,2.1075208e-07,1.0,1.7406425,6.0535967e-09,-1.7406425,-1.6705463,-1.6705465,-1.6705472,1.2886643,0.019071973896026613,1418.5682151317596,40000
0.2961342,-0.8893062,10.450461,9.189535,-1.5366822e-08,-9.189535,2.9909768e-05,1.0,1.7429638,-9.313226e-09,-1.7429639,-1.7085879,-1.7085886,-1.7085888,1.321807,9.189576,8.8475645e-09,-9.189575,3.814813e-05,1.0,1.7695658,3.259629e-09,-1.7695658,-1.7182598,-1.7182603,-1.7182605,1.1408153,0.01890693106651306,1513.102882385254,45000
0.2566387,-0.26322722,10.222811,10.0424795,1.5147962e-06,-10.042152,0.17055342,1.0,1.6903278,3.6564656e-05,-1.6902759,-1.6560383,-1.6563029,-1.6614572,1.2679815,9.992295,2.8239563e-05,-9.991455,0.1604142,1.0,1.7377447,9.4208866e-05,-1.7367182,-1.6594007,-1.659724,-1.6646361,1.4591836,0.018854330825805662,1607.374552488327,50000
0.12067978,-1.3472148,10.818258,9.187775,-6.413227e-05,-9.189417,6.5288996e-06,1.0,1.6354628,-7.398706e-05,-1.6358864,-1.7066903,-1.7097943,-1.7124524,1.3775494,9.187873,-6.15865e-05,-9.189413,5.4764246e-06,1.0,1.7010899,-0.00016214605,-1.7013693,-1.6991138,-1.7022029,-1.7045598,1.2943583,0.018802948331832887,1701.389316558838,55000
0.35778385,-0.6358555,10.767113,9.188128,-7.165084e-05,-9.189413,5.554811e-06,1.0,1.7575047,-1.6155653e-05,-1.7577889,-1.7084596,-1.7117684,-1.7200658,1.2982402,9.20203,0.0004304205,-9.189405,3.8900534e-06,1.0,1.7510234,0.00030452572,-1.7489003,-1.6997917,-1.7034518,-1.7115302,1.215513,0.01975164713859558,1800.1475729942322,60000
0.17333893,-0.11144544,6.3386517,9.175156,-0.0005266117,-9.189393,1.8183221e-06,1.0,1.8426121,-0.00052721193,-1.845427,-1.7133093,-1.7159137,-1.7174318,1.22441,9.191088,5.193567e-05,-9.189392,1.3240299e-06,1.0,1.6504648,0.00014281087,-1.6491227,-1.7081627,-1.7111295,-1.7123196,1.2385843,0.018614003658294676,1893.2176089286804,65000
0.57799,-0.29834548,8.829416,9.190458,3.8668048e-05,-9.189385,2.1846085e-07,1.0,1.7165852,3.33027e-05,-1.7164662,-1.6426058,-1.6431041,-1.6432948,1.2321105,9.188799,-2.1502376e-05,-9.189387,3.789713e-07,1.0,1.6745769,-1.2774952e-05,-1.6747069,-1.6471453,-1.6476336,-1.647804,1.3812904,0.018536407709121704,1985.8996605873108,70000
